,HRB
2000-01-03,4239714288
2000-01-04,4126114288
2000-01-05,4515600003
2000-01-06,4470971431
2000-01-07,4621085717
2000-01-10,4584571431
2000-01-11,4832057146
2000-01-12,4819885717
2000-01-13,4803657146
2000-01-14,4722514289
2000-01-18,4677885717
2000-01-19,4653542860
2000-01-20,4588628574
2000-01-21,4556171431
2000-01-24,4442571431
2000-01-25,4414171431
2000-01-26,4430400003
2000-01-27,4442571431
2000-01-28,4438514288
2000-01-31,4217739679
2000-02-01,4162963840
2000-02-02,4354679280
2000-02-03,4436843040
2000-02-04,4499444000
2000-02-07,4444668160
2000-02-08,4432930480
2000-02-09,4213827120
2000-02-10,4217739679
2000-02-11,4225564800
2000-02-14,4182526640
2000-02-15,4241215040
2000-02-16,4198176880
2000-02-17,3979073520
2000-02-18,3947773040
2000-02-22,3955598160
2000-02-23,3979073520
2000-02-24,4159051280
2000-02-25,4194264320
2000-02-28,4072974960
2000-02-29,4292078320
2000-03-01,4280340640
2000-03-02,4295990880
2000-03-03,4389892320
2000-03-06,4378154640
2000-03-07,4159051280
2000-03-08,4143401040
2000-03-09,4217739679
2000-03-10,4198176880
2000-03-13,4116013120
2000-03-14,4010374000
2000-03-15,4096450320
2000-03-16,4413367680
2000-03-17,4393804880
2000-03-20,4272515520
2000-03-21,4425105360
2000-03-22,4315553680
2000-03-23,4327291360
2000-03-24,4186439199
2000-03-27,4409455120
2000-03-28,4425105360
2000-03-29,4358591840
2000-03-30,4339029040
2000-03-31,4378154640
2000-04-03,4468143520
2000-04-04,4346854160
2000-04-05,4456405840
2000-04-06,4444668160
2000-04-07,4522919360
2000-04-10,4702897120
2000-04-11,4585520320
2000-04-12,4714634800
2000-04-13,4632471040
2000-04-14,4237302480
2000-04-17,4346854160
2000-04-18,4213827120
2000-04-19,4268602960
2000-04-20,4382067200
2000-04-24,4452493280
2000-04-25,4487706320
2000-04-26,4292078320
2000-04-27,4174701520
2000-04-28,4088625199
2000-05-01,3969188160
2000-05-02,3275326319
2000-05-03,3088804319
2000-05-04,3107456520
2000-05-05,2984352000
2000-05-08,3003004200
2000-05-09,2868708360
2000-05-10,2902282320
2000-05-11,3077613000
2000-05-12,3036578160
2000-05-15,3096265200
2000-05-16,3058960799
2000-05-17,2973160680
2000-05-18,2924664960
2000-05-19,2861247480
2000-05-22,2790369120
2000-05-23,2697108120
2000-05-24,2790369120
2000-05-25,2704569000
2000-05-26,2663534160
2000-05-30,2797830000
2000-05-31,2879899680
2000-06-01,3044039040
2000-06-02,3025386840
2000-06-05,2954508480
2000-06-06,2932125840
2000-06-07,3006734640
2000-06-08,2924664960
2000-06-09,2674725480
2000-06-12,2723221200
2000-06-13,2726951640
2000-06-14,2712029880
2000-06-15,2734412520
2000-06-16,2756795160
2000-06-19,2797830000
2000-06-20,2767986480
2000-06-21,2797830000
2000-06-22,2891091000
2000-06-23,2909743200
2000-06-26,2954508480
2000-06-27,3036578160
2000-06-28,2961969360
2000-06-29,3070152120
2000-06-30,3017925960
2000-07-03,3058960799
2000-07-05,2984352000
2000-07-06,2954508480
2000-07-07,2984352000
2000-07-10,2984352000
2000-07-11,2973160680
2000-07-12,2976891120
2000-07-13,3047769480
2000-07-14,3096265200
2000-07-17,3047769480
2000-07-18,3017925960
2000-07-19,3044039040
2000-07-20,3014195520
2000-07-21,2984352000
2000-07-24,2984352000
2000-07-25,2943317160
2000-07-26,2961969360
2000-07-27,2932125840
2000-07-28,2920934520
2000-07-31,2924896000
2000-08-01,2946832720
2000-08-02,2943176600
2000-08-03,2932208240
2000-08-04,2954144960
2000-08-07,2906615400
2000-08-08,2924896000
2000-08-09,2957801080
2000-08-10,3023611240
2000-08-11,3008986760
2000-08-14,2983393920
2000-08-15,3038235720
2000-08-16,2972425560
2000-08-17,2998018399
2000-08-18,2946832720
2000-08-21,2976081680
2000-08-22,3034579600
2000-08-23,3166199920
2000-08-24,3100389760
2000-08-25,3107702000
2000-08-28,3136950960
2000-08-29,3147919320
2000-08-30,3177168280
2000-08-31,3279539640
2000-09-01,3246634560
2000-09-05,3297820240
2000-09-06,3297820240
2000-09-07,3268571280
2000-09-08,3232010080
2000-09-11,3268571280
2000-09-12,3239322320
2000-09-13,3169856040
2000-09-14,3136950960
2000-09-15,3100389760
2000-09-18,3056516320
2000-09-19,3067484680
2000-09-20,3115014240
2000-09-21,3107702000
2000-09-22,3115014240
2000-09-25,3155231560
2000-09-26,3155231560
2000-09-27,3232010080
2000-09-28,3381911000
2000-09-29,3389223240
2000-10-02,3370942640
2000-10-03,3341693680
2000-10-04,3301476360
2000-10-05,3297820240
2000-10-06,3158887680
2000-10-09,3206417240
2000-10-10,3169856040
2000-10-11,3199105000
2000-10-12,3089421399
2000-10-13,3166199920
2000-10-16,3155231560
2000-10-17,3115014240
2000-10-18,2924896000
2000-10-19,3169856040
2000-10-20,3158887680
2000-10-23,3107702000
2000-10-24,3125982600
2000-10-25,3118670360
2000-10-26,3107702000
2000-10-27,3158887680
2000-10-30,3283195760
2000-10-31,3356893330
2000-11-01,3341839997
2000-11-02,3292916663
2000-11-03,3281626663
2000-11-06,3281626663
2000-11-07,3206359997
2000-11-08,3206359997
2000-11-09,3191306663
2000-11-10,3153673330
2000-11-13,3116039997
2000-11-14,3191306663
2000-11-15,3198833330
2000-11-16,3191306663
2000-11-17,3198833330
2000-11-20,3176253330
2000-11-21,3191306663
2000-11-22,3187543330
2000-11-24,3217649997
2000-11-27,3232703330
2000-11-28,3232703330
2000-11-29,3240229997
2000-11-30,3311733330
2000-12-01,3405816663
2000-12-04,3511189996
2000-12-05,3552586663
2000-12-06,3522479996
2000-12-07,3522479996
2000-12-08,3481083330
2000-12-11,3462266663
2000-12-12,3488609996
2000-12-13,3481083330
2000-12-14,3499899996
2000-12-15,3481083330
2000-12-18,3575166663
2000-12-19,3699356663
2000-12-20,3616563330
2000-12-21,3650433330
2000-12-22,3676776663
2000-12-26,3703119996
2000-12-27,3676776663
2000-12-28,3834836663
2000-12-29,3891286663
2001-01-02,3785913329
2001-01-03,3782149996
2001-01-04,3804729996
2001-01-05,3816019996
2001-01-08,3530006663
2001-01-09,3556349996
2001-01-10,3616563330
2001-01-11,3586456663
2001-01-12,3586456663
2001-01-16,3688066663
2001-01-17,3661723330
2001-01-18,3770859996
2001-01-19,3782149996
2001-01-22,3785913329
2001-01-23,3974079996
2001-01-24,3876233329
2001-01-25,3891286663
2001-01-26,3879996663
2001-01-29,4075689996
2001-01-30,4102033329
2001-01-31,3855841061
2001-02-01,3841612866
2001-02-02,3823827621
2001-02-05,3813156474
2001-02-06,3795371229
2001-02-07,3724230250
2001-02-08,3749129593
2001-02-09,3809599425
2001-02-12,3862955159
2001-02-13,3845169914
2001-02-14,3813156474
2001-02-15,3941210236
2001-02-16,4019465313
2001-02-20,3983894823
2001-02-21,3912753845
2001-02-22,3894968600
2001-02-23,3905639747
2001-02-26,3973223677
2001-02-27,4040807607
2001-02-28,4385841355
2001-03-01,4435640040
2001-03-02,4499666921
2001-03-05,4524566264
2001-03-06,4538794460
2001-03-07,4645505928
2001-03-08,4645505928
2001-03-09,4535237411
2001-03-12,4314700376
2001-03-13,4474767579
2001-03-14,4446311187
2001-03-15,4446311187
2001-03-16,4442754138
2001-03-19,4442754138
2001-03-20,4336042670
2001-03-21,4268458740
2001-03-22,4225774152
2001-03-23,4318257425
2001-03-26,4492552823
2001-03-27,4492552823
2001-03-28,4442754138
2001-03-29,4421411844
2001-03-30,4453425285
2001-04-02,4407183649
2001-04-03,4282686935
2001-04-04,4375170208
2001-04-05,4492552823
2001-04-06,4428525942
2001-04-09,4446311187
2001-04-10,4542351509
2001-04-11,4517452166
2001-04-12,4535237411
2001-04-16,4581479047
2001-04-17,4638391830
2001-04-18,4698861662
2001-04-19,4805573131
2001-04-20,4777116739
2001-04-23,4755774446
2001-04-24,4752217397
2001-04-25,4802016082
2001-04-26,4770002641
2001-04-27,4855371816
2001-04-30,5056122500
2001-05-01,4956838640
2001-05-02,4945807100
2001-05-03,4872263500
2001-05-04,4909035300
2001-05-07,4982578900
2001-05-08,5008319160
2001-05-09,5078185580
2001-05-10,5129666100
2001-05-11,5151729180
2001-05-14,5137020460
2001-05-15,5155406360
2001-05-16,5328233820
2001-05-17,5350296900
2001-05-18,5376037160
2001-05-21,5673888740
2001-05-22,5548864620
2001-05-23,5512092820
2001-05-24,5504738460
2001-05-25,5490029740
2001-05-29,5530478720
2001-05-30,5456935120
2001-05-31,5482675380
2001-06-01,5604022320
2001-06-04,5721692080
2001-06-05,5857747740
2001-06-06,5806267220
2001-06-07,5876133640
2001-06-08,5857747740
2001-06-11,5839361840
2001-06-12,5813621580
2001-06-13,5791558500
2001-06-14,5791558500
2001-06-15,5773172600
2001-06-18,5769495420
2001-06-19,5773172600
2001-06-20,5765818240
2001-06-21,5868779280
2001-06-22,5854070560
2001-06-25,5861424920
2001-06-26,5850393380
2001-06-27,5846716200
2001-06-28,5912905439
2001-06-29,5934968520
2001-07-02,6287977800
2001-07-03,6188693939
2001-07-05,6122504699
2001-07-06,6129859060
2001-07-09,6159276500
2001-07-10,6059992640
2001-07-11,6045283920
2001-07-12,6093087260
2001-07-13,6162953680
2001-07-16,6188693939
2001-07-17,6251206000
2001-07-18,6269591900
2001-07-19,6343135500
2001-07-20,6332103960
2001-07-23,6413001920
2001-07-24,6229142920
2001-07-25,6438742180
2001-07-26,6530671680
2001-07-27,6512285780
2001-07-30,6556411939
2001-07-31,6504035840
2001-08-01,6606117120
2001-08-02,6555076480
2001-08-03,6580596800
2001-08-06,6456640960
2001-08-07,6394663040
2001-08-08,6270707200
2001-08-09,6354559680
2001-08-10,6354559680
2001-08-13,6613408640
2001-08-14,6627991680
2001-08-15,6624345920
2001-08-16,6700906880
2001-08-17,6653512000
2001-08-20,6799342399
2001-08-21,6642574720
2001-08-22,6792050880
2001-08-23,6883194880
2001-08-24,6977984640
2001-08-27,6828508480
