,HSY
2000-01-03,6421542900
2000-01-04,6177862100
2000-01-05,6205553100
2000-01-06,6368930000
2000-01-07,6385544600
2000-01-10,6404928300
2000-01-11,6274780600
2000-01-12,6230475000
2000-01-13,6186169400
2000-01-14,5892644800
2000-01-18,5953565000
2000-01-19,5970179600
2000-01-20,5840031900
2000-01-21,5712653300
2000-01-24,5554814600
2000-01-25,5513278100
2000-01-26,5563121900
2000-01-27,5460665200
2000-01-28,5228060800
2000-01-31,5884337500
2000-02-01,5615734800
2000-02-02,5632349400
2000-02-03,5729267900
2000-02-04,5745882500
2000-02-07,5676655000
2000-02-08,5840031900
2000-02-09,5781880800
2000-02-10,5815110000
2000-02-11,5920335800
2000-02-14,5876030200
2000-02-15,6067098100
2000-02-16,6116941900
2000-02-17,6169554800
2000-02-18,6247089600
2000-02-22,6463079400
2000-02-23,6385544600
2000-02-24,6197245800
2000-02-25,6247089600
2000-02-28,6108634600
2000-02-29,6083712700
2000-03-01,6205553100
2000-03-02,6047714400
2000-03-03,5970179600
2000-03-06,5840031900
2000-03-07,5538200000
2000-03-08,5790188100
2000-03-09,5693269600
2000-03-10,5538200000
2000-03-13,5538200000
2000-03-14,5668347700
2000-03-15,6058790800
2000-03-16,6601534400
2000-03-17,6385544600
2000-03-20,6507385000
2000-03-21,6499077700
2000-03-22,6238782300
2000-03-23,6274780600
2000-03-24,6092020000
2000-03-27,5978486900
2000-03-28,5815110000
2000-03-29,6482463100
2000-03-30,6784295000
2000-03-31,6751065800
2000-04-03,6458505000
2000-04-04,6689362200
2000-04-05,6595920000
2000-04-06,6535457400
2000-04-07,6345824700
2000-04-10,6381552600
2000-04-11,6587675100
2000-04-12,6749824800
2000-04-13,6639892800
2000-04-14,6466749900
2000-04-17,6433770300
2000-04-18,6398042400
2000-04-19,6535457400
2000-04-20,6551947200
2000-04-24,6749824800
2000-04-25,6749824800
2000-04-26,6543702300
2000-04-27,6466749900
2000-04-28,6252382500
2000-05-01,6227647800
2000-05-02,6304600200
2000-05-03,6466749900
2000-05-04,6494232900
2000-05-05,6373307700
2000-05-08,6631647900
2000-05-09,6689362200
2000-05-10,6870750000
2000-05-11,6870750000
2000-05-12,6785552700
2000-05-15,7085117400
2000-05-16,7060382700
2000-05-17,6906477900
2000-05-18,6964192200
2000-05-19,6846015300
2000-05-22,6999920100
2000-05-23,7129090200
2000-05-24,7291239900
2000-05-25,7318722900
2000-05-26,7557825000
2000-05-30,7395675300
2000-05-31,7129090200
2000-06-01,7060382700
2000-06-02,6878994900
2000-06-05,6758069700
2000-06-06,6983430300
2000-06-07,7162069800
2000-06-08,7197797700
2000-06-09,7120845300
2000-06-12,7085117400
2000-06-13,7222532400
2000-06-14,7318722900
2000-06-15,7326967800
2000-06-16,7101607200
2000-06-19,7153824900
2000-06-20,6947702400
2000-06-21,6818532300
2000-06-22,6708600300
2000-06-23,6826777200
2000-06-26,6870750000
2000-06-27,6991675200
2000-06-28,6895484700
2000-06-29,6689362200
2000-06-30,6664627500
2000-07-03,6584548320
2000-07-05,6592758480
2000-07-06,6278035680
2000-07-07,6338243520
2000-07-10,6201407520
2000-07-11,6209617680
2000-07-12,6089202000
2000-07-13,6157620000
2000-07-14,6124779360
2000-07-17,5996153520
2000-07-18,6124779360
2000-07-19,6182250480
2000-07-20,6080991840
2000-07-21,5900368320
2000-07-24,5908578480
2000-07-25,6045414480
2000-07-26,6362874000
2000-07-27,6278035680
2000-07-28,6371084160
2000-07-31,6330033360
2000-08-01,6330033360
2000-08-02,6330033360
2000-08-03,6346453680
2000-08-04,6414871680
2000-08-07,6398451360
2000-08-08,6354663840
2000-08-09,6310876320
2000-08-10,6431292000
2000-08-11,6387504480
2000-08-14,6338243520
2000-08-15,6319086480
2000-08-16,6217827840
2000-08-17,6217827840
2000-08-18,6089202000
2000-08-21,6157620000
2000-08-22,6097412160
2000-08-23,6141199680
2000-08-24,6080991840
2000-08-25,5987943360
2000-08-28,6037204320
2000-08-29,6064571520
2000-08-30,5900368320
2000-08-31,5840160480
2000-09-01,5807319840
2000-09-05,5763532320
2000-09-06,6080991840
2000-09-07,6124779360
2000-09-08,6132989520
2000-09-11,6045414480
2000-09-12,6174040320
2000-09-13,6201407520
2000-09-14,6242458320
2000-09-15,6406661520
2000-09-18,6584548320
2000-09-19,6644756160
2000-09-20,6713174160
2000-09-21,6825379680
2000-09-22,6970425840
2000-09-25,6765171840
2000-09-26,6858220320
2000-09-27,7140102480
2000-09-28,7320726000
2000-09-29,7405564320
2000-10-02,7222320000
2000-10-03,6999459840
2000-10-04,7101260160
2000-10-05,7205811840
2000-10-06,7258087680
2000-10-09,7376396160
2000-10-10,7238828160
2000-10-11,7266341760
2000-10-12,7178298240
2000-10-13,6971946240
2000-10-16,7032476160
2000-10-17,6903162240
2000-10-18,6922421760
2000-10-19,6784853760
2000-10-20,6707815680
2000-10-23,6845383680
2000-10-24,7093006080
2000-10-25,7247082240
2000-10-26,7137027840
2000-10-27,7230574080
2000-10-30,7412163840
2000-10-31,7472693760
2000-11-01,7505710080
2000-11-02,7395655680
2000-11-03,7472693760
2000-11-06,7756083840
2000-11-07,7885397760
2000-11-08,7978944000
2000-11-09,8064236160
2000-11-10,8306355840
2000-11-13,8229317760
2000-11-14,8116512000
2000-11-15,8237571840
2000-11-16,8347626240
2000-11-17,8254080000
2000-11-20,8124766080
2000-11-21,8193550080
2000-11-22,8210058240
2000-11-24,8160533760
2000-11-27,8322864000
2000-11-28,8520961920
2000-11-29,8856627840
2000-11-30,8702551680
2000-12-01,8666784000
2000-12-04,8614508160
2000-12-05,8298101760
2000-12-06,8347626240
2000-12-07,8435669760
2000-12-08,8358631680
2000-12-11,7978944000
2000-12-12,7978944000
2000-12-13,8133020160
2000-12-14,8152279680
2000-12-15,8072490240
2000-12-18,8366885760
2000-12-19,8427415680
2000-12-20,8476940160
2000-12-21,8460432000
2000-12-22,8485194240
2000-12-26,8856627840
2000-12-27,9027212160
2000-12-28,9002449920
2000-12-29,8856627840
2001-01-02,8905160000
2001-01-03,8393715000
2001-01-04,7794750000
2001-01-05,7898680000
2001-01-08,8092865000
2001-01-09,8103805000
2001-01-10,7999875000
2001-01-11,7838510000
2001-01-12,7819365000
2001-01-16,8051840000
2001-01-17,7915090000
2001-01-18,7967055000
2001-01-19,7830305000
2001-01-22,7794750000
2001-01-23,7838510000
2001-01-24,7991670000
2001-01-25,7983465000
2001-01-26,7999875000
2001-01-29,8112010000
2001-01-30,8068250000
2001-01-31,8136625000
2001-02-01,8177650000
2001-02-02,8180385000
2001-02-05,8300725000
2001-02-06,8349955000
2001-02-07,8478500000
2001-02-08,8702770000
2001-02-09,8757470000
2001-02-12,8844990000
2001-02-13,8877810000
2001-02-14,8686360000
2001-02-15,8648070000
2001-02-16,8806700000
2001-02-20,8888750000
2001-02-21,8746530000
2001-02-22,8615250000
2001-02-23,8590635000
2001-02-26,8741060000
2001-02-27,8738325000
2001-02-28,8765675000
2001-03-01,8875075000
2001-03-02,8683625000
2001-03-05,8752000000
2001-03-06,8689095000
2001-03-07,8713710000
2001-03-08,8820375000
2001-03-09,8839520000
2001-03-12,8918835000
2001-03-13,8855930000
2001-03-14,8823110000
2001-03-15,8916100000
2001-03-16,9039175000
2001-03-19,9082935000
2001-03-20,9088405000
2001-03-21,9000885000
2001-03-22,8883280000
2001-03-23,8850460000
2001-03-26,8839520000
2001-03-27,9102080000
2001-03-28,9285325000
2001-03-29,9433015000
