,IAC
2000-01-03,451164000
2000-01-04,415008000
2000-01-05,399288000
2000-01-06,415794000
2000-01-07,414221999
2000-01-10,462954000
2000-01-11,432300000
2000-01-12,408720000
2000-01-13,448020000
2000-01-14,420510000
2000-01-18,432300000
2000-01-19,432300000
2000-01-20,444876000
2000-01-21,459024000
2000-01-24,418938000
2000-01-25,448020000
2000-01-26,427584000
2000-01-27,440160000
2000-01-28,426798000
2000-01-31,411864000
2000-02-01,414221999
2000-02-02,430728000
2000-02-03,454308000
2000-02-04,466098000
2000-02-07,470814000
2000-02-08,458238000
2000-02-09,443304000
2000-02-10,452736000
2000-02-11,425226000
2000-02-14,414221999
2000-02-15,415008000
2000-02-16,403218000
2000-02-17,399288000
2000-02-18,374921999
2000-02-22,376494000
2000-02-23,398502000
2000-02-24,390642000
2000-02-25,397715999
2000-02-28,359202000
2000-02-29,372564000
2000-03-01,366276000
2000-03-02,350556000
2000-03-03,363918000
2000-03-06,359202000
2000-03-07,326190000
2000-03-08,357630000
2000-03-09,363132000
2000-03-10,385140000
2000-03-13,352128000
2000-03-14,331692000
2000-03-15,336408000
2000-03-16,376494000
2000-03-17,359988000
2000-03-20,337194000
2000-03-21,349770000
2000-03-22,375708000
2000-03-23,378852000
2000-03-24,383568000
2000-03-27,385140000
2000-03-28,382782000
2000-03-29,366276000
2000-03-30,352914000
2000-03-31,480815999
2000-04-03,466704000
2000-04-04,440496000
2000-04-05,433440000
2000-04-06,469728000
2000-04-07,473760000
2000-04-10,487872000
2000-04-11,464688000
2000-04-12,444528000
2000-04-13,406224000
2000-04-14,366912000
2000-04-17,399168000
2000-04-18,390096000
2000-04-19,381024000
2000-04-20,386064000
2000-04-24,385056000
2000-04-25,420336000
2000-04-26,433440000
2000-04-27,480815999
2000-04-28,489888000
2000-05-01,486864000
2000-05-02,481824000
2000-05-03,464688000
2000-05-04,474768000
2000-05-05,490896000
2000-05-08,468720000
2000-05-09,461664000
2000-05-10,468720000
2000-05-11,476784000
2000-05-12,489888000
2000-05-15,487872000
2000-05-16,487872000
2000-05-17,457632000
2000-05-18,433440000
2000-05-19,437472000
2000-05-22,428400000
2000-05-23,400176000
2000-05-24,419328000
2000-05-25,403200000
2000-05-26,388080000
2000-05-30,403200000
2000-05-31,403200000
2000-06-01,423360000
2000-06-02,448560000
2000-06-05,435456000
2000-06-06,424368000
2000-06-07,427392000
2000-06-08,416304000
2000-06-09,419328000
2000-06-12,390096000
2000-06-13,406224000
2000-06-14,452592000
2000-06-15,484847999
2000-06-16,485856000
2000-06-19,490896000
2000-06-20,498960000
2000-06-21,497952000
2000-06-22,489888000
2000-06-23,495936000
2000-06-26,490896000
2000-06-27,478800000
2000-06-28,473760000
2000-06-29,464688000
2000-06-30,385251000
2000-07-03,393681000
2000-07-05,377664000
2000-07-06,397053000
2000-07-07,393681000
2000-07-10,381879000
2000-07-11,368391000
2000-07-12,375978000
2000-07-13,370920000
2000-07-14,408012000
2000-07-17,389466000
2000-07-18,382722000
2000-07-19,372606000
2000-07-20,379350000
2000-07-21,370920000
2000-07-24,369234000
2000-07-25,390309000
2000-07-26,383565000
2000-07-27,369234000
2000-07-28,365019000
2000-07-31,375135000
2000-08-01,375135000
2000-08-02,379350000
2000-08-03,392838000
2000-08-04,386937000
2000-08-07,395367000
2000-08-08,399582000
2000-08-09,413913000
2000-08-10,418128000
2000-08-11,424872000
2000-08-14,438360000
2000-08-15,442575000
2000-08-16,434145000
2000-08-17,445947000
2000-08-18,444260999
2000-08-21,437517000
2000-08-22,429929999
2000-08-23,441732000
2000-08-24,444260999
2000-08-25,428244000
2000-08-28,428244000
2000-08-29,434988000
2000-08-30,436674000
2000-08-31,428244000
2000-09-01,452691000
2000-09-05,442575000
2000-09-06,411384000
2000-09-07,402954000
2000-09-08,396210000
2000-09-11,389466000
2000-09-12,390309000
2000-09-13,399582000
2000-09-14,397053000
2000-09-15,417285000
2000-09-18,403797000
2000-09-19,397053000
2000-09-20,400425000
2000-09-21,398739000
2000-09-22,399582000
2000-09-25,390309000
2000-09-26,386094000
2000-09-27,392838000
2000-09-28,434145000
2000-09-29,390309000
2000-10-02,419458000
2000-10-03,434642000
2000-10-04,441285000
2000-10-05,434642000
2000-10-06,394784000
2000-10-09,398580000
2000-10-10,379600000
2000-10-11,383396000
2000-10-12,372008000
2000-10-13,388141000
2000-10-16,363467000
2000-10-17,349232000
2000-10-18,353028000
2000-10-19,353028000
2000-10-20,360620000
2000-10-23,372957000
2000-10-24,360620000
2000-10-25,340691000
2000-10-26,387192000
2000-10-27,386243000
2000-10-30,383396000
2000-10-31,406172000
2000-11-01,422305000
2000-11-02,422305000
2000-11-03,407121000
2000-11-06,406172000
2000-11-07,421356000
2000-11-08,419458000
2000-11-09,403325000
2000-11-10,391937000
2000-11-13,399529000
2000-11-14,407121000
2000-11-15,402376000
2000-11-16,383396000
2000-11-17,383396000
2000-11-20,360620000
2000-11-21,352079000
2000-11-22,345436000
2000-11-24,360620000
2000-11-27,368212000
2000-11-28,351130000
2000-11-29,360620000
2000-11-30,336895000
2000-12-01,337844000
2000-12-04,340691000
2000-12-05,363467000
2000-12-06,337844000
2000-12-07,371059000
2000-12-08,375804000
2000-12-11,411866000
2000-12-12,390039000
2000-12-13,390988000
2000-12-14,387192000
2000-12-15,372957000
2000-12-18,372008000
2000-12-19,360620000
2000-12-20,347334000
2000-12-21,368212000
2000-12-22,387192000
2000-12-26,384345000
2000-12-27,386243000
2000-12-28,387192000
2000-12-29,390039000
2001-01-02,360620000
2001-01-03,400478000
2001-01-04,400478000
2001-01-05,402376000
2001-01-08,401427000
2001-01-09,395733000
2001-01-10,400478000
2001-01-11,414713000
2001-01-12,427999000
2001-01-16,429897000
2001-01-17,399529000
2001-01-18,413764000
2001-01-19,407121000
2001-01-22,402376000
2001-01-23,417560000
2001-01-24,406172000
2001-01-25,394784000
2001-01-26,380549000
2001-01-29,390039000
2001-01-30,391937000
2001-01-31,399529000
2001-02-01,410917000
2001-02-02,413764000
2001-02-05,427050000
2001-02-06,446030000
2001-02-07,453622000
2001-02-08,441285000
2001-02-09,441285000
2001-02-12,445081000
2001-02-13,438438000
2001-02-14,446030000
2001-02-15,442234000
2001-02-16,431795000
2001-02-20,437489000
2001-02-21,434642000
2001-02-22,443183000
2001-02-23,446979000
2001-02-26,462163000
2001-02-27,462163000
2001-02-28,472602000
2001-03-01,466908000
2001-03-02,462163000
2001-03-05,478296000
2001-03-06,483989999
2001-03-07,489684000
2001-03-08,484939000
2001-03-09,468806000
2001-03-12,446030000
2001-03-13,463112000
2001-03-14,456468999
2001-03-15,452672999
2001-03-16,465010000
2001-03-19,483989999
2001-03-20,454571000
2001-03-21,469755000
2001-03-22,463112000
2001-03-23,450775000
2001-03-26,443183000
2001-03-27,469755000
2001-03-28,459316000
2001-03-29,461214000
2001-03-30,480193999
2001-04-02,464805000
2001-04-03,436635000
2001-04-04,456354000
2001-04-05,458232000
2001-04-06,423489000
2001-04-09,437574000
2001-04-10,425367000
2001-04-11,430062000
2001-04-12,435695999
2001-04-16,425367000
2001-04-17,417855000
2001-04-18,458232000
2001-04-19,459170999
2001-04-20,462927000
2001-04-23,453537000
2001-04-24,446964000
2001-04-25,475133999
2001-04-26,477012000
2001-04-27,476073000
2001-04-30,496731000
2001-05-01,510816000
2001-05-02,497670000
2001-05-03,480768000
2001-05-04,515511000
2001-05-07,507999000
2001-05-08,513633000
2001-05-09,498608999
2001-05-10,512694000
2001-05-11,523962000
2001-05-14,522083999
2001-05-15,529595999
2001-05-16,534291000
2001-05-17,537108000
2001-05-18,537108000
2001-05-21,541803000
2001-05-22,538047000
2001-05-23,507999000
2001-05-24,510816000
2001-05-25,500487000
2001-05-29,499548000
2001-05-30,492036000
2001-05-31,512694000
2001-06-01,516450000
2001-06-04,516450000
2001-06-05,534291000
2001-06-06,507999000
2001-06-07,510816000
2001-06-08,491097000
2001-06-11,498608999
2001-06-12,506120999
2001-06-13,504243000
2001-06-14,487341000
2001-06-15,504243000
2001-06-18,492975000
2001-06-19,505182000
2001-06-20,534291000
2001-06-21,547437000
2001-06-22,533352000
2001-06-25,538986000
2001-06-26,538047000
2001-06-27,534291000
2001-06-28,553071000
2001-06-29,554949000
2001-07-02,545559000
2001-07-03,535230000
2001-07-05,542742000
2001-07-06,525839999
2001-07-09,534291000
2001-07-10,512694000
2001-07-11,520206000
2001-07-12,531474000
2001-07-13,501426000
2001-07-16,525839999
2001-07-17,536169000
2001-07-18,545559000
2001-07-19,534291000
2001-07-20,534291000
2001-07-23,520206000
2001-07-24,518327999
2001-07-25,534291000
2001-07-26,554949000
2001-07-27,555888000
2001-07-30,553071000
2001-07-31,555888000
2001-08-01,555888000
2001-08-02,546498000
2001-08-03,535230000
2001-08-06,535230000
2001-08-07,539925000
2001-08-08,535230000
2001-08-09,523023000
2001-08-10,516450000
2001-08-13,506120999
2001-08-14,505182000
2001-08-15,485463000
2001-08-16,493914000
2001-08-17,471377999
2001-08-20,486402000
2001-08-21,469500000
2001-08-22,446025000
2001-08-23,435695999
2001-08-24,459170999
2001-08-27,472317000
2001-08-28,468561000
2001-08-29,453537000
2001-08-30,439452000
2001-08-31,459170999
2001-09-04,457293000
2001-09-05,461988000
2001-09-06,455414999
2001-09-07,457293000
2001-09-10,457293000
2001-09-17,366210000
2001-09-18,328650000
2001-09-19,382173000
2001-09-20,357759000
2001-09-21,367149000
2001-09-24,373722000
2001-09-25,357759000
2001-09-26,339918000
2001-09-27,353064000
2001-09-28,356820000
2001-10-01,366420000
2001-10-02,357120000
2001-10-03,390600000
2001-10-04,397109999
2001-10-05,387810000
2001-10-08,373859999
2001-10-09,365490000
2001-10-10,385020000
2001-10-11,413850000
2001-10-12,401760000
2001-10-15,397109999
2001-10-16,404549999
2001-10-17,376650000
2001-10-18,358050000
2001-10-19,367350000
2001-10-22,386880000
2001-10-23,382230000
2001-10-24,366420000
2001-10-25,375720000
2001-10-26,374790000
2001-10-29,356190000
2001-10-30,355260000
2001-10-31,361770000
2001-11-01,378510000
2001-11-02,376650000
2001-11-05,389670000
2001-11-06,409200000
2001-11-07,398040000
2001-11-08,402690000
2001-11-09,392460000
2001-11-12,388740000
2001-11-13,396180000
2001-11-14,398040000
2001-11-15,397109999
2001-11-16,410130000
2001-11-19,433380000
2001-11-20,422220000
2001-11-21,423150000
2001-11-23,425940000
2001-11-26,444540000
2001-11-27,441750000
2001-11-28,429660000
2001-11-29,438030000
2001-11-30,441750000
2001-12-03,434310000
2001-12-04,467790000
2001-12-05,502200000
2001-12-06,493829999
2001-12-07,485460000
2001-12-10,470579999
2001-12-11,491970000
2001-12-12,481740000
2001-12-13,467790000
2001-12-14,467790000
2001-12-17,491040000
2001-12-18,527310000
2001-12-19,523590000
2001-12-20,515220000
2001-12-21,514290000
2001-12-24,521730000
2001-12-26,527310000
2001-12-27,533820000
2001-12-28,532890000
2001-12-31,545265000
2002-01-02,555660000
2002-01-03,547155000
2002-01-04,538650000
2002-01-07,540540000
2002-01-08,543375000
2002-01-09,534870000
2002-01-10,528255000
2002-01-11,520695000
2002-01-14,514080000
2002-01-15,527310000
2002-01-16,520695000
2002-01-17,530145000
2002-01-18,517860000
2002-01-22,518805000
2002-01-23,520695000
2002-01-24,529199999
2002-01-25,513135000
2002-01-28,551880000
2002-01-29,583065000
2002-01-30,565110000
2002-01-31,570780000
2002-02-01,575505000
2002-02-04,575505000
2002-02-05,571725000
2002-02-06,563220000
2002-02-07,569835000
2002-02-08,579285000
2002-02-11,598185000
2002-02-12,618030000
2002-02-13,604800000
2002-02-14,599130000
2002-02-15,603855000
2002-02-19,583065000
2002-02-20,576450000
2002-02-21,564165000
2002-02-22,559440000
2002-02-25,600075000
2002-02-26,594405000
2002-02-27,595350000
2002-02-28,589680000
2002-03-01,605745000
2002-03-04,633150000
2002-03-05,609525000
2002-03-06,621810000
2002-03-07,602910000
2002-03-08,614250000
2002-03-11,618030000
2002-03-12,609525000
2002-03-13,611415000
2002-03-14,618975000
2002-03-15,644490000
