,IEX
2000-01-03,895674285
2000-01-04,854961817
2000-01-05,850957312
2000-01-06,850957312
2000-01-07,874984342
2000-01-10,884328187
2000-01-11,884328187
2000-01-12,886330440
2000-01-13,901013625
2000-01-14,913694557
2000-01-18,903015877
2000-01-19,913694557
2000-01-20,930379995
2000-01-21,912359722
2000-01-24,874984342
2000-01-25,834271875
2000-01-26,826930282
2000-01-27,802903252
2000-01-28,808242592
2000-01-31,796896495
2000-02-01,788220067
2000-02-02,741500842
2000-02-03,736161502
2000-02-04,746840182
2000-02-07,786217815
2000-02-08,796896495
2000-02-09,793559407
2000-02-10,778876222
2000-02-11,760188532
2000-02-14,717473812
2000-02-15,686105190
2000-02-16,719476065
2000-02-17,710132220
2000-02-18,708129967
2000-02-22,712134472
2000-02-23,730154745
2000-02-24,686105190
2000-02-25,684102937
2000-02-28,704792880
2000-02-29,734159250
2000-03-01,763525620
2000-03-02,745505347
2000-03-03,752846940
2000-03-06,756184027
2000-03-07,765527872
2000-03-08,769532377
2000-03-09,769532377
2000-03-10,758186280
2000-03-13,756184027
2000-03-14,745505347
2000-03-15,754849192
2000-03-16,812247097
2000-03-17,826930282
2000-03-20,822925777
2000-03-21,815584185
2000-03-22,828932535
2000-03-23,819588690
2000-03-24,838276380
2000-03-27,834271875
2000-03-28,813581932
2000-03-29,821590942
2000-03-30,800901000
2000-03-31,817125277
2000-04-03,809703000
2000-04-04,805654485
2000-04-05,813751515
2000-04-06,821173792
2000-04-07,817125277
2000-04-10,809703000
2000-04-11,804304980
2000-04-12,813751515
2000-04-13,813751515
2000-04-14,815101020
2000-04-17,836018347
2000-04-18,877178250
2000-04-19,899445082
2000-04-20,862333695
2000-04-24,854911417
2000-04-25,916313895
2000-04-26,899445082
2000-04-27,929808945
2000-04-28,937231222
2000-05-01,974342610
2000-05-02,954100035
2000-05-03,927784687
2000-05-04,933182707
2000-05-05,959498055
2000-05-08,957473797
2000-05-09,965570827
2000-05-10,942629242
2000-05-11,966920332
2000-05-12,966920332
2000-05-15,966920332
2000-05-16,965570827
2000-05-17,963546570
2000-05-18,959498055
2000-05-19,937231222
2000-05-22,966920332
2000-05-23,966920332
2000-05-24,1012128750
2000-05-25,980415382
2000-05-26,982439640
2000-05-30,987837660
2000-05-31,1000657957
2000-06-01,1023599542
2000-06-02,1028997562
2000-06-05,1016177265
2000-06-06,1008080235
2000-06-07,1004706472
2000-06-08,1004706472
2000-06-09,1002682215
2000-06-12,966920332
2000-06-13,993235680
2000-06-14,982439640
2000-06-15,999308452
2000-06-16,985813402
2000-06-19,995259937
2000-06-20,983789145
2000-06-21,985813402
2000-06-22,968944590
2000-06-23,942629242
2000-06-26,968944590
2000-06-27,966920332
2000-06-28,999308452
2000-06-29,982439640
2000-06-30,938148300
2000-07-03,960899400
2000-07-05,960899400
2000-07-06,981643050
2000-07-07,981643050
2000-07-10,972274950
2000-07-11,977628150
2000-07-12,992349450
2000-07-13,991011150
2000-07-14,986996250
2000-07-17,979635600
2000-07-18,1001717550
2000-07-19,981643050
2000-07-20,984988800
2000-07-21,974282400
2000-07-24,972274950
2000-07-25,979635600
2000-07-26,981643050
2000-07-27,972274950
2000-07-28,968260050
2000-07-31,981643050
2000-08-01,981643050
2000-08-02,968260050
2000-08-03,962906850
2000-08-04,955546200
2000-08-07,962906850
2000-08-08,960899400
2000-08-09,960899400
2000-08-10,970267500
2000-08-11,975620700
2000-08-14,981643050
2000-08-15,968260050
2000-08-16,970267500
2000-08-17,960899400
2000-08-18,966252600
2000-08-21,958891950
2000-08-22,942163200
2000-08-23,938817450
2000-08-24,924096150
2000-08-25,931456800
2000-08-28,914728050
2000-08-29,901345050
2000-08-30,901345050
2000-08-31,903352500
2000-09-01,891976950
2000-09-05,901345050
2000-09-06,899337600
2000-09-07,903352500
2000-09-08,905359950
2000-09-11,884616300
2000-09-12,907367400
2000-09-13,912720600
2000-09-14,905359950
2000-09-15,884616300
2000-09-18,864541800
2000-09-19,855173700
2000-09-20,857181150
2000-09-21,831084300
2000-09-22,795619350
2000-09-25,786251250
2000-09-26,747440550
2000-09-27,747440550
2000-09-28,790266150
2000-09-29,831084300
2000-10-02,836225730
2000-10-03,867743460
2000-10-04,862378740
2000-10-05,847625760
2000-10-06,834213960
2000-10-09,830861010
2000-10-10,808731540
2000-10-11,826837470
2000-10-12,810072720
2000-10-13,825496290
2000-10-16,817449210
2000-10-17,821472750
2000-10-18,821472750
2000-10-19,855002250
2000-10-20,843602220
2000-10-23,869755230
2000-10-24,890543520
2000-10-25,875790540
2000-10-26,888531750
2000-10-27,901272960
2000-10-30,920049480
2000-10-31,960955470
2000-11-01,940837770
2000-11-02,922061250
2000-11-03,905296500
2000-11-06,895908240
2000-11-07,903284730
2000-11-08,907308270
2000-11-09,899931780
2000-11-10,893896470
2000-11-13,892555290
2000-11-14,893896470
2000-11-15,905296500
2000-11-16,914684760
2000-11-17,940837770
2000-11-20,934802460
2000-11-21,933461280
2000-11-22,914684760
2000-11-24,940837770
2000-11-27,951567210
2000-11-28,944190720
2000-11-29,970343730
2000-11-30,962967240
2000-12-01,987108480
2000-12-04,1001861460
2000-12-05,1065567510
2000-12-06,985096710
2000-12-07,972355500
2000-12-08,1030026240
2000-12-11,1039414500
2000-12-12,1018626210
2000-12-13,993143790
2000-12-14,989120250
2000-12-15,993143790
2000-12-18,1001861460
2000-12-19,985096710
2000-12-20,940837770
2000-12-21,888531750
2000-12-22,905296500
2000-12-26,927425970
2000-12-27,1005885000
2000-12-28,1022649750
2000-12-29,987108480
2001-01-02,944905500
2001-01-03,990125977
2001-01-04,1014423547
2001-01-05,956379352
2001-01-08,952329757
2001-01-09,940855905
2001-01-10,965828407
2001-01-11,965828407
2001-01-12,963803610
2001-01-16,928032187
2001-01-17,930056985
2001-01-18,946930297
2001-01-19,961778812
2001-01-22,946930297
2001-01-23,997550235
2001-01-24,991475842
2001-01-25,993500640
2001-01-26,971227867
2001-01-29,973252665
2001-01-30,967178272
2001-01-31,909809010
2001-02-01,919258065
2001-02-02,888211170
2001-02-05,904409550
2001-02-06,934106580
2001-02-07,929382052
2001-02-08,926007390
2001-02-09,892935697
2001-02-12,921282862
2001-02-13,942205770
2001-02-14,944905500
2001-02-15,969203070
2001-02-16,950979892
2001-02-20,948280162
2001-02-21,948280162
2001-02-22,948280162
2001-02-23,957054285
2001-02-26,965828407
2001-02-27,959754015
2001-02-28,957729217
2001-03-01,934106580
2001-03-02,900359955
2001-03-05,882136777
2001-03-06,892260765
2001-03-07,890910900
2001-03-08,896985292
2001-03-09,890910900
2001-03-12,872687722
2001-03-13,892260765
2001-03-14,869313060
2001-03-15,857164275
2001-03-16,836916300
2001-03-19,888211170
2001-03-20,846365355
2001-03-21,842990692
2001-03-22,842990692
2001-03-23,857839207
2001-03-26,853114680
2001-03-27,869313060
2001-03-28,817343257
2001-03-29,831516840
2001-03-30,869313060
2001-04-02,844212712
2001-04-03,830651062
2001-04-04,843534630
2001-04-05,858452445
2001-04-06,836753805
2001-04-09,842178465
2001-04-10,871336012
2001-04-11,852349702
2001-04-12,870657930
2001-04-16,877438755
2001-04-17,878794920
2001-04-18,919479870
2001-04-19,928294942
2001-04-20,928294942
2001-04-23,920836035
2001-04-24,929651107
2001-04-25,934397685
2001-04-26,977794965
2001-04-27,970336057
2001-04-30,946603170
2001-05-01,960842902
2001-05-02,956096325
2001-05-03,960164820
2001-05-04,964233315
2001-05-07,958808655
2001-05-08,960164820
2001-05-09,956774407
2001-05-10,940500427
2001-05-11,933719602
2001-05-14,931685355
2001-05-15,943212757
2001-05-16,979151130
2001-05-17,973726470
2001-05-18,977116882
2001-05-21,988644285
2001-05-22,992034697
2001-05-23,985253872
2001-05-24,988644285
2001-05-25,980507295
2001-05-29,973726470
2001-05-30,971692222
2001-05-31,975082635
2001-06-01,1017801832
2001-06-04,1013733337
