,IFF
2000-01-03,3707627840
2000-01-04,3662794320
2000-01-05,3695116160
2000-01-06,3779570000
2000-01-07,3890089840
2000-01-10,3793124320
2000-01-11,3799380160
2000-01-12,3785825840
2000-01-13,3851512160
2000-01-14,3851512160
2000-01-18,3799380160
2000-01-19,3825446160
2000-01-20,3837957840
2000-01-21,3819190320
2000-01-24,3733693840
2000-01-25,3714926320
2000-01-26,3773314160
2000-01-27,3759759840
2000-01-28,3740992320
2000-01-31,3721182160
2000-02-01,3695116160
2000-02-02,3681561840
2000-02-03,3773314160
2000-02-04,3701372000
2000-02-07,3649240000
2000-02-08,3603363840
2000-02-09,3473033840
2000-02-10,3492844000
2000-02-11,3394835840
2000-02-14,3382324160
2000-02-15,3492844000
2000-02-16,3454266320
2000-02-17,3376068320
2000-02-18,3310382000
2000-02-22,3304126160
2000-02-23,3160241840
2000-02-24,3153986000
2000-02-25,3101854000
2000-02-28,3108109840
2000-02-29,3127920000
2000-03-01,3121664160
2000-03-02,3055977840
2000-03-03,3127920000
2000-03-06,3115408320
2000-03-07,3037210320
2000-03-08,3115408320
2000-03-09,3206118000
2000-03-10,3258250000
2000-03-13,3232184000
2000-03-14,3245738320
2000-03-15,3525165840
2000-03-16,3688860320
2000-03-17,3649240000
2000-03-20,3590852160
2000-03-21,3629429840
2000-03-22,3486588160
2000-03-23,3571042000
2000-03-24,3564786160
2000-03-27,3434456160
2000-03-28,3408390160
2000-03-29,3512654160
2000-03-30,3525165840
2000-03-31,3588706540
2000-04-03,3665475790
2000-04-04,3653192710
2000-04-05,3602013210
2000-04-06,3563116790
2000-04-07,3563116790
2000-04-10,3621461420
2000-04-11,3755551710
2000-04-12,3716655290
2000-04-13,3781141460
2000-04-14,3576423460
2000-04-17,3729961960
2000-04-18,3608154750
2000-04-19,3519102420
2000-04-20,3556975250
2000-04-24,3608154750
2000-04-25,3684924000
2000-04-26,3602013210
2000-04-27,3556975250
2000-04-28,3525243960
2000-05-01,3537527040
2000-05-02,3511937290
2000-05-03,3474064460
2000-05-04,3460757790
2000-05-05,3442333170
2000-05-08,3467922920
2000-05-09,3480206000
2000-05-10,3467922920
2000-05-11,3448474710
2000-05-12,3442333170
2000-05-15,3326667500
2000-05-16,3383988540
2000-05-17,3358398790
2000-05-18,3294936210
2000-05-19,3371705460
2000-05-22,3432097270
2000-05-23,3352257250
2000-05-24,3445403939
2000-05-25,3397295210
2000-05-26,3435168040
2000-05-30,3493512670
2000-05-31,3480206000
2000-06-01,3511937290
2000-06-02,3499654210
2000-06-05,3442333170
2000-06-06,3480206000
2000-06-07,3467922920
2000-06-08,3467922920
2000-06-09,3467922920
2000-06-12,3448474710
2000-06-13,3454616250
2000-06-14,3505795750
2000-06-15,3275488000
2000-06-16,3275488000
2000-06-19,3243756710
2000-06-20,3160845920
2000-06-21,3121949500
2000-06-22,3109666420
2000-06-23,2987859210
2000-06-26,2968411000
2000-06-27,3051321790
2000-06-28,3058486920
2000-06-29,3128091040
2000-06-30,3013958270
2000-07-03,3069864750
2000-07-05,2964041770
2000-07-06,2895157000
2000-07-07,2908135290
2000-07-10,2939083520
2000-07-11,2939083520
2000-07-12,2876188730
2000-07-13,2908135290
2000-07-14,2926105230
2000-07-17,2814292270
2000-07-18,2851230480
2000-07-19,2814292270
2000-07-20,2758385790
2000-07-21,2726439230
2000-07-24,2720449250
2000-07-25,2758385790
2000-07-26,2695491000
2000-07-27,2670532750
2000-07-28,2695491000
2000-07-31,2670532750
2000-08-01,2714459270
2000-08-02,2651564480
2000-08-03,2626606230
2000-08-04,2639584520
2000-08-07,2608636290
2000-08-08,2620616250
2000-08-09,2595658000
2000-08-10,2589668020
2000-08-11,2614626270
2000-08-14,2583678040
2000-08-15,2558719790
2000-08-16,2545741500
2000-08-17,2570699750
2000-08-18,2589668020
2000-08-21,2589668020
2000-08-22,2595658000
2000-08-23,2608636290
2000-08-24,2583678040
2000-08-25,2595658000
2000-08-28,2595658000
2000-08-29,2595658000
2000-08-30,2595658000
2000-08-31,2570699750
2000-09-01,2545741500
2000-09-05,2570699750
2000-09-06,2545741500
2000-09-07,2489835020
2000-09-08,2489835020
2000-09-11,2501814980
2000-09-12,2526773230
2000-09-13,2533761540
2000-09-14,2359053790
2000-09-15,2359053790
2000-09-18,2352065480
2000-09-19,2321117250
2000-09-20,2327107230
2000-09-21,2321117250
2000-09-22,2352065480
2000-09-25,2071534750
2000-09-26,1741087520
2000-09-27,1760055790
2000-09-28,1840920520
2000-09-29,1821952250
2000-10-02,1731482786
2000-10-03,1743103476
2000-10-04,1791523017
2000-10-05,1755692556
2000-10-06,1767313246
2000-10-09,1785712672
2000-10-10,1791523017
2000-10-11,1779902327
2000-10-12,1748913820
2000-10-13,1700494279
2000-10-16,1640454049
2000-10-17,1573635082
2000-10-18,1610433933
2000-10-19,1573635082
2000-10-20,1525215541
2000-10-23,1525215541
2000-10-24,1519405196
2000-10-25,1465175310
2000-10-26,1465175310
2000-10-27,1519405196
2000-10-30,1634643704
2000-10-31,1622054623
2000-11-01,1616244278
2000-11-02,1603655197
2000-11-03,1592034508
2000-11-06,1634643704
2000-11-07,1634643704
2000-11-08,1664663819
2000-11-09,1688873590
2000-11-10,1713083360
2000-11-13,1737293131
2000-11-14,1737293131
2000-11-15,1773123591
2000-11-16,1785712672
2000-11-17,1821543132
2000-11-20,1785712672
2000-11-21,1828321868
2000-11-22,1791523017
2000-11-24,1815732787
2000-11-27,1761502901
2000-11-28,1809922442
2000-11-29,1828321868
2000-11-30,1809922442
2000-12-01,1925160950
2000-12-04,1925160950
2000-12-05,1942591984
2000-12-06,1894172443
2000-12-07,1918382214
2000-12-08,1955181065
2000-12-11,1942591984
2000-12-12,1894172443
2000-12-13,1900951179
2000-12-14,1906761524
2000-12-15,1755692556
2000-12-18,1852531638
2000-12-19,1852531638
2000-12-20,1804112097
2000-12-21,1869962673
2000-12-22,1912571869
2000-12-26,1925160950
2000-12-27,1942591984
2000-12-28,2009410951
2000-12-29,1966801755
2001-01-02,1963926000
2001-01-03,2018237039
2001-01-04,2012418000
2001-01-05,2042483039
2001-01-08,2085156000
2001-01-09,2073517920
2001-01-10,2079336960
2001-01-11,2085156000
2001-01-12,2109402000
2001-01-16,2139467039
2001-01-17,2133648000
2001-01-18,2139467039
2001-01-19,2139467039
2001-01-22,2133648000
2001-01-23,2133648000
2001-01-24,2115221039
2001-01-25,2085156000
2001-01-26,2060910000
2001-01-29,2064789360
2001-01-30,2090975039
2001-01-31,2140436880
2001-02-01,2158863840
2001-02-02,2134617840
2001-02-05,2133648000
2001-02-06,2155954320
2001-02-07,2159833680
2001-02-08,2167592400
2001-02-09,2120070240
2001-02-12,2122009920
2001-02-13,2153044800
2001-02-14,2095824240
2001-02-15,2092914719
2001-02-16,2104552800
2001-02-20,2186019360
2001-02-21,2144316240
2001-02-22,2094854400
2001-02-23,2058970320
2001-02-26,2073517920
2001-02-27,2070608400
2001-02-28,1960046640
2001-03-01,2010478320
2001-03-02,2014357680
2001-03-05,2043452880
2001-03-06,2051211599
2001-03-07,2069638560
2001-03-08,2140436880
2001-03-09,2128798800
2001-03-12,2075457599
2001-03-13,2039573520
2001-03-14,2012418000
2001-03-15,1987202159
2001-03-16,1992051360
2001-03-19,2084186159
2001-03-20,2114251200
2001-03-21,2085156000
2001-03-22,2034724320
2001-03-23,2066729039
2001-03-26,2065759200
2001-03-27,2065759200
2001-03-28,2017267200
2001-03-29,2098733760
2001-03-30,2139467039
2001-04-02,2091311040
2001-04-03,2034815000
2001-04-04,2112377359
2001-04-05,2157382680
2001-04-06,2133443680
2001-04-09,2143976840
2001-04-10,2217708960
2001-04-11,2165043160
2001-04-12,2164085600
2001-04-16,2148764640
2001-04-17,2153552440
2001-04-18,2220581640
2001-04-19,2203345560
2001-04-20,2149722200
2001-04-23,2097056399
2001-04-24,2073117399
2001-04-25,2094183720
2001-04-26,2174618760
2001-04-27,2253138680
2001-04-30,2367088320
2001-05-01,2356555160
2001-05-02,2374748800
2001-05-03,2346022000
2001-05-04,2391984880
2001-05-07,2393900000
2001-05-08,2413051200
2001-05-09,2447523360
2001-05-10,2585412000
2001-05-11,2534661320
2001-05-14,2506892080
2001-05-15,2477207720
2001-05-16,2594987600
2001-05-17,2654356320
2001-05-18,2627544640
2001-05-21,2689786040
2001-05-22,2637120240
2001-05-23,2617011480
2001-05-24,2562430560
2001-05-25,2548067160
2001-05-29,2550939840
2001-05-30,2545194480
2001-05-31,2513595000
2001-06-01,2497316480
2001-06-04,2498274040
2001-06-05,2541364240
2001-06-06,2539449120
2001-06-07,2561473000
2001-06-08,2570091040
2001-06-11,2537534000
2001-06-12,2533703760
2001-06-13,2539449120
2001-06-14,2472419920
2001-06-15,2475292600
2001-06-18,2446565800
2001-06-19,2427414600
2001-06-20,2435075080
2001-06-21,2440820440
2001-06-22,2408263400
2001-06-25,2341234200
2001-06-26,2358470280
2001-06-27,2390069760
2001-06-28,2393900000
2001-06-29,2406348280
2001-07-02,2473549970
2001-07-03,2479277990
2001-07-05,2438227180
2001-07-06,2387629670
2001-07-09,2441091190
2001-07-10,2429635150
2001-07-11,2463048600
2001-07-12,2482142000
2001-07-13,2484051340
2001-07-16,2485006010
2001-07-17,2492643370
2001-07-18,2600521080
2001-07-19,2673076000
2001-07-20,2673076000
2001-07-23,2684532040
2001-07-24,2686441380
2001-07-25,2672121330
2001-07-26,2667347980
2001-07-27,2657801280
2001-07-30,2723673510
2001-07-31,2780953710
2001-08-01,2780953710
2001-08-02,2855417970
2001-08-03,2802911120
2001-08-06,2817231170
2001-08-07,2862100660
2001-08-08,2813412490
2001-08-09,2774271020
2001-08-10,2757086960
2001-08-13,2782863050
2001-08-14,2783817720
2001-08-15,2823913860
2001-08-16,2984298420
2001-08-17,2969023700
2001-08-20,2969023700
2001-08-21,2973797050
2001-08-22,2990981110
2001-08-23,2966159690
2001-08-24,2945156950
2001-08-27,2930836900
2001-08-28,2910788830
2001-08-29,2887876750
2001-08-30,2885967410
2001-08-31,2878330050
2001-09-04,2878330050
2001-09-05,2874511370
2001-09-06,2860191320
2001-09-07,2816276500
2001-09-10,2780953710
2001-09-17,2732265540
2001-09-18,2688350720
2001-09-19,2596702400
2001-09-20,2578563670
2001-09-21,2436317840
2001-09-24,2464003270
2001-09-25,2597657070
2001-09-26,2587155700
2001-09-27,2597657070
2001-09-28,2643481230
2001-10-01,2602521020
2001-10-02,2640334620
2001-10-03,2421961080
2001-10-04,2404944960
2001-10-05,2533511200
2001-10-08,2487189540
2001-10-09,2518385760
2001-10-10,2566598100
2001-10-11,2580778200
2001-10-12,2554308680
2001-10-15,2533511200
2001-10-16,2545800620
2001-10-17,2544855280
2001-10-18,2567543440
2001-10-19,2638443940
2001-10-22,2649788020
2001-10-23,2634662580
2001-10-24,2582668880
2001-10-25,2646952000
2001-10-26,2660186760
2001-10-29,2665858800
2001-10-30,2654514720
2001-10-31,2695164340
2001-11-01,2741486000
2001-11-02,2733923280
2001-11-05,2767955520
2001-11-06,2801987760
