,IGT
2000-01-03,455590170
2000-01-04,451149720
2000-01-05,448485450
2000-01-06,451149720
2000-01-07,451149720
2000-01-10,449373539
2000-01-11,468911520
2000-01-12,484009050
2000-01-13,483120960
2000-01-14,481344780
2000-01-18,477792420
2000-01-19,476016240
2000-01-20,496442310
2000-01-21,486673320
2000-01-24,466247250
2000-01-25,456478260
2000-01-26,452037810
2000-01-27,451149720
2000-01-28,439604550
2000-01-31,436940280
2000-02-01,453813990
2000-02-02,458254440
2000-02-03,451149720
2000-02-04,444045000
2000-02-07,436940280
2000-02-08,431611740
2000-02-09,428947470
2000-02-10,420066570
2000-02-11,429835560
2000-02-14,429835560
2000-02-15,421842750
2000-02-16,412073760
2000-02-17,420066570
2000-02-18,402304770
2000-02-22,394311960
2000-02-23,397864320
2000-02-24,395200050
2000-02-25,394311960
2000-02-28,387207240
2000-02-29,395200050
2000-03-01,392535780
2000-03-02,401416679
2000-03-03,412073760
2000-03-06,404080950
2000-03-07,412073760
2000-03-08,414738030
2000-03-09,413849940
2000-03-10,429835560
2000-03-13,414738030
2000-03-14,421842750
2000-03-15,424507020
2000-03-16,436052190
2000-03-17,446709270
2000-03-20,438716460
2000-03-21,433387920
2000-03-22,436052190
2000-03-23,438716460
2000-03-24,439604550
2000-03-27,436052190
2000-03-28,429835560
2000-03-29,421842750
2000-03-30,433387920
2000-03-31,481344780
2000-04-03,468911520
2000-04-04,449373539
2000-04-05,493778039
2000-04-06,507987480
2000-04-07,530189730
2000-04-10,513316020
2000-04-11,512427929
2000-04-12,512427929
2000-04-13,496442310
2000-04-14,488449500
2000-04-17,498218490
2000-04-18,524861190
2000-04-19,545287260
2000-04-20,582587040
2000-04-24,550615800
2000-04-25,560384790
2000-04-26,555056250
2000-04-27,537294450
2000-04-28,540846810
2000-05-01,559496700
2000-05-02,555056250
2000-05-03,549727710
2000-05-04,572818050
2000-05-05,557720520
2000-05-08,560384790
2000-05-09,577258500
2000-05-10,572818050
2000-05-11,579034680
2000-05-12,613670190
2000-05-15,613670190
2000-05-16,609229740
2000-05-17,571929960
2000-05-18,603901200
2000-05-19,611005920
2000-05-22,592356030
2000-05-23,595020300
2000-05-24,588803670
2000-05-25,602125020
2000-05-26,609229740
2000-05-30,613670190
2000-05-31,602125020
2000-06-01,618998730
2000-06-02,618998730
2000-06-05,618998730
2000-06-06,616334460
2000-06-07,613670190
2000-06-08,609229740
2000-06-09,614558280
2000-06-12,617222550
2000-06-13,611894010
2000-06-14,618998730
2000-06-15,618998730
2000-06-16,616334460
2000-06-19,621663000
2000-06-20,621663000
2000-06-21,634096260
2000-06-22,617222550
2000-06-23,611005920
2000-06-26,626103450
2000-06-27,618998730
2000-06-28,628767720
2000-06-29,628767720
2000-06-30,588803670
2000-07-03,607453560
2000-07-05,606565470
2000-07-06,596796480
2000-07-07,596796480
2000-07-10,606565470
2000-07-11,603901200
2000-07-12,602125020
2000-07-13,597684570
2000-07-14,609229740
2000-07-17,624327270
2000-07-18,611005920
2000-07-19,621663000
2000-07-20,638536710
2000-07-21,641200980
2000-07-24,653634240
2000-07-25,655410420
2000-07-26,668731770
2000-07-27,664291320
2000-07-28,661627050
2000-07-31,658962780
2000-08-01,660738960
2000-08-02,660738960
2000-08-03,656298510
2000-08-04,649193790
2000-08-07,656298510
2000-08-08,658962780
2000-08-09,664291320
2000-08-10,650969970
2000-08-11,653634240
2000-08-14,663403230
2000-08-15,650969970
2000-08-16,658074690
2000-08-17,666067500
2000-08-18,664291320
2000-08-21,656298510
2000-08-22,661627050
2000-08-23,635872440
2000-08-24,649193790
2000-08-25,650969970
2000-08-28,642089070
2000-08-29,649193790
2000-08-30,638536710
2000-08-31,643865250
2000-09-01,643865250
2000-09-05,648305700
2000-09-06,658074690
2000-09-07,678500760
2000-09-08,675836490
2000-09-11,673172220
2000-09-12,690045930
2000-09-13,690934020
2000-09-14,696262560
2000-09-15,702479190
2000-09-18,681165030
2000-09-19,677612670
2000-09-20,668731770
2000-09-21,668731770
2000-09-22,675836490
2000-09-25,693598290
2000-09-26,695374470
2000-09-27,725569530
2000-09-28,766421670
2000-09-29,746883690
2000-10-02,732674250
2000-10-03,728233799
2000-10-04,735338520
2000-10-05,749547960
2000-10-06,740667060
2000-10-09,764645490
2000-10-10,774414480
2000-10-11,738002790
2000-10-12,745107510
2000-10-13,749547960
2000-10-16,754876500
2000-10-17,785071560
2000-10-18,817042799
2000-10-19,809049990
2000-10-20,819707070
2000-10-23,829476060
2000-10-24,835692690
2000-10-25,845461680
2000-10-26,838356960
2000-10-27,836580780
2000-10-30,824147520
2000-10-31,813490440
2000-11-01,803721450
2000-11-02,811714260
2000-11-03,818818980
2000-11-06,826811790
2000-11-07,856118760
2000-11-08,873880560
2000-11-09,855230670
2000-11-10,836580780
2000-11-13,833916510
2000-11-14,865887750
2000-11-15,875656740
2000-11-16,896082810
2000-11-17,914732700
2000-11-20,918285060
2000-11-21,928054049
2000-11-22,910292250
2000-11-24,915620790
2000-11-27,897858990
2000-11-28,920061240
2000-11-29,962689560
2000-11-30,991108440
2000-12-01,1007094060
2000-12-04,1001765520
2000-12-05,999101250
2000-12-06,1003541700
2000-12-07,1008870240
2000-12-08,1043505750
2000-12-11,1068372270
2000-12-12,1060379460
2000-12-13,1061267549
2000-12-14,1058603280
2000-12-15,1058603280
2000-12-18,1077253170
2000-12-19,996436980
2000-12-20,928054049
2000-12-21,978675180
2000-12-22,960025290
2000-12-26,966241920
2000-12-27,1018639230
2000-12-28,1068372270
2000-12-29,1065708000
2001-01-02,1061267549
2001-01-03,1086134070
2001-01-04,1093238790
2001-01-05,1057715190
2001-01-08,1053274740
2001-01-09,1035512940
2001-01-10,1055050920
2001-01-11,1014198780
2001-01-12,1057715190
2001-01-16,1063931820
2001-01-17,1058603280
2001-01-18,1032848670
2001-01-19,974234730
2001-01-22,993772710
2001-01-23,1018639230
2001-01-24,1000877430
2001-01-25,1023079680
2001-01-26,1053274740
2001-01-29,1073700810
2001-01-30,1057715190
2001-01-31,1063043730
2001-02-01,1074588900
2001-02-02,1081693620
2001-02-05,1110112500
2001-02-06,1145636100
2001-02-07,1149188460
2001-02-08,1114552950
2001-02-09,1111888680
2001-02-12,1126986210
2001-02-13,1143859920
2001-02-14,1164285990
2001-02-15,1165174080
2001-02-16,1143859920
2001-02-20,1188264420
2001-02-21,1175831160
2001-02-22,1195369140
2001-02-23,1191816780
2001-02-26,1212242850
2001-02-27,1210466670
2001-02-28,1198921500
2001-03-01,1203361950
2001-03-02,1195369140
2001-03-05,1238885550
2001-03-06,1256647350
2001-03-07,1260199710
2001-03-08,1253094990
2001-03-09,1235333190
2001-03-12,1209578580
2001-03-13,1160733630
2001-03-14,1156293180
2001-03-15,1165174080
2001-03-16,1120769580
2001-03-19,1058603280
2001-03-20,1087910250
2001-03-21,1090574520
2001-03-22,1029296310
2001-03-23,1031072490
2001-03-26,1090574520
2001-03-27,1116329130
2001-03-28,1074588900
2001-03-29,1105672050
2001-03-30,1118105310
2001-04-02,1084357890
2001-04-03,1055939010
2001-04-04,1051498560
2001-04-05,1118105310
2001-04-06,1087022160
2001-04-09,1148300370
2001-04-10,1196257230
2001-04-11,1182935880
2001-04-12,1198921500
2001-04-16,1190928690
2001-04-17,1214907120
2001-04-18,1286842410
2001-04-19,1211354760
2001-04-20,1234445100
2001-04-23,1261975890
2001-04-24,1269968700
2001-04-25,1265528250
2001-04-26,1270856790
2001-04-27,1263752070
2001-04-30,1241549820
2001-05-01,1232668920
2001-05-02,1254871170
2001-05-03,1226452290
2001-05-04,1221123750
2001-05-07,1227340380
2001-05-08,1214019030
2001-05-09,1198033410
2001-05-10,1220235660
2001-05-11,1201585770
2001-05-14,1193592960
2001-05-15,1188264420
2001-05-16,1233557010
2001-05-17,1267304430
2001-05-18,1328582640
2001-05-21,1381868040
2001-05-22,1373875230
2001-05-23,1359665790
2001-05-24,1362330060
2001-05-25,1344568260
2001-05-29,1341015900
2001-05-30,1321477920
2001-05-31,1364106240
2001-06-01,1406734560
2001-06-04,1428048719
2001-06-05,1428936810
2001-06-06,1450250969
2001-06-07,1446698610
2001-06-08,1443146250
2001-06-11,1422720180
2001-06-12,1423608270
2001-06-13,1416503550
2001-06-14,1371210960
2001-06-15,1395189390
2001-06-18,1414727370
2001-06-19,1404070290
2001-06-20,1389860850
2001-06-21,1408510740
2001-06-22,1398741750
2001-06-25,1372099050
2001-06-26,1367658600
2001-06-27,1343680170
2001-06-28,1364106240
2001-06-29,1393413210
2001-07-02,1408510740
2001-07-03,1423608270
2001-07-05,1408510740
2001-07-06,1314373200
2001-07-09,1312597020
2001-07-10,1257535440
2001-07-11,1239773640
2001-07-12,1290394770
2001-07-13,1305492300
2001-07-16,1294835220
2001-07-17,1306380390
2001-07-18,1273521060
2001-07-19,1188264420
2001-07-20,1191816780
2001-07-23,1190928690
2001-07-24,1187376330
2001-07-25,1121657670
2001-07-26,1111000590
2001-07-27,1160733630
2001-07-30,1168726440
2001-07-31,1154517000
2001-08-01,1154517000
2001-08-02,1132314750
2001-08-03,1118105310
