,IP
2000-01-03,21431705000
2000-01-04,20902425000
2000-01-05,21626050000
2000-01-06,22060225000
2000-01-07,22639125000
2000-01-10,22589505000
2000-01-11,21551620000
2000-01-12,21191875000
2000-01-13,21191875000
2000-01-14,21576430000
2000-01-18,20153990000
2000-01-19,20273905000
2000-01-20,19575090000
2000-01-21,19355935000
2000-01-24,18727415000
2000-01-25,18437965000
2000-01-26,18632310000
2000-01-27,18462775000
2000-01-28,18487585000
2000-01-31,18392480000
2000-02-01,18562015000
2000-02-02,18417290000
2000-02-03,17859065000
2000-02-04,17619235000
2000-02-07,17209870000
2000-02-08,17379405000
2000-02-09,16651645000
2000-02-10,16895610000
2000-02-11,16486244999
2000-02-14,16387005000
2000-02-15,16821180000
2000-02-16,16676455000
2000-02-17,16411815000
2000-02-18,15663380000
2000-02-22,16027260000
2000-02-23,15543465000
2000-02-24,14600685000
2000-02-25,13901869999
2000-02-28,13852250000
2000-02-29,14216130000
2000-03-01,13781955000
2000-03-02,13562799999
2000-03-03,14021784999
2000-03-06,13492505000
2000-03-07,12888795000
2000-03-08,13906005000
2000-03-09,13418075000
2000-03-10,13951490000
2000-03-13,13901869999
2000-03-14,13203055000
2000-03-15,14141700000
2000-03-16,15518655000
2000-03-17,14699924999
2000-03-20,14675115000
2000-03-21,15084479999
2000-03-22,14385665000
2000-03-23,15109290000
2000-03-24,15229205000
2000-03-27,14819840000
2000-03-28,14555200000
2000-03-29,14608955000
2000-03-30,15493845000
2000-03-31,16806320000
2000-04-03,16831579999
2000-04-04,16343220000
2000-04-05,15825390000
2000-04-06,15875910000
2000-04-07,15581210000
2000-04-10,16760010000
2000-04-11,16978930000
2000-04-12,17151540000
2000-04-13,16785269999
2000-04-14,15774870000
2000-04-17,15728560000
2000-04-18,16069570000
2000-04-19,15627519999
2000-04-20,15383340000
2000-04-24,15728560000
2000-04-25,14646590000
2000-04-26,14692900000
2000-04-27,14718160000
2000-04-28,14448720000
2000-05-01,14545549999
2000-05-02,15113900000
2000-05-03,14865510000
2000-05-04,14545549999
2000-05-05,15012859999
2000-05-08,15038120000
2000-05-09,14646590000
2000-05-10,14473980000
2000-05-11,14473980000
2000-05-12,14486609999
2000-05-15,15825390000
2000-05-16,15383340000
2000-05-17,15358079999
2000-05-18,15332820000
2000-05-19,15433859999
2000-05-22,15012859999
2000-05-23,14499239999
2000-05-24,13981410000
2000-05-25,13442530000
2000-05-26,13244660000
2000-05-30,13884579999
2000-05-31,13686710000
2000-06-01,13366750000
2000-06-02,13661450000
2000-06-05,13783540000
2000-06-06,13392010000
2000-06-07,13135200000
2000-06-08,13295180000
2000-06-09,13147830000
2000-06-12,13295180000
2000-06-13,12949960000
2000-06-14,13417270000
2000-06-15,12878390000
2000-06-16,12975220000
2000-06-19,12579480000
2000-06-20,12507910000
2000-06-21,12335300000
2000-06-22,12432130000
2000-06-23,12238470000
2000-06-26,11720640000
2000-06-27,11745900000
2000-06-28,11905880000
2000-06-29,12040600000
2000-06-30,13407744000
2000-07-03,13913424000
2000-07-05,14000112000
2000-07-06,13831552000
2000-07-07,14139776000
2000-07-10,14505792000
2000-07-11,15517152000
2000-07-12,16022832000
2000-07-13,16331055999
2000-07-14,16109520000
2000-07-17,16205840000
