,IQV
2013-05-09,5167275990
2013-05-10,5201634510
2013-05-13,5315753880
2013-05-14,5451960870
2013-05-15,5583259500
2013-05-16,5626207650
2013-05-17,5585713680
2013-05-20,5568534420
2013-05-21,5528040450
2013-05-22,5478956850
2013-05-23,5521905000
2013-05-24,5525586270
2013-05-28,5574669870
2013-05-29,5456869230
2013-05-30,5429873250
2013-05-31,5404104360
2013-06-03,5470367220
2013-06-04,5299801710
2013-06-05,5258080650
2013-06-06,5304710070
2013-06-07,5272805730
2013-06-10,5355020760
2013-06-11,5393060550
2013-06-12,5276487000
2013-06-13,5264216100
2013-06-14,5287530810
2013-06-17,5341522770
2013-06-18,5385698010
2013-06-19,5373427110
2013-06-20,5318208060
2013-06-21,5422510710
2013-06-24,5315753880
2013-06-25,5276487000
2013-06-26,5156232180
2013-06-27,5194271970
2013-06-28,5222495040
2013-07-01,5537242850
2013-07-02,5551424380
2013-07-03,5623621260
2013-07-05,5574630520
2013-07-08,5663587390
2013-07-09,5632645870
2013-07-10,5622332030
2013-07-11,5578498210
2013-07-12,5608150500
2013-07-15,5627488950
2013-07-16,5639092020
2013-07-17,5650695090
2013-07-18,5677768920
2013-07-19,5681636610
2013-07-22,5746098110
2013-07-23,5713867360
2013-07-24,5610728960
2013-07-25,5605572040
2013-07-26,5578498210
2013-07-29,5604282810
2013-07-30,5593968970
2013-07-31,5782196550
2013-08-01,5967845670
2013-08-02,5829898060
2013-08-05,5844079590
2013-08-06,5924011850
2013-08-07,5871153420
2013-08-08,5850525740
2013-08-09,5884045720
2013-08-12,5876310340
2013-08-13,5850525740
2013-08-14,5840211900
2013-08-15,5769304250
2013-08-16,5693239680
2013-08-19,5713867360
2013-08-20,5709999670
2013-08-21,5672612000
2013-08-22,5628778180
2013-08-23,5612018190
2013-08-26,5599125890
2013-08-27,5559159760
2013-08-28,5670033540
2013-08-29,5659719700
2013-08-30,5577208980
2013-09-03,5556581300
2013-09-04,5573341290
2013-09-05,5568184370
2013-09-06,5520482860
2013-09-09,5563027450
2013-09-10,5642959710
2013-09-11,5637802790
2013-09-12,5733205810
2013-09-13,5720313510
2013-09-16,5730627350
2013-09-17,5771882710
2013-09-18,5813138070
2013-09-19,5672612000
2013-09-20,5765436560
2013-09-23,5783485780
2013-09-24,5770593480
2013-09-25,5761568870
2013-09-26,5814427300
2013-09-27,5792510390
2013-09-30,5797912560
2013-10-01,5770783290
2013-10-02,5689395480
2013-10-03,5587337750
2013-10-04,5681644260
2013-10-07,5496906850
2013-10-08,5371595460
2013-10-09,5454275140
2013-10-10,5499490590
2013-10-11,5455567010
2013-10-14,5428437740
2013-10-15,5424562130
2013-10-16,5570543440
2013-10-17,5623510110
2013-10-18,5675184910
2013-10-21,5681644260
2013-10-22,5698438570
2013-10-23,5659682470
2013-10-24,5755280850
2013-10-25,5724275970
2013-10-28,5671309300
2013-10-29,5654514990
2013-10-30,5604132060
2013-10-31,5424562130
2013-11-01,5610591410
2013-11-04,5710065400
2013-11-05,5695854830
2013-11-06,5684228000
2013-11-07,5690687350
2013-11-08,5695854830
2013-11-11,5681644260
2013-11-12,5702314180
2013-11-13,5732027190
2013-11-14,5680352390
2013-11-15,5681644260
2013-11-18,5595088970
2013-11-19,5536954820
2013-11-20,5539538560
2013-11-21,5587337750
2013-11-22,5569251570
2013-11-25,5516284900
2013-11-26,5555041000
2013-11-27,5553749130
2013-11-29,5579586530
2013-12-02,5527911730
2013-12-03,5471069450
2013-12-04,5418102780
2013-12-05,5409059690
2013-12-06,5429729610
2013-12-09,5521452380
2013-12-10,5649347510
2013-12-11,5654514990
2013-12-12,5822458090
2013-12-13,5809539390
2013-12-16,5832793050
2013-12-17,5841836140
2013-12-18,5901262160
2013-12-19,5834084920
2013-12-20,5867673540
2013-12-23,5968439400
2013-12-24,5994276800
2013-12-26,6004611760
2013-12-27,5994276800
2013-12-30,6000736150
2013-12-31,6019473320
2014-01-02,5949328400
2014-01-03,6012978420
2014-01-06,5979204940
2014-01-07,6077927420
2014-01-08,6159763160
2014-01-09,6214320320
2014-01-10,6314341780
2014-01-13,6385785680
2014-01-14,6365002000
2014-01-15,6429951000
2014-01-16,6466322440
2014-01-17,6362404040
2014-01-21,6254588700
2014-01-22,6236402980
2014-01-23,6201330520
2014-01-24,6002586580
2014-01-27,6045452920
2014-01-28,6144175400
2014-01-29,6031164140
