,ISRG
2000-06-16,180946079
2000-06-19,178272000
2000-06-20,185402880
2000-06-21,217491840
2000-06-22,195207840
2000-06-23,205904160
2000-06-26,197881920
2000-06-27,188076960
2000-06-28,190751040
2000-06-29,178272000
2000-06-30,327584250
2000-07-03,333823950
2000-07-05,346303350
2000-07-06,338503725
2000-07-07,355662899
2000-07-10,435219075
2000-07-11,441458775
2000-07-12,519455025
2000-07-13,580292100
2000-07-14,536614200
2000-07-17,541293975
2000-07-18,502295850
2000-07-19,485136675
2000-07-20,550653525
2000-07-21,594331425
2000-07-24,580292100
2000-07-25,558453150
2000-07-26,602131050
2000-07-27,594331425
2000-07-28,563132925
2000-07-31,653608575
2000-08-01,605250900
2000-08-02,591211575
2000-08-03,608370750
2000-08-04,591211575
2000-08-07,555333300
2000-08-08,545973750
2000-08-09,508535549
2000-08-10,511655399
2000-08-11,485136675
2000-08-14,485136675
2000-08-15,438338925
2000-08-16,474217200
2000-08-17,502295850
2000-08-18,485136675
2000-08-21,469537424
2000-08-22,458617950
2000-08-23,452378250
2000-08-24,446138550
2000-08-25,524134800
2000-08-28,497616075
2000-08-29,497616075
2000-08-30,519455025
2000-08-31,502295850
2000-09-01,480456900
2000-09-05,483576750
2000-09-06,477337050
2000-09-07,480456900
2000-09-08,485136675
2000-09-11,491376375
2000-09-12,517895100
2000-09-13,488256525
2000-09-14,505415700
2000-09-15,467977500
2000-09-18,450818325
2000-09-19,441458775
2000-09-20,402460650
2000-09-21,380621700
2000-09-22,413380125
2000-09-25,411820200
2000-09-26,411820200
2000-09-27,402460650
2000-09-28,407140425
2000-09-29,407140425
2000-10-02,415834560
2000-10-03,407928960
2000-10-04,404766720
2000-10-05,388955520
2000-10-06,365238720
2000-10-09,355752000
2000-10-10,332035200
2000-10-11,343103040
2000-10-12,343103040
2000-10-13,333616320
2000-10-16,360495359
2000-10-17,368400960
2000-10-18,333616320
2000-10-19,333616320
2000-10-20,351008640
2000-10-23,355752000
2000-10-24,368400960
2000-10-25,407928960
2000-10-26,434808000
2000-10-27,480660480
2000-10-30,518607359
2000-10-31,479079359
2000-11-01,447456960
2000-11-02,439551359
2000-11-03,479079359
2000-11-06,456943680
2000-11-07,456943680
2000-11-08,444294720
2000-11-09,491728320
2000-11-10,486984960
2000-11-13,464849280
2000-11-14,472754880
2000-11-15,464849280
2000-11-16,479079359
2000-11-17,474336000
2000-11-20,450619200
2000-11-21,464849280
2000-11-22,400023359
2000-11-24,360495359
2000-11-27,418996800
2000-11-28,377887680
2000-11-29,368400960
2000-11-30,412672320
2000-12-01,412672320
2000-12-04,373144320
2000-12-05,371563200
2000-12-06,316224000
2000-12-07,320967359
2000-12-08,336778560
2000-12-11,294088320
2000-12-12,300412800
2000-12-13,265628160
2000-12-14,265628160
2000-12-15,249816960
2000-12-18,248235840
2000-12-19,210288960
2000-12-20,207126720
2000-12-21,213451200
2000-12-22,224519040
2000-12-26,219775679
2000-12-27,227681280
2000-12-28,259303679
2000-12-29,298831680
2001-01-02,288341145
2001-01-03,309050730
2001-01-04,280375920
2001-01-05,274003740
2001-01-08,266038515
2001-01-09,277189830
2001-01-10,238956750
2001-01-11,288341145
2001-01-12,261259379
2001-01-16,283562010
2001-01-17,278782875
2001-01-18,283562010
2001-01-19,285155055
2001-01-22,256480245
2001-01-23,278782875
2001-01-24,285155055
2001-01-25,283562010
2001-01-26,280375920
2001-01-29,283562010
2001-01-30,277189830
2001-01-31,296306370
2001-02-01,304271595
2001-02-02,296306370
2001-02-05,296306370
2001-02-06,305864640
2001-02-07,299492460
2001-02-08,320202044
2001-02-09,261259379
2001-02-12,261259379
2001-02-13,251701110
2001-02-14,283562010
2001-02-15,288341145
2001-02-16,283562010
2001-02-20,301085505
2001-02-21,307457685
2001-02-22,305864640
2001-02-23,283562010
2001-02-26,283562010
2001-02-27,266038515
2001-02-28,256480245
2001-03-01,256480245
