,JCI
2000-01-03,548173772
2000-01-04,532651712
2000-01-05,520601693
2000-01-06,515087277
2000-01-07,522439831
2000-01-10,538983079
2000-01-11,502424545
2000-01-12,480366882
2000-01-13,503241495
2000-01-14,506917772
2000-01-18,562878880
2000-01-19,555526326
2000-01-20,553688187
2000-01-21,574724662
2000-01-24,555526326
2000-01-25,542659356
2000-01-26,576562801
2000-01-27,627009493
2000-01-28,619656939
2000-01-31,631706958
2000-02-01,604951830
2000-02-02,593922998
2000-02-03,599437414
2000-02-04,586774682
2000-02-07,573907712
2000-02-08,598620464
2000-02-09,602296741
2000-02-10,595761137
2000-02-11,575745850
2000-02-14,571048385
2000-02-15,559202603
2000-02-16,559202603
2000-02-17,582077217
2000-02-18,551850049
2000-02-22,561040742
2000-02-23,550011910
2000-02-24,535306802
2000-02-25,572069573
2000-02-28,574724662
2000-02-29,555526326
2000-03-01,566555157
2000-03-02,546335633
2000-03-03,590450959
2000-03-06,596782325
2000-03-07,575745850
2000-03-08,615980661
2000-03-09,630685770
2000-03-10,696654521
2000-03-13,689301967
2000-03-14,650905294
2000-03-15,681132462
2000-03-16,696654521
2000-03-17,700330798
2000-03-20,702168937
2000-03-21,704007076
2000-03-22,711359630
2000-03-23,724226600
2000-03-24,756291906
2000-03-27,741586798
2000-03-28,740769847
2000-03-29,731579154
2000-03-30,731579154
2000-03-31,735350004
2000-04-03,736167059
2000-04-04,694088698
2000-04-05,685713878
2000-04-06,700420878
2000-04-07,730651934
2000-04-10,727996503
2000-04-11,726158128
2000-04-12,683058448
2000-04-13,674683628
2000-04-14,649967697
2000-04-17,672845253
2000-04-18,639958767
2000-04-19,647312267
2000-04-20,658342517
2000-04-24,653644448
2000-04-25,705936003
2000-04-26,692250323
2000-04-27,691229003
2000-04-28,673866573
2000-05-01,701442198
2000-05-02,704097628
2000-05-03,685713878
2000-05-04,705118948
2000-05-05,724319753
2000-05-08,730651934
2000-05-09,726158128
2000-05-10,718804628
2000-05-11,714106559
2000-05-12,733511628
2000-05-15,744541879
2000-05-16,750057004
2000-05-17,741682184
2000-05-18,736167059
2000-05-19,696948392
2000-05-22,667534392
2000-05-23,617081211
2000-05-24,650989017
2000-05-25,666513073
2000-05-26,651806072
2000-05-30,683058448
2000-05-31,690411948
2000-06-01,712268184
2000-06-02,713289503
2000-06-05,692250323
2000-06-06,715944934
2000-06-07,704097628
2000-06-08,691229003
2000-06-09,678360378
2000-06-12,669372767
2000-06-13,692250323
2000-06-14,706957323
2000-06-15,716966253
2000-06-16,697765448
2000-06-19,683058448
2000-06-20,632605267
2000-06-21,650989017
2000-06-22,626273086
2000-06-23,634443642
2000-06-26,716966253
2000-06-27,694088698
2000-06-28,679381698
2000-06-29,680198753
2000-06-30,695808236
2000-07-03,711556982
2000-07-05,698671644
2000-07-06,680264019
2000-07-07,672082852
2000-07-10,682104781
2000-07-11,705012048
2000-07-12,712375099
2000-07-13,751849228
2000-07-14,788664479
2000-07-17,774756495
2000-07-18,793982237
2000-07-19,781301429
2000-07-20,780278783
2000-07-21,798686408
2000-07-24,818934796
2000-07-25,804208696
2000-07-26,808708338
2000-07-27,786823716
2000-07-28,773938379
2000-07-31,785801071
2000-08-01,797663763
2000-08-02,790505242
2000-08-03,783142191
2000-08-04,774756495
2000-08-07,795823000
2000-08-08,797663763
2000-08-09,785801071
2000-08-10,782119546
2000-08-11,802367933
2000-08-14,793164121
2000-08-15,780278783
2000-08-16,782119546
2000-08-17,819752913
2000-08-18,803186050
2000-08-21,818934796
2000-08-22,815253271
2000-08-23,806867575
2000-08-24,819752913
2000-08-25,837137892
2000-08-28,840819417
2000-08-29,834479013
2000-08-30,816071388
2000-08-31,837137892
2000-09-01,859227043
2000-09-05,855545518
2000-09-06,860249689
2000-09-07,859227043
2000-09-08,846341705
2000-09-11,825275200
2000-09-12,802367933
2000-09-13,807890221
2000-09-14,795004883
2000-09-15,790505242
2000-09-18,771074970
2000-09-19,756348870
2000-09-20,758189633
2000-09-21,756348870
2000-09-22,744486178
2000-09-25,766575329
2000-09-26,771074970
2000-09-27,779460666
2000-09-28,763711920
2000-09-29,761871158
2000-10-02,755767257
2000-10-03,755767257
2000-10-04,769557128
2000-10-05,789933206
2000-10-06,767704758
2000-10-09,770380404
2000-10-10,773261870
2000-10-11,750210145
2000-10-12,725100231
2000-10-13,753914887
2000-10-16,743623938
2000-10-17,692786653
2000-10-18,665206911
2000-10-19,703900877
2000-10-20,746505404
2000-10-23,761118551
2000-10-24,802693983
2000-10-25,809280190
2000-10-26,807427819
2000-10-27,809280190
2000-10-30,818542043
2000-10-31,837889026
2000-11-01,855383639
2000-11-02,837065750
2000-11-03,839741397
2000-11-06,849826527
2000-11-07,849003251
2000-11-08,835213380
2000-11-09,829656268
2000-11-10,800841612
2000-11-13,782523723
2000-11-14,784376094
2000-11-15,801870707
2000-11-16,817512948
2000-11-17,847974156
2000-11-20,820394414
2000-11-21,819365319
2000-11-22,814837302
2000-11-24,828627173
2000-11-27,829656268
2000-11-28,822246785
2000-11-29,805575448
2000-11-30,779642258
2000-12-01,802693983
2000-12-04,811955836
2000-12-05,855383639
2000-12-06,849826527
2000-12-07,838712302
2000-12-08,842417044
2000-12-11,855383639
2000-12-12,852707992
2000-12-13,846121785
2000-12-14,826774802
2000-12-15,835213380
2000-12-18,801870707
2000-12-19,774085146
2000-12-20,739095921
2000-12-21,740948292
2000-12-22,777789887
2000-12-26,796313594
2000-12-27,813808207
2000-12-28,821217690
2000-12-29,820394414
2001-01-02,782046946
2001-01-03,833827248
2001-01-04,841018957
2001-01-05,826430062
2001-01-08,806087800
2001-01-09,818005489
2001-01-10,838347751
2001-01-11,860539309
2001-01-12,874306294
2001-01-16,879854183
2001-01-17,862388605
2001-01-18,905744335
2001-01-19,902045742
2001-01-22,894648556
2001-01-23,915812727
2001-01-24,916634636
2001-01-25,917662023
2001-01-26,916634636
2001-01-29,918483933
2001-01-30,926703028
2001-01-31,909031973
2001-02-01,899580013
2001-02-02,889511621
2001-02-05,905744335
2001-02-06,899374536
2001-02-07,883963731
2001-02-08,882730867
2001-02-09,873073430
2001-02-12,880881570
2001-02-13,880881570
2001-02-14,885196596
2001-02-15,888895189
2001-02-16,850676394
2001-02-20,850059962
2001-02-21,811635690
2001-02-22,811635690
2001-02-23,793553680
2001-02-26,815745238
2001-02-27,799718001
2001-02-28,806498755
2001-03-01,805676846
2001-03-02,798074182
2001-03-05,781841468
2001-03-06,810197348
2001-03-07,829717700
2001-03-08,834649158
2001-03-09,788416745
2001-03-12,748143176
2001-03-13,691020462
2001-03-14,669650814
2001-03-15,690609507
2001-03-16,660404331
2001-03-19,669856291
2001-03-20,659582421
2001-03-21,656500261
2001-03-22,648486642
2001-03-23,670883678
2001-03-26,659171467
2001-03-27,665541266
2001-03-28,636979909
2001-03-29,621980059
2001-03-30,638007295
2001-04-02,645927284
