,JKHY
2000-01-03,1100736000
2000-01-04,1010646000
2000-01-05,1031121000
2000-01-06,1021293000
2000-01-07,1021293000
2000-01-10,1058967000
2000-01-11,1063062000
2000-01-12,1058148000
2000-01-13,1064700000
2000-01-14,1080261000
2000-01-18,1131039000
2000-01-19,1153152000
2000-01-20,1164618000
2000-01-21,1190007000
2000-01-24,1192464000
2000-01-25,1189188000
2000-01-26,1187550000
2000-01-27,1190007000
2000-01-28,1194921000
2000-01-31,1171989000
2000-02-01,1126125000
2000-02-02,1126125000
2000-02-03,1131039000
2000-02-04,1203111000
2000-02-07,1212939000
2000-02-08,1235052000
2000-02-09,1241604000
2000-02-10,1222767000
2000-02-11,1248975000
2000-02-14,1230957000
2000-02-15,1217034000
2000-02-16,1230138000
2000-02-17,1228500000
2000-02-18,1226862000
2000-02-22,1218672000
2000-02-23,1262079000
2000-02-24,1280097000
2000-02-25,1305486000
2000-02-28,1323504000
2000-02-29,1430793000
2000-03-01,1443897000
2000-03-02,1434888000
2000-03-03,1437345000
2000-03-06,1440621000
2000-03-07,1407861000
2000-03-08,1435707000
2000-03-09,1517607000
2000-03-10,1601964000
2000-03-13,1517607000
2000-03-14,1566747000
2000-03-15,1522521000
2000-03-16,1474200000
2000-03-17,1478295000
2000-03-20,1392300000
2000-03-21,1394757000
2000-03-22,1471743000
2000-03-23,1517607000
2000-03-24,1517607000
2000-03-27,1474200000
2000-03-28,1405404000
2000-03-29,1407861000
2000-03-30,1358721000
2000-03-31,1554676400
2000-04-03,1480483600
2000-04-04,1423152800
2000-04-05,1472895700
2000-04-06,1528540300
2000-04-07,1644045000
2000-04-10,1459406100
2000-04-11,1510835200
2000-04-12,1509992100
2000-04-13,1423152800
2000-04-14,1346430700
2000-04-17,1496502500
2000-04-18,1596831400
2000-04-19,1702218900
2000-04-20,1625496800
2000-04-24,1667651800
2000-04-25,1655005300
2000-04-26,1517580000
2000-04-27,1697160300
2000-04-28,1665122500
2000-05-01,1686200000
2000-05-02,1575753900
2000-05-03,1601890000
2000-05-04,1665122500
2000-05-05,1681141400
2000-05-08,1543716100
2000-05-09,1552147100
2000-05-10,1531069600
2000-05-11,1644045000
