,KDP
2008-04-28,1107440000
2008-04-29,1112520000
2008-04-30,1143000000
2008-05-01,1109980000
2008-05-02,1054100000
2008-05-05,1079500000
2008-05-06,1023620000
2008-05-07,1043940000
2008-05-08,1038860000
2008-05-09,1031239999
2008-05-12,1046480000
2008-05-13,1059180000
2008-05-14,1069340000
2008-05-15,1064260000
2008-05-16,1084580000
2008-05-19,1066800000
2008-05-20,1043940000
2008-05-21,1043940000
2008-05-22,1051559999
2008-05-23,1038860000
2008-05-27,1038860000
2008-05-28,1031239999
2008-05-29,1021079999
2008-05-30,1028700000
2008-06-02,985520000
2008-06-03,990600000
2008-06-04,977900000
2008-06-05,1046480000
2008-06-06,1021079999
2008-06-09,1021079999
2008-06-10,1018540000
2008-06-11,995680000
2008-06-12,988060000
2008-06-13,1008380000
2008-06-16,970280000
2008-06-17,960120000
2008-06-18,972820000
2008-06-19,977900000
2008-06-20,980440000
2008-06-23,965200000
2008-06-24,922020000
2008-06-25,922020000
2008-06-26,906780000
2008-06-27,883920000
2008-06-30,859196000
2008-07-01,843944000
2008-07-02,874448000
2008-07-03,856654000
2008-07-07,871906000
2008-07-08,879532000
2008-07-09,887158000
2008-07-10,894784000
2008-07-11,884616000
2008-07-14,892242000
2008-07-15,859196000
2008-07-16,861738000
2008-07-17,833776000
2008-07-18,826150000
2008-07-21,841402000
2008-07-22,849028000
2008-07-23,826150000
2008-07-24,836318000
2008-07-25,831234000
2008-07-28,826150000
2008-07-29,828692000
2008-07-30,846486000
2008-07-31,846486000
2008-08-01,856654000
2008-08-04,849028000
2008-08-05,859196000
2008-08-06,861738000
2008-08-07,861738000
2008-08-08,897326000
2008-08-11,899868000
2008-08-12,887158000
2008-08-13,932914000
2008-08-14,950708000
2008-08-15,976128000
2008-08-18,976128000
2008-08-19,981212000
2008-08-20,981212000
2008-08-21,983754000
2008-08-22,993922000
2008-08-25,988838000
2008-08-26,988838000
2008-08-27,1019342000
2008-08-28,1014258000
2008-08-29,1011716000
2008-09-02,1034594000
2008-09-03,1034594000
2008-09-04,1029510000
2008-09-05,1029510000
2008-09-08,1047304000
2008-09-09,1044762000
2008-09-10,1039678000
2008-09-11,1049846000
2008-09-12,1085434000
2008-09-15,1037136000
2008-09-16,1024426000
2008-09-17,1011716000
2008-09-18,1009174000
2008-09-19,1032051999
2008-09-22,1024426000
2008-09-23,1001548000
2008-09-24,999006000
2008-09-25,1001548000
2008-09-26,1039678000
2008-09-29,993922000
2008-09-30,1082040000
2008-10-01,1069340000
2008-10-02,1036320000
2008-10-03,1028700000
2008-10-06,1018540000
2008-10-07,977900000
2008-10-08,972820000
2008-10-09,939800000
2008-10-10,922020000
2008-10-13,972820000
2008-10-14,939800000
2008-10-15,863600000
2008-10-16,853440000
2008-10-17,855980000
2008-10-20,881380000
2008-10-21,878840000
2008-10-22,855980000
2008-10-23,828040000
2008-10-24,784860000
2008-10-27,784860000
2008-10-28,886460000
2008-10-29,901700000
2008-10-30,896620000
2008-10-31,937260000
2008-11-03,922020000
2008-11-04,952500000
2008-11-05,919480000
2008-11-06,896620000
2008-11-07,927100000
2008-11-10,932180000
2008-11-11,873760000
2008-11-12,855980000
2008-11-13,744220000
2008-11-14,718820000
2008-11-17,701040000
2008-11-18,680720000
2008-11-19,678180000
2008-11-20,601980000
2008-11-21,637540000
2008-11-24,652780000
2008-11-25,650240000
2008-11-26,662940000
2008-11-28,660400000
2008-12-01,607060000
2008-12-02,607060000
2008-12-03,614680000
2008-12-04,563880000
2008-12-05,591820000
2008-12-08,589280000
2008-12-09,599440000
2008-12-10,627380000
2008-12-11,624840000
2008-12-12,635000000
2008-12-15,645160000
2008-12-16,657860000
2008-12-17,655320000
2008-12-18,685800000
2008-12-19,693420000
2008-12-22,698500000
2008-12-23,688340000
2008-12-24,690880000
2008-12-26,690880000
2008-12-29,680720000
2008-12-30,673100000
2008-12-31,666004000
2009-01-02,676172000
2009-01-05,691424000
2009-01-06,704134000
2009-01-07,673630000
2009-01-08,678714000
2009-01-09,666004000
2009-01-12,645668000
2009-01-13,650752000
2009-01-14,643126000
2009-01-15,645668000
2009-01-16,673630000
2009-01-20,653294000
2009-01-21,668546000
2009-01-22,660920000
2009-01-23,653294000
2009-01-26,676172000
2009-01-27,678714000
2009-01-28,688882000
2009-01-29,686340000
2009-01-30,673630000
2009-02-02,650752000
2009-02-03,663462000
2009-02-04,640584000
2009-02-05,658378000
2009-02-06,681256000
2009-02-09,668546000
2009-02-10,632958000
2009-02-11,655836000
2009-02-12,668546000
2009-02-13,678714000
2009-02-17,648210000
2009-02-18,660920000
2009-02-19,655836000
2009-02-20,632958000
2009-02-23,612622000
2009-02-24,625332000
2009-02-25,604996000
2009-02-26,589744000
2009-02-27,574492000
2009-03-02,551614000
2009-03-03,536361999
2009-03-04,536361999
2009-03-05,495690000
2009-03-06,500774000
2009-03-09,488064000
2009-03-10,549072000
2009-03-11,551614000
2009-03-12,587202000
2009-03-13,594828000
