,KIM
2000-01-03,2066119088
2000-01-04,2047818654
2000-01-05,2058798915
2000-01-06,2119190349
2000-01-07,2153961175
2000-01-10,2188732002
2000-01-11,2161281349
2000-01-12,2142980915
2000-01-13,2164941436
2000-01-14,2174091654
2000-01-18,2174091654
2000-01-19,2177751741
2000-01-20,2168601523
2000-01-21,2157621262
2000-01-24,2150301089
2000-01-25,2146641002
2000-01-26,2168601523
2000-01-27,2168601523
2000-01-28,2168601523
2000-01-31,2142980915
2000-02-01,2132000654
2000-02-02,2142980915
2000-02-03,2164941436
2000-02-04,2146641002
2000-02-07,2142980915
2000-02-08,2142980915
2000-02-09,2122850436
2000-02-10,2093569741
2000-02-11,2097229828
2000-02-14,2058798915
2000-02-15,2066119088
2000-02-16,2077099349
2000-02-17,2097229828
2000-02-18,2069779175
2000-02-22,2055138828
2000-02-23,2040498480
2000-02-24,2047818654
2000-02-25,2016707914
2000-02-28,2024028088
2000-02-29,2100889915
2000-03-01,2073439262
2000-03-02,2111870175
2000-03-03,2104550002
2000-03-06,2077099349
2000-03-07,2089909654
2000-03-08,2077099349
2000-03-09,2093569741
2000-03-10,2104550002
2000-03-13,2089909654
2000-03-14,2115530262
2000-03-15,2157621262
2000-03-16,2219842741
2000-03-17,2210692523
2000-03-20,2238143176
2000-03-21,2241803263
2000-03-22,2245463349
2000-03-23,2252783523
2000-03-24,2245463349
2000-03-27,2249123436
2000-03-28,2234483089
2000-03-29,2269253915
2000-03-30,2272914002
2000-03-31,2279589037
2000-04-03,2252233969
2000-04-04,2226702571
2000-04-05,2297825749
2000-04-06,2303296763
2000-04-07,2325180818
2000-04-10,2343417530
2000-04-11,2394480324
2000-04-12,2394480324
2000-04-13,2389009311
2000-04-14,2385361968
2000-04-17,2389009311
2000-04-18,2401775009
2000-04-19,2416364379
2000-04-20,2405422352
2000-04-24,2434601092
2000-04-25,2430953749
2000-04-26,2427306407
2000-04-27,2420011722
2000-04-28,2420011722
2000-05-01,2451014133
2000-05-02,2518489968
2000-05-03,2522137311
2000-05-04,2485663886
2000-05-05,2472898187
2000-05-08,2461956160
2000-05-09,2489311228
2000-05-10,2461956160
2000-05-11,2465603502
2000-05-12,2465603502
2000-05-15,2476545530
2000-05-16,2492958571
2000-05-17,2480192872
2000-05-18,2472898187
2000-05-19,2485663886
2000-05-22,2480192872
2000-05-23,2500253256
2000-05-24,2489311228
2000-05-25,2472898187
2000-05-26,2469250845
2000-05-30,2465603502
2000-05-31,2461956160
2000-06-01,2451014133
2000-06-02,2465603502
2000-06-05,2451014133
2000-06-06,2461956160
2000-06-07,2461956160
2000-06-08,2461956160
2000-06-09,2454661475
2000-06-12,2451014133
2000-06-13,2451014133
2000-06-14,2564081749
2000-06-15,2496605913
2000-06-16,2500253256
2000-06-19,2522137311
2000-06-20,2549492379
2000-06-21,2538550352
2000-06-22,2553139722
2000-06-23,2538550352
2000-06-26,2522137311
2000-06-27,2560434406
2000-06-28,2553139722
2000-06-29,2564081749
2000-06-30,2559821412
2000-07-03,2586037578
2000-07-05,2606635995
2000-07-06,2632852161
2000-07-07,2625361828
2000-07-10,2657195745
2000-07-11,2649705411
2000-07-12,2614126328
2000-07-13,2632852161
2000-07-14,2636597328
2000-07-17,2632852161
2000-07-18,2632852161
2000-07-19,2645960245
2000-07-20,2632852161
2000-07-21,2629106995
2000-07-24,2649705411
2000-07-25,2664686078
2000-07-26,2636597328
2000-07-27,2660940911
2000-07-28,2636597328
2000-07-31,2574802078
2000-08-01,2653450578
2000-08-02,2606635995
2000-08-03,2599145662
2000-08-04,2586037578
2000-08-07,2531732662
2000-08-08,2546713328
2000-08-09,2578547245
2000-08-10,2574802078
2000-08-11,2571056912
2000-08-14,2574802078
2000-08-15,2559821412
2000-08-16,2552331078
2000-08-17,2563566578
2000-08-18,2527987495
2000-08-21,2535477828
2000-08-22,2559821412
2000-08-23,2542968162
2000-08-24,2499898745
2000-08-25,2509261662
2000-08-28,2535477828
2000-08-29,2477427745
2000-08-30,2520497162
2000-08-31,2535477828
2000-09-01,2539222995
2000-09-05,2535477828
2000-09-06,2539222995
2000-09-07,2531732662
2000-09-08,2559821412
2000-09-11,2589782745
2000-09-12,2589782745
2000-09-13,2602890828
2000-09-14,2574802078
2000-09-15,2574802078
2000-09-18,2539222995
2000-09-19,2559821412
2000-09-20,2546713328
2000-09-21,2542968162
2000-09-22,2524242328
2000-09-25,2546713328
2000-09-26,2559821412
2000-09-27,2567311745
2000-09-28,2610381162
2000-09-29,2636597328
2000-10-02,2475892930
2000-10-03,2479577295
2000-10-04,2444575832
2000-10-05,2472208566
2000-10-06,2486946024
2000-10-09,2468524201
2000-10-10,2472208566
2000-10-11,2468524201
2000-10-12,2422469645
2000-10-13,2444575832
2000-10-16,2472208566
2000-10-17,2472208566
2000-10-18,2444575832
2000-10-19,2468524201
2000-10-20,2468524201
2000-10-23,2455628925
2000-10-24,2455628925
2000-10-25,2437207103
2000-10-26,2451944561
2000-10-27,2464839837
2000-10-30,2486946024
2000-10-31,2472208566
2000-11-01,2468524201
2000-11-02,2451944561
2000-11-03,2440891468
2000-11-06,2444575832
2000-11-07,2448260196
2000-11-08,2448260196
2000-11-09,2440891468
2000-11-10,2433522739
2000-11-13,2418785281
2000-11-14,2451944561
2000-11-15,2448260196
2000-11-16,2455628925
2000-11-17,2448260196
2000-11-20,2455628925
2000-11-21,2455628925
2000-11-22,2464839837
2000-11-24,2459313290
2000-11-27,2497999117
2000-11-28,2501683481
2000-11-29,2490630388
2000-11-30,2533000580
2000-12-01,2547738037
2000-12-04,2544053673
2000-12-05,2579055136
2000-12-06,2551422402
2000-12-07,2529316215
2000-12-08,2544053673
2000-12-11,2625109692
2000-12-12,2597476958
2000-12-13,2603003505
2000-12-14,2621425327
2000-12-15,2656426790
2000-12-18,2698796981
2000-12-19,2698796981
2000-12-20,2682217341
2000-12-21,2674848612
2000-12-22,2674848612
2000-12-26,2663795519
2000-12-27,2741167173
2000-12-28,2698796981
2000-12-29,2713534439
2001-01-02,2784426616
