,LLL
2013-03-07,230104800.0
2013-03-08,230104800.0
2013-03-11,230104800.0
2013-03-12,230104800.0
2013-03-13,230104800.0
2013-03-14,230104800.0
2013-03-15,230104800.0
2013-03-18,230104800.0
2013-03-19,230104800.0
2013-03-20,230104800.0
2013-03-21,230104800.0
2013-03-22,230104800.0
2013-03-25,230104800.0
2013-03-26,230104800.0
2013-03-27,230104800.0
2013-03-28,230104800.0
2013-04-01,230104800.0
2013-04-02,230104800.0
2013-04-03,230104800.0
2013-04-04,254393640.0
2013-04-05,248001840.0
2013-04-08,248001840.0
2013-04-09,248001840.0
2013-04-10,254393640.0
2013-04-11,255160656.0
2013-04-12,255160656.0
2013-04-15,255160656.0
2013-04-16,253115280.0
2013-04-17,253115280.0
2013-04-18,253115280.0
2013-04-19,253115280.0
2013-04-22,253115280.0
2013-04-23,253115280.0
2013-04-24,253115280.0
2013-04-25,250047216.0
2013-04-26,250047216.0
2013-04-29,250047216.0
2013-04-30,250047216.0
2013-05-01,250047216.0
2013-05-02,250047216.0
2013-05-03,250047216.0
2013-05-06,250047216.0
2013-05-07,250047216.0
2013-05-08,250047216.0
2013-05-09,250047216.0
2013-05-10,250047216.0
2013-05-13,250047216.0
2013-05-14,250047216.0
2013-05-15,250047216.0
2013-05-16,250047216.0
2013-05-17,250047216.0
2013-05-20,250047216.0
2013-05-21,250047216.0
2013-05-22,250047216.0
2013-05-23,250047216.0
2013-05-24,252348264.0
2013-05-28,252348264.0
2013-05-29,252348264.0
2013-05-30,252348264.0
2013-05-31,252092592.0
2013-06-03,255672000.0
2013-06-04,255672000.0
2013-06-05,255672000.0
2013-06-06,255672000.0
2013-06-07,255672000.0
2013-06-10,255672000.0
2013-06-11,255672000.0
2013-06-12,255672000.0
2013-06-13,255672000.0
2013-06-14,255672000.0
2013-06-17,255672000.0
2013-06-18,255672000.0
2013-06-19,255672000.0
2013-06-20,252603936.0
2013-06-21,252603936.0
2013-06-24,252603936.0
2013-06-25,252603936.0
2013-06-26,252603936.0
2013-06-27,252603936.0
2013-06-28,252603936.0
2013-07-01,251123418.0
2013-07-02,251631765.0
2013-07-03,251631765.0
2013-07-05,251631765.0
2013-07-08,251631765.0
2013-07-09,251631765.0
2013-07-10,251631765.0
2013-07-11,251631765.0
2013-07-12,251631765.0
2013-07-15,251631765.0
2013-07-16,251631765.0
2013-07-17,251631765.0
2013-07-18,251631765.0
2013-07-19,251631765.0
2013-07-22,251631765.0
2013-07-23,253665153.0
2013-07-24,253665153.0
2013-07-25,253665153.0
2013-07-26,253665153.0
2013-07-29,253665153.0
2013-07-30,253665153.0
2013-07-31,253665153.0
2013-08-01,253665153.0
2013-08-02,253665153.0
2013-08-05,253665153.0
2013-08-06,253665153.0
2013-08-07,253665153.0
2013-08-08,253665153.0
2013-08-09,253665153.0
2013-08-12,253665153.0
2013-08-13,255444367.0
2013-08-14,255444367.0
2013-08-15,255444367.0
2013-08-16,254936020.0
2013-08-19,254936020.0
2013-08-20,254173500.0
2013-08-21,254173500.0
2013-08-22,254173500.0
2013-08-23,255444367.0
2013-08-26,255444367.0
2013-08-27,255444367.0
2013-08-28,254936020.0
2013-08-29,254936020.0
2013-08-30,254936020.0
2013-09-03,254936020.0
2013-09-04,254936020.0
2013-09-05,254936020.0
2013-09-06,254936020.0
2013-09-09,254936020.0
2013-09-10,254936020.0
2013-09-11,254936020.0
2013-09-12,254936020.0
2013-09-13,254936020.0
2013-09-16,254936020.0
2013-09-17,254936020.0
2013-09-18,254936020.0
2013-09-19,254936020.0
2013-09-20,254936020.0
2013-09-23,254936020.0
2013-09-24,254936020.0
2013-09-25,254936020.0
2013-09-26,254936020.0
2013-09-27,254936020.0
2013-09-30,254936020.0
2013-10-01,256461061.0
2013-10-02,256461061.0
2013-10-03,257477755.0
2013-10-04,257477755.0
2013-10-07,256715235.0
2013-10-08,259002796.0
2013-10-09,259002796.0
2013-10-10,259002796.0
2013-10-11,259002796.0
2013-10-14,259002796.0
2013-10-15,256715235.0
2013-10-16,257223582.0
2013-10-17,257223582.0
2013-10-18,257223582.0
2013-10-21,257223582.0
2013-10-22,256969408.0
2013-10-23,279082503.0
2013-10-24,258240276.0
2013-10-25,258240276.0
2013-10-28,258240276.0
2013-10-29,258240276.0
2013-10-30,258240276.0
2013-10-31,258240276.0
2013-11-01,258240276.0
2013-11-04,256715235.0
2013-11-05,256715235.0
2013-11-06,256715235.0
2013-11-07,256715235.0
2013-11-08,256715235.0
2013-11-11,256715235.0
2013-11-12,256715235.0
2013-11-13,256715235.0
2013-11-14,256715235.0
2013-11-15,257223582.0
2013-11-18,257223582.0
2013-11-19,257223582.0
2013-11-20,257223582.0
2013-11-21,257223582.0
2013-11-22,257223582.0
2013-11-25,257223582.0
2013-11-26,257223582.0
2013-11-27,257223582.0
2013-11-29,257223582.0
2013-12-02,257223582.0
2013-12-03,257731929.0
2013-12-04,257731929.0
2013-12-05,257731929.0
2013-12-06,257731929.0
2013-12-09,257731929.0
2013-12-10,257731929.0
2013-12-11,257731929.0
2013-12-12,257731929.0
2013-12-13,257731929.0
2013-12-16,257731929.0
2013-12-17,257731929.0
2013-12-18,257731929.0
2013-12-19,256715235.0
2013-12-20,257223582.0
2013-12-23,257223582.0
2013-12-24,259256970.0
2013-12-26,259256970.0
2013-12-27,259256970.0
2013-12-30,259256970.0
2013-12-31,259256970.0
2014-01-02,259434450.0
2014-01-03,259434450.0
2014-01-06,259434450.0
2014-01-07,259434450.0
2014-01-08,259434450.0
2014-01-09,259434450.0
2014-01-10,259434450.0
2014-01-13,259434450.0
2014-01-14,259434450.0
2014-01-15,259434450.0
2014-01-16,257399670.0
2014-01-17,257399670.0
2014-01-21,257399670.0
2014-01-22,258417060.0
2014-01-23,258417060.0
2014-01-24,258417060.0
2014-01-27,258671407.0
2014-01-28,257399670.0
2014-01-29,257399670.0
2014-01-30,259180102.0
2014-01-31,258162712.0
2014-02-03,258162712.0
2014-02-04,260197492.0
2014-02-05,260197492.0
2014-02-06,257908365.0
2014-02-07,258417060.0
2014-02-10,258417060.0
2014-02-11,258417060.0
2014-02-12,258417060.0
2014-02-13,258417060.0
2014-02-14,258417060.0
2014-02-18,260197492.0
2014-02-19,260197492.0
2014-02-20,260197492.0
2014-02-21,260197492.0
2014-02-24,260197492.0
2014-02-25,260197492.0
2014-02-26,260197492.0
2014-02-27,258417060.0
2014-02-28,258417060.0
2014-03-03,258417060.0
2014-03-04,258417060.0
2014-03-05,259180102.0
2014-03-06,259180102.0
2014-03-07,259943145.0
2014-03-10,259943145.0
2014-03-11,260197492.0
2014-03-12,260960535.0
2014-03-13,260960535.0
2014-03-14,260960535.0
2014-03-17,260451840.0
2014-03-18,260451840.0
2014-03-19,261469230.0
2014-03-20,260197492.0
2014-03-21,259943145.0
2014-03-24,259943145.0
2014-03-25,259943145.0
2014-03-26,259943145.0
2014-03-27,259943145.0
2014-03-28,259943145.0
2014-03-31,259943145.0
2014-04-01,259776048.0
2014-04-02,264351360.0
2014-04-03,259521864.0
2014-04-04,259267680.0
2014-04-07,259267680.0
2014-04-08,259267680.0
2014-04-09,260792784.0
2014-04-10,260792784.0
2014-04-11,260792784.0
2014-04-14,261555336.0
2014-04-15,261555336.0
2014-04-16,261301152.0
2014-04-17,258505128.0
2014-04-21,258505128.0
2014-04-22,259267680.0
2014-04-23,259267680.0
2014-04-24,259267680.0
2014-04-25,261555336.0
2014-04-28,263080440.0
2014-04-29,264351360.0
2014-04-30,262826256.0
2014-05-01,262826256.0
2014-05-02,262826256.0
2014-05-05,262826256.0
2014-05-06,262826256.0
2014-05-07,262826256.0
2014-05-08,262826256.0
2014-05-09,263080440.0
2014-05-12,261809520.0
2014-05-13,260284416.0
2014-05-14,260030232.0
2014-05-15,258759312.0
2014-05-16,259013496.0
2014-05-19,260030232.0
2014-05-20,260030232.0
2014-05-21,260030232.0
2014-05-22,260030232.0
2014-05-23,260030232.0
2014-05-27,260030232.0
2014-05-28,259267680.0
2014-05-29,259267680.0
2014-05-30,259267680.0
2014-06-02,259776048.0
2014-06-03,259521864.0
2014-06-04,260792784.0
2014-06-05,260792784.0
2014-06-06,260792784.0
2014-06-09,262317888.0
2014-06-10,262317888.0
2014-06-11,262317888.0
2014-06-12,260792784.0
2014-06-13,260792784.0
2014-06-16,260792784.0
2014-06-17,260792784.0
2014-06-18,260792784.0
2014-06-19,260792784.0
2014-06-20,260792784.0
2014-06-23,260792784.0
