,LNC
2000-01-03,7555446811
2000-01-04,7338803174
2000-01-05,7085407493
2000-01-06,7156977266
2000-01-07,7338803174
2000-01-10,7350409084
2000-01-11,7242087265
2000-01-12,7205335220
2000-01-13,7640556811
2000-01-14,7520629083
2000-01-18,7338803174
2000-01-19,7085407493
2000-01-20,6721755675
2000-01-21,6926793402
2000-01-24,6758507720
2000-01-25,6940333629
2000-01-26,7011903402
2000-01-27,6975151357
2000-01-28,6926793402
2000-01-31,7145371356
2000-02-01,7290445220
2000-02-02,7435519083
2000-02-03,7253693175
2000-02-04,7000297493
2000-02-07,6625039766
2000-02-08,6818471584
2000-02-09,6491571812
2000-02-10,6394855903
2000-02-11,6238176130
2000-02-14,6238176130
2000-02-15,6311680221
2000-02-16,6093102267
2000-02-17,5984780448
2000-02-18,5876458630
2000-02-22,5754596585
2000-02-23,5742990676
2000-02-24,5717844540
2000-02-25,5489594994
2000-02-28,5464448858
2000-02-29,5344521131
2000-03-01,5512806813
2000-03-02,5247805222
2000-03-03,5234264995
2000-03-06,5125943177
2000-03-07,4750685450
2000-03-08,4679115677
2000-03-09,4835795450
2000-03-10,4847401359
2000-03-13,4690721586
2000-03-14,4485683859
2000-03-15,4847401359
2000-03-16,5464448858
2000-03-17,5416090904
2000-03-20,5464448858
2000-03-21,5669486585
2000-03-22,5634668858
2000-03-23,6021532494
2000-03-24,6201424085
2000-03-27,5899670449
2000-03-28,5839706585
2000-03-29,6056350221
2000-03-30,6770113630
2000-03-31,6386945716
2000-04-03,6303057473
2000-04-04,6316403330
2000-04-05,6268739556
2000-04-06,5994196218
2000-04-07,5874083507
2000-04-10,5898868670
2000-04-11,6041859992
2000-04-12,6268739556
2000-04-13,6613825280
2000-04-14,5994196218
2000-04-17,5994196218
2000-04-18,6064738603
2000-04-19,6137187540
2000-04-20,6339281942
2000-04-24,6589040117
2000-04-25,6375506410
2000-04-26,6064738603
2000-04-27,5910307976
2000-04-28,6636703891
2000-05-01,6661489054
2000-05-02,6697713522
2000-05-03,6280178862
2000-05-04,6316403330
2000-05-05,6386945716
2000-05-08,6364067104
2000-05-09,6375506410
2000-05-10,6434609490
2000-05-11,6459394652
2000-05-12,6720592134
2000-05-15,6936032392
2000-05-16,6779695213
2000-05-17,6709152828
2000-05-18,6720592134
2000-05-19,6482273264
2000-05-22,6720592134
2000-05-23,6936032392
2000-05-24,7208669179
2000-05-25,7208669179
2000-05-26,7185790568
2000-05-30,7317342584
2000-05-31,7387884970
2000-06-01,7555661454
2000-06-02,7435548744
2000-06-05,7233454342
2000-06-06,7164818507
2000-06-07,7519436986
2000-06-08,7317342584
2000-06-09,7256332953
2000-06-12,7256332953
2000-06-13,7424109438
2000-06-14,7446988049
2000-06-15,7244893648
2000-06-16,6947471698
2000-06-19,7090463020
2000-06-20,6779695213
2000-06-21,6911247230
2000-06-22,6970350309
2000-06-23,7317342584
2000-06-26,7256332953
2000-06-27,7292557422
2000-06-28,6995135472
2000-06-29,6936032392
2000-06-30,6860938505
2000-07-03,7014754176
2000-07-05,7062228149
2000-07-06,7216043820
2000-07-07,7785731490
2000-07-10,7573048093
2000-07-11,7880679435
2000-07-12,8237683708
2000-07-13,8070575325
2000-07-14,8224390995
2000-07-17,8034495105
2000-07-18,8047787818
2000-07-19,8106655544
2000-07-20,8545315050
2000-07-21,8224390995
2000-07-24,8271864968
2000-07-25,8604182775
2000-07-26,8533921296
2000-07-27,8651656748
2000-07-28,8497841077
2000-07-31,8285157680
2000-08-01,8427579598
2000-08-02,8438973351
2000-08-03,8509234830
2000-08-04,8687736967
2000-08-07,8723817186
2000-08-08,8746604693
2000-08-09,8699130720
2000-08-10,8640262995
2000-08-11,9103608966
2000-08-14,9198556911
2000-08-15,9067528747
2000-08-16,8913713076
