,LPX
2000-01-03,1463646000
2000-01-04,1463646000
2000-01-05,1489671000
2000-01-06,1549008000
2000-01-07,1535475000
2000-01-10,1561500000
2000-01-11,1463646000
2000-01-12,1451154000
2000-01-13,1451154000
2000-01-14,1470933000
2000-01-18,1399104000
2000-01-19,1399104000
2000-01-20,1399104000
2000-01-21,1353300000
2000-01-24,1288758000
2000-01-25,1281471000
2000-01-26,1327275000
2000-01-27,1399104000
2000-01-28,1353300000
2000-01-31,1340808000
2000-02-01,1359546000
2000-02-02,1347054000
2000-02-03,1314783000
2000-02-04,1288758000
2000-02-07,1249200000
2000-02-08,1268979000
2000-02-09,1242954000
2000-02-10,1249200000
2000-02-11,1242954000
2000-02-14,1203396000
2000-02-15,1223175000
2000-02-16,1216929000
2000-02-17,1295004000
2000-02-18,1242954000
2000-02-22,1301250000
2000-02-23,1262733000
2000-02-24,1216929000
2000-02-25,1223175000
2000-02-28,1203396000
2000-02-29,1229421000
2000-03-01,1216929000
2000-03-02,1255446000
2000-03-03,1275225000
2000-03-06,1236708000
2000-03-07,1197150000
2000-03-08,1216929000
2000-03-09,1210683000
2000-03-10,1184658000
2000-03-13,1210683000
2000-03-14,1125321000
2000-03-15,1229421000
2000-03-16,1321029000
2000-03-17,1295004000
2000-03-20,1281471000
2000-03-21,1275225000
2000-03-22,1229421000
2000-03-23,1281471000
2000-03-24,1255446000
2000-03-27,1255446000
2000-03-28,1229421000
2000-03-29,1411596000
2000-03-30,1366833000
2000-03-31,1443520000
2000-04-03,1514240000
2000-04-04,1456000000
2000-04-05,1397760000
2000-04-06,1352000000
2000-04-07,1384240000
2000-04-10,1417520000
2000-04-11,1456000000
2000-04-12,1475760000
2000-04-13,1449760000
2000-04-14,1365520000
2000-04-17,1378000000
2000-04-18,1371760000
2000-04-19,1345760000
2000-04-20,1371760000
2000-04-24,1332240000
2000-04-25,1371760000
2000-04-26,1345760000
2000-04-27,1326000000
2000-04-28,1391520000
2000-05-01,1410240000
2000-05-02,1488240000
2000-05-03,1449760000
2000-05-04,1469520000
2000-05-05,1469520000
2000-05-08,1475760000
2000-05-09,1469520000
2000-05-10,1475760000
2000-05-11,1599520000
2000-05-12,1566240000
2000-05-15,1592240000
2000-05-16,1553760000
2000-05-17,1586000000
2000-05-18,1553760000
2000-05-19,1488240000
