,LSI
2000-01-03,233231282
2000-01-04,221760891
2000-01-05,220996210
2000-01-06,225584367
2000-01-07,235525360
2000-01-10,237054758
2000-01-11,235525360
2000-01-12,237054758
2000-01-13,237054758
2000-01-14,233995981
2000-01-18,238584138
2000-01-19,238584138
2000-01-20,238584138
2000-01-21,234760680
2000-01-24,237054758
2000-01-25,234760680
2000-01-26,232466602
2000-01-27,230937204
2000-01-28,230937204
2000-01-31,231701903
2000-02-01,228643126
2000-02-02,232466602
2000-02-03,235525360
2000-02-04,232466602
2000-02-07,237819439
2000-02-08,233231282
2000-02-09,233231282
2000-02-10,239348836
2000-02-11,233231282
2000-02-14,233995981
2000-02-15,239348836
2000-02-16,237054758
2000-02-17,236290059
2000-02-18,232466602
2000-02-22,229407825
2000-02-23,228643126
2000-02-24,229407825
2000-02-25,230937204
2000-02-28,231701903
2000-02-29,231701903
2000-03-01,233995981
2000-03-02,231701903
2000-03-03,235525360
2000-03-06,233231282
2000-03-07,230937204
2000-03-08,234760680
2000-03-09,230937204
2000-03-10,228643126
2000-03-13,234760680
2000-03-14,231701903
2000-03-15,228643126
2000-03-16,240113517
2000-03-17,240113517
2000-03-20,241642915
2000-03-21,243936993
2000-03-22,244701673
2000-03-23,241642915
2000-03-24,236290059
2000-03-27,244701673
2000-03-28,241642915
2000-03-29,237054758
2000-03-30,242407595
2000-03-31,243540850
2000-04-03,238279159
2000-04-04,235272494
2000-04-05,230010803
2000-04-06,230762478
2000-04-07,233769143
2000-04-10,233017486
2000-04-11,235272494
2000-04-12,237527502
2000-04-13,239782510
2000-04-14,241285842
2000-04-17,240534167
2000-04-18,236775826
2000-04-19,238279159
2000-04-20,243540850
2000-04-24,239782510
2000-04-25,248050866
2000-04-26,244292525
2000-04-27,250305874
2000-04-28,247299190
2000-05-01,249554198
2000-05-02,251809206
2000-05-03,253312557
2000-05-04,252560882
2000-05-05,250305874
2000-05-08,248802541
2000-05-09,250305874
2000-05-10,243540850
2000-05-11,247299190
2000-05-12,245044183
2000-05-15,245044183
2000-05-16,245044183
2000-05-17,243540850
2000-05-18,238279159
2000-05-19,239030834
2000-05-22,246547533
2000-05-23,242789175
2000-05-24,245795858
2000-05-25,244292525
2000-05-26,246547533
2000-05-30,252560882
2000-05-31,249554198
2000-06-01,254064214
2000-06-02,252560882
2000-06-05,254815889
2000-06-06,260077580
2000-06-07,254815889
2000-06-08,254064214
2000-06-09,252560882
2000-06-12,252560882
2000-06-13,257070897
2000-06-14,251057549
2000-06-15,251057549
2000-06-16,250305874
2000-06-19,251809206
2000-06-20,249554198
2000-06-21,247299190
2000-06-22,243540850
2000-06-23,242037517
2000-06-26,243540850
2000-06-27,249554198
2000-06-28,257822573
2000-06-29,254815889
2000-06-30,256949749
2000-07-03,247391443
2000-07-05,252639147
2000-07-06,257137173
2000-07-07,260135845
2000-07-10,267632561
2000-07-11,273629924
2000-07-12,275129278
