,LU
2020-10-30,29672531240
2020-11-02,31866220320
2020-11-03,29233793424
2020-11-04,29279976352
2020-11-05,32004769104
2020-11-06,37754543640
2020-11-09,40410062000
2020-11-10,38285647311
2020-11-11,39116940016
2020-11-12,41218263240
2020-11-13,44381793808
2020-11-16,45536367008
2020-11-17,34983567960
2020-11-18,34337006968
2020-11-19,35861043592
2020-11-20,33736628904
2020-11-23,34544830144
2020-11-24,32166409352
2020-11-25,32535872776
2020-11-27,35075933816
2020-11-30,38031641208
2020-12-01,38793659520
2020-12-02,34868110640
2020-12-03,33320982552
2020-12-04,33782811832
2020-12-07,34175366720
2020-12-08,34360098432
2020-12-09,32674421560
2020-12-10,31681488608
2020-12-11,32489689848
2020-12-14,30619281264
2020-12-15,32789878880
2020-12-16,32928427664
2020-12-17,33944452080
2020-12-18,35422305776
2020-12-21,34083000864
2020-12-22,31981677640
2020-12-23,33759720368
2020-12-24,32720604488
2020-12-28,31773854464
2020-12-29,32997702055
2020-12-30,33574988655
2020-12-31,32789878880
2021-01-04,34178765249
2021-01-05,33461728216
2021-01-06,33031505996
2021-01-07,32983703527
2021-01-08,34226567718
2021-01-11,34656789938
2021-01-12,35851851660
2021-01-13,34226567718
2021-01-14,35230419564
2021-01-15,33485629450
2021-01-19,34346073890
2021-01-20,33581234388
2021-01-21,37955160290
2021-01-22,36927407209
2021-01-25,40106271390
2021-01-26,39676049170
2021-01-27,38074666462
2021-01-28,35732345487
2021-01-29,38098567697
2021-02-01,40703802251
2021-02-02,37166419554
2021-02-03,39628246701
2021-02-04,41110123236
2021-02-05,41468641753
2021-02-08,41229629409
2021-02-09,40058468921
2021-02-10,41683752863
2021-02-11,41420839284
2021-02-12,40560394844
2021-02-16,41659851628
2021-02-17,39938962749
2021-02-18,38959012137
2021-02-19,38863407199
2021-02-22,36688394865
2021-02-23,38146370166
2021-02-24,37763950415
2021-02-25,36688394865
2021-02-26,35899654128
2021-03-01,37046913382
2021-03-02,38002962759
2021-03-03,37285925726
2021-03-04,36473283755
2021-03-05,36353777583
2021-03-08,35517234377
2021-03-09,36234271411
2021-03-10,36855703506
2021-03-11,37763950415
2021-03-12,36449382521
2021-03-15,35349925736
2021-03-16,35063110923
2021-03-17,35732345487
2021-03-18,35278222033
2021-03-19,35780147956
2021-03-22,35087012157
2021-03-23,33437826981
2021-03-24,32410073900
2021-03-25,33127110933
2021-03-26,32840296120
2021-03-29,33222715871
2021-03-30,33700740560
2021-03-31,34704592406
2021-04-01,34775930975
2021-04-05,35133953600
2021-04-06,34919140025
2021-04-07,34441776525
2021-04-08,34274699300
2021-04-09,34895271850
2021-04-12,33105158725
2021-04-13,32818740625
2021-04-14,32699399750
2021-04-15,32699399750
2021-04-16,32938081500
2021-04-19,32938081500
2021-04-20,31434386475
2021-04-21,32174299900
2021-04-22,32938081500
2021-04-23,33916676675
2021-04-26,33606390400
2021-04-27,31911749975
2021-04-28,30909286625
2021-04-29,29906823275
2021-04-30,28403128250
2021-05-03,28403128250
2021-05-04,26923301400
2021-05-05,27161983150
2021-05-06,28283787375
2021-05-07,26613015125
2021-05-10,24608088425
2021-05-11,25682156300
2021-05-12,25849233525
2021-05-13,25896969875
2021-05-14,27687083000
2021-05-17,28594073650
2021-05-18,28522469125
2021-05-19,28856623575
2021-05-20,28904359925
2021-05-21,29214646200
2021-05-24,30097768675
2021-05-25,29882955100
2021-05-26,30050032325
2021-05-27,29501064300
2021-05-28,29095305325
2021-06-01,29644273350
2021-06-02,30455791300
2021-06-03,30193241375
2021-06-04,29906823275
2021-06-07,30121636850
2021-06-08,29596537000
2021-06-09,29023700800
2021-06-10,28761150875
2021-06-11,29143041675
2021-06-14,29310118900
2021-06-15,29357855250
2021-06-16,30264845900
2021-06-17,29644273350
2021-06-18,29882955100
2021-06-21,29190778025
2021-06-22,29071437150
2021-06-23,29238514375
2021-06-24,29310118900
2021-06-25,29238514375
2021-06-28,27830292050
2021-06-29,27496137600
2021-06-30,26971037750
2021-07-01,26305170360
2021-07-02,25599307112
2021-07-06,25128731614
2021-07-07,24869915090
2021-07-08,21175897428
2021-07-09,22469980048
2021-07-12,21199426202
2021-07-13,22164105974
2021-07-14,21811174350
2021-07-15,21881760675
2021-07-16,21340598852
2021-07-19,20540620505
2021-07-20,20728850704
2021-07-21,20681793154
2021-07-22,19646527058
2021-07-23,18093627913
2021-07-26,17952455263
2021-07-27,17481879765
2021-07-28,18775962386
2021-07-29,17411293440
2021-07-30,17646581190
2021-08-02,17693638739
2021-08-03,17152476916
2021-08-04,16681901418
2021-08-05,16658372643
2021-08-06,16752487743
2021-08-09,17599523640
2021-08-10,18728904836
2021-08-11,19058307685
2021-08-12,18846548710
2021-08-13,18258329337
2021-08-16,18705376061
2021-08-17,20022987456
2021-08-18,20705321929
2021-08-19,20305332755
2021-08-20,19905343582
2021-08-23,19505354408
2021-08-24,21222954977
2021-08-25,21081782328
2021-08-26,20540620505
2021-08-27,20611206829
2021-08-30,20822965804
2021-08-31,20399447855
2021-09-01,20375919080
2021-09-02,21222954977
2021-09-03,20705321929
2021-09-07,19975929907
2021-09-08,19411239309
2021-09-09,19622998283
2021-09-10,18940663810
2021-09-13,19081836460
2021-09-14,18375973212
2021-09-15,18117156688
2021-09-16,18446559537
2021-09-17,18164214238
2021-09-20,17223063241
2021-09-21,17223063241
2021-09-22,17364235890
2021-09-23,17176005691
2021-09-24,16846602842
2021-09-27,16940717942
2021-09-28,16658372643
2021-09-29,16587786318
2021-09-30,16423084894
2021-10-01,16440810921
2021-10-04,15931377343
2021-10-05,16510279136
2021-10-06,16139781988
2021-10-07,17066024857
2021-10-08,17436522005
2021-10-11,17181805216
2021-10-12,16973400570
2021-10-13,17135493072
2021-10-14,15607192339
2021-10-15,15352475550
2021-10-18,16139781988
2021-10-19,16857620212
2021-10-20,17135493072
2021-10-21,16903932355
2021-10-22,16811308068
2021-10-25,16950244499
2021-10-26,15908221271
2021-10-27,15769284841
2021-10-28,14843041972
2021-10-29,14611481255
2021-11-01,15468255908
2021-11-02,14773573757
2021-11-03,14773573757
2021-11-04,14264140179
2021-11-05,14264140179
2021-11-08,14565169111
2021-11-09,14727261613
2021-11-10,16487123064
2021-11-11,17112337001
2021-11-12,16950244499
2021-11-15,16927088427
2021-11-16,16741839853
2021-11-17,16186094132
2021-11-18,15885065199
2021-11-19,16186094132
2021-11-22,15537724124
2021-11-23,15514568052
2021-11-24,15861909128
2021-11-26,14009423390
2021-11-29,14680949470
2021-11-30,14773573757
2021-12-01,14148359820
2021-12-02,14565169111
2021-12-03,14055735534
2021-12-06,13430521597
2021-12-07,14935666259
2021-12-08,15144070904
2021-12-09,14472544825
