,MA
2006-05-25,6221592091
2006-05-26,6072814889
2006-05-30,5951088088
2006-05-31,6072814889
2006-06-01,6424470095
2006-06-02,6356844094
2006-06-05,6640873298
2006-06-06,6532671696
2006-06-07,6437995295
2006-06-08,6451520495
2006-06-09,6465045695
2006-06-12,6356844094
2006-06-13,6153966091
2006-06-14,6099865290
2006-06-15,6221592091
2006-06-16,6086340090
2006-06-19,5991663688
2006-06-20,5951088088
2006-06-21,6126915690
2006-06-22,6302743293
2006-06-23,6356844094
2006-06-26,6424470095
2006-06-27,6397419694
2006-06-28,6356844094
2006-06-29,6492096096
2006-06-30,6512832096
2006-07-03,6417853294
2006-07-05,6458558495
2006-07-06,6350011293
2006-07-07,6255032492
2006-07-10,6309306093
2006-07-11,6295737692
2006-07-12,6187190491
2006-07-13,6065074889
2006-07-14,5956527687
2006-07-17,5970096088
2006-07-18,5956527687
2006-07-19,6146485290
2006-07-20,6187190491
2006-07-21,6146485290
2006-07-24,6105780090
2006-07-25,6255032492
2006-07-26,6336442893
2006-07-27,6309306093
2006-07-28,6282169292
2006-07-31,6227895691
2006-08-01,6105780090
2006-08-02,6784200100
2006-08-03,6784200100
2006-08-04,6797768500
2006-08-07,6933452502
2006-08-08,7136978505
2006-08-09,7177683705
2006-08-10,7272662507
2006-08-11,7286230907
2006-08-14,7354072908
2006-08-15,7394778109
2006-08-16,7367641308
2006-08-17,7259094106
2006-08-18,7259094106
2006-08-21,7367641308
2006-08-22,7489756910
2006-08-23,7408346509
2006-08-24,7544030511
2006-08-25,7462620110
2006-08-28,7462620110
2006-08-29,7516893710
2006-08-30,7503325310
2006-08-31,7584735711
2006-09-01,7679714513
2006-09-05,7720419713
2006-09-06,7991787717
2006-09-07,8154608520
2006-09-08,8113903319
2006-09-11,8398839723
2006-09-12,8425976524
2006-09-13,8330997722
2006-09-14,8520955325
2006-09-15,8819460130
2006-09-18,8833028530
2006-09-19,8792323329
2006-09-20,9036554533
2006-09-21,9375764538
2006-09-22,8941575731
2006-09-25,8738049728
2006-09-26,8955144132
2006-09-27,9199375335
2006-09-28,9307922537
2006-09-29,9552153740
2006-10-02,9499560140
2006-10-03,9458847739
2006-10-04,9445276939
2006-10-05,9852400945
2006-10-06,10191670950
2006-10-09,9879542545
2006-10-10,9757405343
2006-10-11,9431706139
2006-10-12,9553843340
2006-10-13,9513130940
2006-10-16,9675980542
2006-10-17,9431706139
2006-10-18,9567414141
2006-10-19,9811688544
2006-10-20,9662409742
2006-10-23,9540272540
2006-10-24,9662409742
2006-10-25,9608126541
2006-10-26,9798117744
2006-10-27,9852400945
2006-10-30,9838830145
2006-10-31,10055962948
2006-11-01,11548750970
2006-11-02,11888020975
2006-11-03,12145866178
2006-11-06,13068680592
2006-11-07,12552990185
2006-11-08,11996587376
2006-11-09,11969445776
2006-11-10,12105153778
2006-11-13,13095822193
2006-11-14,12919401790
2006-11-15,12932972590
2006-11-16,12824406188
2006-11-17,12865118589
2006-11-20,13055109792
2006-11-21,13652225001
2006-11-22,14018636606
2006-11-24,14317194211
2006-11-27,13435092198
2006-11-28,13665795801
2006-11-29,13462233798
2006-11-30,13815074603
2006-12-01,13733649802
2006-12-04,13584371000
2006-12-05,13475804598
2006-12-06,13448662998
2006-12-07,13530087799
2006-12-08,13584371000
2006-12-11,13448662998
2006-12-12,12987255791
2006-12-13,13000826591
2006-12-14,12973684991
2006-12-15,13055109792
2006-12-18,12607273385
2006-12-19,13217959394
2006-12-20,13231530195
2006-12-21,12987255791
2006-12-22,13082251392
2006-12-26,12905830990
2006-12-27,13489375398
2006-12-28,13435092198
2006-12-29,13367238197
2007-01-03,13095650992
2007-01-04,13734131902
2007-01-05,13734131902
2007-01-08,13734131902
2007-01-09,14359028111
2007-01-10,14223181109
2007-01-11,14331858711
2007-01-12,14304689310
2007-01-16,14399782212
2007-01-17,14807323218
2007-01-18,13924317705
2007-01-19,14263935210
2007-01-22,14617137415
2007-01-23,14725815016
2007-01-24,15133356022
2007-01-25,14657891515
2007-01-26,14739399717
2007-01-29,14902416119
2007-01-30,15051847821
2007-01-31,15160525423
2007-02-01,15201279523
2007-02-02,15079017222
2007-02-05,14983924320
2007-02-06,15024678421
2007-02-07,15201279523
2007-02-08,15581651129
2007-02-09,14073749407
2007-02-12,13869978904
2007-02-13,14223181109
2007-02-14,14671476216
2007-02-15,14671476216
2007-02-16,14712230316
2007-02-20,14644306815
2007-02-21,14576383314
2007-02-22,14386197511
2007-02-23,14209596409
2007-02-26,14141672908
2007-02-27,13992241206
2007-02-28,14562798614
2007-03-01,14440536312
2007-03-02,14005825906
2007-03-05,13706962501
2007-03-06,14128088208
2007-03-07,13543946099
2007-03-08,13965071805
2007-03-09,13910733004
2007-03-12,14032995306
