,MCK
2000-01-03,6537750863
2000-01-04,6119379434
2000-01-05,6189108006
2000-01-06,6624214292
2000-01-07,6554485721
2000-01-10,6693942864
2000-01-11,7530685722
2000-01-12,7235036578
2000-01-13,7357758864
2000-01-14,7357758864
2000-01-18,7477692007
2000-01-19,7304765150
2000-01-20,7042585721
2000-01-21,7009116007
2000-01-24,6939387435
2000-01-25,6136114292
2000-01-26,6049650863
2000-01-27,5823730291
2000-01-28,5614544577
2000-01-31,5734477720
2000-02-01,5823730291
2000-02-02,5684273148
2000-02-03,5734477720
2000-02-04,5717742863
2000-02-07,5664749148
2000-02-08,5684273148
2000-02-09,5684273148
2000-02-10,5335630291
2000-02-11,5265901719
2000-02-14,5282636576
2000-02-15,5196173148
2000-02-16,5491822291
2000-02-17,5578285720
2000-02-18,5561550862
2000-02-22,5508557148
2000-02-23,5335630291
2000-02-24,5438828577
2000-02-25,5385834862
2000-02-28,5385834862
2000-02-29,5405358862
2000-03-01,5438828577
2000-03-02,5282636576
2000-03-03,5369100005
2000-03-06,5405358862
2000-03-07,5176649148
2000-03-08,5159914291
2000-03-09,5316106291
2000-03-10,5196173148
2000-03-13,5265901719
2000-03-14,5090185719
2000-03-15,5335630291
2000-03-16,5508557148
2000-03-17,5335630291
2000-03-20,5369100005
2000-03-21,5352365148
2000-03-22,5316106291
2000-03-23,5352365148
2000-03-24,5438828577
2000-03-27,5508557148
2000-03-28,5996657149
2000-03-29,6049650863
2000-03-30,5734477720
2000-03-31,5934600000
2000-04-03,5971338000
2000-04-04,5793300000
2000-04-05,5776344000
2000-04-06,5759388000
2000-04-07,5705694000
2000-04-10,6058944000
2000-04-11,5863950000
2000-04-12,6005250000
2000-04-13,5776344000
2000-04-14,5598306000
2000-04-17,5315706000
2000-04-18,5440050000
2000-04-19,5369400000
2000-04-20,5335488000
2000-04-24,5211144000
2000-04-25,5352444000
2000-04-26,4804200000
2000-04-27,4787244000
2000-04-28,4787244000
2000-05-01,5157450000
2000-05-02,5069844000
2000-05-03,5194188000
2000-05-04,5211144000
2000-05-05,5123538000
2000-05-08,5123538000
2000-05-09,5086800000
2000-05-10,4891806000
2000-05-11,4945500000
2000-05-12,4874850000
2000-05-15,4874850000
2000-05-16,4804200000
2000-05-17,4770288000
2000-05-18,4716594000
2000-05-19,4662900000
2000-05-22,4628988000
2000-05-23,4662900000
2000-05-24,4733550000
2000-05-25,4628988000
2000-05-26,4538556000
2000-05-30,4679856000
2000-05-31,4645944000
2000-06-01,4662900000
2000-06-02,4770288000
2000-06-05,5228100000
2000-06-06,5194188000
2000-06-07,5457006000
2000-06-08,5527656000
2000-06-09,5810256000
2000-06-12,5705694000
2000-06-13,5900688000
2000-06-14,6022206000
2000-06-15,6146550000
2000-06-16,6304806000
2000-06-19,6041988000
2000-06-20,5863950000
2000-06-21,6075900000
2000-06-22,5759388000
2000-06-23,5688738000
2000-06-26,5776344000
2000-06-27,5759388000
2000-06-28,5776344000
2000-06-29,5793300000
2000-06-30,5945893483
2000-07-03,5928856539
2000-07-05,6283792874
2000-07-06,6425767408
2000-07-07,6246879496
2000-07-10,6584778886
2000-07-11,6672803098
2000-07-12,6584778886
2000-07-13,7010702488
2000-07-14,7257738178
2000-07-17,7240701234
2000-07-18,7135640078
2000-07-19,7081689755
2000-07-20,7206627345
2000-07-21,7240701234
2000-07-24,7649587891
2000-07-25,7277614612
2000-07-26,6956752166
2000-07-27,7010702488
2000-07-28,6939715221
2000-07-31,6902801843
2000-08-01,6993665544
2000-08-02,6831814576
2000-08-03,6814777632
2000-08-04,6797740687
2000-08-07,6851691010
2000-08-08,6993665544
2000-08-09,6780703743
2000-08-10,6780703743
2000-08-11,6973789110
2000-08-14,7135640078
2000-08-15,7044776377
2000-08-16,7098726700
2000-08-17,7115763644
2000-08-18,7098726700
2000-08-21,7115763644
2000-08-22,7240701234
2000-08-23,7135640078
2000-08-24,7277614612
2000-08-25,7277614612
2000-08-28,7135640078
2000-08-29,7135640078
2000-08-30,7115763644
2000-08-31,7081689755
2000-09-01,7044776377
2000-09-05,7064652811
2000-09-06,7064652811
