,MCO
2000-01-03,3485252100
2000-01-04,3385305000
2000-01-05,3324047100
2000-01-06,3324047100
2000-01-07,3404649600
2000-01-10,3404649600
2000-01-11,3446562900
2000-01-12,3427218300
2000-01-13,3485252100
2000-01-14,3446562900
2000-01-18,3365960400
2000-01-19,3427218300
2000-01-20,3385305000
2000-01-21,3404649600
2000-01-24,3365960400
2000-01-25,3285357900
2000-01-26,3124152900
2000-01-27,3162842100
2000-01-28,3082239600
2000-01-31,3043550400
2000-02-01,3143497500
2000-02-02,3143497500
2000-02-03,3162842100
2000-02-04,3143497500
2000-02-07,3162842100
2000-02-08,3204755400
2000-02-09,3162842100
2000-02-10,3104808300
2000-02-11,3043550400
2000-02-14,3185410800
2000-02-15,3285357900
2000-02-16,3243444600
2000-02-17,3304702500
2000-02-18,3285357900
2000-02-22,3324047100
2000-02-23,3304702500
2000-02-24,3285357900
2000-02-25,3243444600
2000-02-28,3224100000
2000-02-29,3162842100
2000-03-01,3204755400
2000-03-02,3162842100
2000-03-03,3204755400
2000-03-06,3162842100
2000-03-07,3104808300
2000-03-08,3124152900
2000-03-09,3224100000
2000-03-10,3185410800
2000-03-13,3243444600
2000-03-14,3324047100
2000-03-15,3485252100
2000-03-16,3527165400
2000-03-17,3465907500
2000-03-20,3465907500
2000-03-21,3465907500
2000-03-22,3588423300
2000-03-23,3627112500
2000-03-24,3627112500
2000-03-27,3627112500
2000-03-28,3565854600
2000-03-29,3465907500
2000-03-30,3446562900
2000-03-31,3480957500
2000-04-03,3419433600
2000-04-04,3361147800
2000-04-05,3299623900
2000-04-06,3419433600
2000-04-07,3400005000
2000-04-10,3419433600
2000-04-11,3400005000
2000-04-12,3400005000
2000-04-13,3280195300
2000-04-14,3299623900
2000-04-17,3442100300
2000-04-18,3380576400
2000-04-19,3461528900
2000-04-20,3500386100
2000-04-24,3500386100
2000-04-25,3604005300
2000-04-26,3604005300
2000-04-27,3684957800
2000-04-28,3662291100
2000-05-01,3785338900
2000-05-02,3642862500
2000-05-03,3684957800
2000-05-04,3785338900
2000-05-05,3704386400
2000-05-08,3684957800
2000-05-09,3684957800
2000-05-10,3623433900
2000-05-11,3642862500
2000-05-12,3684957800
2000-05-15,3662291100
2000-05-16,3824196100
2000-05-17,3785338900
2000-05-18,3785338900
2000-05-19,3662291100
2000-05-22,3684957800
2000-05-23,3743243600
2000-05-24,3743243600
2000-05-25,3785338900
2000-05-26,3704386400
2000-05-30,3704386400
2000-05-31,3743243600
2000-06-01,3846862800
2000-06-02,3927815300
2000-06-05,4008767800
2000-06-06,3966672500
2000-06-07,3947243900
2000-06-08,3824196100
2000-06-09,3765910300
2000-06-12,3743243600
2000-06-13,3723815000
2000-06-14,3785338900
2000-06-15,3662291100
2000-06-16,3704386400
2000-06-19,3743243600
2000-06-20,3723815000
2000-06-21,3765910300
2000-06-22,3743243600
2000-06-23,3704386400
2000-06-26,3642862500
2000-06-27,3480957500
2000-06-28,3500386100
2000-06-29,3604005300
2000-06-30,3487300000
2000-07-03,3529472000
2000-07-05,3448372000
2000-07-06,3425664000
2000-07-07,3487300000
2000-07-10,3467836000
2000-07-11,3529472000
2000-07-12,3568400000
2000-07-13,3610572000
2000-07-14,3668964000
2000-07-17,3711136000
2000-07-18,3529472000
2000-07-19,3610572000
2000-07-20,3610572000
2000-07-21,3610572000
