,MET
2000-04-05,10182724464
2000-04-06,10748431378
2000-04-07,10577944363
2000-04-10,10663187871
2000-04-11,10446204396
2000-04-12,11182398326
2000-04-13,11740355831
2000-04-14,10965414852
2000-04-17,11135901868
2000-04-18,11135901868
2000-04-19,11050658360
2000-04-20,10663187871
2000-04-24,11004161901
2000-04-25,11050658360
2000-04-26,11089405409
2000-04-27,11004161901
2000-04-28,11438128850
2000-05-01,12430053303
2000-05-02,12298313336
2000-05-03,12089079272
2000-05-04,12089079272
2000-05-05,12127826321
2000-05-08,12430053303
2000-05-09,11825599339
2000-05-10,12127826321
2000-05-11,12430053303
2000-05-12,12732280284
2000-05-15,13081003725
2000-05-16,13166247233
2000-05-17,13166247233
2000-05-18,13081003725
2000-05-19,12561793269
2000-05-22,12600540318
2000-05-23,13034507266
2000-05-24,13383230707
2000-05-25,13251490740
2000-05-26,13638961230
2000-05-30,13724204738
2000-05-31,14158171686
2000-06-01,13809448245
2000-06-02,14499145717
2000-06-05,14196918735
2000-06-06,14111675227
2000-06-07,14289911652
2000-06-08,14111675227
2000-06-09,14499145717
2000-06-12,14111675227
2000-06-13,14375155160
2000-06-14,13724204738
2000-06-15,13809448245
2000-06-16,13855944704
2000-06-19,13809448245
2000-06-20,12988010808
2000-06-21,12778776743
2000-06-22,13251490740
2000-06-23,13336734248
2000-06-26,13592464771
2000-06-27,13724204738
2000-06-28,13507221263
2000-06-29,14716129191
2000-06-30,14514881299
2000-07-03,14731405900
2000-07-05,14561279428
2000-07-06,15071658845
2000-07-07,15071658845
2000-07-10,14770071007
2000-07-11,14344754826
2000-07-12,14081832096
2000-07-13,13656515916
2000-07-14,14383419934
2000-07-17,13996768860
2000-07-18,14043166989
2000-07-19,14081832096
2000-07-20,14298356698
2000-07-21,14298356698
2000-07-24,14128230225
2000-07-25,14468483170
2000-07-26,14344754826
2000-07-27,14081832096
2000-07-28,14043166989
2000-07-31,14468483170
2000-08-01,14561279428
2000-08-02,14383419934
2000-08-03,13865307495
2000-08-04,13996768860
2000-08-07,15419644811
2000-08-08,16061485593
2000-08-09,15721232648
2000-08-10,16540932924
2000-08-11,16540932924
2000-08-14,16494534795
2000-08-15,16540932924
2000-08-16,16192946958
2000-08-17,16494534795
2000-08-18,16409471559
2000-08-21,16363073430
2000-08-22,16540932924
2000-08-23,17144108598
2000-08-24,16664661267
2000-08-25,16278010194
2000-08-28,16192946958
2000-08-29,16540932924
2000-08-30,17097710470
2000-08-31,16757457525
2000-09-01,17144108598
