,MIR
2020-08-20,923132881
2020-08-21,925906918
2020-08-24,924988424
2020-08-25,928699511
2020-08-26,924988424
2020-08-27,923596767
2020-08-28,927771740
2020-08-31,927771740
2020-09-01,937977229
2020-09-02,952821576
2020-09-03,957460435
2020-09-04,959315979
2020-09-08,966738153
2020-09-09,964882609
2020-09-10,957460435
2020-09-11,963954837
2020-09-14,963027066
2020-09-15,976711699
2020-09-16,974160327
2020-09-17,968129810
2020-09-18,1023332229
2020-09-21,992715761
2020-09-22,988076903
2020-09-23,988076903
2020-09-24,991787990
2020-09-25,983438044
2020-09-28,985293587
2020-09-29,1006632337
2020-09-30,613264725
2020-10-01,605285445
2020-10-02,599585958
2020-10-05,596736215
2020-10-06,591606677
2020-10-07,589896832
2020-10-08,588756934
2020-10-09,585565222
2020-10-12,587047088
2020-10-13,586727917
2020-10-14,587047088
2020-10-15,587047088
2020-10-16,587041389
2020-10-19,585337243
2020-10-20,584767294
2020-10-21,584197345
2020-10-22,582487499
2020-10-23,578492159
2020-10-26,573653296
2020-10-27,569948630
2020-10-28,563679195
2020-10-29,565389040
2020-10-30,567098886
2020-11-02,565389040
2020-11-03,567098886
2020-11-04,568808732
2020-11-05,571658475
2020-11-06,569948630
2020-11-09,569948630
2020-11-10,571088527
2020-11-11,574508219
2020-11-12,574223244
2020-11-13,574508219
2020-11-16,575078167
2020-11-17,572798373
2020-11-18,573368321
2020-11-19,577927910
2020-11-20,581632576
2020-11-23,579067808
2020-11-24,579067808
2020-11-25,581917551
2020-11-27,591036729
2020-11-30,595596318
2020-12-01,595596318
2020-12-02,594456421
2020-12-03,591606677
2020-12-04,592746575
2020-12-07,594456421
2020-12-08,602435701
2020-12-09,601295804
2020-12-10,604145547
2020-12-11,610414982
2020-12-14,598446061
2020-12-15,595596318
2020-12-16,595596318
2020-12-17,598446061
2020-12-18,597876112
2020-12-21,598446061
2020-12-22,610414982
2020-12-23,612124828
2020-12-24,618394263
2020-12-28,631503082
2020-12-29,618394263
2020-12-30,619534160
2020-12-31,71787400
2021-01-04,72182560
2021-01-05,72380140
2021-01-06,71655680
2021-01-07,72446000
2021-01-08,74948680
2021-01-11,74421800
2021-01-12,80151620
2021-01-13,79756460
2021-01-14,79032000
2021-01-15,76002440
2021-01-19,82786020
2021-01-20,81468820
2021-01-21,79229580
2021-01-22,80744360
2021-01-25,84300800
2021-01-26,80283340
2021-01-27,74158360
2021-01-28,75475560
2021-01-29,76134160
2021-02-01,77451360
2021-02-02,80019900
2021-02-03,80810220
2021-02-04,80415060
2021-02-05,79427160
2021-02-08,81271240
2021-02-09,81402960
2021-02-10,78900280
2021-02-11,79229580
2021-02-12,79493020
2021-02-16,80678500
2021-02-17,81995700
2021-02-18,92138140
2021-02-19,98790000
2021-02-22,93521200
2021-02-23,84959400
2021-02-24,84103220
2021-02-25,78109960
2021-02-26,79163720
2021-03-01,81337100
2021-03-02,76134160
2021-03-03,72116700
2021-03-04,70470200
2021-03-05,73894920
2021-03-08,71984980
2021-03-09,72380140
2021-03-10,80085760
2021-03-11,76924480
2021-03-12,77583080
2021-03-15,75343840
2021-03-16,74553520
2021-03-17,74290080
2021-03-18,73104600
2021-03-19,74026640
2021-03-22,72248420
2021-03-23,70601920
2021-03-24,68362680
2021-03-25,68691980
2021-03-26,68691980
2021-03-29,68626120
2021-03-30,68362680
2021-03-31,69057030
2021-04-01,69785340
2021-04-05,69388080
2021-04-06,71837850
2021-04-07,70844700
2021-04-08,71837850
2021-04-09,70910910
2021-04-12,70315020
2021-04-13,70381230
2021-04-14,69586710
2021-04-15,68858400
2021-04-16,68725980
2021-04-19,67931460
2021-04-20,67600410
2021-04-21,69189450
2021-04-22,69189450
2021-04-23,69057030
2021-04-26,68725980
2021-04-27,68328720
2021-04-28,68792190
2021-04-29,68527350
2021-04-30,68394930
2021-05-03,68990820
2021-05-04,68593560
2021-05-05,67931460
2021-05-06,67732830
2021-05-07,67600410
2021-05-10,67467990
2021-05-11,67136940
2021-05-12,67136940
2021-05-13,67401780
2021-05-14,67401780
2021-05-17,67467990
2021-05-18,67799040
2021-05-19,67534200
2021-05-20,67865250
2021-05-21,66938309
2021-05-24,66805890
2021-05-25,66607260
2021-05-26,66607260
2021-05-27,66607260
2021-05-28,66673470
2021-06-01,66938309
2021-06-02,67401780
2021-06-03,67136940
2021-06-04,68725980
2021-06-07,67799040
2021-06-08,68262510
2021-06-09,68063880
2021-06-10,68527350
2021-06-11,67997670
2021-06-14,66607260
2021-06-15,66342420
2021-06-16,66210000
2021-06-17,67269360
2021-06-18,66342420
2021-06-21,67401780
2021-06-22,66541050
2021-06-23,66673470
2021-06-24,66872100
2021-06-25,67136940
2021-06-28,67534200
2021-06-29,69520500
2021-06-30,69316000
2021-07-01,68582850
2021-07-02,68649500
2021-07-06,67849700
2021-07-07,67649750
2021-07-08,67516450
2021-07-09,68916100
2021-07-12,69449300
2021-07-13,69649250
2021-07-14,69915850
2021-07-15,69982500
2021-07-16,69049400
2021-07-19,68782800
2021-07-20,68982750
2021-07-21,68382900
2021-07-22,67183200
2021-07-23,67316500
2021-07-26,66783300
2021-07-27,66783300
2021-07-28,66650000
2021-07-29,66783300
2021-07-30,66716650
2021-08-02,66716650
2021-08-03,66650000
2021-08-04,66583350
2021-08-05,66583350
2021-08-06,66383400
2021-08-09,66516700
2021-08-10,66516700
2021-08-11,66516700
2021-08-12,66516700
2021-08-13,66583350
2021-08-16,66516700
2021-08-17,66116800
2021-08-18,66050150
2021-08-19,65983500
2021-08-20,65783549
2021-08-23,65783549
2021-08-24,65983500
2021-08-25,65983500
2021-08-26,66516700
2021-08-27,66050150
2021-08-30,66183450
2021-08-31,66183450
2021-09-01,66183450
2021-09-02,66383400
2021-09-03,66716650
2021-09-07,66849949
2021-09-08,66650000
2021-09-09,66916599
2021-09-10,66916599
2021-09-13,66783300
2021-09-14,66916599
2021-09-15,66849949
2021-09-16,66983250
2021-09-17,66983250
2021-09-20,67049900
2021-09-21,67249850
2021-09-22,67649750
2021-09-23,67783050
2021-09-24,68316250
2021-09-27,68649500
2021-09-28,69116050
2021-09-29,68916100
2021-09-30,68116300
2021-10-01,67649750
2021-10-04,67183200
2021-10-05,67049900
2021-10-06,66916599
2021-10-07,66650000
2021-10-08,66583350
2021-10-11,66516700
2021-10-12,66583350
2021-10-13,66583350
2021-10-14,66583350
2021-10-15,66583350
2021-10-18,69316000
2021-10-19,68382900
2021-10-20,70249100
2021-10-21,72515200
2021-10-22,71915350
2021-10-25,69982500
2021-10-26,71248850
2021-10-27,72848450
2021-10-28,71715400
2021-10-29,70582350
2021-11-01,71515450
2021-11-02,73315000
2021-11-03,73381650
2021-11-04,73714900
2021-11-05,75047900
2021-11-08,74581350
2021-11-09,76380900
2021-11-10,78380400
2021-11-11,76314250
2021-11-12,75981000
2021-11-15,76514200
2021-11-16,77047400
2021-11-17,77047400
2021-11-18,76714150
2021-11-19,76647500
2021-11-22,73714900
2021-11-23,73115050
2021-11-24,74114800
2021-11-26,73648250
2021-11-29,74648000
2021-11-30,71048900
2021-12-01,70249100
2021-12-02,71915350
2021-12-03,70848950
2021-12-06,72581850
2021-12-07,74248100
2021-12-08,74381400
