,MKTX
2004-11-05,57791454
2004-11-08,61789605
2004-11-09,61360052
2004-11-10,66580778
2004-11-11,69389397
2004-11-12,70711099
2004-11-15,71404993
2004-11-16,73354505
2004-11-17,72693654
2004-11-18,68860715
2004-11-19,71041525
2004-11-22,73420590
2004-11-23,70017205
2004-11-24,69554609
2004-11-26,69389397
2004-11-29,66845119
2004-11-30,64763437
2004-12-01,66217310
2004-12-02,71504121
2004-12-03,70843270
2004-12-06,67737268
2004-12-07,64234756
2004-12-08,64102585
2004-12-09,66085140
2004-12-10,67439885
2004-12-13,64102585
2004-12-14,60434860
2004-12-15,56866262
2004-12-16,53165495
2004-12-17,52636814
2004-12-20,53264622
2004-12-21,56073241
2004-12-22,55974113
2004-12-23,56800177
2004-12-27,56106283
2004-12-28,55874985
2004-12-29,55379347
2004-12-30,56767135
2004-12-31,466541911
2005-01-03,437468752
2005-01-04,426772024
2005-01-05,427869124
2005-01-06,419092322
2005-01-07,425126374
2005-01-10,425126374
2005-01-11,436645927
2005-01-12,435548827
2005-01-13,413606820
2005-01-14,416898121
2005-01-18,411138344
2005-01-19,409492694
2005-01-20,402635817
2005-01-21,398795966
2005-01-24,386727862
2005-01-25,394956115
2005-01-26,393584739
2005-01-27,390019163
2005-01-28,390293438
2005-01-31,383436561
2005-02-01,382888011
2005-02-02,379048160
2005-02-03,331598571
2005-02-04,315416342
2005-02-07,312673591
2005-02-08,311302215
2005-02-09,328307270
2005-02-10,342843850
2005-02-11,342295299
2005-02-14,334615597
2005-02-15,357928979
2005-02-16,375756859
2005-02-17,354911953
2005-02-18,360946005
2005-02-22,356557604
2005-02-23,351346377
2005-02-24,346683701
2005-02-25,342295299
2005-02-28,324193144
2005-03-01,329130096
2005-03-02,329130096
2005-03-03,313496416
2005-03-04,313496416
2005-03-07,312673591
2005-03-08,304719613
2005-03-09,303348238
2005-03-10,307736639
2005-03-11,302799688
2005-03-14,307188089
2005-03-15,301428312
2005-03-16,301702588
2005-03-17,300331212
2005-03-18,300056937
2005-03-21,293474335
2005-03-22,299508387
2005-03-23,287988834
2005-03-24,285520358
2005-03-28,281406232
2005-03-29,270983779
2005-03-30,264401177
2005-03-31,309717224
2005-04-01,358517790
2005-04-04,353804099
2005-04-05,336612991
2005-04-06,332731128
2005-04-07,333840231
2005-04-08,331622024
2005-04-11,339663026
2005-04-12,348258580
2005-04-13,361013273
2005-04-14,377095278
2005-04-15,374877070
2005-04-18,383749900
2005-04-19,384581728
2005-04-20,366281516
2005-04-21,377095278
2005-04-22,353804099
2005-04-25,345208545
2005-04-26,334117507
2005-04-27,335503887
2005-04-28,335226611
2005-04-29,339940302
2005-05-02,339108474
2005-05-03,344653993
2005-05-04,313321812
2005-05-05,305003534
2005-05-06,311380880
2005-05-09,307776293
2005-05-10,305003534
2005-05-11,299180739
2005-05-12,291694288
2005-05-13,283376010
2005-05-16,285594218
2005-05-17,291139737
2005-05-18,282821458
2005-05-19,280048699
2005-05-20,274503180
2005-05-23,297517083
2005-05-24,300844394
2005-05-25,288921529
2005-05-26,289476081
2005-05-27,286980597
2005-05-31,277275940
2005-06-01,272562249
2005-06-02,278939595
2005-06-03,285039666
2005-06-06,285594218
2005-06-07,283930562
2005-06-08,275335008
