,MLM
2000-01-03,1892380968
2000-01-04,1866214712
2000-01-05,1962469152
2000-01-06,2108719829
2000-01-07,2196096432
2000-01-10,2163855867
2000-01-11,2143763921
2000-01-12,2216655632
2000-01-13,2307303017
2000-01-14,2204974268
2000-01-18,2181611540
2000-01-19,2167126649
2000-01-20,2067601428
2000-01-21,2050313009
2000-01-24,2097038465
2000-01-25,2006391080
2000-01-26,2020875972
2000-01-27,2044238700
2000-01-28,2055920064
2000-01-31,1962469152
2000-02-01,1968543461
2000-02-02,2026950281
2000-02-03,2073675737
2000-02-04,2047042227
2000-02-07,2026950281
2000-02-08,1962469152
2000-02-09,1915743696
2000-02-10,1869018240
2000-02-11,1851729821
2000-02-14,1822292784
2000-02-15,1845655512
2000-02-16,1845655512
2000-02-17,1860140403
2000-02-18,1805004365
2000-02-22,1801733583
2000-02-23,1775567328
2000-02-24,1708282671
2000-02-25,1714356980
2000-02-28,1717160508
2000-02-29,1658753688
2000-03-01,1711553453
2000-03-02,1719964035
2000-03-03,1749401072
2000-03-06,1731645399
2000-03-07,1734916181
2000-03-08,1801733583
2000-03-09,1807807892
2000-03-10,1857336876
2000-03-13,1836777675
2000-03-14,1761082436
2000-03-15,1994709716
2000-03-16,2222262687
2000-03-17,2134886084
2000-03-20,2196096432
2000-03-21,2149370976
2000-03-22,2114326884
2000-03-23,2178808013
2000-03-24,2128811775
2000-03-27,2126008248
2000-03-28,2120401193
2000-03-29,2105449047
2000-03-30,2102645520
2000-03-31,2220672547
2000-04-03,2185609296
2000-04-04,2103795045
2000-04-05,2153351106
2000-04-06,2136053235
2000-04-07,2121560425
2000-04-10,2150546046
2000-04-11,2241242987
2000-04-12,2264618488
2000-04-13,2264618488
2000-04-14,2197297047
2000-04-17,2217867487
2000-04-18,2340355110
2000-04-19,2524554054
2000-04-20,2477803053
2000-04-24,2460505182
2000-04-25,2536241804
2000-04-26,2463310242
2000-04-27,2437129682
2000-04-28,2477803053
2000-05-01,2527359114
2000-05-02,2457232612
2000-05-03,2413754181
2000-05-04,2448817432
2000-05-05,2454427552
2000-05-08,2480608113
2000-05-09,2515671363
2000-05-10,2489490803
2000-05-11,2512866303
2000-05-12,2498373493
2000-05-15,2498373493
2000-05-16,2515671363
2000-05-17,2510061243
2000-05-18,2433857112
2000-05-19,2375418360
2000-05-22,2442739802
