,MMC
2000-01-03,25342080000
2000-01-04,24205760000
2000-01-05,23332080000
2000-01-06,24773920000
2000-01-07,25561840000
2000-01-10,25663680000
2000-01-11,25894160000
2000-01-12,25679760000
2000-01-13,26130000000
2000-01-14,27839840000
2000-01-18,27352080000
2000-01-19,27571840000
2000-01-20,27084080000
2000-01-21,27202000000
2000-01-24,27421760000
2000-01-25,27051920000
2000-01-26,27003680000
2000-01-27,27003680000
2000-01-28,25728000000
2000-01-31,25192000000
2000-02-01,26146080000
2000-02-02,25374240000
2000-02-03,25894160000
2000-02-04,25910240000
2000-02-07,25508240000
2000-02-08,25460000000
2000-02-09,24639920000
2000-02-10,23401760000
2000-02-11,22629920000
2000-02-14,22345840000
2000-02-15,22646000000
2000-02-16,22179680000
2000-02-17,23080160000
2000-02-18,22211840000
2000-02-22,21825920000
2000-02-23,21708000000
2000-02-24,21391760000
2000-02-25,20802160000
2000-02-28,20705680000
2000-02-29,20737840000
2000-03-01,20920080000
2000-03-02,21440000000
2000-03-03,21338160000
2000-03-06,20904000000
2000-03-07,19714080000
2000-03-08,19633680000
2000-03-09,19564000000
2000-03-10,19982080000
2000-03-13,20282240000
2000-03-14,21338160000
2000-03-15,24270080000
2000-03-16,26682080000
2000-03-17,25293840000
2000-03-20,24672080000
2000-03-21,25090160000
2000-03-22,25427840000
2000-03-23,25979920000
2000-03-24,25728000000
2000-03-27,24790000000
2000-03-28,25358160000
2000-03-29,25159840000
2000-03-30,27770160000
2000-03-31,29786400000
2000-04-03,28668600000
2000-04-04,28350000000
2000-04-05,27372600000
2000-04-06,28317600000
2000-04-07,27086400000
2000-04-10,27372600000
2000-04-11,27437400000
2000-04-12,27793800000
2000-04-13,27626400000
2000-04-14,25817400000
2000-04-17,24791400000
2000-04-18,25633800000
2000-04-19,25412400000
2000-04-20,26103600000
2000-04-24,26038800000
2000-04-25,27540000000
2000-04-26,27000000000
2000-04-27,27118800000
2000-04-28,26611200000
2000-05-01,27826200000
2000-05-02,27572400000
2000-05-03,26357400000
2000-05-04,26800200000
2000-05-05,26546400000
2000-05-08,27000000000
2000-05-09,26443800000
2000-05-10,25650000000
2000-05-11,26238600000
2000-05-12,25936200000
2000-05-15,28620000000
2000-05-16,29073600000
2000-05-17,28922400000
2000-05-18,28992600000
2000-05-19,28198800000
2000-05-22,28690200000
2000-05-23,28333800000
2000-05-24,28960200000
2000-05-25,29073600000
2000-05-26,29127600000
2000-05-30,29986200000
2000-05-31,29716200000
2000-06-01,29413800000
2000-06-02,29921400000
2000-06-05,28960200000
2000-06-06,27977400000
2000-06-07,28333800000
2000-06-08,27777600000
2000-06-09,27253800000
2000-06-12,27135000000
2000-06-13,27842400000
2000-06-14,29295000000
2000-06-15,29208600000
2000-06-16,28533600000
2000-06-19,28922400000
2000-06-20,28960200000
2000-06-21,28517400000
2000-06-22,27945000000
2000-06-23,28436400000
2000-06-26,29208600000
2000-06-27,29500200000
2000-06-28,29338200000
2000-06-29,29851200000
2000-06-30,28407680000
2000-07-03,28527360000
2000-07-05,29038720000
2000-07-06,28864640000
2000-07-07,29408640000
2000-07-10,29680640000
2000-07-11,29767680000
2000-07-12,29359680000
2000-07-13,30072320000
2000-07-14,30088640000
2000-07-17,29756800000
2000-07-18,29479360000
2000-07-19,29920000000
2000-07-20,30512960000
2000-07-21,30056000000
2000-07-24,30007040000
2000-07-25,31263680000
2000-07-26,31432320000
2000-07-27,32656320000
2000-07-28,31911040000
2000-07-31,33184000000
2000-08-01,33798720000
2000-08-02,32232000000
2000-08-03,32944640000
2000-08-04,33439680000
2000-08-07,33776960000
2000-08-08,33352640000
2000-08-09,33679040000
2000-08-10,33575680000
2000-08-11,33592000000
2000-08-14,33592000000
2000-08-15,32759680000
2000-08-16,32096000000
2000-08-17,32368000000
2000-08-18,31992640000
2000-08-21,32280960000
2000-08-22,31894720000
2000-08-23,32128640000
2000-08-24,31600960000
2000-08-25,31840320000
2000-08-28,32471360000
2000-08-29,32183040000
2000-08-30,32232000000
2000-08-31,32270080000
2000-09-01,32384320000
2000-09-05,32536640000
2000-09-06,32846720000
2000-09-07,32960960000
2000-09-08,33640960000
2000-09-11,34592960000
2000-09-12,34527680000
2000-09-13,34631040000
2000-09-14,34495040000
2000-09-15,33864000000
2000-09-18,33488640000
2000-09-19,33891200000
2000-09-20,33776960000
2000-09-21,33320000000
2000-09-22,35191360000
2000-09-25,35768000000
2000-09-26,35632000000
2000-09-27,35392640000
2000-09-28,36312000000
2000-09-29,36110720000
2000-10-02,36398880000
2000-10-03,36674880000
2000-10-04,36415440000
2000-10-05,37226880000
2000-10-06,35515680000
2000-10-09,35311440000
2000-10-10,35377680000
2000-10-11,35537760000
2000-10-12,31050000000
2000-10-13,32915760000
2000-10-16,31878000000
2000-10-17,31927680000
2000-10-18,31497120000
2000-10-19,33964560000
2000-10-20,34069440000
2000-10-23,34671120000
2000-10-24,35190000000
2000-10-25,35223120000
2000-10-26,33948000000
2000-10-27,34985760000
2000-10-30,36327120000
2000-10-31,36089760000
2000-11-01,35449440000
2000-11-02,35863440000
2000-11-03,35399760000
2000-11-06,36018000000
2000-11-07,35742000000
2000-11-08,34466880000
2000-11-09,34759440000
2000-11-10,35002320000
2000-11-13,33826560000
2000-11-14,34687680000
2000-11-15,34395120000
2000-11-16,34345440000
2000-11-17,33445680000
2000-11-20,32844000000
2000-11-21,31740000000
2000-11-22,30740880000
2000-11-24,31464000000
2000-11-27,31635120000
2000-11-28,31602000000
2000-11-29,31927680000
2000-11-30,31773120000
2000-12-01,32363760000
2000-12-04,32187120000
2000-12-05,33224880000
2000-12-06,33329760000
2000-12-07,33672000000
2000-12-08,34776000000
2000-12-11,35035440000
2000-12-12,33826560000
2000-12-13,33672000000
2000-12-14,32777760000
2000-12-15,31513680000
2000-12-18,32948880000
2000-12-19,30983760000
2000-12-20,30293760000
2000-12-21,30376560000
2000-12-22,31375680000
2000-12-26,32551440000
2000-12-27,32518320000
2000-12-28,32380320000
2000-12-29,32292000000
2001-01-02,31309440000
2001-01-03,32325120000
2001-01-04,30983760000
2001-01-05,29532000000
2001-01-08,29410560000
2001-01-09,29167680000
2001-01-10,28842000000
2001-01-11,28306560000
2001-01-12,27671760000
2001-01-16,28306560000
2001-01-17,28135440000
2001-01-18,27809760000
2001-01-19,27412320000
2001-01-22,27600000000
2001-01-23,28737120000
2001-01-24,29808000000
2001-01-25,29857680000
2001-01-26,29327760000
2001-01-29,29377440000
2001-01-30,30061920000
2001-01-31,29852160000
2001-02-01,30343440000
2001-02-02,30326880000
2001-02-05,30818160000
2001-02-06,30641520000
2001-02-07,31005840000
2001-02-08,31066560000
2001-02-09,31773120000
2001-02-12,31740000000
2001-02-13,31486080000
2001-02-14,30895440000
2001-02-15,30729840000
2001-02-16,30912000000
2001-02-20,30061920000
2001-02-21,29946000000
2001-02-22,29283600000
2001-02-23,29073840000
2001-02-26,29283600000
2001-02-27,30056400000
2001-02-28,29532000000
2001-03-01,29101440000
2001-03-02,28775760000
2001-03-05,28030560000
2001-03-06,27859440000
2001-03-07,28190640000
2001-03-08,28058160000
2001-03-09,27555840000
2001-03-12,26015760000
2001-03-13,26291760000
2001-03-14,25364400000
2001-03-15,26496000000
2001-03-16,26313840000
2001-03-19,26358000000
2001-03-20,25524480000
2001-03-21,24674400000
2001-03-22,24315600000
2001-03-23,24889680000
2001-03-26,25237440000
2001-03-27,25645920000
2001-03-28,25237440000
2001-03-29,25723200000
2001-03-30,26225520000
2001-04-02,26220000000
2001-04-03,25110480000
2001-04-04,24812400000
2001-04-05,25502400000
2001-04-06,23708400000
2001-04-09,22632000000
2001-04-10,24409440000
2001-04-11,25071840000
2001-04-12,25060800000
2001-04-16,25049760000
2001-04-17,25585200000
2001-04-18,26346960000
2001-04-19,26650560000
2001-04-20,26037840000
2001-04-23,25463760000
2001-04-24,24994560000
2001-04-25,25314720000
2001-04-26,26567760000
2001-04-27,27152880000
2001-04-30,26617440000
2001-05-01,27191520000
2001-05-02,27368160000
2001-05-03,26937600000
2001-05-04,27462000000
2001-05-07,27506160000
2001-05-08,27738000000
2001-05-09,27583440000
2001-05-10,27704880000
2001-05-11,27953280000
2001-05-14,27765600000
2001-05-15,28196160000
2001-05-16,28963440000
2001-05-17,28908240000
2001-05-18,28842000000
2001-05-21,29697600000
2001-05-22,30266160000
2001-05-23,30139200000
2001-05-24,30774000000
2001-05-25,29879760000
2001-05-29,29835600000
2001-05-30,29692080000
2001-05-31,28952400000
2001-06-01,28980000000
2001-06-04,29062800000
2001-06-05,29228400000
2001-06-06,29062800000
2001-06-07,29007600000
2001-06-08,29062800000
2001-06-11,29002080000
2001-06-12,29068320000
2001-06-13,28891680000
2001-06-14,28450080000
2001-06-15,28367280000
2001-06-18,28290000000
2001-06-19,28720560000
2001-06-20,29068320000
2001-06-21,29808000000
2001-06-22,29863200000
2001-06-25,29211840000
2001-06-26,28731600000
2001-06-27,28621200000
2001-06-28,28621200000
2001-06-29,27876000000
2001-07-02,28128840000
2001-07-03,28041160000
2001-07-05,27756200000
2001-07-06,27169840000
2001-07-09,27334240000
2001-07-10,26758840000
2001-07-11,26758840000
2001-07-12,27515080000
2001-07-13,27624680000
2001-07-16,27263000000
2001-07-17,27657560000
2001-07-18,27126000000
2001-07-19,27016400000
2001-07-20,26956120000
2001-07-23,26249200000
2001-07-24,26495800000
2001-07-25,26797200000
2001-07-26,26835560000
2001-07-27,26868440000
2001-07-30,26994480000
2001-07-31,27509600000
2001-08-01,27482200000
2001-08-02,27394520000
2001-08-03,27531520000
2001-08-06,27306840000
2001-08-07,27712360000
2001-08-08,27460280000
2001-08-09,27597280000
2001-08-10,27805520000
2001-08-13,27843880000
2001-08-14,27542480000
2001-08-15,27120520000
2001-08-16,26972560000
2001-08-17,26090280000
2001-08-20,26923240000
2001-08-21,26276600000
2001-08-22,26687600000
2001-08-23,26484840000
2001-08-24,27219160000
2001-08-27,26369760000
2001-08-28,25838200000
2001-08-29,25514880000
2001-08-30,25125800000
2001-08-31,25454600000
2001-09-04,25257320000
2001-09-05,25175120000
2001-09-06,24566840000
2001-09-07,23870880000
2001-09-10,23838000000
2001-09-17,23153000000
2001-09-18,22988600000
2001-09-19,22588560000
2001-09-20,22057000000
2001-09-21,22473480000
2001-09-24,23657160000
2001-09-25,24292840000
2001-09-26,25438160000
2001-09-27,25673800000
2001-09-28,26495800000
2001-10-01,26277880000
2001-10-02,26463860000
2001-10-03,28580750000
2001-10-04,27656320000
2001-10-05,28154090000
2001-10-08,27607090000
2001-10-09,27382820000
2001-10-10,28170500000
2001-10-11,28613570000
2001-10-12,28241610000
2001-10-15,28225200000
2001-10-16,28252550000
2001-10-17,28039220000
2001-10-18,27940760000
2001-10-19,26846760000
2001-10-22,28203320000
2001-10-23,27650850000
2001-10-24,27853240000
2001-10-25,28214260000
2001-10-26,28378360000
2001-10-29,27306240000
