,MNK
2013-06-17,2596500000
2013-06-18,2538800000
2013-06-19,2486870000
2013-06-20,2477638000
2013-06-21,2509950000
2013-06-24,2509950000
2013-06-25,2538800000
2013-06-26,2544570000
2013-06-27,2593615000
2013-06-28,2621311000
2020-10-12,63450000
2020-10-13,21150000
2020-10-14,20371680
2020-10-15,12859200
2020-10-16,12258540
2020-10-19,13113000
2020-10-20,14212800
2020-10-21,13231440
2020-10-22,11530134
2020-10-23,11590200
2020-10-26,12681540
2020-10-27,11776320
2020-10-28,12351600
2020-10-29,11928599
2020-10-30,11844000
2020-11-02,12279690
2020-11-03,12317760
2020-11-04,12140099
2020-11-05,11844000
2020-11-06,11437919
2020-11-09,11742480
2020-11-10,11844000
2020-11-11,11344860
2020-11-12,10786500
2020-11-13,10634220
2020-11-16,10422720
2020-11-17,9221400
2020-11-18,8037000
2020-11-19,7614000
2020-11-20,9517500
2020-11-23,22419000
2020-11-24,32613300
2020-11-25,24534000
2020-11-27,25126200
2020-11-30,20727000
2020-12-01,14212800
2020-12-02,14804999
2020-12-03,13959000
2020-12-04,11835540
2020-12-07,12182400
2020-12-08,15312600
2020-12-09,21996000
2020-12-10,28171800
2020-12-11,32790960
2020-12-14,22165200
2020-12-15,35109000
2020-12-16,38907540
2020-12-17,36455832
2020-12-18,33840000
2020-12-21,33048990
2020-12-22,26437500
2020-12-23,23688000
2020-12-24,25180344
2020-12-28,24246360
2020-12-29,21234600
2020-12-30,21150000
2020-12-31,17004600
2021-01-04,22588200
2021-01-05,22588200
2021-01-06,22579740
2021-01-07,22842000
2021-01-08,20870820
2021-01-11,18717750
2021-01-12,20811600
2021-01-13,21116160
2021-01-14,19288800
2021-01-15,20304000
2021-01-19,19331100
2021-01-20,20295540
2021-01-21,19035000
2021-01-22,20295540
2021-01-25,19381860
2021-01-26,19711800
2021-01-27,32994000
2022-06-21,2034351999
2022-06-22,2035200000
2022-06-23,2098800000
2022-06-24,2141200000
2022-06-27,2162400000
2022-06-28,2268400000
2022-06-29,2077600000
2022-06-30,2106008000
2022-07-01,322080000
2022-07-05,322080000
2022-07-06,316140000
2022-07-07,315216000
2022-07-08,314160000
2022-07-11,300300000
2022-07-12,278520000
2022-07-13,273900000
2022-07-14,272712000
2022-07-15,270600000
2022-07-18,250800000
2022-07-19,250800000
2022-07-20,234960000
2022-07-21,224400000
2022-07-22,211200000
2022-07-25,211200000
