,MTG
2000-01-03,6049311019
2000-01-04,5804412518
2000-01-05,5724900018
2000-01-06,5738682184
2000-01-07,5712178017
2000-01-10,5692034851
2000-01-11,5533009850
2000-01-12,5572236017
2000-01-13,5545731850
2000-01-14,5420632183
2000-01-18,5115304182
2000-01-19,5042152682
2000-01-20,4850262515
2000-01-21,4711380681
2000-01-24,4711380681
2000-01-25,4770750015
2000-01-26,4811036348
2000-01-27,4876766682
2000-01-28,4830119348
2000-01-31,4936136015
2000-02-01,4896909848
2000-02-02,4817397348
2000-02-03,4996565515
2000-02-04,4996565515
2000-02-07,4823758348
2000-02-08,4803615181
2000-02-09,4664733348
2000-02-10,4512069347
2000-02-11,4499347347
2000-02-14,4505708347
2000-02-15,4585220847
2000-02-16,4711380681
2000-02-17,4671094348
2000-02-18,4479204180
2000-02-22,4512069347
2000-02-23,4413473847
2000-02-24,4267170846
2000-02-25,4207801513
2000-02-28,4187658346
2000-02-29,3962903012
2000-03-01,3803878011
2000-03-02,3763591678
2000-03-03,3512332177
2000-03-06,3704222344
2000-03-07,3584423511
2000-03-08,3406315510
2000-03-09,3618348844
2000-03-10,3531415177
2000-03-13,3651214011
2000-03-14,3697861344
2000-03-15,3710583345
2000-03-16,4240666680
2000-03-17,4240666680
2000-03-20,4108145846
2000-03-21,4234305679
2000-03-22,4247027680
2000-03-23,4346683347
2000-03-24,4485565180
2000-03-27,4452700014
2000-03-28,4512069347
2000-03-29,4565077681
2000-03-30,4705019681
2000-03-31,4639198362
2000-04-03,4705123253
2000-04-04,4618995573
2000-04-05,4798694065
2000-04-06,4731705870
2000-04-07,4651958018
2000-04-10,5103862512
2000-04-11,4924164019
2000-04-12,4917784191
2000-04-13,5030494488
2000-04-14,4731705870
2000-04-17,4751908659
2000-04-18,4884821745
2000-04-19,4764668315
2000-04-20,4844416167
2000-04-24,4805073894
2000-04-25,5083659722
2000-04-26,5017734832
2000-04-27,4931607152
2000-04-28,5083659722
2000-05-01,5216572809
2000-05-02,5310143621
2000-05-03,5030494488
2000-05-04,5097482683
2000-05-05,4977329253
2000-05-08,5011355003
2000-05-09,4884821745
2000-05-10,4798694065
2000-05-11,4911404363
2000-05-12,5011355003
2000-05-15,5183610363
2000-05-16,5216572809
2000-05-17,4944366808
2000-05-18,5150647918
2000-05-19,4944366808
2000-05-22,5144268090
2000-05-23,5210192981
2000-05-24,5508981598
2000-05-25,5383511645
2000-05-26,5356929028
2000-05-30,5369688684
2000-05-31,5269738043
2000-06-01,5455816364
2000-06-02,5795010560
2000-06-05,5721642536
2000-06-06,5641894685
2000-06-07,5762048115
2000-06-08,5476019153
2000-06-09,5283561004
2000-06-12,5402651129
2000-06-13,5422853919
2000-06-14,5416474090
2000-06-15,5057077105
2000-06-16,4937986980
2000-06-19,4864618956
2000-06-20,4572210167
2000-06-21,4672160807
2000-06-22,4598792784
2000-06-23,4751908659
2000-06-26,4625375401
2000-06-27,4905024534
2000-06-28,4911404363
2000-06-29,4977329253
2000-06-30,4825472834
2000-07-03,4825472834
2000-07-05,5043944790
2000-07-06,4978191095
2000-07-07,5163786204
2000-07-10,5203026312
2000-07-11,5090608704
2000-07-12,5528613161
2000-07-13,5435285335
2000-07-14,5826625879
2000-07-17,5733298052
2000-07-18,5653757291
2000-07-19,5680270878
2000-07-20,5720571531
2000-07-21,5521189356
2000-07-24,5641030770
2000-07-25,5680270878
2000-07-26,5886016314
2000-07-27,6151152184
2000-07-28,6085398488
2000-07-31,6024947509
2000-08-01,5985707401
2000-08-02,5965557075
2000-08-03,5952830553
2000-08-04,6303870445
2000-08-07,6244480010
2000-08-08,6277356858
2000-08-09,6164939249
2000-08-10,6164939249
2000-08-11,6151152184
2000-08-14,6210542618
2000-08-15,6111912075
2000-08-16,6012220988
2000-08-17,6091761749
