,NI
2000-01-03,861426720
2000-01-04,870128000
2000-01-05,906176160
2000-01-06,901204000
2000-01-07,897474880
2000-01-10,918606560
2000-01-11,891259680
2000-01-12,906176160
2000-01-13,897474880
2000-01-14,882558400
2000-01-18,855211520
2000-01-19,878829280
2000-01-20,903690080
2000-01-21,973300320
2000-01-24,1040424479
2000-01-25,964599040
2000-01-26,945953440
2000-01-27,934766080
2000-01-28,897474880
2000-01-31,897474880
2000-02-01,918606560
2000-02-02,906176160
2000-02-03,928550880
2000-02-04,918606560
2000-02-07,878829280
2000-02-08,870128000
2000-02-09,870128000
2000-02-10,857697600
2000-02-11,851482400
2000-02-14,851482400
2000-02-15,857697600
2000-02-16,855211520
2000-02-17,832836800
2000-02-18,817920320
2000-02-22,817920320
2000-02-23,803003840
2000-02-24,784358240
2000-02-25,760740480
2000-02-28,635193440
2000-02-29,631464320
2000-03-01,628978240
2000-03-02,635193440
2000-03-03,650109920
2000-03-06,653839040
2000-03-07,668755520
2000-03-08,683672000
2000-03-09,702317600
2000-03-10,717234080
2000-03-13,720963200
2000-03-14,729664480
2000-03-15,769441760
2000-03-16,790573440
2000-03-17,781872160
2000-03-20,778143040
2000-03-21,775656960
2000-03-22,771927840
2000-03-23,769441760
2000-03-24,781872160
2000-03-27,781872160
2000-03-28,769441760
2000-03-29,796788640
2000-03-30,805489920
2000-03-31,824135520
2000-04-03,778882200
2000-04-04,778882200
2000-04-05,805407600
2000-04-06,802996200
2000-04-07,790939200
2000-04-10,787322100
2000-04-11,790939200
2000-04-12,817464600
2000-04-13,825904500
2000-04-14,823493100
2000-04-17,825904500
2000-04-18,829521600
2000-04-19,805407600
2000-04-20,813847500
2000-04-24,837961500
2000-04-25,862075500
2000-04-26,888600900
2000-04-27,888600900
2000-04-28,876543900
2000-05-01,870515400
2000-05-02,852429900
2000-05-03,846401400
2000-05-04,862075500
2000-05-05,835550100
2000-05-08,874132500
2000-05-09,864486900
2000-05-10,846401400
2000-05-11,870515400
2000-05-12,862075500
2000-05-15,864486900
2000-05-16,856047000
2000-05-17,823493100
2000-05-18,817464600
2000-05-19,802996200
2000-05-22,799379100
2000-05-23,858458400
2000-05-24,862075500
2000-05-25,846401400
2000-05-26,858458400
2000-05-30,852429900
2000-05-31,856047000
2000-06-01,856047000
2000-06-02,841578600
2000-06-05,841578600
2000-06-06,850018500
2000-06-07,843990000
2000-06-08,841578600
2000-06-09,852429900
2000-06-12,856047000
2000-06-13,874132500
2000-06-14,868104000
2000-06-15,868104000
2000-06-16,874132500
2000-06-19,868104000
2000-06-20,862075500
2000-06-21,876543900
2000-06-22,874132500
2000-06-23,882572400
2000-06-26,894629400
2000-06-27,891012300
2000-06-28,903069300
2000-06-29,906686400
2000-06-30,882572400
2000-07-03,890931010
2000-07-05,878875110
2000-07-06,884903060
2000-07-07,882491880
2000-07-10,906603680
2000-07-11,906603680
2000-07-12,900575730
2000-07-13,900575730
2000-07-14,941565790
2000-07-17,956032870
2000-07-18,968088769
2000-07-19,950004920
2000-07-20,968088769
2000-07-21,959649640
2000-07-24,950004920
2000-07-25,959649640
2000-07-26,956032870
2000-07-27,943976970
2000-07-28,939154610
2000-07-31,921070760
2000-08-01,921070760
2000-08-02,929509890
2000-08-03,956032870
2000-08-04,947593740
2000-08-07,959649640
2000-08-08,965677590
2000-08-09,976527900
2000-08-10,976527900
2000-08-11,1000639700
2000-08-14,1009078829
2000-08-15,1036807400
2000-08-16,1039218579
2000-08-17,1036807400
2000-08-18,1045246530
2000-08-21,1051274480
2000-08-22,1047657709
2000-08-23,1083825410
2000-08-24,1104320440
2000-08-25,1110348390
2000-08-28,1128432240
2000-08-29,1128432240
2000-08-30,1140488140
2000-08-31,1134460190
2000-09-01,1142899320
2000-09-05,1169422300
2000-09-06,1173039070
2000-09-07,1173039070
2000-09-08,1208001180
2000-09-11,1222468260
2000-09-12,1234524160
2000-09-13,1246580060
2000-09-14,1220057080
2000-09-15,1195945280
2000-09-18,1173039070
2000-09-19,1128432240
2000-09-20,1112759570
2000-09-21,1092264540
2000-09-22,1118787520
2000-09-25,1136871370
2000-09-26,1163394350
2000-09-27,1175450250
2000-09-28,1163394350
2000-09-29,1154955220
2000-10-02,1148927641
2000-10-03,1140488508
2000-10-04,1122404653
2000-10-05,1157366774
2000-10-06,1232113378
2000-10-09,1205590390
2000-10-10,1205590390
2000-10-11,1187506534
2000-10-12,1163394726
2000-10-13,1157366774
2000-10-16,1154955593
2000-10-17,1151338822
2000-10-18,1122404653
2000-10-19,1140488508
2000-10-20,1136871737
2000-10-23,1151338822
2000-10-24,1140488508
2000-10-25,1136871737
2000-10-26,1136871737
2000-10-27,1130843785
2000-10-30,1134460556
2000-10-31,1181478582
2000-11-01,1177861811
2000-11-02,1173039449
2000-11-03,1157366774
2000-11-06,1169422678
2000-11-07,1167011497
2000-11-08,1154955593
2000-11-09,1136871737
2000-11-10,1148927641
2000-11-13,1157366774
2000-11-14,1175450630
2000-11-15,1175450630
2000-11-16,1177861811
2000-11-17,1173039449
2000-11-20,1222468655
2000-11-21,1189917714
2000-11-22,1183889762
2000-11-24,1181478582
2000-11-27,1163394726
2000-11-28,1183889762
2000-11-29,1208001570
2000-11-30,1216440703
2000-12-01,1240552511
2000-12-04,1255019595
2000-12-05,1261047547
2000-12-06,1270692271
2000-12-07,1305654392
2000-12-08,1309271163
2000-12-11,1323738248
2000-12-12,1326149429
2000-12-13,1311682344
2000-12-14,1317710296
2000-12-15,1314093525
2000-12-18,1394868081
2000-12-19,1382812177
2000-12-20,1409335165
2000-12-21,1403307213
2000-12-22,1423802250
2000-12-26,1492520902
2000-12-27,1462381143
2000-12-28,1472025866
2000-12-29,1456353191
2001-01-02,2427200000
2001-01-03,2361600000
2001-01-04,2195550000
2001-01-05,2250900000
2001-01-08,2306250000
2001-01-09,2255000000
2001-01-10,2250900000
2001-01-11,2205800000
2001-01-12,2209900000
2001-01-16,2175050000
2001-01-17,2205800000
2001-01-18,2195550000
2001-01-19,2195550000
2001-01-22,2216050000
2001-01-23,2250900000
2001-01-24,2255000000
2001-01-25,2205800000
2001-01-26,2189400000
2001-01-29,2189400000
2001-01-30,2168900000
2001-01-31,2166850000
2001-02-01,2134050000
2001-02-02,2088950000
2001-02-05,2142249999
2001-02-06,2170950000
2001-02-07,2150450000
2001-02-08,2199650000
2001-02-09,2234500000
2001-02-12,2238600000
2001-02-13,2267300000
2001-02-14,2265250000
2001-02-15,2265250000
2001-02-16,2304200000
2001-02-20,2248850000
2001-02-21,2248850000
2001-02-22,2250900000
2001-02-23,2220150000
2001-02-26,2252950000
2001-02-27,2273450000
2001-02-28,2306250000
2001-03-01,2318550000
2001-03-02,2343150000
2001-03-05,2369800000
2001-03-06,2369800000
2001-03-07,2312400000
2001-03-08,2353400000
2001-03-09,2332900000
2001-03-12,2361600000
2001-03-13,2365700000
2001-03-14,2359550000
2001-03-15,2378000000
2001-03-16,2375950000
2001-03-19,2390300000
2001-03-20,2402600000
2001-03-21,2378000000
2001-03-22,2314450000
2001-03-23,2334950000
2001-03-26,2412850000
2001-03-27,2392350000
2001-03-28,2410800000
2001-03-29,2412850000
2001-03-30,2507150000
2001-04-02,2529296000
2001-04-03,2519031000
2001-04-04,2506713000
2001-04-05,2535455000
2001-04-06,2465653000
2001-04-09,2562144000
2001-04-10,2597045000
2001-04-11,2525190000
2001-04-12,2504660000
2001-04-16,2461547000
2001-04-17,2523137000
2001-04-18,2541614000
2001-04-19,2467706000
2001-04-20,2420487000
2001-04-23,2428699000
2001-04-24,2420487000
2001-04-25,2416381000
2001-04-26,2371215000
2001-04-27,2356844000
2001-04-30,2395851000
2001-05-01,2424593000
2001-05-02,2379427000
2001-05-03,2369162000
2001-05-04,2391745000
2001-05-07,2375321000
2001-05-08,2389692000
2001-05-09,2459494000
2001-05-10,2438964000
2001-05-11,2436911000
2001-05-14,2434858000
2001-05-15,2420487000
2001-05-16,2420487000
2001-05-17,2416381000
2001-05-18,2449229000
2001-05-21,2480024000
2001-05-22,2482077000
2001-05-23,2494395000
2001-05-24,2498501000
2001-05-25,2449229000
2001-05-29,2457441000
2001-05-30,2488236000
2001-05-31,2525190000
2001-06-01,2500554000
2001-06-04,2508766000
2001-06-05,2502607000
2001-06-06,2395851000
2001-06-07,2336314000
2001-06-08,2348632000
2001-06-11,2340420000
2001-06-12,2375321000
2001-06-13,2352738000
2001-06-14,2295254000
2001-06-15,2313731000
2001-06-18,2295254000
2001-06-19,2268565000
2001-06-20,2266512000
2001-06-21,2204922000
2001-06-22,2186445000
2001-06-25,2167968000
2001-06-26,2178233000
2001-06-27,2194657000
2001-06-28,2188498000
2001-06-29,2204922000
2001-07-02,2220374000
2001-07-03,2214212000
2001-07-05,2261454000
2001-07-06,2284048000
2001-07-09,2253238000
2001-07-10,2220374000
2001-07-11,2146429999
2001-07-12,2111511999
2001-07-13,2099188000
2001-07-16,2117674000
2001-07-17,2058108000
2001-07-18,1994434000
2001-07-19,2027297999
2001-07-20,2047838000
