,NOV
2000-01-03,1046108140
2000-01-04,1019916920
2000-01-05,1036864180
2000-01-06,1076921340
2000-01-07,1153954340
2000-01-10,1144710380
2000-01-11,1144710380
2000-01-12,1095409260
2000-01-13,1140088400
2000-01-14,1161657640
2000-01-18,1206336780
2000-01-19,1337292880
2000-01-20,1318804960
2000-01-21,1448220400
2000-01-24,1466708320
2000-01-25,1523712740
2000-01-26,1528334720
2000-01-27,1412785220
2000-01-28,1363484100
2000-01-31,1340374200
2000-02-01,1368106080
2000-02-02,1394297300
2000-02-03,1394297300
2000-02-04,1354240139
2000-02-07,1408163240
2000-02-08,1394297300
2000-02-09,1372728060
2000-02-10,1680860060
2000-02-11,1680860060
2000-02-14,1577635840
2000-02-15,1640802900
2000-02-16,1657750160
2000-02-17,1631558940
2000-02-18,1609989700
2000-02-22,1613071020
2000-02-23,1568391880
2000-02-24,1613071020
2000-02-25,1600745740
2000-02-28,1631558940
2000-02-29,1734783160
2000-03-01,1711673260
2000-03-02,1913499720
2000-03-03,1854954639
2000-03-06,1824141440
2000-03-07,1819519460
2000-03-08,1770218340
2000-03-09,1788706260
2000-03-10,1770218340
2000-03-13,1824141440
2000-03-14,1774840320
2000-03-15,1699347980
2000-03-16,1895011800
2000-03-17,1868820580
2000-03-20,1805653520
2000-03-21,1845710680
2000-03-22,2073728360
2000-03-23,2029049220
2000-03-24,2136895419
2000-03-27,2092216280
2000-03-28,2073728360
2000-03-29,2244741620
2000-03-30,2176952580
2000-03-31,2288959560
2000-04-03,2225066760
2000-04-04,2071724040
2000-04-05,1947133080
2000-04-06,2015817839
2000-04-07,2237845320
2000-04-10,2142006120
2000-04-11,2127630240
2000-04-12,2201106960
2000-04-13,2076516000
2000-04-14,2025401760
2000-04-17,1849696560
2000-04-18,1951925040
2000-04-19,1918381320
2000-04-20,1993455360
2000-04-24,1998247320
2000-04-25,1788998400
2000-04-26,1701145800
2000-04-27,1761843960
2000-04-28,1774622520
2000-05-01,1854488520
2000-05-02,1854488520
2000-05-03,1825736760
2000-05-04,1849696560
2000-05-05,1872059040
2000-05-08,1854488520
2000-05-09,1918381320
2000-05-10,1955119680
2000-05-11,2122838279
2000-05-12,2030193720
2000-05-15,2086099920
2000-05-16,2095683839
2000-05-17,2118046320
2000-05-18,1983871440
2000-05-19,2047764240
2000-05-22,1947133080
2000-05-23,2025401760
2000-05-24,2044569600
2000-05-25,1955119680
2000-05-26,1947133080
2000-05-30,1942341120
2000-05-31,1927965240
2000-06-01,1947133080
2000-06-02,1835320680
2000-06-05,1765038600
2000-06-06,1793790360
2000-06-07,1844904600
2000-06-08,1798582320
2000-06-09,1808166240
2000-06-12,1942341120
2000-06-13,2066932080
2000-06-14,2090891880
2000-06-15,2145200760
2000-06-16,2210690880
2000-06-19,2225066760
2000-06-20,2266597080
2000-06-21,2364033600
2000-06-22,2308127400
2000-06-23,2368825560
2000-06-26,2364033600
2000-06-27,2335281840
2000-06-28,2373617520
2000-06-29,2354449680
2000-06-30,2444987720
2000-07-03,2454601040
2000-07-05,2315207900
2000-07-06,2305594580
2000-07-07,2287970160
2000-07-10,2249516880
2000-07-11,2371285600
2000-07-12,2329627880
2000-07-13,2366478940
2000-07-14,2427363300
2000-07-17,2432169960
2000-07-18,2481838780
2000-07-19,2505872080
2000-07-20,2481838780
2000-07-21,2454601040
2000-07-24,2371285600
2000-07-25,2356865620
2000-07-26,2347252300
2000-07-27,2444987720
2000-07-28,2478634340
2000-07-31,2454601040
2000-08-01,2561949780
2000-08-02,2784658360
2000-08-03,2706149580
2000-08-04,2789465020
2000-08-07,2696536259
2000-08-08,2733387320
2000-08-09,2762227279
2000-08-10,2706149580
2000-08-11,2626038580
2000-08-14,2706149580
2000-08-15,2654878540
2000-08-16,2686922940
2000-08-17,2686922940
2000-08-18,2682116279
2000-08-21,2650071880
2000-08-22,2635651900
2000-08-23,2645265220
2000-08-24,2626038580
2000-08-25,2630845240
2000-08-28,2650071880
2000-08-29,2640458560
2000-08-30,2603607500
2000-08-31,2579574200
2000-09-01,2645265220
2000-09-05,2598800840
2000-09-06,2650071880
2000-09-07,2589187520
2000-09-08,2542723140
2000-09-11,2654878540
2000-09-12,2635651900
2000-09-13,2593994180
2000-09-14,2593994180
2000-09-15,2593994180
2000-09-18,2491452100
2000-09-19,2393716680
2000-09-20,2268743520
2000-09-21,2102112639
2000-09-22,2026808300
2000-09-25,2054046040
2000-09-26,2195041400
2000-09-27,2310401240
2000-09-28,2315207900
2000-09-29,2324821220
2000-10-02,2387318440
2000-10-03,2353581100
2000-10-04,2204172880
2000-10-05,2191320560
2000-10-06,2167222460
2000-10-09,2186500940
2000-10-10,2377679200
