,NTRS
2000-01-03,11163930588
2000-01-04,10438396760
2000-01-05,10672868058
2000-01-06,10894067396
2000-01-07,11033422979
2000-01-10,10756923806
2000-01-11,10562268389
2000-01-12,11046694939
2000-01-13,12123935715
2000-01-14,12139419669
2000-01-18,12289835219
2000-01-19,12650390140
2000-01-20,11931492291
2000-01-21,12179235550
2000-01-24,11820892622
2000-01-25,12110663755
2000-01-26,12608362266
2000-01-27,12305319172
2000-01-28,11944764252
2000-01-31,13356016028
2000-02-01,13411315862
2000-02-02,13030853001
2000-02-03,12621634226
2000-02-04,12871589478
2000-02-07,13106060776
2000-02-08,13141452670
2000-02-09,12663662100
2000-02-10,12676934060
2000-02-11,12351771033
2000-02-14,12194719503
2000-02-15,12968917186
2000-02-16,12718961935
2000-02-17,13024217021
2000-02-18,12953433233
2000-02-22,12581818345
2000-02-23,12732233895
2000-02-24,12484490636
2000-02-25,12318591133
2000-02-28,12774261769
2000-02-29,12497762597
2000-03-01,12471218676
2000-03-02,12484490636
2000-03-03,12608362266
2000-03-06,12497762597
2000-03-07,12429190802
2000-03-08,11918220331
2000-03-09,11710292953
2000-03-10,11570937370
2000-03-13,12068635881
2000-03-14,11986792126
2000-03-15,12539790471
2000-03-16,14738511890
2000-03-17,14004130088
2000-03-20,13285232240
2000-03-21,14895563420
2000-03-22,16216123468
2000-03-23,15939624296
2000-03-24,14849111559
2000-03-27,13866986499
2000-03-28,14572612387
2000-03-29,14446528764
2000-03-30,14267357301
2000-03-31,14931475663
2000-04-03,15554725535
2000-04-04,15048611277
2000-04-05,14683943798
2000-04-06,15223209645
2000-04-07,14794449095
2000-04-10,14820970366
2000-04-11,15159116573
2000-04-12,14765717718
2000-04-13,13992180642
2000-04-14,12776622381
2000-04-17,12997632974
2000-04-18,15470741510
2000-04-19,14378949180
2000-04-20,14476193841
2000-04-24,14297175261
2000-04-25,14518185854
2000-04-26,14641951786
2000-04-27,14283914625
2000-04-28,14173409329
2000-05-01,14462933205
2000-05-02,14310435896
2000-05-03,14268443884
2000-05-04,14062904032
2000-05-05,13965659371
2000-05-08,14615430515
2000-05-09,14710465070
2000-05-10,14518185854
2000-05-11,14836441108
2000-05-12,15318244200
2000-05-15,15886241424
2000-05-16,15444220238
2000-05-17,15373496849
2000-05-18,15291722929
2000-05-19,14599959773
2000-05-22,14946946404
2000-05-23,15249730917
2000-05-24,15428749497
2000-05-25,14173409329
2000-05-26,14573438502
2000-05-30,14268443884
2000-05-31,14544707125
2000-06-01,14986728311
2000-06-02,15484002145
2000-06-05,15457480874
2000-06-06,15278462294
2000-06-07,15665230831
2000-06-08,15181217633
2000-06-09,14504925218
2000-06-12,15152486256
2000-06-13,14807709731
2000-06-14,15015459688
2000-06-15,14462933205
2000-06-16,13744648778
2000-06-19,14849701743
2000-06-20,14739196447
2000-06-21,14615430515
2000-06-22,15333714942
2000-06-23,14599959773
2000-06-26,14973467675
2000-06-27,15057451701
2000-06-28,14739196447
2000-06-29,14339167273
2000-06-30,14361954923
2000-07-03,15094842877
2000-07-05,15150030223
2000-07-06,14969015729
2000-07-07,15231707496
2000-07-10,15452456880
2000-07-11,15591528991
2000-07-12,15796825919
2000-07-13,15701903683
2000-07-14,16198589797
2000-07-17,16666578492
2000-07-18,16474526527
2000-07-19,16679823455
2000-07-20,16717350850
2000-07-21,16267022106
2000-07-24,16542958836
2000-07-25,16551788812
2000-07-26,16046272722
2000-07-27,16624636109
2000-07-28,16501016454
2000-07-31,16529713873
2000-08-01,16501016454
2000-08-02,16708520874
2000-08-03,17081587333
2000-08-04,17536331064
2000-08-07,17315581680
2000-08-08,17247149371
2000-08-09,17273639298
2000-08-10,17673195683
2000-08-11,17728383029
2000-08-14,17893945067
2000-08-15,17659950720
2000-08-16,17302336717
2000-08-17,17342071607
2000-08-18,17136774679
2000-08-21,17342071607
2000-08-22,17549576028
2000-08-23,17498803669
2000-08-24,17494388682
2000-08-25,17467898755
2000-08-28,17922642486
2000-08-29,17633460793
2000-08-30,18156636834
2000-08-31,18611380565
2000-09-01,18322198872
2000-09-05,18377386218
2000-09-06,18670982898
2000-09-07,18916014714
2000-09-08,19344268519
2000-09-11,19620205249
2000-09-12,19854199596
2000-09-13,19509830557
2000-09-14,19412700828
2000-09-15,18818884986
2000-09-18,18185334253
2000-09-19,18542948256
2000-09-20,18322198872
2000-09-21,17922642486
2000-09-22,18315576390
2000-09-25,18750452676
2000-09-26,18971202060
2000-09-27,19068331789
2000-09-28,19688637558
2000-09-29,19620205249
2000-10-02,19272581740
2000-10-03,19135630443
2000-10-04,18362518281
2000-10-05,18733612119
2000-10-06,18278580389
2000-10-09,18333802687
2000-10-10,17739610768
2000-10-11,16966498607
2000-10-12,16124910797
2000-10-13,16719102715
2000-10-16,16719102715
2000-10-17,16787578364
2000-10-18,16345799986
2000-10-19,16898022958
2000-10-20,16663880418
2000-10-23,16442991229
2000-10-24,17547437174
2000-10-25,17726357417
2000-10-26,17671135120
2000-10-27,17810295309
2000-10-30,18996470254
2000-10-31,18859518956
2000-11-01,19259328388
2000-11-02,19522186523
2000-11-03,19175390497
2000-11-06,19493470929
2000-11-07,19285835091
2000-11-08,19645884469
2000-11-09,19725404577
2000-11-10,19411741929
2000-11-13,19051692551
2000-11-14,19120168199
2000-11-15,18927994605
2000-11-16,18623167524
2000-11-17,18002468903
2000-11-20,18141629092
2000-11-21,18006886687
2000-11-22,17730775201
2000-11-24,18057691200
2000-11-27,18044437849
2000-11-28,18693852065
2000-11-29,19383026334
2000-11-30,19025185848
2000-12-01,18665136470
2000-12-04,18448665065
2000-12-05,19522186523
2000-12-06,19798298010
2000-12-07,19921995955
2000-12-08,19038439199
2000-12-11,18830803362
2000-12-12,18954501308
2000-12-13,18567945227
2000-12-14,18623167524
2000-12-15,18417740578
2000-12-18,18859518956
2000-12-19,18472962876
2000-12-20,18112913498
2000-12-21,18265327038
2000-12-22,18216731416
2000-12-26,18126166849
2000-12-27,17865517606
2000-12-28,18099660146
2000-12-29,18015722254
2001-01-02,17738727034
2001-01-03,18013471245
2001-01-04,17559257026
2001-01-05,16894553290
2001-01-08,16493515369
2001-01-09,15855399782
2001-01-10,16314045360
2001-01-11,16008281642
2001-01-12,15403401242
2001-01-16,15593949646
2001-01-17,15538557668
2001-01-18,14636776266
2001-01-19,14304424398
2001-01-22,15330283831
2001-01-23,16340633510
