,NVR
2000-01-03,442112380
2000-01-04,436771426
2000-01-05,435584547
2000-01-06,435584547
2000-01-07,443892699
2000-01-10,449827093
2000-01-11,451013972
2000-01-12,453981169
2000-01-13,464069640
2000-01-14,463476200
2000-01-18,453387730
2000-01-19,453387730
2000-01-20,458135245
2000-01-21,461102442
2000-01-24,462882761
2000-01-25,467630276
2000-01-26,461695882
2000-01-27,447453335
2000-01-28,440332062
2000-01-31,429650152
2000-02-01,426089516
2000-02-02,423715758
2000-02-03,421342000
2000-02-04,430243592
2000-02-07,435584547
2000-02-08,435584547
2000-02-09,419561682
2000-02-10,401165059
2000-02-11,403538817
2000-02-14,405912575
2000-02-15,411846969
2000-02-16,416594485
2000-02-17,418968242
2000-02-18,410066651
2000-02-22,407099454
2000-02-23,413033848
2000-02-24,423715758
2000-02-25,418968242
2000-02-28,418968242
2000-02-29,418968242
2000-03-01,421342000
2000-03-02,422528879
2000-03-03,419561682
2000-03-06,423715758
2000-03-07,421342000
2000-03-08,418968242
2000-03-09,424902637
2000-03-10,423715758
2000-03-13,421342000
2000-03-14,423122318
2000-03-15,423122318
2000-03-16,443892699
2000-03-17,470004034
2000-03-20,479499065
2000-03-21,491367854
2000-03-22,518072628
2000-03-23,513918552
2000-03-24,510951355
2000-03-27,504423521
2000-03-28,494335051
2000-03-29,491961293
2000-03-30,512731674
2000-03-31,491201982
2000-04-03,493476065
2000-04-04,495181627
2000-04-05,499161273
2000-04-06,507689085
2000-04-07,508257606
2000-04-10,503709439
2000-04-11,500298315
2000-04-12,498592752
2000-04-13,498024231
2000-04-14,489496419
2000-04-17,479831565
2000-04-18,479831565
2000-04-19,480400086
2000-04-20,483811211
2000-04-24,487790857
2000-04-25,486653815
2000-04-26,536683647
2000-04-27,536683647
2000-04-28,563972646
2000-05-01,575343062
2000-05-02,563972646
2000-05-03,554876313
2000-05-04,560561521
2000-05-05,568520812
2000-05-08,566815250
2000-05-09,569657854
2000-05-10,567383770
2000-05-11,567383770
2000-05-12,567383770
2000-05-15,563404125
2000-05-16,561698562
2000-05-17,557150396
2000-05-18,548054063
2000-05-19,538389209
2000-05-22,521333585
2000-05-23,517353939
2000-05-24,511668731
2000-05-25,504846481
2000-05-26,501435356
2000-05-30,507120564
2000-05-31,500298315
2000-06-01,501435356
2000-06-02,506552043
2000-06-05,512237252
2000-06-06,516216897
2000-06-07,514511335
2000-06-08,515648376
2000-06-09,504846481
2000-06-12,498592752
2000-06-13,503709439
2000-06-14,505983523
2000-06-15,511668731
2000-06-16,503709439
2000-06-19,508257606
2000-06-20,501435356
2000-06-21,500866835
2000-06-22,493476065
2000-06-23,495750148
2000-06-26,502572398
2000-06-27,513374293
2000-06-28,525313230
2000-06-29,533272522
2000-06-30,507727785
2000-07-03,511068099
2000-07-05,515521851
2000-07-06,525542795
2000-07-07,542801085
2000-07-10,535563738
2000-07-11,533336861
2000-07-12,528883109
2000-07-13,531666704
2000-07-14,532223423
2000-07-17,532780142
2000-07-18,532223423
2000-07-19,534450300
2000-07-20,550595152
2000-07-21,546698119
2000-07-24,544471243
2000-07-25,533336861
2000-07-26,525542795
2000-07-27,527769671
2000-07-28,533893580
2000-07-31,548924995
2000-08-01,553378748
2000-08-02,567853443
2000-08-03,570080320
2000-08-04,591235644
2000-08-07,645794112
2000-08-08,646907550
2000-08-09,630205978
2000-08-10,619071597
2000-08-11,641340360
2000-08-14,658598650
2000-08-15,629092540
2000-08-16,632432855
2000-08-17,629092540
2000-08-18,632432855
2000-08-21,639670202
2000-08-22,633546293
2000-08-23,621298473
2000-08-24,624638788
2000-08-25,620185035
2000-08-28,624638788
2000-08-29,629092540
2000-08-30,635773169
2000-08-31,654701617
2000-09-01,641340360
2000-09-05,643567236
2000-09-06,654144898
2000-09-07,670846470
2000-09-08,686991323
2000-09-11,697012266
2000-09-12,701466018
2000-09-13,702579456
2000-09-14,697012266
2000-09-15,697568985
2000-09-18,690888356
2000-09-19,690888356
2000-09-20,710930242
2000-09-21,709816804
2000-09-22,701466018
2000-09-25,705029038
2000-09-26,703692895
2000-09-27,705919771
2000-09-28,719281028
2000-09-29,721507905
2000-10-02,680647652
2000-10-03,679896318
2000-10-04,663700344
2000-10-05,660360954
2000-10-06,638655048
2000-10-09,634480832
2000-10-10,651845587
2000-10-11,666204898
2000-10-12,662949018
2000-10-13,661696737
2000-10-16,668709386
2000-10-17,668959831
2000-10-18,663783845
2000-10-19,672466222
2000-10-20,687910813
2000-10-23,697094072
2000-10-24,709616720
2000-10-25,728066746
2000-10-26,742426057
2000-10-27,795188148
2000-10-30,834175308
2000-10-31,863227885
2000-11-01,839768741
2000-11-02,841855849
2000-11-03,859638051
2000-11-06,861975604
2000-11-07,874331308
2000-11-08,862059105
2000-11-09,851540064
2000-11-10,802952189
2000-11-13,806458514
2000-11-14,851540064
2000-11-15,838599969
2000-11-16,788425934
2000-11-17,805623688
2000-11-20,761794420
