,NXPI
2010-08-06,3322130000
2010-08-09,3322130000
2010-08-10,3227212000
2010-08-11,3025511250
2010-08-12,2940085050
2010-08-13,2847540000
2010-08-16,2795335100
2010-08-17,2899744900
2010-08-18,2847540000
2010-08-19,2740757250
2010-08-20,2645839250
2010-08-23,2605499100
2010-08-24,2534310600
2010-08-25,2550921250
2010-08-26,2610245000
2010-08-27,2636347450
2010-08-30,2633974500
2010-08-31,2629228600
2010-09-01,2783470350
2010-09-02,2816691650
2010-09-03,2821437550
2010-09-07,2854658850
2010-09-08,2885507200
2010-09-09,2823810500
2010-09-10,2842794100
2010-09-13,2833302300
2010-09-14,2904490800
2010-09-15,2959068650
2010-09-16,2852285900
2010-09-17,2866523600
2010-09-20,3011273550
2010-09-21,2968560450
2010-09-22,2890253100
2010-09-23,2847540000
2010-09-24,2899744900
2010-09-27,2906863750
2010-09-28,2992289950
2010-09-29,2978052250
2010-09-30,2940085050
2010-10-01,3084561600
2010-10-04,3082066000
2010-10-05,3082066000
2010-10-06,3112013200
2010-10-07,2957286000
2010-10-08,2989728800
2010-10-11,3007198000
2010-10-12,3069588000
2010-10-13,3012189200
2010-10-14,3032154000
2010-10-15,2979746400
2010-10-18,3054614400
2010-10-19,3022171600
2010-10-20,3044632000
2010-10-21,3057110000
2010-10-22,3077074800
2010-10-25,3087057200
2010-10-26,3064596800
2010-10-27,3186881200
2010-10-28,3291696400
2010-10-29,3291696400
2010-11-01,3166916400
2010-11-02,3311661200
2010-11-03,3403998400
2010-11-04,3486353200
2010-11-05,3486353200
2010-11-08,3436441200
2010-11-09,3401502800
2010-11-10,3324139200
2010-11-11,3209341600
2010-11-12,3199359200
2010-11-15,3239288800
2010-11-16,3204350400
2010-11-17,3194368000
2010-11-18,3219324000
2010-11-19,3219324000
2010-11-22,3241784400
2010-11-23,3194368000
2010-11-24,3159429600
2010-11-26,3201854800
2010-11-29,3176898800
2010-11-30,3139464800
2010-12-01,3309165600
2010-12-02,3488848800
2010-12-03,4027898400
2010-12-06,3977986400
2010-12-07,4085297200
2010-12-08,4601886400
2010-12-09,4774082800
2010-12-10,4978722000
2010-12-13,4706701600
2010-12-14,4674258800
2010-12-15,4574434800
2010-12-16,4601886400
2010-12-17,4519531600
2010-12-20,4641816000
2010-12-21,4804030000
2010-12-22,5053590000
2010-12-23,5013660400
2010-12-27,5041112000
2010-12-28,5063572400
2010-12-29,5168387600
2010-12-30,5165892000
2010-12-31,5223290800
2011-01-03,5366114860
2011-01-04,5511348020
2011-01-05,5854398760
2011-01-06,5819342480
2011-01-07,5739213840
2011-01-10,5864414840
2011-01-11,6009648000
2011-01-12,5909487200
2011-01-13,5841878660
