,PANW
2012-07-20,1377076470
2012-07-23,1335087690
2012-07-24,1438504500
2012-07-25,1527925050
2012-07-26,1552029720
2012-07-27,1477383000
2012-07-30,1425285809
2012-07-31,3818362950
2012-08-01,3754222470
2012-08-02,3682064430
2012-08-03,3660016140
2012-08-06,3660016140
2012-08-07,3794310270
2012-08-08,4070916089
2012-08-09,4096973160
2012-08-10,4096973160
2012-08-13,4191179490
2012-08-14,3994749270
2012-08-15,4191179490
2012-08-16,4443732630
2012-08-17,4495846770
2012-08-20,4373578980
2012-08-21,4297412160
2012-08-22,4225254119
2012-08-23,4285385820
2012-08-24,4327478010
2012-08-27,4255319970
2012-08-28,4269350700
2012-08-29,4325473620
2012-08-30,4237280460
2012-08-31,4301420940
2012-09-04,4690272600
2012-09-05,4676241870
2012-09-06,4770448200
2012-09-07,4726351620
2012-09-10,4794500880
2012-09-11,4449745800
2012-09-12,4333491180
2012-09-13,4541947740
2012-09-14,4475802870
2012-09-17,4537938960
2012-09-18,4622123340
2012-09-19,4543952130
2012-09-20,4345517520
2012-09-21,4277368260
2012-09-24,4319460450
2012-09-25,4287390210
2012-09-26,4225254119
2012-09-27,4347521910
2012-09-28,4113008280
2012-10-01,4048867800
2012-10-02,4143074130
2012-10-03,4399636050
2012-10-04,4393622880
2012-10-05,4143074130
2012-10-08,4147082910
2012-10-09,4139065349
2012-10-10,4104990720
2012-10-11,4072920480
2012-10-12,4207214609
2012-10-15,4379592150
2012-10-16,4381596540
2012-10-17,4375583370
2012-10-18,4135056570
2012-10-19,4010784390
2012-10-22,4008780000
2012-10-23,3992744880
2012-10-24,3992744880
2012-10-25,3878494650
2012-10-26,3762240030
2012-10-31,3720128489
2012-11-01,3801309690
2012-11-02,3693744600
2012-11-05,3774925800
2012-11-06,3748541910
2012-11-07,3647065410
2012-11-08,3515145960
2012-11-09,3517175489
2012-11-12,3537470790
2012-11-13,3598356690
2012-11-14,3543559380
2012-11-15,3476584890
2012-11-16,3602415750
2012-11-19,3789132510
2012-11-20,3681567420
2012-11-21,3750571440
2012-11-23,3748541910
2012-11-26,3781014390
2012-11-27,3791162040
2012-11-28,3691715070
2012-11-29,3778984860
2012-11-30,3681567420
2012-12-03,3494850660
2012-12-04,3628799640
2012-12-05,3525293610
2012-12-06,3470496300
2012-12-07,3470496300
2012-12-10,3302045310
2012-12-11,3308133900
2012-12-12,3332488260
2012-12-13,3312192960
2012-12-14,3369019800
2012-12-17,3383226510
2012-12-18,3515145960
2012-12-19,3523264080
2012-12-20,3502968780
2012-12-21,3697803660
2012-12-24,3705921780
2012-12-26,3604445280
2012-12-27,3576031860
2012-12-28,3559795620
2012-12-31,3620681520
2013-01-02,3466437239
2013-01-03,3338576850
2013-01-04,3263484239
2013-01-07,3194480220
2013-01-08,3222893640
2013-01-09,3381196980
2013-01-10,3423817110
2013-01-11,3571972800
2013-01-14,3541529850
2013-01-15,3657213060
2013-01-16,3703892250
2013-01-17,3685626480
2013-01-18,3744482850
2013-01-22,3738394260
2013-01-23,3781014390
2013-01-24,3789132510
2013-01-25,3837841230
2013-01-28,3886549949
2013-01-29,3843929820
2013-01-30,3649094940
2013-01-31,3850976250
2013-02-01,3786271500
2013-02-04,3711130500
2013-02-05,3744526500
2013-02-06,3767486250
2013-02-07,3767486250
2013-02-08,3830103750
2013-02-11,3823842000
2013-02-12,3944902499
2013-02-13,3838452750
2013-02-14,3878110499
2013-02-15,3840539999
2013-02-19,3861412500
2013-02-20,3813405750
2013-02-21,3800882250
2013-02-22,3986647500
2013-02-25,3982472999
2013-02-26,3965775000
2013-02-27,4030479749
2013-02-28,4253815500
2013-03-01,4074312000
2013-03-04,3896895750
2013-03-05,3955338750
2013-03-06,3921942750
2013-03-07,3924030000
2013-03-08,3892721249
2013-03-11,3878110499
2013-03-12,3901070250
2013-03-13,3924030000
2013-03-14,3936553500
2013-03-15,3915681000
2013-03-18,3903157500
2013-03-19,3894808500
2013-03-20,3890634000
