,PH
2000-01-03,5314462671
2000-01-04,5103778687
2000-01-05,5103778687
2000-01-06,5198504819
2000-01-07,5675401900
2000-01-10,5606807114
2000-01-11,5464717916
2000-01-12,5539845538
2000-01-13,5471250753
2000-01-14,5402655967
2000-01-18,5084180177
2000-01-19,5213203702
2000-01-20,5178906309
2000-01-21,5090713014
2000-01-24,4824499917
2000-01-25,4695476392
2000-01-26,4798368570
2000-01-27,4777136851
2000-01-28,4594217423
2000-01-31,4708542065
2000-02-01,4804901407
2000-02-02,4688943555
2000-02-03,4635047652
2000-02-04,4566452867
2000-02-07,4457027852
2000-02-08,4457027852
2000-02-09,4212046475
2000-02-10,4117320342
2000-02-11,3865806129
2000-02-14,4158150572
2000-02-15,4538688311
2000-02-16,4566452867
2000-02-17,4409664786
2000-02-18,4484792408
2000-02-22,4497858081
2000-02-23,4491325245
2000-02-24,4076490113
2000-02-25,3736782603
2000-02-28,3803744180
2000-02-29,3947466588
2000-03-01,4035659883
2000-03-02,3885404639
2000-03-03,3913169195
2000-03-06,3859273292
2000-03-07,3709018047
2000-03-08,3838041573
2000-03-09,3919702032
2000-03-10,3865806129
2000-03-13,3810277016
2000-03-14,3695952374
2000-03-15,3973597934
2000-03-16,4381900229
2000-03-17,4136918852
2000-03-20,4274108424
2000-03-21,4198980801
2000-03-22,4069957276
2000-03-23,4198980801
2000-03-24,4259409541
2000-03-27,4136918852
2000-03-28,4409664786
2000-03-29,4491325245
2000-03-30,4525622637
2000-03-31,4696045698
2000-04-03,4754021571
2000-04-04,4888730216
2000-04-05,4846100898
2000-04-06,4967168162
2000-04-07,4994450926
2000-04-10,5072888871
2000-04-11,5200776826
2000-04-12,5350832026
2000-04-13,5086530253
2000-04-14,4675583625
2000-04-17,4788125025
2000-04-18,4823933653
2000-04-19,4866562971
2000-04-20,5030259553
2000-04-24,5043900935
2000-04-25,5350832026
2000-04-26,5243406144
2000-04-27,5272394081
2000-04-28,5286035463
2000-05-01,5292856153
2000-05-02,5272394081
2000-05-03,5151326817
2000-05-04,5144506126
2000-05-05,5485540672
2000-05-08,5272394081
2000-05-09,5095056117
2000-05-10,5072888871
2000-05-11,5193956135
2000-05-12,5164968199
2000-05-15,5171788890
2000-05-16,5315023399
2000-05-17,5193956135
2000-05-18,5164968199
2000-05-19,5279214772
2000-05-22,5180314753
2000-05-23,5122338880
2000-05-24,5016618171
2000-05-25,4987630235
2000-05-26,4852921589
2000-05-30,4866562971
2000-05-31,4738675016
2000-06-01,5016618171
2000-06-02,4994450926
2000-06-05,4924538844
2000-06-06,4967168162
2000-06-07,4909192289
2000-06-08,4810292271
2000-06-09,4767662953
2000-06-12,4692635352
2000-06-13,4603966371
