,PKG
2000-01-28,1218996000
2000-01-31,1225090980
2000-02-01,1218996000
2000-02-02,1225090980
2000-02-03,1218996000
2000-02-04,1156014540
2000-02-07,1098112230
2000-02-08,1003640040
2000-02-09,1029035790
2000-02-10,1079827290
2000-02-11,1021924980
2000-02-14,996529230
2000-02-15,1060526520
2000-02-16,1072716480
2000-02-17,1054431540
2000-02-18,1066621500
2000-02-22,1047320730
2000-02-23,1029035790
2000-02-24,1009735020
2000-02-25,1060526520
2000-02-28,1021924980
2000-02-29,1105223040
2000-03-01,1117413000
2000-03-02,1168204500
2000-03-03,1111318020
2000-03-06,1092017250
2000-03-07,1041225750
2000-03-08,1054431540
2000-03-09,1066621500
2000-03-10,1041225750
2000-03-13,990434250
2000-03-14,1003640040
2000-03-15,978244290
2000-03-16,990434250
2000-03-17,971133480
2000-03-20,978244290
2000-03-21,978244290
2000-03-22,971133480
2000-03-23,984339270
2000-03-24,990434250
2000-03-27,1003640040
2000-03-28,996529230
2000-03-29,996529230
2000-03-30,996529230
2000-03-31,1111425000
2000-04-03,1091313500
2000-04-04,1064851000
2000-04-05,1084962500
2000-04-06,1144238500
2000-04-07,1111425000
2000-04-10,1091313500
2000-04-11,1117776000
2000-04-12,1144238500
2000-04-13,1125185500
2000-04-14,1072260500
2000-04-17,1098723000
2000-04-18,1125185500
2000-04-19,1157999000
2000-04-20,1125185500
2000-04-24,1151648000
2000-04-25,1190812500
2000-04-26,1164350000
2000-04-27,1144238500
2000-04-28,1257498000
2000-05-01,1231035500
2000-05-02,1243737500
2000-05-03,1223626000
2000-05-04,1243737500
2000-05-05,1263849000
2000-05-08,1257498000
2000-05-09,1250088500
2000-05-10,1270200000
2000-05-11,1270200000
2000-05-12,1270200000
2000-05-15,1336885500
2000-05-16,1310423000
2000-05-17,1310423000
2000-05-18,1270200000
2000-05-19,1283960500
2000-05-22,1250088500
2000-05-23,1231035500
2000-05-24,1204573000
2000-05-25,1210924000
2000-05-26,1257498000
2000-05-30,1237386500
2000-05-31,1217275000
2000-06-01,1190812500
2000-06-02,1170701000
2000-06-05,1178110500
2000-06-06,1197163500
2000-06-07,1190812500
2000-06-08,1170701000
2000-06-09,1190812500
2000-06-12,1204573000
2000-06-13,1217275000
2000-06-14,1223626000
2000-06-15,1190812500
2000-06-16,1131536500
2000-06-19,1164350000
2000-06-20,1111425000
2000-06-21,1164350000
2000-06-22,1131536500
2000-06-23,1111425000
2000-06-26,1125185500
2000-06-27,1164350000
2000-06-28,1231035500
2000-06-29,1283960500
2000-06-30,1073415320
2000-07-03,1198452840
2000-07-05,1192095000
2000-07-06,1192095000
2000-07-07,1179379320
2000-07-10,1165604000
2000-07-11,1192095000
2000-07-12,1218586000
2000-07-13,1238719160
2000-07-14,1258852320
2000-07-17,1265210160
2000-07-18,1258852320
2000-07-19,1218586000
2000-07-20,1232361320
2000-07-21,1232361320
2000-07-24,1179379320
2000-07-25,1152888320
2000-07-26,1145470840
2000-07-27,1152888320
2000-07-28,1152888320
2000-07-31,1205870320
2000-08-01,1159246160
2000-08-02,1165604000
2000-08-03,1139113000
2000-08-04,1159246160
2000-08-07,1179379320
2000-08-08,1132755160
2000-08-09,1232361320
2000-08-10,1165604000
2000-08-11,1218586000
2000-08-14,1212228160
2000-08-15,1198452840
2000-08-16,1232361320
2000-08-17,1224943840
2000-08-18,1192095000
2000-08-21,1139113000
2000-08-22,1232361320
2000-08-23,1198452840
2000-08-24,1192095000
2000-08-25,1245077000
2000-08-28,1258852320
2000-08-29,1245077000
2000-08-30,1238719160
2000-08-31,1238719160
2000-09-01,1277925840
2000-09-05,1351041000
2000-09-06,1351041000
2000-09-07,1324550000
2000-09-08,1324550000
2000-09-11,1311834320
2000-09-12,1304416840
2000-09-13,1344683160
2000-09-14,1324550000
2000-09-15,1285343320
2000-09-18,1277925840
2000-09-19,1285343320
2000-09-20,1258852320
2000-09-21,1198452840
2000-09-22,1145470840
2000-09-25,1112622000
2000-09-26,1106264160
2000-09-27,1112622000
2000-09-28,1198452840
2000-09-29,1171961840
2000-10-02,1179855573
2000-10-03,1153636561
2000-10-04,1193489460
2000-10-05,1141051434
2000-10-06,1272146498
2000-10-09,1272146498
2000-10-10,1272146498
2000-10-11,1264805175
2000-10-12,1245927485
2000-10-13,1291024187
2000-10-16,1291024187
2000-10-17,1278439061
2000-10-18,1337169650
2000-10-19,1369681226
2000-10-20,1357096099
2000-10-23,1357096099
2000-10-24,1363388663
2000-10-25,1304658074
2000-10-26,1377022549
2000-10-27,1377022549
2000-10-30,1494483726
2000-10-31,1540629189
2000-11-01,1481898600
2000-11-02,1520702739
2000-11-03,1474557277
2000-11-06,1500776289
2000-11-07,1534336626
2000-11-08,1514410176
2000-11-09,1481898600
2000-11-10,1310950637
2000-11-13,1363388663
2000-11-14,1540629189
2000-11-15,1514410176
2000-11-16,1468264714
2000-11-17,1488191163
2000-11-20,1500776289
2000-11-21,1494483726
2000-11-22,1566848201
2000-11-24,1593067214
2000-11-27,1560555638
2000-11-28,1560555638
2000-11-29,1560555638
2000-11-30,1540629189
2000-12-01,1566848201
2000-12-04,1553214315
2000-12-05,1579433328
