,PM
2008-03-17,104114120000
2008-03-18,104556800000
2008-03-19,105610800000
2008-03-20,103608200000
2008-03-24,107508000000
2008-03-25,109089000000
2008-03-26,106032400000
2008-03-27,106833440000
2008-03-28,107634480000
2008-03-31,105965100000
2008-04-01,105965100000
2008-04-02,107284950000
2008-04-03,106949750000
2008-04-04,107620150000
2008-04-07,106153650000
2008-04-08,106007000000
2008-04-09,103451100000
2008-04-10,101942700000
2008-04-11,101251350000
2008-04-14,100560000000
2008-04-15,100979000000
2008-04-16,103618700000
2008-04-17,104435750000
2008-04-18,104666200000
2008-04-21,106069850000
2008-04-22,104896650000
2008-04-23,108940000000
2008-04-24,108940000000
2008-04-25,107473500000
2008-04-28,106991650000
2008-04-29,108960950000
2008-04-30,106907850000
2008-05-01,106321250000
2008-05-02,106886900000
2008-05-05,106446950000
2008-05-06,108688600000
2008-05-07,108290550000
2008-05-08,109359000000
2008-05-09,108583850000
2008-05-12,109924650000
2008-05-13,109903700000
2008-05-14,110343650000
2008-05-15,111558750000
2008-05-16,111831100000
2008-05-19,112354850000
2008-05-20,110846450000
2008-05-21,108898100000
2008-05-22,109526600000
2008-05-23,108521000000
2008-05-27,108164850000
2008-05-28,107180200000
2008-05-29,108981900000
2008-05-30,110322700000
2008-06-02,109170450000
2008-06-03,108248650000
2008-06-04,108835250000
2008-06-05,108541950000
2008-06-06,105797500000
2008-06-09,103681550000
2008-06-10,103681550000
2008-06-11,104456700000
2008-06-12,107452550000
2008-06-13,108122950000
2008-06-16,106279350000
2008-06-17,106069850000
2008-06-18,104540500000
2008-06-19,105588000000
2008-06-20,105210900000
2008-06-23,106090800000
2008-06-24,107201150000
2008-06-25,108458150000
2008-06-26,105064250000
2008-06-27,104393850000
2008-06-30,101298890000
2008-07-01,103349890000
2008-07-02,103780600000
2008-07-03,105564970000
2008-07-07,106344350000
2008-07-08,110282270000
2008-07-09,110754000000
2008-07-10,109605440000
2008-07-11,109461870000
2008-07-14,109851560000
2008-07-15,109318300000
2008-07-16,108538920000
2008-07-17,104518960000
2008-07-18,104026720000
2008-07-21,103534480000
2008-07-22,106754550000
2008-07-23,105564970000
2008-07-24,107595460000
2008-07-25,108805550000
2008-07-28,107923620000
2008-07-29,109400340000
2008-07-30,109461870000
2008-07-31,105934150000
2008-08-01,106816080000
2008-08-04,110179720000
2008-08-05,113215200000
2008-08-06,113892030000
2008-08-07,112066640000
2008-08-08,113235710000
2008-08-11,114343250000
2008-08-12,114753450000
2008-08-13,113912540000
2008-08-14,113768970000
2008-08-15,113974070000
2008-08-18,112825510000
2008-08-19,111800010000
2008-08-20,112005110000
2008-08-21,112435820000
2008-08-22,113892030000
2008-08-25,112538370000
2008-08-26,112066640000
2008-08-27,110959100000
2008-08-28,110589920000
2008-08-29,110138700000
2008-09-02,112415310000
2008-09-03,110897570000
2008-09-04,109461870000
2008-09-05,110754000000
2008-09-08,112763980000
2008-09-09,112353780000
2008-09-10,112025620000
2008-09-11,112415310000
2008-09-12,110097680000
2008-09-15,108333820000
2008-09-16,110282270000
2008-09-17,100457980000
2008-09-18,102550000000
2008-09-19,105462420000
2008-09-22,102611530000
2008-09-23,101011750000
2008-09-24,102119290000
2008-09-25,105852110000
2008-09-26,104395900000
2008-09-29,95986800000
2008-09-30,99470800000
2008-10-01,105013040000
2008-10-02,101497440000
2008-10-03,102717560000
2008-10-06,95376160000
2008-10-07,91736480000
2008-10-08,89027400000
2008-10-09,80652000000
2008-10-10,82182320000
2008-10-13,93039320000
2008-10-14,91074720000
2008-10-15,84415760000
2008-10-16,88944680000
2008-10-17,89544400000
2008-10-20,89730520000
2008-10-21,87186880000
2008-10-22,84436440000
2008-10-23,88841280000
2008-10-24,83754000000
2008-10-27,80776080000
2008-10-28,88055440000
2008-10-29,85925400000
2008-10-30,88510400000
2008-10-31,89895960000
2008-11-03,88117480000
2008-11-04,92543000000
2008-11-05,91033360000
2008-11-06,84539840000
2008-11-07,87269600000
2008-11-10,87083480000
2008-11-11,85449760000
2008-11-12,80858800000
2008-11-13,82389120000
2008-11-14,79431880000
2008-11-17,79307800000
2008-11-18,79721400000
2008-11-19,75771520000
2008-11-20,75750840000
2008-11-21,79121680000
2008-11-24,86504440000
2008-11-25,85201600000
2008-11-26,87890000000
2008-11-28,87186880000
2008-12-01,82058240000
2008-12-02,82782040000
2008-12-03,86049480000
2008-12-04,84498480000
2008-12-05,87600480000
2008-12-08,88220880000
2008-12-09,86793960000
2008-12-10,87476400000
2008-12-11,86752600000
2008-12-12,85532480000
2008-12-15,85904720000
2008-12-16,84829360000
2008-12-17,86918040000
2008-12-18,86773280000
2008-12-19,86545800000
2008-12-22,87207560000
2008-12-23,86297640000
2008-12-24,87724560000
2008-12-26,87807280000
2008-12-29,89254880000
2008-12-30,90805880000
2008-12-31,86715430000
2009-01-02,87931160000
2009-01-05,88628710000
2009-01-06,86177320000
2009-01-07,85101100000
2009-01-08,85101100000
2009-01-09,84343760000
2009-01-12,83367190000
2009-01-13,84084670000
2009-01-14,82829080000
2009-01-15,82669640000
2009-01-16,83945160000
2009-01-20,82669640000
2009-01-21,82530130000
2009-01-22,81633280000
2009-01-23,82151460000
2009-01-26,81972090000
2009-01-27,80018950000
2009-01-28,79700070000
2009-01-29,77228750000
2009-01-30,74039950000
2009-02-02,74558130000
2009-02-03,76371760000
2009-02-04,73302540000
2009-02-05,74259180000
2009-02-06,73402190000
2009-02-09,73182960000
2009-02-10,71827720000
2009-02-11,72485410000
2009-02-12,72046950000
2009-02-13,71728070000
2009-02-17,69216890000
2009-02-18,70552200000
2009-02-19,71568630000
2009-02-20,71010590000
2009-02-23,69974230000
2009-02-24,69555700000
2009-02-25,69356400000
2009-02-26,68180530000
2009-02-27,66705710000
2009-03-02,65270750000
2009-03-03,64453620000
2009-03-04,66745570000
2009-03-05,65669350000
2009-03-06,66446620000
2009-03-09,67901510000
2009-03-10,67861649999
2009-03-11,67064450000
2009-03-12,69037520000
2009-03-13,71767930000
2009-03-16,74059880000
2009-03-17,76929800000
2009-03-18,76292040000
2009-03-19,74159530000
2009-03-20,76451480000
2009-03-23,75973160000
2009-03-24,77328400000
2009-03-25,76889940000
2009-03-26,76331900000
2009-03-27,74896940000
2009-03-30,73202890000
2009-03-31,69558900000
2009-04-01,70810100000
2009-04-02,70555950000
2009-04-03,70771000000
2009-04-06,72980150000
2009-04-07,72295900000
2009-04-08,74778750000
2009-04-09,73723050000
2009-04-13,72491400000
2009-04-14,71240200000
2009-04-15,73899000000
2009-04-16,74290000000
2009-04-17,72960600000
2009-04-20,72159050000
2009-04-21,72119950000
2009-04-22,70868750000
2009-04-23,72335000000
2009-04-24,73175650000
2009-04-27,72706450000
2009-04-28,72002650000
2009-04-29,72022200000
2009-04-30,70771000000
2009-05-01,72686900000
2009-05-04,74544150000
2009-05-05,72901950000
2009-05-06,76811950000
2009-05-07,79900850000
2009-05-08,80350500000
2009-05-11,79275250000
2009-05-12,81797200000
2009-05-13,81660350000
2009-05-14,82931100000
2009-05-15,84397350000
2009-05-18,83458950000
2009-05-19,82540100000
2009-05-20,84436450000
2009-05-21,83693550000
2009-05-22,83498050000
2009-05-26,82364150000
2009-05-27,81425750000
2009-05-28,83165700000
2009-05-29,83361200000
2009-06-01,85296650000
2009-06-02,87193000000
2009-06-03,86391450000
2009-06-04,86860650000
2009-06-05,86215500000
2009-06-08,87056150000
2009-06-09,85726750000
2009-06-10,85081600000
2009-06-11,85785400000
2009-06-12,85081600000
2009-06-15,83849950000
2009-06-16,82618300000
2009-06-17,81914500000
2009-06-18,83146150000
2009-06-19,82403250000
2009-06-22,81288900000
2009-06-23,81054300000
2009-06-24,81386650000
2009-06-25,84025900000
2009-06-26,83302550000
2009-06-29,84827450000
2009-06-30,84055740000
2009-07-01,84961430000
2009-07-02,82745380000
2009-07-06,85077050000
2009-07-07,84306250000
2009-07-08,83805230000
2009-07-09,81589180000
2009-07-10,81608450000
2009-07-13,82668300000
2009-07-14,82205820000
2009-07-15,84845810000
2009-07-16,83439100000
2009-07-17,84788000000
2009-07-20,84691650000
2009-07-21,84595300000
2009-07-22,84556760000
2009-07-23,88680540000
2009-07-24,91147100000
2009-07-27,89990900000
2009-07-28,89566960000
2009-07-29,90222140000
2009-07-30,90222140000
2009-07-31,89798200000
2009-08-03,90222140000
2009-08-04,90530460000
2009-08-05,90125790000
2009-08-06,90549730000
2009-08-07,90684620000
2009-08-10,90954400000
2009-08-11,90164330000
2009-08-12,89682580000
2009-08-13,89470610000
2009-08-14,89836740000
2009-08-17,87601420000
2009-08-18,89258640000
2009-08-19,88237330000
2009-08-20,89566960000
2009-08-21,90318490000
2009-08-24,91397610000
2009-08-25,90183600000
2009-08-26,89952360000
2009-08-27,89162290000
2009-08-28,87408720000
2009-08-31,88083170000
2009-09-01,87023320000
2009-09-02,87948280000
2009-09-03,88295140000
2009-09-04,88738350000
2009-09-08,91436150000
2009-09-09,90992940000
2009-09-10,90222140000
2009-09-11,91378340000
2009-09-14,91840820000
2009-09-15,90376300000
2009-09-16,91532500000
2009-09-17,91590310000
2009-09-18,92842860000
2009-09-21,93324610000
2009-09-22,94288110000
2009-09-23,95193800000
2009-09-24,93054830000
2009-09-25,91802280000
2009-09-28,92534540000
2009-09-29,93883440000
2009-09-30,94701820000
2009-10-01,93885760000
2009-10-02,93963480000
2009-10-05,95304150000
2009-10-06,96975130000
2009-10-07,96353370000
2009-10-08,97830050000
2009-10-09,97519170000
2009-10-12,98024350000
2009-10-13,96916840000
2009-10-14,97791190000
2009-10-15,97888340000
2009-10-16,98995850000
2009-10-19,99967350000
2009-10-20,100161650000
2009-10-21,98743260000
2009-10-22,96100780000
2009-10-23,95343010000
2009-10-26,94721250000
2009-10-27,95032130000
2009-10-28,95129280000
2009-10-29,95226430000
2009-10-30,92020480000
2009-11-02,94371510000
2009-11-03,92972550000
2009-11-04,92059340000
2009-11-05,94546380000
2009-11-06,94876690000
2009-11-09,96897410000
2009-11-10,96819690000
2009-11-11,95887050000
2009-11-12,97072280000
2009-11-13,97441450000
2009-11-16,98393520000
2009-11-17,98335230000
2009-11-18,98160360000
2009-11-19,97422020000
2009-11-20,96625390000
2009-11-23,97286010000
2009-11-24,97771760000
2009-11-25,97752330000
2009-11-27,97130570000
2009-11-30,93438870000
2009-12-01,95537310000
2009-12-02,95537310000
2009-12-03,96139640000
2009-12-04,96800260000
2009-12-07,96839120000
2009-12-08,95284720000
2009-12-09,95323580000
2009-12-10,94954410000
2009-12-11,94196640000
2009-12-14,97655180000
2009-12-15,97286010000
2009-12-16,97305440000
2009-12-17,95770470000
2009-12-18,94546380000
2009-12-21,95692750000
2009-12-22,96372800000
2009-12-23,94818400000
2009-12-24,95012700000
2009-12-28,94915550000
2009-12-29,94915550000
2009-12-30,94546380000
2009-12-31,90308060000
2010-01-04,92481900000
2010-01-05,91676080000
2010-01-06,91676080000
2010-01-07,92819220000
2010-01-08,92313240000
2010-01-11,92650560000
2010-01-12,92144580000
2010-01-13,93081580000
2010-01-14,92950400000
2010-01-15,92987880000
2010-01-19,93868660000
2010-01-20,92275760000
2010-01-21,89446020000
2010-01-22,87721940000
2010-01-25,88171700000
2010-01-26,88078000000
2010-01-27,87403360000
2010-01-28,86597540000
2010-01-29,85285740000
2010-02-01,86410140000
2010-02-02,89202400000
2010-02-03,88021780000
2010-02-04,86091560000
2010-02-05,85566840000
2010-02-08,85323220000
2010-02-09,87796900000
2010-02-10,87721940000
2010-02-11,91207580000
2010-02-12,92369460000
2010-02-16,92613080000
2010-02-17,93381420000
2010-02-18,94224720000
2010-02-19,93662520000
2010-02-22,93231500000
2010-02-23,92388200000
2010-02-24,93381420000
2010-02-25,92969140000
2010-02-26,91788520000
2010-03-01,91694820000
2010-03-02,93343940000
2010-03-03,93662520000
2010-03-04,94936840000
2010-03-05,96042500000
2010-03-08,95180460000
2010-03-09,94412120000
2010-03-10,94262200000
2010-03-11,94149760000
2010-03-12,93962360000
2010-03-15,95424080000
2010-03-16,96023760000
2010-03-17,97129420000
2010-03-18,97110680000
2010-03-19,98722320000
2010-03-22,99115860000
2010-03-23,98272560000
2010-03-24,97241860000
2010-03-25,96923280000
2010-03-26,97672880000
2010-03-29,98441220000
2010-03-30,98366260000
2010-03-31,96287360000
2010-04-01,96859620000
2010-04-05,97561100000
2010-04-06,97191900000
2010-04-07,96951920000
2010-04-08,96675020000
2010-04-09,97376500000
2010-04-12,97745700000
2010-04-13,96841160000
2010-04-14,94699800000
2010-04-15,95235140000
2010-04-16,93666040000
2010-04-19,94792100000
2010-04-20,95844320000
2010-04-21,95973540000
2010-04-22,94589040000
2010-04-23,94404440000
2010-04-26,92539980000
2010-04-27,89420240000
2010-04-28,90620140000
2010-04-29,91524680000
2010-04-30,90601680000
2010-05-03,91229320000
2010-05-04,90454000000
2010-05-05,89918660000
2010-05-06,86762000000
2010-05-07,85691320000
2010-05-10,89254100000
2010-05-11,89254100000
2010-05-12,88589540000
2010-05-13,87426560000
2010-05-14,85949760000
2010-05-17,85377500000
2010-05-18,84103760000
2010-05-19,85395960000
2010-05-20,82239300000
2010-05-21,81703960000
2010-05-24,81777800000
2010-05-25,80707120000
2010-05-26,80670200000
2010-05-27,82516200000
2010-05-28,81445520000
2010-06-01,81168620000
2010-06-02,83162300000
2010-06-03,83106920000
2010-06-04,80744040000
2010-06-07,79691820000
2010-06-08,80725580000
2010-06-09,81500900000
2010-06-10,83273060000
2010-06-11,81870100000
2010-06-14,84122220000
2010-06-15,84103760000
2010-06-16,84085300000
2010-06-17,84177600000
2010-06-18,84749860000
2010-06-21,85451340000
2010-06-22,83051540000
2010-06-23,85820540000
2010-06-24,85709780000
2010-06-25,84731400000
2010-06-28,85451340000
2010-06-29,84399120000
2010-06-30,83795520000
2010-07-01,85093400000
2010-07-02,84910600000
2010-07-06,85495560000
2010-07-07,86903120000
2010-07-08,88731120000
2010-07-09,88822520000
2010-07-12,89279520000
2010-07-13,90120400000
2010-07-14,90522560000
2010-07-15,91582800000
2010-07-16,90796760000
2010-07-19,91326880000
2010-07-20,92551640000
2010-07-21,91198920000
2010-07-22,92935520000
2010-07-23,92606480000
2010-07-26,93575320000
2010-07-27,93849520000
2010-07-28,93301120000
2010-07-29,93557040000
2010-07-30,93301120000
2010-08-02,94982880000
2010-08-03,95330200000
2010-08-04,95494720000
2010-08-05,94726960000
2010-08-06,95403320000
2010-08-09,96043120000
2010-08-10,96829160000
2010-08-11,94599000000
2010-08-12,94781800000
2010-08-13,95037720000
2010-08-16,95037720000
2010-08-17,96097960000
2010-08-18,96445280000
2010-08-19,95056000000
2010-08-20,95019440000
2010-08-23,94562440000
2010-08-24,94160280000
2010-08-25,94178560000
2010-08-26,93337680000
2010-08-27,94032320000
2010-08-30,94014040000
2010-08-31,93886080000
2010-09-01,96829160000
2010-09-02,97414120000
2010-09-03,98785120000
2010-09-07,98053920000
2010-09-08,98017360000
2010-09-09,98255000000
2010-09-10,99808800000
2010-09-13,100119560000
2010-09-14,100284080000
2010-09-15,101527120000
2010-09-16,100741080000
2010-09-17,100759360000
2010-09-20,102276600000
2010-09-21,102441120000
2010-09-22,100887320000
2010-09-23,100741080000
2010-09-24,102550800000
2010-09-27,101380880000
2010-09-28,102514240000
2010-09-29,102952960000
2010-09-30,103020780000
2010-10-01,102156450000
2010-10-04,101678310000
2010-10-05,101788650000
2010-10-06,103554090000
2010-10-07,103517310000
2010-10-08,104142570000
2010-10-11,103756380000
2010-10-12,105154020000
2010-10-13,105485040000
2010-10-14,106202250000
2010-10-15,107655060000
2010-10-18,107360820000
2010-10-19,104951730000
2010-10-20,105705720000
2010-10-21,105852840000
2010-10-22,106901070000
2010-10-25,109365330000
2010-10-26,109420500000
2010-10-27,108464220000
2010-10-28,108979140000
2010-10-29,107599890000
2010-11-01,107195310000
2010-11-02,107507940000
2010-11-03,109052700000
2010-11-04,111847980000
2010-11-05,111149160000
2010-11-08,110744580000
2010-11-09,109530840000
2010-11-10,109622790000
2010-11-11,110008980000
2010-11-12,109677960000
2010-11-15,109328550000
2010-11-16,107655060000
2010-11-17,106275810000
2010-11-18,109328550000
2010-11-19,109990590000
2010-11-22,109383720000
2010-11-23,108078030000
2010-11-24,108887190000
2010-11-26,108096420000
2010-11-29,106330980000
2010-11-30,104620710000
2010-12-01,106110300000
2010-12-02,106533270000
2010-12-03,106882680000
2010-12-06,107636670000
2010-12-07,109236600000
2010-12-08,109144650000
2010-12-09,109218210000
2010-12-10,108501000000
2010-12-13,107949300000
2010-12-14,109218210000
2010-12-15,109254990000
2010-12-16,109806690000
2010-12-17,109769910000
2010-12-20,109549230000
2010-12-21,107544720000
2010-12-22,108261930000
