,PNR
2018-01-18,7261675000
2018-01-19,7261675000
2018-01-22,8953450000
2018-01-23,8949800000
2018-01-24,8856725000
2018-01-25,8889575000
2018-01-26,8878625000
2018-01-29,8958925000
2018-01-30,8933375000
2018-01-31,8672400000
2018-02-01,8672400000
2018-02-02,8734450000
2018-02-05,8623125000
2018-02-06,8263600000
2018-02-07,8289150000
2018-02-08,8309225000
2018-02-09,8070150000
2018-02-12,8119425000
2018-02-13,8354850000
2018-02-14,8398650000
2018-02-15,8570200000
2018-02-16,8551950000
2018-02-19,8573849999
2018-02-20,8573849999
2018-02-21,8544650000
2018-02-22,8550125000
2018-02-23,8604875000
2018-02-26,8641375000
2018-02-27,8635900000
2018-02-28,8537350000
2018-03-01,8314700000
2018-03-02,8104824999
2018-03-05,8137675000
2018-03-06,8188775000
2018-03-07,8292800000
2018-03-08,8389525000
2018-03-09,8504500000
2018-03-12,8692475000
2018-03-13,8615825000
2018-03-14,8469824999
2018-03-15,8550125000
2018-03-16,8730800000
2018-03-19,8803800000
2018-03-20,8677875000
2018-03-21,8688825000
2018-03-22,8685175000
2018-03-23,8426025000
2018-03-26,8146800000
2018-03-27,8371275000
2018-03-28,8263600000
2018-03-29,8217975000
2018-04-03,7897997702
2018-04-04,8090977247
2018-04-05,8206056792
2018-04-06,8271563610
2018-04-09,7993602248
2018-04-10,8034322702
2018-04-11,8188352247
2018-04-12,8163565883
2018-04-13,8229072701
2018-04-16,8220220429
2018-04-17,8259170429
2018-04-18,8361856792
2018-04-19,8443297701
2018-04-20,8353004519
2018-04-23,8271563610
2018-04-24,8137009065
2018-04-25,7880293157
2018-04-26,7942259066
2018-04-27,7935177248
2018-04-30,7897997702
2018-05-01,11911618145
2018-05-02,7935177248
2018-05-03,8041404520
2018-05-04,7779377248
2018-05-08,7866129521
2018-05-09,7867899975
2018-05-10,7887374975
2018-05-11,7859047703
2018-05-14,7908620430
2018-05-15,7936947702
2018-05-16,7967045430
2018-05-17,8076813611
2018-05-18,8094518156
2018-05-21,8147631793
2018-05-22,8232613611
2018-06-01,7726263612
2018-06-04,7765213612
2018-06-05,7751049976
2018-06-06,7766984066
2018-06-07,7915702248
2018-06-08,7956422702
2018-07-12,7473138445
2018-07-16,7576615368
2018-07-25,7741476906
2018-08-08,7701138444
2018-09-05,7523999983
2018-10-08,7474304598
2018-10-12,7750933665
2018-11-07,7580700393
2018-11-30,7589566709
2018-12-24,6513195917
2018-12-31,6685202452
2019-01-02,6581439974
2019-01-03,6481879975
2019-01-04,6495853308
2019-01-22,7023346639
2019-02-04,7166573305
2019-02-05,7198013305
2019-02-06,7232946639
2019-02-07,7110679972
2019-02-08,7080986639
2019-02-21,7439053304
2019-02-25,7519399971
2019-02-27,7507173304
2019-03-12,7458266638
2019-03-18,7521146637
2019-03-20,7622453304
2019-04-01,7690245396
2019-04-02,7724205411
2019-04-04,7724205411
2019-05-13,6236756754
2019-05-30,6039788667
2019-06-12,6026204661
2019-06-21,6319958791
2019-06-24,6216380745
2019-06-25,6207890742
2019-07-01,6289555552
2019-07-15,6429887034
2019-07-18,6323370367
2019-07-19,6270957404
2019-07-29,6617559256
2019-08-02,6538094441
2019-08-06,6538094441
2019-08-09,6325061108
2019-08-16,6034253701
2019-09-02,6071449997
2019-09-23,6193183330
2019-09-27,6331824071
2019-09-30,6333514812
2019-10-03,6072297099
2019-10-14,5982122892
2019-10-16,6470424732
2019-10-24,7055706380
2019-11-05,7110151185
2019-11-12,7339840203
2019-11-13,7339840203
2019-11-15,7331333203
2019-11-18,7397687808
2019-11-20,7348347204
2019-11-21,7346645804
2019-11-22,7378972407
2019-11-25,7438521412
2019-11-26,7499771817
2019-12-04,7538904020
2019-12-05,7518487218
2019-12-06,7564425022
2019-12-09,7421507410
2019-12-10,7664807630
