,PPG
2000-01-03,10446000000
2000-01-04,10087354000
2000-01-05,10466892000
2000-01-06,10968300000
2000-01-07,11163292000
2000-01-10,10815092000
2000-01-11,10773308000
2000-01-12,10936962000
2000-01-13,11208558000
2000-01-14,10968300000
2000-01-18,10707150000
2000-01-19,10501712000
2000-01-20,10076908000
2000-01-21,10205742000
2000-01-24,10097800000
2000-01-25,9847096000
2000-01-26,10000304000
2000-01-27,10118692000
2000-01-28,9867988000
2000-01-31,9585946000
2000-02-01,9760046000
2000-02-02,9585946000
2000-02-03,9533716000
2000-02-04,9411846000
2000-02-07,9108912000
2000-02-08,9032308000
2000-02-09,8879100000
2000-02-10,8792050000
2000-02-11,8464742000
2000-02-14,8812942000
2000-02-15,9140250000
2000-02-16,9195962000
2000-02-17,9140250000
2000-02-18,8889546000
2000-02-22,9161142000
2000-02-23,9293458000
2000-02-24,8750266000
2000-02-25,8541346000
2000-02-28,8541346000
2000-02-29,8597058000
2000-03-01,8412512000
2000-03-02,8203592000
2000-03-03,8541346000
2000-03-06,8356800000
2000-03-07,8095650000
2000-03-08,8019046000
2000-03-09,7931996000
2000-03-10,8126988000
2000-03-13,7998154000
2000-03-14,8008600000
2000-03-15,8736338000
2000-03-16,9195962000
2000-03-17,8715446000
2000-03-20,8889546000
2000-03-21,9084538000
2000-03-22,8673662000
2000-03-23,8771158000
2000-03-24,8802496000
2000-03-27,8617950000
2000-03-28,8663216000
2000-03-29,8858208000
2000-03-30,9248192000
2000-03-31,9089491522
2000-04-03,9207627115
2000-04-04,9350084742
2000-04-05,9152033895
2000-04-06,9176355929
2000-04-07,9044322030
2000-04-10,9023474573
2000-04-11,9391779657
2000-04-12,9923389827
2000-04-13,9739237284
2000-04-14,9238898301
2000-04-17,9252796607
2000-04-18,8891440674
2000-04-19,8794152539
2000-04-20,9207627115
2000-04-24,9436949149
2000-04-25,9718389827
2000-04-26,9447372878
2000-04-27,9339661013
2000-04-28,9447372878
2000-05-01,9468220335
2000-05-02,9447372878
2000-05-03,9141610166
2000-05-04,9273644064
2000-05-05,9575932200
2000-05-08,9534237284
2000-05-09,9641949149
2000-05-10,9478644064
2000-05-11,9697542369
2000-05-12,9575932200
2000-05-15,9871271183
2000-05-16,9836525420
