,PPL
2000-01-03,2957284259
2000-01-04,3032006700
2000-01-05,3100981259
2000-01-06,3057872160
2000-01-07,3115350960
2000-01-10,3083737620
2000-01-11,3057872160
2000-01-12,3075115800
2000-01-13,3092359440
2000-01-14,3075115800
2000-01-18,3049250340
2000-01-19,3066493980
2000-01-20,3083737620
2000-01-21,3149838240
2000-01-24,3132594600
2000-01-25,3040628520
2000-01-26,3017637000
2000-01-27,3092359440
2000-01-28,2957284259
2000-01-31,3092359440
2000-02-01,3075115800
2000-02-02,3075115800
2000-02-03,3132594600
2000-02-04,2991771540
2000-02-07,2965906080
2000-02-08,2974527900
2000-02-09,2948662440
2000-02-10,2942914560
2000-02-11,2908427280
2000-02-14,2948662440
2000-02-15,3000393360
2000-02-16,2948662440
2000-02-17,2899805460
2000-02-18,2807839380
2000-02-22,2799217560
2000-02-23,2750360580
2000-02-24,2707251480
2000-02-25,2658394500
2000-02-28,2707251480
2000-02-29,2684259960
2000-03-01,2692881780
2000-03-02,2707251480
2000-03-03,2741738759
2000-03-06,2609537520
2000-03-07,2575050240
2000-03-08,2483084160
2000-03-09,2557806600
2000-03-10,2566428420
2000-03-13,2491705980
2000-03-14,2465840520
2000-03-15,2658394500
2000-03-16,2833704840
2000-03-17,2715873300
2000-03-20,2758982400
2000-03-21,2724495120
2000-03-22,2641150860
2000-03-23,2758982400
2000-03-24,2799217560
2000-03-27,2776226040
2000-03-28,2684259960
2000-03-29,2724495120
2000-03-30,2776226040
2000-03-31,2799140540
2000-04-03,2784726840
2000-04-04,2825085200
2000-04-05,2833733420
2000-04-06,2851029860
2000-04-07,2842381640
2000-04-10,2868326300
2000-04-11,2917332880
2000-04-12,2966339459
2000-04-13,3041290700
2000-04-14,2966339459
2000-04-17,2992284120
2000-04-18,2908684660
2000-04-19,2900036440
2000-04-20,2992284120
2000-04-24,3185427700
2000-04-25,3243082500
2000-04-26,3335330180
2000-04-27,3251730720
2000-04-28,3194075920
2000-05-01,3176779480
2000-05-02,3035525220
2000-05-03,3067235360
2000-05-04,3124890160
2000-05-05,2992284120
2000-05-08,3093180020
2000-05-09,3142186600
2000-05-10,3168131260
2000-05-11,3217137840
2000-05-12,3124890160
2000-05-15,3234434280
2000-05-16,3176779480
2000-05-17,3119124680
2000-05-18,3150834820
2000-05-19,3150834820
2000-05-22,3225786060
2000-05-23,3159483040
2000-05-24,3225786060
2000-05-25,3142186600
2000-05-26,3194075920
2000-05-30,3119124680
2000-05-31,3159483040
2000-06-01,3150834820
2000-06-02,3133538380
2000-06-05,3035525220
2000-06-06,3119124680
2000-06-07,3110476459
2000-06-08,3035525220
2000-06-09,3075883580
2000-06-12,3124890160
2000-06-13,3176779480
2000-06-14,3084531800
2000-06-15,3168131260
2000-06-16,3101828240
2000-06-19,3067235360
2000-06-20,3049938920
2000-06-21,3049938920
2000-06-22,2992284120
2000-06-23,3018228780
2000-06-26,3101828240
2000-06-27,3018228780
2000-06-28,3110476459
2000-06-29,3067235360
2000-06-30,2943608080
2000-07-03,3044812680
2000-07-05,2984089920
2000-07-06,2984089920
2000-07-07,3018788640
2000-07-10,3036138000
2000-07-11,3067945160
2000-07-12,3018788640
2000-07-13,3036138000
2000-07-14,3018788640
2000-07-17,3050595800
2000-07-18,3059270480
2000-07-19,3093969200
2000-07-20,3111318560
2000-07-21,3093969200
2000-07-24,3111318560
2000-07-25,3143125720
2000-07-26,3319510880
2000-07-27,3386016760
2000-07-28,3455414200
2000-07-31,3623124680
2000-08-01,3614450000
2000-08-02,3654931840
2000-08-03,3721437720
2000-08-04,3747461760
2000-08-07,3883365080
2000-08-08,3990352800
2000-08-09,3981678120
2000-08-10,3897822880
2000-08-11,3958545640
2000-08-14,3973003440
2000-08-15,3990352800
2000-08-16,4025051520
2000-08-17,4056858680
2000-08-18,4033726200
2000-08-21,4025051520
2000-08-22,4051075560
2000-08-23,4184087320
2000-08-24,4166737960
2000-08-25,4308424400
2000-08-28,4418303680
2000-08-29,4435653040
2000-08-30,4470351760
2000-08-31,4493484240
2000-09-01,4554207000
2000-09-05,4695893440
2000-09-06,4880953280
2000-09-07,4938784479
2000-09-08,5216374240
2000-09-11,5491072440
2000-09-12,5332036640
2000-09-13,5265530760
2000-09-14,5207699560
2000-09-15,5300229479
2000-09-18,5291554800
2000-09-19,5089145600
2000-09-20,4872278600
2000-09-21,4828905200
2000-09-22,5063121560
2000-09-25,5230832040
2000-09-26,5467939960
2000-09-27,5574927680
2000-09-28,5566253000
2000-09-29,5600951720
2000-10-02,5882789962
2000-10-03,5714710249
2000-10-04,5511855423
2000-10-05,5410428010
2000-10-06,5485774088
2000-10-09,5387244601
2000-10-10,5564018092
2000-10-11,5653853801
2000-10-12,5613282836
2000-10-13,5621976614
2000-10-16,5772668771
2000-10-17,5781362549
2000-10-18,5679935136
2000-10-19,5569813944
2000-10-20,5369857044
2000-10-23,5578507723
2000-10-24,5555324314
2000-10-25,5410428010
2000-10-26,5268429631
2000-10-27,5410428010
2000-10-30,5662547579
2000-10-31,5537936757
2000-11-01,5723404027
2000-11-02,5595895279
2000-11-03,5445203123
2000-11-06,5410428010
2000-11-07,5335081931
2000-11-08,5343775709
2000-11-09,5285817188
2000-11-10,5210471109
2000-11-13,5201777331
2000-11-14,5100349918
2000-11-15,5117737474
2000-11-16,5219164888
2000-11-17,5479978236
2000-11-20,5555324314
2000-11-21,5537936757
2000-11-22,5587201501
2000-11-24,5520549201
2000-11-27,5378550823
2000-11-28,5410428010
2000-11-29,5587201501
2000-11-30,5613282836
2000-12-01,5653853801
2000-12-04,5706016471
2000-12-05,5671241358
2000-12-06,5648057949
2000-12-07,5688628914
2000-12-08,5662547579
2000-12-11,5648057949
2000-12-12,5706016471
2000-12-13,5798750106
2000-12-14,5587201501
2000-12-15,5546630536
2000-12-18,5613282836
2000-12-19,5639364171
2000-12-20,5865402406
2000-12-21,6007400784
2000-12-22,6042175897
2000-12-26,6158092941
2000-12-27,6143603310
2000-12-28,6068257232
2000-12-29,6074053084
2001-01-02,5830039207
2001-01-03,5519529403
2001-01-04,4846274502
2001-01-05,5005882345
2001-01-08,5165490188
2001-01-09,5133568619
2001-01-10,5081333325
2001-01-11,4744705875
2001-01-12,4837568620
2001-01-16,4686666659
2001-01-17,4744705875
2001-01-18,4846274502
2001-01-19,4854980384
2001-01-22,4982666659
2001-01-23,5182901953
2001-01-24,5621098030
2001-01-25,5798117638
2001-01-26,5806823520
2001-01-29,5708156854
2001-01-30,5615294109
2001-01-31,5647215677
2001-02-01,5560156854
2001-02-02,5719764697
2001-02-05,5708156854
2001-02-06,5786509795
2001-02-07,5937411755
2001-02-08,5966431363
2001-02-09,6085411755
2001-02-12,5966431363
2001-02-13,6004156853
2001-02-14,5983843128
2001-02-15,5928705873
2001-02-16,5937411755
2001-02-20,6073803912
2001-02-21,6175372539
2001-02-22,6155058814
2001-02-23,6044784304
2001-02-26,6137647049
2001-02-27,6152156853
2001-02-28,6152156853
2001-03-01,6178274500
2001-03-02,6178274500
2001-03-05,6178274500
2001-03-06,6166666657
2001-03-07,6230509794
2001-03-08,6274039206
2001-03-09,6210196069
2001-03-12,6186980382
2001-03-13,6102823520
2001-03-14,5919999991
2001-03-15,5751686265
2001-03-16,5882274501
2001-03-19,5844549010
2001-03-20,5844549010
2001-03-21,5803921560
2001-03-22,5716862736
2001-03-23,5722666658
2001-03-26,5917098030
2001-03-27,5789411756
2001-03-28,5803921560
2001-03-29,5806823520
2001-03-30,5917098030
2001-04-02,6162858240
2001-04-03,6262070920
2001-04-04,6227054680
2001-04-05,6273743000
2001-04-06,6262070920
2001-04-09,6539282820
2001-04-10,6796068580
2001-04-11,6857347000
2001-04-12,6810658680
2001-04-16,6842756900
2001-04-17,7058690380
2001-04-18,7032428200
2001-04-19,6939051560
2001-04-20,7006166020
2001-04-23,7236689600
2001-04-24,7365082480
2001-04-25,7411770800
2001-04-26,7575179920
2001-04-27,7531409620
2001-04-30,7446787040
2001-05-01,7365082480
2001-05-02,7175411180
2001-05-03,7216263460
2001-05-04,7271705840
2001-05-07,7262951780
2001-05-08,7230853560
2001-05-09,7292131980
2001-05-10,7327148220
2001-05-11,7370918520
2001-05-14,7581015960
2001-05-15,7662720520
2001-05-16,7928260340
2001-05-17,7916588260
2001-05-18,8109177580
2001-05-21,8237570460
2001-05-22,8389307500
2001-05-23,8424323740
2001-05-24,8255078580
2001-05-25,8088751440
2001-05-29,7945768460
2001-05-30,8001210840
2001-05-31,8082915400
2001-06-01,8109177580
2001-06-04,8065407280
2001-06-05,7785277360
2001-06-06,7688982700
2001-06-07,7662720520
2001-06-08,7729834980
2001-06-11,7858227860
2001-06-12,8009964900
2001-06-13,7817375580
2001-06-14,7452623080
2001-06-15,7613114180
2001-06-18,7688982700
2001-06-19,7919506280
2001-06-20,7980784700
2001-06-21,7175411180
2001-06-22,7309640100
2001-06-25,7160821080
2001-06-26,7190001280
2001-06-27,7114132760
2001-06-28,7210427420
2001-06-29,7446787040
2001-07-02,7510937760
2001-07-03,7475839920
2001-07-05,7592832720
2001-07-06,7584058260
2001-07-09,7572358980
2001-07-10,7557734880
2001-07-11,7317899640
2001-07-12,7148260080
2001-07-13,7124861520
2001-07-16,7063440300
2001-07-17,7110237420
2001-07-18,7186282740
2001-07-19,7177508280
2001-07-20,6683213700
2001-07-23,6256189980
2001-07-24,5969557620
2001-07-25,6057302220
2001-07-26,6147971640
2001-07-27,6118723440
2001-07-30,6174295020
2001-07-31,6104099340
2001-08-01,6194768760
2001-08-02,6224016960
2001-08-03,6159670920
2001-08-06,5905211580
2001-08-07,5987106540
2001-08-08,5849640000
2001-08-09,5835015900
2001-08-10,5832091080
2001-08-13,5805767700
2001-08-14,5799918059
2001-08-15,5747271300
2001-08-16,5799918059
2001-08-17,5758970580
2001-08-20,5788218780
2001-08-21,5776519500
2001-08-22,5808692520
2001-08-23,5870113740
2001-08-24,5957858340
2001-08-27,5960783160
2001-08-28,5984181720
2001-08-29,5919835680
2001-08-30,5884737840
2001-08-31,5881813020
2001-09-04,5835015900
2001-09-05,5849640000
2001-09-06,5753120940
2001-09-07,5799918059
2001-09-10,5712173460
2001-09-17,5440165200
2001-09-18,5250051900
2001-09-19,5121359820
2001-09-20,5118435000
2001-09-21,5021915940
2001-09-24,4910772780
2001-09-25,4744058040
2001-09-26,4518846900
2001-09-27,4232214540
2001-09-28,4422327840
2001-10-01,4497880504
2001-10-02,4599493751
2001-10-03,4844560995
2001-10-04,4907322118
2001-10-05,4838583745
2001-10-08,4901344868
2001-10-09,4871458619
2001-10-10,5002958116
2001-10-11,5008935365
2001-10-12,5074685114
2001-10-15,5017901240
2001-10-16,5215150485
2001-10-17,4934219742
2001-10-18,4775822622
2001-10-19,4895367618
2001-10-22,4745936372
2001-10-23,4671220749
2001-10-24,4438108006
2001-10-25,4811686121
2001-10-26,4725015998
2001-10-29,4659266250
2001-10-30,4742947748
2001-10-31,4733981873
2001-11-01,4787777121
2001-11-02,4793754371
2001-11-05,4991003616
2001-11-06,5026867115
2001-11-07,5113537238
2001-11-08,5116525863
2001-11-09,5131468987
2001-11-12,5122503112
2001-11-13,5026867115
2001-11-14,4940196992
2001-11-15,4853526870
2001-11-16,4898356243
2001-11-19,4886401744
2001-11-20,4999969491
2001-11-21,4901344868
2001-11-23,4964105992
2001-11-26,4928242493
2001-11-27,4961117367
2001-11-28,4796742996
2001-11-29,4958128742
2001-11-30,4931231118
2001-12-03,4940196992
2001-12-04,5044798864
2001-12-05,4967094617
2001-12-06,4802720246
2001-12-07,4719038748
2001-12-10,4707084249
2001-12-11,4611448251
2001-12-12,4611448251
2001-12-13,4644323125
2001-12-14,4554664378
2001-12-17,4479948755
2001-12-18,4578573377
2001-12-19,4713061498
2001-12-20,4683175249
2001-12-21,4614436876
2001-12-24,4644323125
2001-12-26,4733981873
2001-12-27,4853526870
2001-12-28,4868469994
2001-12-31,4745992020
2002-01-02,4740121900
2002-01-03,4751862140
2002-01-04,4402590000
2002-01-07,4475966500
2002-01-08,4455421080
2002-01-09,4517057340
2002-01-10,4669680460
2002-01-11,4608044200
2002-01-14,4628589620
2002-01-15,4704901180
2002-01-16,4719576479
2002-01-17,4681420700
2002-01-18,4675550580
2002-01-22,4502382040
2002-01-23,4578693600
2002-01-24,4555213120
2002-01-25,4575758540
2002-01-28,4537602760
2002-01-29,4429005540
2002-01-30,4470096380
2002-01-31,4587498780
2002-02-01,4637394800
2002-02-04,4558148180
2002-02-05,4564018300
2002-02-06,4399654940
2002-02-07,4402590000
2002-02-08,4399654940
2002-02-11,4519992400
2002-02-12,4608044200
2002-02-13,4616849380
2002-02-14,4602174080
2002-02-15,4531732640
2002-02-19,4475966500
2002-02-20,4429005540
2002-02-21,4343888800
2002-02-22,4417265300
2002-02-25,4302797960
2002-02-26,4396719880
2002-02-27,4449550960
2002-02-28,4440745780
2002-03-01,4593368900
2002-03-04,4766537440
2002-03-05,4819368520
2002-03-06,4863394420
2002-03-07,4834043820
2002-03-08,4807628280
2002-03-11,4854589240
2002-03-12,4878069720
2002-03-13,4875134660
2002-03-14,4866329479
2002-03-15,4907420320
2002-03-18,5039498020
2002-03-19,5030692840
2002-03-20,4992537060
2002-03-21,5109939460
2002-03-22,5148095240
2002-03-25,5230276920
2002-03-26,5159835479
2002-03-27,5297783300
2002-03-28,5394640280
2002-04-01,5394482339
2002-04-02,5359166580
2002-04-03,5247333339
2002-04-04,5241447380
2002-04-05,5214960560
2002-04-08,5212017580
2002-04-09,5167872880
2002-04-10,5194359700
2002-04-11,5147272020
2002-04-12,5156100960
2002-04-15,5091355400
2002-04-16,5191416720
2002-04-17,5191416720
2002-04-18,5259105260
2002-04-19,5312078900
2002-04-22,5276763140
2002-04-23,5359166580
2002-04-24,5312078900
2002-04-25,5256162280
2002-04-26,5206131620
2002-04-29,5185530760
2002-04-30,5203188640
2002-05-01,5150215000
2002-05-02,5132557120
2002-05-03,5058982620
2002-05-06,5111956260
2002-05-07,5117842220
2002-05-08,5185530760
2002-05-09,5094298380
2002-05-10,4997180040
2002-05-13,4953035339
2002-05-14,4897118720
2002-05-15,4820601240
2002-05-16,4702882040
2002-05-17,4685224160
2002-05-20,4785285480
2002-05-21,4826487200
2002-05-22,4911833620
2002-05-23,4958921300
2002-05-24,4944206400
2002-05-28,4985408120
2002-05-29,4882403820
2002-05-30,4835316140
2002-05-31,4832373160
2002-06-03,4649908400
2002-06-04,4708768000
2002-06-05,4649908400
2002-06-06,4479215560
2002-06-07,4470386620
2002-06-10,4470386620
2002-06-11,4452728740
2002-06-12,4535132180
2002-06-13,4349724440
2002-06-14,4181974580
2002-06-17,4134886900
2002-06-18,4237891200
2002-06-19,4279092919
2002-06-20,4273206960
2002-06-21,4299693780
2002-06-24,4267321000
2002-06-25,4267321000
2002-06-26,4287921860
2002-06-27,4355610400
2002-06-28,4517474300
2002-07-01,4525730900
2002-07-02,4480261400
2002-07-03,4507543100
2002-07-05,4601513400
2002-07-08,4528762200
2002-07-09,4419635400
2002-07-10,4186225300
2002-07-11,4289289500
2002-07-12,4222600900
2002-07-15,4301414700
2002-07-16,4201381800
2002-07-17,4192287900
2002-07-18,4155912300
2002-07-19,4064973300
2002-07-22,3998284700
2002-07-23,3755780700
2002-07-24,4037691600
2002-07-25,4180162699
2002-07-26,4204413100
2002-07-29,4213507000
2002-07-30,4449948400
2002-07-31,4646982900
2002-08-01,4619701200
2002-08-02,4507543100
2002-08-05,4480261400
2002-08-06,4583325600
2002-08-07,4674264600
2002-08-08,4765203600
2002-08-09,4810673100
2002-08-12,4889486900
2002-08-13,4762172300
2002-08-14,4931925100
2002-08-15,4934956400
2002-08-16,4928893800
2002-08-19,5001645000
2002-08-20,4977394600
2002-08-21,5128959600
2002-08-22,5235055100
2002-08-23,5201710800
2002-08-26,5262336800
2002-08-27,5207773400
2002-08-28,5186554300
2002-08-29,5131990900
2002-08-30,5110771800
2002-09-03,5010738900
2002-09-04,4892518200
2002-09-05,4816735700
2002-09-06,4707608900
2002-09-09,4686389800
2002-09-10,4671233300
2002-09-11,4640920300
2002-09-12,4389322400
2002-09-13,4431760600
2002-09-16,4446917100
2002-09-17,4371134600
2002-09-18,4428729300
2002-09-19,4383259800
2002-09-20,4437823200
2002-09-23,4383259800
2002-09-24,4237757400
2002-09-25,4428729300
2002-09-26,4574231700
2002-09-27,4504511800
2002-09-30,4862963154
2002-10-01,4914491240
2002-10-02,4888727197
2002-10-03,4811435067
2002-10-04,4676173840
2002-10-07,4734142938
2002-10-08,4647189292
2002-10-09,4183436514
2002-10-10,4196318536
2002-10-11,4299374709
2002-10-14,4205980052
2002-10-15,4321918246
2002-10-16,4202759547
2002-10-17,4325138752
2002-10-18,4518369076
2002-10-21,4782450519
2002-10-22,4631086765
2002-10-23,4734142938
2002-10-24,4724481421
2002-10-25,4853301637
2002-10-28,4930593767
2002-10-29,4988562864
2002-10-30,5130265102
2002-10-31,5172131672
2002-11-01,5094839542
2002-11-04,5304172393
2002-11-05,5355700480
2002-11-06,5410449072
2002-11-07,5146367629
2002-11-08,5094839542
2002-11-11,5136706113
2002-11-12,4991783370
2002-11-13,5017547413
2002-11-14,5020767918
2002-11-15,4959578316
2002-11-18,4959578316
2002-11-19,4953137305
2002-11-20,5033649940
2002-11-21,5059413983
2002-11-22,5156029145
2002-11-25,5094839542
2002-11-26,4978901348
2002-11-27,5011106402
2002-11-29,4975680843
2002-12-02,4850081132
2002-12-03,4920932251
2002-12-04,4833978605
2002-12-05,4766347992
2002-12-06,4772789002
2002-12-09,4846860627
2002-12-10,4882286186
2002-12-11,4978901348
2002-12-12,5020767918
2002-12-13,5062634488
2002-12-16,5175352177
2002-12-17,5146367629
2002-12-18,5114162575
2002-12-19,5139926618
2002-12-20,5213998242
2002-12-23,5230100769
2002-12-24,5204336726
2002-12-26,5242982791
2002-12-27,5165690661
2002-12-30,5223659758
2002-12-31,5378335660
2003-01-02,5465244750
2003-01-03,5582237757
2003-01-06,5906475519
2003-01-07,5695888107
2003-01-08,5766083911
2003-01-09,5826251743
2003-01-10,5846307687
2003-01-13,5675832163
2003-01-14,5786139855
2003-01-15,5729314680
2003-01-16,5715944051
2003-01-17,5659118876
2003-01-21,5535440555
2003-01-22,5512041953
2003-01-23,5645748247
2003-01-24,5505356638
2003-01-27,5381678317
2003-01-28,5425132862
2003-01-29,5411762233
2003-01-30,5321510485
2003-01-31,5428475520
2003-02-03,5441846149
2003-02-04,5418447548
2003-02-05,5301454541
2003-02-06,5254657338
2003-02-07,5207860135
2003-02-10,5247972023
2003-02-11,5094209786
2003-02-12,5003958037
2003-02-13,5060783212
2003-02-14,5107580415
2003-02-18,5211202793
2003-02-19,5217888107
2003-02-20,5257999995
2003-02-21,5411762233
2003-02-24,5408419576
2003-02-25,5418447548
2003-02-26,5318167827
2003-02-27,5385020974
2003-02-28,5455216778
2003-03-03,5475272722
2003-03-04,5438503492
2003-03-05,5525412583
2003-03-06,5465244750
2003-03-07,5441846149
2003-03-10,5341566429
2003-03-11,5304797198
2003-03-12,5341566429
2003-03-13,5435160834
2003-03-14,5465244750
2003-03-17,5498671324
2003-03-18,5525412583
2003-03-19,5622349645
2003-03-20,5605636359
2003-03-21,5669146848
2003-03-24,5558839156
2003-03-25,5421790205
2003-03-26,5421790205
2003-03-27,5478615380
2003-03-28,5481958037
2003-03-31,5636235300
2003-04-01,5666941183
2003-04-02,5622588242
2003-04-03,5554352947
2003-04-04,5697647065
2003-04-07,5626000006
2003-04-08,5626000006
2003-04-09,5646470595
2003-04-10,5666941183
2003-04-11,5568000006
2003-04-14,5660117653
2003-04-15,5762470595
2003-04-16,5718117653
2003-04-17,5728352948
2003-04-21,5735176477
2003-04-22,5762470595
2003-04-23,5793176477
2003-04-24,5881882360
2003-04-25,5800000007
2003-04-28,5905764713
2003-04-29,5752235301
2003-04-30,5728352948
2003-05-01,5612352947
2003-05-02,5636235300
2003-05-05,5762470595
2003-05-06,5769294124
2003-05-07,5830705889
2003-05-08,5817058830
2003-05-09,5834117654
2003-05-12,5885294124
2003-05-13,5885294124
2003-05-14,5881882360
2003-05-15,6090000007
2003-05-16,6212823536
2003-05-19,6171882360
2003-05-20,6168470595
2003-05-21,6165058830
2003-05-22,6188941183
2003-05-23,6420941184
2003-05-27,6496000007
2003-05-28,6441411772
2003-05-29,6298117654
2003-05-30,6400470595
2003-06-02,6506235301
2003-06-03,6591529419
2003-06-04,6646117655
2003-06-05,6646117655
2003-06-06,6574470596
2003-06-09,6581294125
2003-06-10,6659764713
2003-06-11,6789411772
2003-06-12,6830352949
2003-06-13,6854235302
2003-06-16,6908823537
2003-06-17,6884941184
2003-06-18,6963411773
2003-06-19,6949764714
2003-06-20,6881529420
2003-06-23,6844000008
2003-06-24,6803058831
2003-06-25,6782588243
2003-06-26,6806470596
2003-06-27,6789411772
2003-06-30,7033917534
2003-07-01,7002185575
2003-07-02,6981030936
2003-07-03,6896412379
2003-07-07,6906989698
2003-07-08,6899938152
2003-07-09,6811793822
2003-07-10,6691917533
2003-07-11,6804742276
2003-07-14,6808268049
2003-07-15,6737752585
2003-07-16,6646082482
2003-07-17,6698969080
2003-07-18,6776536090
2003-07-21,6660185574
2003-07-22,6769484544
2003-07-23,6730701038
2003-07-24,6713072172
2003-07-25,6730701038
2003-07-28,6656659801
2003-07-29,6600247430
2003-07-30,6543835059
2003-07-31,6476845368
2003-08-01,6466268048
2003-08-04,6473319595
2003-08-05,6335814440
2003-08-06,6325237120
2003-08-07,6402804131
2003-08-08,6434536090
2003-08-11,6406329904
2003-08-12,6508577327
2003-08-13,6455690729
2003-08-14,6487422687
2003-08-15,6498000007
2003-08-18,6487422687
2003-08-19,6476845368
2003-08-20,6508577327
2003-08-21,6480371141
2003-08-22,6356969079
2003-08-25,6406329904
2003-08-26,6420432997
2003-08-27,6427484543
2003-08-28,6392226811
2003-08-29,6487422687
2003-09-02,6677814440
2003-09-03,6713072172
2003-09-04,6695443306
2003-09-05,6660185574
2003-09-08,6656659801
2003-09-09,6593195884
2003-09-10,6572041244
2003-09-11,6582618564
2003-09-12,6667237121
2003-09-15,6628453616
2003-09-16,6706020626
2003-09-17,6688391760
2003-09-18,6744804131
2003-09-19,6783587636
2003-09-22,6723649492
2003-09-23,6797690729
2003-09-24,6674288667
2003-09-25,6639030935
2003-09-26,6698969080
2003-09-29,6737752585
2003-09-30,6588473155
2003-10-01,6637019799
2003-10-02,6741048322
2003-10-03,6779192114
