,PRU
2001-12-13,16995378652
2001-12-14,17215796533
2001-12-17,17082385710
2001-12-18,17372409237
2001-12-19,17488418647
2001-12-20,17500019589
2001-12-21,17975658172
2001-12-24,18242479816
2001-12-26,18677515106
2001-12-27,19054545691
2001-12-28,19106749925
2001-12-31,19393416443
2002-01-02,18289061002
2002-01-03,18259845250
2002-01-04,18668865783
2002-01-07,18668865783
2002-01-08,18569532225
2002-01-09,18289061002
2002-01-10,18119609638
2002-01-11,18055334983
2002-01-14,17558667192
2002-01-15,17985217177
2002-01-16,17926785672
2002-01-17,17833295264
2002-01-18,17675530202
2002-01-22,18259845250
2002-01-23,17833295264
2002-01-24,17675530202
2002-01-25,17780706910
2002-01-28,18072864434
2002-01-29,17757334308
2002-01-30,17617098697
2002-01-31,18142982240
2002-02-01,17880040468
2002-02-04,18043648682
2002-02-05,18142982240
2002-02-06,18201413745
2002-02-07,17891726769
2002-02-08,18131295939
2002-02-11,18557845924
2002-02-12,18405924012
2002-02-13,18750669890
2002-02-14,18715610987
2002-02-15,18405924012
2002-02-19,17681373352
2002-02-20,17909256221
2002-02-21,18020276080
2002-02-22,17669687051
2002-02-25,17693059653
2002-02-26,17821608964
2002-02-27,17733961706
2002-02-28,17862511017
2002-03-01,18026119230
2002-03-04,17938471973
2002-03-05,18370865109
2002-03-06,18347492507
2002-03-07,18446826065
2002-03-08,18552002774
2002-03-11,18318276754
2002-03-12,18055334983
2002-03-13,17897569920
2002-03-14,18096237036
2002-03-15,18172197992
2002-03-18,18341649356
2002-03-19,18347492507
2002-03-20,18318276754
2002-03-21,18259845250
2002-03-22,18259845250
2002-03-25,18236472648
2002-03-26,18365021958
2002-03-27,18329963055
2002-03-28,18142982240
2002-04-01,18130883980
2002-04-02,18306061603
2002-04-03,18306061603
2002-04-04,18592185054
2002-04-05,18866629997
2002-04-08,19106039415
2002-04-09,19269538530
2002-04-10,19146914193
2002-04-11,19035968366
2002-04-12,18983415079
2002-04-15,18726487898
2002-04-16,19035968366
2002-04-17,18814076710
2002-04-18,18598024308
2002-04-19,18627220579
2002-04-22,19123557177
2002-04-23,19035968366
2002-04-24,19211145989
2002-04-25,18965897316
2002-04-26,18551310275
2002-04-29,18685613120
2002-04-30,18744005661
2002-05-01,18744005661
2002-05-02,18749844915
2002-05-03,18744005661
2002-05-06,18492917734
2002-05-07,18195115775
2002-05-08,19427198390
2002-05-09,19152753448
2002-05-10,19263699275
2002-05-13,19362966595
2002-05-14,19795071399
2002-05-15,19649090046
2002-05-16,19573179743
2002-05-17,19929374243
2002-05-20,19824267669
2002-05-21,19678286317
2002-05-22,19438876898
2002-05-23,19882660210
2002-05-24,19736678858
2002-05-28,19713321841
2002-05-29,19444716153
2002-05-30,19707482587
2002-05-31,20139587390
2002-06-03,20087034104
2002-06-04,20034480817
2002-06-05,20787744596
2002-06-06,20875333407
2002-06-07,20618406227
2002-06-10,20758548325
2002-06-11,20028641563
2002-06-12,20554174432
2002-06-13,19649090046
2002-06-14,19818428415
2002-06-17,19853463940
2002-06-18,19795071399
2002-06-19,19824267669
2002-06-20,19783392890
2002-06-21,19357127341
2002-06-24,18977575825
2002-06-25,19111878669
2002-06-26,18831594472
2002-06-27,18977575825
2002-06-28,19479751677
2002-07-01,18806027839
2002-07-02,18305683979
2002-07-03,17483279704
2002-07-05,18023881115
2002-07-08,17770833646
2002-07-09,17431519994
2002-07-10,17592550202
2002-07-11,17799589040
2002-07-12,18288430743
2002-07-15,18288430743
2002-07-16,18144653771
2002-07-17,18069889746
2002-07-18,18052636510
2002-07-19,18662250868
2002-07-22,18202164560
2002-07-23,17023193396
2002-07-24,17374009205
2002-07-25,16678128665
2002-07-26,17397013521
2002-07-29,18518473897
2002-07-30,18489718502
2002-07-31,18972809126
2002-08-01,18921049416
2002-08-02,17995125721
2002-08-05,17166970367
2002-08-06,17471777546
2002-08-07,17598301281
2002-08-08,18489718502
2002-08-09,18909547258
2002-08-12,18575984685
2002-08-13,18098645140
2002-08-14,18857787549
2002-08-15,18748517051
2002-08-16,18403452320
2002-08-19,18656499789
2002-08-20,18391950162
2002-08-21,18156155929
2002-08-22,18570233606
2002-08-23,18069889746
2002-08-26,18127400535
2002-08-27,17345253811
2002-08-28,17293494101
2002-08-29,17253236550
2002-08-30,17368258127
2002-09-03,16540102772
2002-09-04,16563107088
2002-09-05,16534351693
2002-09-06,17097957421
2002-09-09,17437271073
2002-09-10,17356755969
2002-09-11,17339502732
2002-09-12,17023193396
2002-09-13,16982935844
2002-09-16,16821905636
2002-09-17,16620617876
2002-09-18,16655124349
2002-09-19,16039758912
2002-09-20,15821217916
2002-09-23,16045509991
2002-09-24,15729200654
2002-09-25,16166282647
2002-09-26,16609115718
2002-09-27,16241046672
2002-09-30,15834236171
2002-10-01,16532805413
2002-10-02,16466275009
2002-10-03,16078180986
2002-10-04,15678998561
2002-10-07,15191108931
2002-10-08,15412876945
2002-10-09,14137710867
2002-10-10,14608967895
2002-10-11,15235462534
2002-10-14,15102401726
2002-10-15,16311037400
2002-10-16,15845324571
2002-10-17,16327670001
2002-10-18,16776750228
2002-10-21,16726852425
2002-10-22,16216785994
2002-10-23,16272227997
2002-10-24,16488451811
2002-10-25,16638145220
2002-10-28,16355391003
2002-10-29,15934031777
2002-10-30,16078180986
2002-10-31,16189064992
2002-11-01,16366479403
2002-11-04,16177976592
2002-11-05,16022738982
2002-11-06,17026239244
2002-11-07,16593791617
2002-11-08,16771206028
2002-11-11,16288860598
2002-11-12,16399744605
2002-11-13,16566070615
2002-11-14,16787838629
2002-11-15,16632601020
2002-11-18,16477363410
2002-11-19,16266683797
2002-11-20,16394200405
2002-11-21,16532805413
2002-11-22,16704675624
2002-11-25,16649233621
2002-11-26,16244506996
2002-11-27,16505084412
2002-11-29,16676954622
2002-12-02,16743485026
2002-12-03,16965253040
2002-12-04,16909811037
2002-12-05,16931987838
2002-12-06,17303449261
2002-12-09,17236918857
2002-12-10,17580659278
2002-12-11,17569570877
2002-12-12,17419877468
2002-12-13,17403244867
2002-12-16,17796883091
2002-12-17,17652733882
2002-12-18,17741441088
2002-12-19,17752529488
2002-12-20,17691543284
2002-12-23,17552938276
2002-12-24,17486407872
2002-12-26,17558482476
2002-12-27,17347802863
2002-12-30,17552938276
2002-12-31,17597291879
2003-01-02,17852325094
2003-01-03,17697087485
2003-01-06,17907767098
2003-01-07,17952120700
2003-01-08,17852325094
2003-01-09,18517629135
2003-01-10,18650689943
2003-01-13,18584159539
2003-01-14,18589703740
2003-01-15,18811471753
2003-01-16,18739397149
2003-01-17,18373479926
2003-01-21,18212698116
2003-01-22,17963209101
2003-01-23,18379024127
2003-01-24,17641645481
2003-01-27,17774706290
2003-01-28,17929943899
2003-01-29,17891134497
2003-01-30,17580659278
2003-01-31,17613924480
2003-02-03,17835692493
2003-02-04,17353347064
2003-02-05,17419877468
2003-02-06,16992974042
2003-02-07,16965253040
2003-02-10,16854369033
2003-02-11,16577159016
2003-02-12,16078180986
2003-02-13,16460730809
2003-02-14,17031783444
2003-02-18,17142667451
2003-02-19,16804471230
2003-02-20,16887634235
2003-02-21,16882090035
2003-02-24,16643689420
2003-02-25,16782294429
2003-02-26,16621512619
2003-02-27,16832192232
2003-02-28,16649233621
2003-03-03,16638145220
2003-03-04,16266683797
2003-03-05,16460730809
2003-03-06,16455186609
2003-03-07,16554982215
2003-03-10,15800970969
2003-03-11,15518216751
2003-03-12,15279816137
2003-03-13,16166888191
2003-03-14,16322125800
2003-03-17,16854369033
2003-03-18,16660322021
2003-03-19,16887634235
2003-03-20,16793382829
2003-03-21,17297905060
2003-03-24,16649233621
2003-03-25,16970797240
2003-03-26,16848824833
2003-03-27,16743485026
2003-03-28,16577159016
2003-03-31,16007355000
2003-04-01,16330238400
2003-04-02,16850135400
2003-04-03,16516306800
2003-04-04,16811827200
2003-04-07,17069039400
2003-04-08,17036203800
2003-04-09,16499889000
2003-04-10,16461580800
2003-04-11,16401382200
2003-04-14,16817299800
2003-04-15,16943169600
2003-04-16,16707847800
2003-04-17,16965060000
2003-04-21,16893916200
2003-04-22,17506847400
2003-04-23,17539683000
2003-04-24,17304361200
