,PWER
2023-11-29,4987816.73
2023-11-30,5029564.1
2023-12-01,5166734.03
2023-12-04,5121010.72
2023-12-05,5007696.43
2023-12-06,4948057.33
2023-12-07,4959985.15
2023-12-08,5007696.43
2023-12-11,4985828.76
2023-12-12,4900346.05
2023-12-13,5099143.05
2023-12-14,5383422.76
2023-12-15,5379446.82
2023-12-18,5357579.15
2023-12-19,5504688.93
2023-12-20,5353603.21
2023-12-21,5470893.44
2023-12-22,5502700.96
2023-12-26,5566316.0
2023-12-27,5562340.06
2023-12-28,5520592.69
2023-12-29,5470893.44
2024-01-02,5449025.77
2024-01-03,5365531.03
2024-01-04,5297940.05
2024-01-05,5268120.5
2024-01-08,5264144.56
2024-01-09,5202517.49
2024-01-10,5152818.24
2024-01-11,5144866.36
2024-01-12,5170709.97
2024-01-16,4991792.67
2024-01-17,4892394.17
2024-01-18,4876490.41
2024-01-19,4886430.26
2024-01-22,4902334.02
2024-01-23,4977876.88
2024-01-24,4967937.03
2024-01-25,5005708.46
2024-01-26,5031552.07
2024-01-29,5079263.35
2024-01-30,5073299.44
2024-01-31,4977876.88
2024-02-01,5047455.83
2024-02-02,5003720.49
2024-02-05,4858598.68
2024-02-06,4920225.75
2024-02-07,4965949.06
2024-02-08,4944081.39
2024-02-09,4957997.18
2024-02-12,5059383.65
2024-02-13,4864562.59
2024-02-14,4946069.36
2024-02-15,5047455.83
2024-02-16,5049443.8
2024-02-20,4950045.3
2024-02-21,4983840.79
2024-02-22,4920225.75
2024-02-23,4892394.17
2024-02-26,4866550.56
2024-02-27,4932153.57
2024-02-29,4973900.94
2024-03-01,5057395.68
2024-03-05,4993780.64
2024-03-06,5079263.35
2024-03-07,5180649.82
2024-03-08,5168722.0
2024-03-15,5184625.76
2024-03-21,5323783.66
2024-03-22,5266132.53
2024-03-25,5266132.53
2024-03-28,5462941.56
2024-04-01,5490773.14
2024-04-02,5510652.84
2024-04-03,5612039.31
2024-04-04,5602099.46
2024-04-05,5621979.16
2024-04-08,5649810.74
2024-04-09,5781016.76
2024-04-10,5739269.39
2024-04-11,5723365.63
2024-04-12,5623967.13
2024-04-15,5558364.12
2024-04-16,5498725.02
2024-04-17,5510652.84
2024-04-18,5502700.96
2024-04-19,5510652.84
2024-04-22,5510652.84
2024-04-23,5540472.39
2024-04-24,5546436.3
2024-04-25,5645834.8
2024-04-29,5798908.49
2024-04-30,5614027.28
2024-05-01,5548424.27
2024-05-02,5608063.37
2024-05-03,5667702.47
2024-05-07,5735293.45
2024-05-08,5679630.29
2024-05-09,5777040.82
2024-05-13,5642942.88
2024-05-14,5650338.72
2024-05-15,5656082.88
2024-05-16,5654168.16
2024-05-17,5751818.88
2024-05-20,5759385.45
2024-05-21,5787982.2
2024-05-22,5747946.75
2024-05-23,5654530.7
2024-05-24,5770824.15
2024-05-28,5856584.86
2024-05-29,5700520.41
2024-05-30,5721359.8
2024-05-31,5751671.64
2024-06-03,7102738.72
2024-06-04,6915199.83
2024-06-05,6955556.3
2024-06-06,6991164.95
2024-06-07,6867721.63
2024-06-11,6962725.44
2024-06-12,6965103.42
2024-06-14,6698769.66
2024-06-17,6921707.93
2024-06-18,6961302.97
2024-06-20,6990876.96
2024-06-21,6961254.6
2024-06-24,7072229.59
2024-06-25,6985892.64
2024-06-26,6961224.94
2024-06-27,6963691.71
2024-06-28,6882288.3
2024-07-01,6245383.6
2024-07-02,6270149.0
2024-07-05,6371462.0
2024-07-08,6387291.57
2024-07-10,6396341.93
2024-07-11,6327697.88
2024-07-12,6487098.03
2024-07-15,6525504.0
2024-07-16,6593478.0
2024-07-17,6493782.8
2024-07-18,6403150.8
2024-07-22,6484712.47
2024-07-25,6310242.24
2024-07-26,6398640.03
2024-07-29,6294601.3
2024-07-30,6269739.32
2024-07-31,6409870.48
2024-08-01,6235836.62
2024-08-02,6404884.49
2024-08-05,6953933.08
2024-08-06,7012978.44
