,PWR
2000-01-03,1579881990
2000-01-04,1576518750
2000-01-05,1600902240
2000-01-06,1604265479
2000-01-07,1562224979
2000-01-10,1573155510
2000-01-11,1642942740
2000-01-12,1667326229
2000-01-13,1674893520
2000-01-14,1702640250
2000-01-18,1642942740
2000-01-19,1671530280
2000-01-20,2021307240
2000-01-21,1975903500
2000-01-24,1975903500
2000-01-25,2000286990
2000-01-26,2000286990
2000-01-27,1912842750
2000-01-28,1885096020
2000-01-31,1835488229
2000-02-01,1881732780
2000-02-02,1954883250
2000-02-03,1965813780
2000-02-04,1912842750
2000-02-07,1933863000
2000-02-08,2011217520
2000-02-09,2053258020
2000-02-10,2017944000
2000-02-11,2000286990
2000-02-14,1969177020
2000-02-15,1954883250
2000-02-16,1933863000
2000-02-17,1930499760
2000-02-18,1979266740
2000-02-22,2081004750
2000-02-23,2260097280
2000-02-24,2228146500
2000-02-25,2179379520
2000-02-28,2189469240
2000-02-29,2270187000
2000-03-01,2466095730
2000-03-02,2634257730
2000-03-03,2599784520
2000-03-06,2564470500
2000-03-07,2578764270
2000-03-08,2627531250
2000-03-09,2606511000
2000-03-10,2844460230
2000-03-13,2928541230
2000-03-14,3079887030
2000-03-15,3170694510
2000-03-16,3248049030
2000-03-17,3314473020
2000-03-20,3285885480
2000-03-21,3237118500
2000-03-22,3167331270
2000-03-23,3475067730
2000-03-24,3643229730
2000-03-27,3531402000
2000-03-28,3363240000
2000-03-29,3254775510
2000-03-30,3363240000
2000-03-31,2381475600
2000-04-03,2472120000
2000-04-04,2114251200
2000-04-05,2310255000
2000-04-06,2417968800
2000-04-07,2400899400
2000-04-10,2468588400
2000-04-11,2354400000
2000-04-12,2442690000
2000-04-13,2369115000
2000-04-14,2310255000
2000-04-17,2200186800
2000-04-18,2313786600
2000-04-19,2413260000
2000-04-20,2472120000
2000-04-24,2324970000
2000-04-25,2457405000
2000-04-26,2369115000
2000-04-27,2439158400
2000-04-28,2733458400
2000-05-01,2928285000
2000-05-02,2895323400
2000-05-03,2807033400
2000-05-04,3097801800
2000-05-05,3274381800
2000-05-08,3108396600
2000-05-09,3078966600
2000-05-10,2910038400
2000-05-11,3274381800
2000-05-12,3104865000
2000-05-15,3093681600
2000-05-16,3181971600
2000-05-17,3226116600
2000-05-18,3101333400
2000-05-19,3024226800
2000-05-22,2968898400
2000-05-23,2814096600
2000-05-24,2586308400
2000-05-25,2619270000
2000-05-26,2645168400
2000-05-30,2795850000
2000-05-31,2884140000
2000-06-01,2913570000
2000-06-02,2921221800
2000-06-05,2902386600
2000-06-06,3119580000
2000-06-07,3347956800
2000-06-08,3373266600
2000-06-09,3377386800
2000-06-12,3410348400
2000-06-13,3395633400
2000-06-14,3446841600
2000-06-15,3619890000
2000-06-16,3652851600
2000-06-19,3572213400
2000-06-20,3513353400
2000-06-21,3432126600
2000-06-22,3402696600
2000-06-23,3399165000
2000-06-26,3355020000
2000-06-27,3347956800
2000-06-28,3252015000
2000-06-29,3057188400
2000-06-30,3484305000
2000-07-03,3420954000
2000-07-05,3682593630
2000-07-06,3706033500
2000-07-07,3595169250
2000-07-10,3278414250
2000-07-11,2866632750
2000-07-12,3060486810
2000-07-13,2997135810
2000-07-14,2914146000
2000-07-17,2767805190
2000-07-18,2775407310
2000-07-19,2720291940
2000-07-20,2834957250
2000-07-21,2775407310
2000-07-24,2827355130
2000-07-25,2910344940
2000-07-26,3009172500
2000-07-27,2807082810
2000-07-28,2831156190
2000-07-31,2898308250
2000-08-01,2914146000
2000-08-02,2859030630
2000-08-03,2811517380
2000-08-04,2656940940
2000-08-07,2692417500
2000-08-08,2593589940
2000-08-09,2331950310
2000-08-10,2399735880
2000-08-11,2407338000
2000-08-14,2439013500
2000-08-15,2331950310
2000-08-16,2375662500
2000-08-17,2395301310
2000-08-18,2324348190
2000-08-21,2391500250
2000-08-22,2431411380
2000-08-23,2827355130
2000-08-24,2751967440
2000-08-25,2727894060
2000-08-28,2716490880
2000-08-29,2894507190
2000-08-30,2859030630
2000-08-31,2961659250
2000-09-01,2981298060
2000-09-05,2957858190
2000-09-06,2965460310
2000-09-07,2977497000
2000-09-08,2870433810
2000-09-11,2914146000
2000-09-12,2926182690
2000-09-13,2759569560
2000-09-14,2846993940
2000-09-15,2771606250
2000-09-18,2490327810
2000-09-19,2534040000
2000-09-20,2553678810
2000-09-21,2201447250
2000-09-22,2233122750
2000-09-25,2280636000
2000-09-26,1896728940
2000-09-27,1809304560
2000-09-28,1801702440
2000-09-29,1742152500
2000-10-02,2027288640
2000-10-03,1875032640
2000-10-04,1917664320
2000-10-05,2012824320
2000-10-06,1922232000
2000-10-09,2050888320
2000-10-10,1989224640
2000-10-11,1860568320
2000-10-12,1731912000
2000-10-13,1875032640
2000-10-16,1979328000
2000-10-17,1951160640
2000-10-18,1964863680
2000-10-19,2031856320
2000-10-20,2084384640
2000-10-23,2174215680
2000-10-24,2255672640
2000-10-25,2165080320
2000-10-26,2231311680
2000-10-27,2445992640
2000-10-30,2255672640
2000-10-31,2364535680
2000-11-01,2545720320
2000-11-02,2669047680
2000-11-03,2859367680
2000-11-06,2902760640
2000-11-07,2797704000
2000-11-08,2793136320
2000-11-09,2736040320
2000-11-10,2617280640
2000-11-13,2583784320
2000-11-14,2816736000
2000-11-15,2845664640
2000-11-16,2755072320
2000-11-17,2755072320
2000-11-20,2697976320
2000-11-21,2769536640
2000-11-22,2621848320
2000-11-24,2678944320
2000-11-27,2783239680
2000-11-28,2640880320
2000-11-29,2369864640
2000-11-30,2374432320
2000-12-01,2421631680
2000-12-04,2459695680
2000-12-05,2726143680
2000-12-06,2645448000
2000-12-07,2560184640
2000-12-08,2617280640
2000-12-11,2736040320
2000-12-12,2802271680
2000-12-13,2702544000
2000-12-14,2484056640
2000-12-15,2283840000
2000-12-18,2198576640
2000-12-19,2355400320
2000-12-20,2279272320
2000-12-21,2198576640
2000-12-22,2217608640
2000-12-26,2293736640
2000-12-27,2279272320
2000-12-28,2474160000
2000-12-29,2450560320
2001-01-02,2241208320
2001-01-03,2412496320
2001-01-04,2445992640
2001-01-05,2274704640
2001-01-08,2117119680
2001-01-09,2098087680
2001-01-10,2103416640
2001-01-11,2321904000
2001-01-12,2326471680
2001-01-16,2340936000
2001-01-17,2355400320
2001-01-18,2293736640
2001-01-19,2283840000
2001-01-22,2274704640
2001-01-23,2554855680
2001-01-24,2697976320
2001-01-25,2678944320
2001-01-26,2607384000
2001-01-29,2533539840
2001-01-30,2524404479
2001-01-31,2454366720
2001-02-01,2507656320
2001-02-02,2406406080
2001-02-05,2420109120
2001-02-06,2291452800
2001-02-07,2340936000
2001-02-08,2314291200
2001-02-09,2178022080
2001-02-12,2199337920
2001-02-13,2117119680
2001-02-14,2217608640
2001-02-15,2287646400
2001-02-16,2133106560
2001-02-20,2094281280
2001-02-21,2015869440
2001-02-22,2196292800
2001-02-23,2222937600
2001-02-26,2345503680
2001-02-27,2184873600
2001-02-28,2101894080
2001-03-01,2021198400
2001-03-02,1993792320
2001-03-05,2094281280
2001-03-06,2115597120
2001-03-07,2147570880
2001-03-08,2051649600
2001-03-09,1967908800
2001-03-12,1846865280
2001-03-13,1808040000
2001-03-14,1744092480
2001-03-15,1746376320
2001-03-16,1647409920
2001-03-19,1750944000
2001-03-20,1671770880
2001-03-21,1567475520
2001-03-22,1610107200
2001-03-23,1702983360
2001-03-26,1830117120
2001-03-27,1859045760
2001-03-28,1744853760
2001-03-29,1721254080
2001-03-30,1699176960
2001-04-02,1735683960
2001-04-03,1645508550
2001-04-04,1626240300
2001-04-05,1711020600
2001-04-06,1648591470
2001-04-09,1653986580
2001-04-10,1842815430
2001-04-11,1966132230
2001-04-12,2005439460
2001-04-16,1916805510
2001-04-17,2023166250
2001-04-18,2147253780
2001-04-19,2188102470
2001-04-20,2182707360
2001-04-23,2250531600
2001-04-24,2077117350
2001-04-25,2059390560
2001-04-26,1942239600
2001-04-27,2022395519
2001-04-30,1980005370
2001-05-01,2135692830
2001-05-02,2276736420
2001-05-03,2223556050
2001-05-04,2289068100
2001-05-07,2251302330
2001-05-08,2237429190
2001-05-09,2312190000
2001-05-10,2445526290
2001-05-11,2456316510
2001-05-14,2384638620
2001-05-15,2504872500
2001-05-16,2531848050
2001-05-17,2748423179
2001-05-18,2843993700
2001-05-21,2841681510
2001-05-22,2832432750
2001-05-23,2747652450
2001-05-24,2651311200
2001-05-25,2639750250
2001-05-29,2685994050
2001-05-30,2584257690
2001-05-31,2611233240
2001-06-01,2605067400
2001-06-04,2620482000
2001-06-05,2774628000
2001-06-06,2766149970
2001-06-07,2783106030
2001-06-08,2823954720
2001-06-11,2717593980
2001-06-12,2668267260
2001-06-13,2697555000
2001-06-14,2618940539
2001-06-15,1922971350
2001-06-18,1826630100
2001-06-19,1775761920
2001-06-20,1784239950
2001-06-21,1777303380
2001-06-22,1780386300
2001-06-25,1717186440
