,RAD
2000-01-03,3087500000
2000-01-04,2957500000
2000-01-05,2892500000
2000-01-06,2795000000
2000-01-07,2860000000
2000-01-10,2795000000
2000-01-11,2762500000
2000-01-12,2047500000
2000-01-13,2080000000
2000-01-14,2063750000
2000-01-18,2080000000
2000-01-19,1950000000
2000-01-20,1950000000
2000-01-21,1852500000
2000-01-24,1933750000
2000-01-25,1917500000
2000-01-26,1771250000
2000-01-27,1771250000
2000-01-28,1722500000
2000-01-31,1836250000
2000-02-01,1966250000
2000-02-02,1933750000
2000-02-03,1868750000
2000-02-04,1868750000
2000-02-07,1933750000
2000-02-08,1933750000
2000-02-09,1933750000
2000-02-10,1901250000
2000-02-11,1868750000
2000-02-14,1803750000
2000-02-15,1820000000
2000-02-16,1852500000
2000-02-17,1722500000
2000-02-18,1722500000
2000-02-22,1755000000
2000-02-23,2015000000
2000-02-24,2340000000
2000-02-25,1885000000
2000-02-28,2307704000
2000-02-29,2266495000
2000-03-01,2307704000
2000-03-02,2225286000
2000-03-03,2142868000
2000-03-06,2081054500
2000-03-07,2019241000
2000-03-08,2081054500
2000-03-09,2060450000
2000-03-10,2019241000
2000-03-13,1998636500
2000-03-14,2060450000
2000-03-15,1854405000
2000-03-16,1936823000
2000-03-17,1936823000
2000-03-20,1895614000
2000-03-21,1916218500
2000-03-22,1854405000
2000-03-23,1916218500
2000-03-24,1895614000
2000-03-27,1916218500
2000-03-28,1936823000
2000-03-29,1916218500
2000-03-30,1895614000
2000-03-31,1813196000
2000-04-03,1833800500
2000-04-04,1833800500
2000-04-05,1792591500
2000-04-06,1751382500
2000-04-07,1730778000
2000-04-10,1875009500
2000-04-11,2410726500
2000-04-12,2142868000
2000-04-13,2204681500
2000-04-14,2060450000
2000-04-17,1936823000
2000-04-18,1936823000
2000-04-19,1895614000
2000-04-20,1833800500
2000-04-24,1792591500
2000-04-25,1875009500
2000-04-26,1792591500
2000-04-27,1689569000
2000-04-28,1668964500
2000-05-01,1607151000
2000-05-02,1730778000
2000-05-03,1730778000
2000-05-04,1771987000
2000-05-05,1833800500
2000-05-08,1854405000
2000-05-09,1916218500
2000-05-10,1895614000
2000-05-11,2039845500
2000-05-12,2039845500
2000-05-15,2307704000
2000-05-16,2390122000
2000-05-17,2287099500
2000-05-18,2596167000
