,REGN
2000-01-03,391751639
2000-01-04,381808704
2000-01-05,365900008
2000-01-06,369877182
2000-01-07,413626096
2000-01-10,461352184
2000-01-11,448426368
2000-01-12,449420662
2000-01-13,451409249
2000-01-14,461352184
2000-01-18,540895664
2000-01-19,517032620
2000-01-20,485215228
2000-01-21,465329358
2000-01-24,464335064
2000-01-25,463340771
2000-01-26,447432075
2000-01-27,425557618
2000-01-28,399705987
2000-01-31,391751639
2000-02-01,401694574
2000-02-02,429534792
2000-02-03,409648922
2000-02-04,417603270
2000-02-07,415614683
2000-02-08,465329358
2000-02-09,433511966
2000-02-10,463340771
2000-02-11,501123924
2000-02-14,509078272
2000-02-15,477260880
2000-02-16,485215228
2000-02-17,576690230
2000-02-18,692028276
2000-02-22,664188058
2000-02-23,1165311982
2000-02-24,1169289156
2000-02-25,1459622858
2000-02-28,1435759814
2000-02-29,1797682648
2000-03-01,1700241885
2000-03-02,1603795415
2000-03-03,1600315388
2000-03-06,1610755470
2000-03-07,1493428837
2000-03-08,1328376116
2000-03-09,1306501659
2000-03-10,1272695680
2000-03-13,1172272036
2000-03-14,940601651
2000-03-15,933641596
2000-03-16,867023932
2000-03-17,974407630
2000-03-20,871001106
2000-03-21,777537517
2000-03-22,1002247848
2000-03-23,1177243504
2000-03-24,1147414699
2000-03-27,1195140787
2000-03-28,1073836980
2000-03-29,944578825
2000-03-30,912761433
2000-03-31,1082558204
2000-04-03,1043650192
2000-04-04,814779536
2000-04-05,789603764
2000-04-06,965834169
2000-04-07,1013897007
2000-04-10,860553667
2000-04-11,812490829
2000-04-12,704921621
2000-04-13,707210327
2000-04-14,638549130
2000-04-17,647703957
2000-04-18,910905211
2000-04-19,915482625
2000-04-20,881152026
2000-04-24,849110134
2000-04-25,933792277
2000-04-26,956679343
2000-04-27,952101930
2000-04-28,1045938899
2000-05-01,1096290443
2000-05-02,1009319594
2000-05-03,993298648
2000-05-04,1068825964
2000-05-05,1107733976
2000-05-08,1020763126
2000-05-09,993298648
2000-05-10,952101930
2000-05-11,938369690
2000-05-12,970411582
2000-05-15,988721235
2000-05-16,965834169
2000-05-17,920060038
2000-05-18,892595559
2000-05-19,865131080
2000-05-22,810202123
2000-05-23,771294111
2000-05-24,810202123
2000-05-25,732386100
2000-05-26,718653860
2000-05-30,769005405
2000-05-31,746118339
2000-06-01,910905211
2000-06-02,910333035
2000-06-05,883440733
2000-06-06,915482625
2000-06-07,972700289
2000-06-08,844532721
2000-06-09,993298648
2000-06-12,874285906
2000-06-13,908616505
2000-06-14,878863320
2000-06-15,862842374
2000-06-16,936653160
2000-06-19,920060038
2000-06-20,936080984
2000-06-21,1020763126
2000-06-22,924637451
2000-06-23,940658397
2000-06-26,991009941
2000-06-27,906327798
2000-06-28,1061959845
2000-06-29,1096290443
2000-06-30,1077244875
2000-07-03,1052402750
2000-07-05,1086278375
2000-07-06,1045627625
2000-07-07,1070469750
2000-07-10,1074986500
2000-07-11,1133704250
2000-07-12,1072728125
2000-07-13,1061436250
2000-07-14,1002718500
2000-07-17,1104345375
2000-07-18,1054661125
2000-07-19,998201750
2000-07-20,1027560625
2000-07-21,1036594125
2000-07-24,1038852500
2000-07-25,947952906
2000-07-26,1016268750
2000-07-27,959809375
2000-07-28,889799750
2000-07-31,1014010375
2000-08-01,1032077375
2000-08-02,1027560625
2000-08-03,1045627625
2000-08-04,1061436250
2000-08-07,1090795125
2000-08-08,1077244875
2000-08-09,1072728125
2000-08-10,1011752000
2000-08-11,1063694625
2000-08-14,1086278375
2000-08-15,1210489000
2000-08-16,1196938750
2000-08-17,1210489000
2000-08-18,1196938750
