,RHI
2000-01-03,2473545299
2000-01-04,2340749381
2000-01-05,2296484075
2000-01-06,2296484075
2000-01-07,2340749381
2000-01-10,2356684891
2000-01-11,2330125707
2000-01-12,2324813871
2000-01-13,2317731422
2000-01-14,2273466116
2000-01-18,2246906932
2000-01-19,2296484075
2000-01-20,2257530606
2000-01-21,2262842442
2000-01-24,2379702850
2000-01-25,2478857136
2000-01-26,3369475092
2000-01-27,3590801622
2000-01-28,3541224480
2000-01-31,3419052235
2000-02-01,3541224480
2000-02-02,3475711827
2000-02-03,3574866112
2000-02-04,3535912643
2000-02-07,3640378765
2000-02-08,3822751826
2000-02-09,4051160805
2000-02-10,3967942029
2000-02-11,3895346928
2000-02-14,3835146111
2000-02-15,3879411417
2000-02-16,3905970601
2000-02-17,3861705295
2000-02-18,3757239173
2000-02-22,3585489786
2000-02-23,3613819581
2000-02-24,3674020398
2000-02-25,3674020398
2000-02-28,3585489786
2000-02-29,3741303663
2000-03-01,3874099581
2000-03-02,3773174683
2000-03-03,3674020398
2000-03-06,3663396724
2000-03-07,3624443255
2000-03-08,3424364072
2000-03-09,3525288969
2000-03-10,3546536316
2000-03-13,3413740398
2000-03-14,3486335500
2000-03-15,3624443255
2000-03-16,3601425296
2000-03-17,3574866112
2000-03-20,3447382031
2000-03-21,3369475092
2000-03-22,3442070194
2000-03-23,3481023663
2000-03-24,3403116725
2000-03-27,3502271010
2000-03-28,3496959174
2000-03-29,3613819581
2000-03-30,3879411417
2000-03-31,4271721278
2000-04-03,4250101432
2000-04-04,4199655124
2000-04-05,4268117970
2000-04-06,4347390740
2000-04-07,4459093278
2000-04-10,4514944548
2000-04-11,4504134625
2000-04-12,4487919740
2000-04-13,4385225470
2000-04-14,4217671662
2000-04-17,4419456894
2000-04-18,4403242009
2000-04-19,5163539934
2000-04-20,5174349857
2000-04-24,4977969587
2000-04-25,5259027588
2000-04-26,5179754818
2000-04-27,5298663972
2000-04-28,5505854165
2000-05-01,5664399704
2000-05-02,5439192973
2000-05-03,5230201126
2000-05-04,5495044242
2000-05-05,5545490550
2000-05-08,5568912050
2000-05-09,5540085588
2000-05-10,5399556588
2000-05-11,5460812819
2000-05-12,5579721973
2000-05-15,5563507088
2000-05-16,5664399704
2000-05-17,5473424396
2000-05-18,5410366511
2000-05-19,5320283819
2000-05-22,5203176318
2000-05-23,5439192973
2000-05-24,5259027588
2000-05-25,5354515242
2000-05-26,5235606088
2000-05-30,5404961550
2000-05-31,5349110280
2000-06-01,5550895511
2000-06-02,5675209627
2000-06-05,5736465858
2000-06-06,5675209627
2000-06-07,5556300473
2000-06-08,5613953396
2000-06-09,5534680627
2000-06-12,5394151626
2000-06-13,5394151626
2000-06-14,5415771473
2000-06-15,5404961550
2000-06-16,5404961550
2000-06-19,5394151626
2000-06-20,5404961550
2000-06-21,5404961550
2000-06-22,5113093626
2000-06-23,5158134972
2000-06-26,5203176318
2000-06-27,5168944895
2000-06-28,5338300357
2000-06-29,5349110280
2000-06-30,5067013931
2000-07-03,5360573375
2000-07-05,5360573375
2000-07-06,5437076746
2000-07-07,5593641783
2000-07-10,5515359265
2000-07-11,5426401857
2000-07-12,5570512857
2000-07-13,5604316672
2000-07-14,5638120487
2000-07-17,6182539821
2000-07-18,6116711339
2000-07-19,6093582413
2000-07-20,6138061117
2000-07-21,6059778598
2000-07-24,6049103710
2000-07-25,6038428821
2000-07-26,5960146302
2000-07-27,6082907524
2000-07-28,6015299895
2000-07-31,6116711339
2000-08-01,6138061117
2000-08-02,6082907524
2000-08-03,6072232635
2000-08-04,6072232635
2000-08-07,6004625006
2000-08-08,5960146302
2000-08-09,5837385080
2000-08-10,5904992709
2000-08-11,5960146302
2000-08-14,5960146302
2000-08-15,5792906376
