,SBAC
2000-01-03,636882264
2000-01-04,628036677
2000-01-05,601499916
2000-01-06,599376975
2000-01-07,650327556
2000-01-10,778411656
2000-01-11,915695166
2000-01-12,804948417
2000-01-13,900126933
2000-01-14,886681640
2000-01-18,988582803
2000-01-19,951077514
2000-01-20,951077514
2000-01-21,951077514
2000-01-24,1004151036
2000-01-25,1079161614
2000-01-26,1114543962
2000-01-27,1023965151
2000-01-28,1070316027
2000-01-31,1072438967
2000-02-01,1172217189
2000-02-02,1202999832
2000-02-03,1238382180
2000-02-04,1220691006
2000-02-07,1251827472
2000-02-08,1225290711
2000-02-09,1194154245
2000-02-10,1229536593
2000-02-11,1234136298
2000-02-14,1234136298
2000-02-15,1240505120
2000-02-16,1207599537
2000-02-17,1119143667
2000-02-18,981860157
2000-02-22,1066070145
2000-02-23,1092606906
2000-02-24,1176463071
2000-02-25,1273764528
2000-02-28,1273764528
2000-02-29,1432985094
2000-03-01,1534886256
2000-03-02,1517195082
2000-03-03,1561423017
2000-03-06,1530286551
2000-03-07,1583360073
2000-03-08,1702952409
2000-03-09,1676415648
2000-03-10,1756025931
2000-03-13,1901801205
2000-03-14,1857573270
2000-03-15,1731612111
2000-03-16,1605650952
2000-03-17,1771240340
2000-03-20,1742580639
2000-03-21,1669693002
2000-03-22,1700475644
2000-03-23,1720643583
2000-03-24,1636433595
2000-03-27,1735857992
2000-03-28,1731612111
2000-03-29,1609896834
2000-03-30,1415293920
2000-03-31,1726296352
2000-04-03,1628211332
2000-04-04,1515609729
2000-04-05,1559551818
2000-04-06,1674899801
2000-04-07,1770630781
2000-04-10,1692162765
2000-04-11,1515609729
2000-04-12,1564652239
2000-04-13,1510509308
2000-04-14,1407716207
2000-04-17,1343764774
2000-04-18,1574460741
2000-04-19,1444203834
2000-04-20,1461466798
2000-04-24,1567006279
2000-04-25,1461466798
2000-04-26,1535226733
2000-04-27,1677253842
2000-04-28,1594077745
2000-05-01,1613694749
2000-05-02,1623503251
2000-05-03,1647828336
2000-05-04,1696870846
2000-05-05,1755721858
2000-05-08,1883232384
2000-05-09,1819673291
2000-05-10,1645474295
2000-05-11,1711779769
2000-05-12,1625857291
2000-05-15,1598785826
2000-05-16,1650182376
2000-05-17,1682354263
2000-05-18,1638019834
2000-05-19,1569360320
2000-05-22,1539934814
2000-05-23,1530126312
2000-05-24,1549743316
2000-05-25,1476375721
2000-05-26,1454012336
2000-05-30,1510509308
2000-05-31,1461466798
2000-06-01,1459112757
2000-06-02,1495992725
2000-06-05,1495992725
2000-06-06,1554843737
2000-06-07,1652928757
2000-06-08,1628211332
2000-06-09,1701971267
2000-06-12,1726296352
2000-06-13,1736104854
2000-06-14,1751013777
2000-06-15,1807118408
2000-06-16,1814572870
2000-06-19,1839290295
2000-06-20,1856160918
2000-06-21,1847529436
2000-06-22,1888332805
2000-06-23,1878524303
2000-06-26,1976609323
2000-06-27,2045268837
2000-06-28,2104119849
2000-06-29,2221821873
2000-06-30,2252651044
2000-07-03,2179355313
2000-07-05,2211883005
2000-07-06,2206678574
2000-07-07,2255253260
2000-07-10,2195836010
2000-07-11,2084374455
2000-07-12,2244410696
2000-07-13,2222725568
2000-07-14,2233568132
2000-07-17,2233568132
2000-07-18,2266095823
2000-07-19,2298623515
2000-07-20,2412687285
2000-07-21,2222725568
2000-07-24,2197137118
2000-07-25,2038401985
2000-07-26,2038401985
2000-07-27,1984189166
2000-07-28,1892244225
2000-07-31,1957299608
