,SBNY
2004-03-23,395690309.0
2004-03-24,395283847.0
2004-03-25,393231216.0
2004-03-26,394064463.0
2004-03-29,391016001.0
2004-03-30,395893539.0
2004-03-31,425565232.0
2004-04-01,562547363.0
2004-04-02,556021291.0
2004-04-05,546623748.0
2004-04-06,541663934.0
2004-04-07,540619763.0
2004-04-08,539079610.0
2004-04-12,536443077.0
2004-04-13,541663934.0
2004-04-14,539053505.0
2004-04-15,519736334.0
2004-04-16,541141848.0
2004-04-19,542969148.0
2004-04-20,541402891.0
2004-04-21,542969148.0
2004-04-22,568812391.0
2004-04-23,579515149.0
2004-04-26,604157595.0
2004-04-27,595177720.0
2004-04-28,593872506.0
2004-04-29,592828335.0
2004-04-30,614233849.0
2004-05-03,627024949.0
2004-05-04,620759921.0
2004-05-05,621020963.0
2004-05-06,632506849.0
2004-05-07,640860221.0
2004-05-10,639555007.0
2004-05-11,618671578.0
2004-05-12,625719735.0
2004-05-13,606924649.0
2004-05-14,621282006.0
2004-05-17,624936606.0
2004-05-18,630157464.0
2004-05-19,655478621.0
2004-05-20,643470649.0
2004-05-21,639555007.0
2004-05-24,648691507.0
2004-05-25,652868192.0
2004-05-26,634073106.0
2004-05-27,631984764.0
2004-05-28,653912364.0
2004-06-01,678711436.0
2004-06-02,701422164.0
2004-06-03,698289650.0
2004-06-04,662526778.0
2004-06-07,662004692.0
2004-06-08,663048864.0
2004-06-09,658350092.0
2004-06-10,657305921.0
2004-06-14,631723721.0
2004-06-15,638249792.0
2004-06-16,659133221.0
2004-06-17,653390278.0
2004-06-18,653651321.0
2004-06-21,656783835.0
2004-06-22,659133221.0
2004-06-23,659133221.0
2004-06-24,648691507.0
2004-06-25,609535078.0
2004-06-28,601442749.0
2004-06-29,615278021.0
2004-06-30,619976792.0
2004-07-01,658189991.0
2004-07-02,660568991.0
2004-07-06,664798324.0
2004-07-07,658718658.0
2004-07-08,634928658.0
2004-07-09,635985991.0
2004-07-12,644708991.0
2004-07-13,634135658.0
2004-07-14,635721658.0
2004-07-15,633871325.0
2004-07-16,634664325.0
2004-07-19,652374658.0
2004-07-20,645766325.0
2004-07-21,641536991.0
2004-07-22,635985991.0
2004-07-23,635721658.0
2004-07-26,635192991.0
2004-07-27,639686658.0
2004-07-28,660833325.0
2004-07-29,651581658.0
2004-07-30,660304658.0
2004-08-02,641008325.0
2004-08-03,642329991.0
2004-08-04,639950991.0
2004-08-05,641536991.0
2004-08-06,639686658.0
2004-08-09,638893658.0
2004-08-10,644973325.0
2004-08-11,640479658.0
2004-08-12,640743991.0
2004-08-13,631756658.0
2004-08-16,644708991.0
2004-08-17,655705258.0
2004-08-18,671670991.0
2004-08-19,677486324.0
2004-08-20,705505657.0
