,SCI
2000-01-03,1904693000
2000-01-04,1852994190
2000-01-05,1784969440
2000-01-06,1804016370
2000-01-07,1784969440
2000-01-10,1716944690
2000-01-11,1820342310
2000-01-12,1804016370
2000-01-13,1888367060
2000-01-14,1852994190
2000-01-18,1852994190
2000-01-19,1852994190
2000-01-20,1804016370
2000-01-21,1752317560
2000-01-24,1616268060
2000-01-25,1463892620
2000-01-26,1344169060
2000-01-27,1360495000
2000-01-28,1360495000
2000-01-31,1240771440
2000-02-01,1140094810
2000-02-02,1259818370
2000-02-03,1463892620
2000-02-04,1395867870
2000-02-07,1327843120
2000-02-08,1412193810
2000-02-09,1376820940
2000-02-10,1276144310
2000-02-11,1191793620
2000-02-14,1140094810
2000-02-15,1140094810
2000-02-16,1172746690
2000-02-17,1224445500
2000-02-18,1140094810
2000-02-22,1140094810
2000-02-23,1104721940
2000-02-24,1104721940
2000-02-25,1088396000
2000-02-28,1055744120
2000-02-29,1004045310
2000-03-01,1036697190
2000-03-02,1140094810
2000-03-03,1104721940
2000-03-06,1036697190
2000-03-07,1020371250
2000-03-08,968672440
2000-03-09,936020560
2000-03-10,952346500
2000-03-13,1004045310
2000-03-14,900647690
2000-03-15,867995810
2000-03-16,851669870
2000-03-17,884321750
2000-03-20,832622940
2000-03-21,832622940
2000-03-22,816297000
2000-03-23,799971060
2000-03-24,851669870
2000-03-27,832622940
2000-03-28,832622940
2000-03-29,832622940
2000-03-30,832622940
2000-03-31,816279000
2000-04-03,816279000
2000-04-04,783627840
2000-04-05,799953420
2000-04-06,832604580
2000-04-07,832604580
2000-04-10,867976670
2000-04-11,900627830
2000-04-12,987697590
2000-04-13,1292441750
2000-04-14,1140069670
2000-04-17,1224418500
2000-04-18,1172720830
2000-04-19,1140069670
2000-04-20,1208092920
2000-04-24,1376790580
2000-04-25,1463860340
2000-04-26,1463860340
2000-04-27,1376790580
2000-04-28,1395837090
2000-05-01,1428488250
2000-05-02,1292441750
2000-05-03,1208092920
2000-05-04,1072046420
2000-05-05,1156395250
2000-05-08,1156395250
2000-05-09,1224418500
2000-05-10,1104697580
2000-05-11,1088372000
2000-05-12,1036674330
2000-05-15,987697590
2000-05-16,1004023170
2000-05-17,1020348750
2000-05-18,987697590
2000-05-19,884302250
2000-05-22,851651090
2000-05-23,900627830
2000-05-24,816279000
2000-05-25,764581330
2000-05-26,783627840
2000-05-30,799953420
2000-05-31,851651090
2000-06-01,919674340
2000-06-02,919674340
2000-06-05,968651080
2000-06-06,952325500
2000-06-07,952325500
2000-06-08,919674340
2000-06-09,816279000
2000-06-12,816279000
2000-06-13,832604580
2000-06-14,832604580
2000-06-15,851651090
2000-06-16,851651090
2000-06-19,952325500
2000-06-20,987697590
2000-06-21,935999920
2000-06-22,919674340
2000-06-23,1004023170
2000-06-26,952325500
2000-06-27,935999920
2000-06-28,935999920
2000-06-29,1104697580
2000-06-30,868349900
2000-07-03,952735000
2000-07-05,901015100
2000-07-06,901015100
2000-07-07,901015100
2000-07-10,884682500
2000-07-11,783964800
2000-07-12,783964800
2000-07-13,783964800
2000-07-14,783964800
2000-07-17,816630000
2000-07-18,783964800
2000-07-19,832962600
2000-07-20,800297400
2000-07-21,748577500
2000-07-24,732244900
2000-07-25,732244900
2000-07-26,696857600
2000-07-27,715912300
2000-07-28,696857600
2000-07-31,696857600
2000-08-01,696857600
2000-08-02,664192400
2000-08-03,680525000
2000-08-04,680525000
2000-08-07,628805100
2000-08-08,647859800
2000-08-09,628805100
2000-08-10,612472500
2000-08-11,596139900
2000-08-14,596139900
2000-08-15,579807300
2000-08-16,579807300
2000-08-17,596139900
