,SDS
2006-07-13,66667827916
2006-07-14,67139619840
2006-07-17,67638630528
2006-07-18,67275713664
2006-07-19,64962118656
2006-07-20,66023650483
2006-07-21,66885578035
2006-07-24,64871389440
2006-07-25,64072972339
2006-07-26,63873368064
2006-07-27,64753441459
2006-07-28,63301774003
2006-07-31,63347138611
2006-08-01,63973170201
2006-08-02,63229190630
2006-08-03,63038659276
2006-08-04,63129388492
2006-08-07,63519410710
2006-08-08,64082045260
2006-08-09,64744368537
2006-08-10,64199993241
2006-08-11,64508472576
2006-08-14,64435889203
2006-08-15,62512429824
2006-08-16,61804741939
2006-08-17,61532554291
2006-08-18,61115199897
2006-08-21,61423679232
2006-08-22,61523481369
2006-08-23,61968054528
2006-08-24,61886398233
2006-08-25,61841033625
2006-08-28,61296658329
2006-08-29,61069948701
2006-08-30,61033543603
2006-08-31,61160564505
2006-09-01,60570824601
2006-09-05,60398552502
2006-09-06,61469043840
2006-09-07,62294679705
2006-09-08,61768450252
2006-09-11,61786596096
2006-09-12,60516387072
2006-09-13,60071813913
2006-09-14,60507314150
2006-09-15,60198834816
2006-09-18,59908501324
2006-09-19,60080886835
2006-09-20,59835917952
2006-09-21,60053668070
2006-09-22,60561751680
2006-09-25,59663532441
2006-09-26,58701802752
2006-09-27,58547563084
2006-09-28,58375177574
2006-09-29,58792531968
2006-10-02,59246178048
2006-10-03,58910479948
2006-10-04,57613052160
2006-10-05,57349937433
2006-10-06,57431593728
2006-10-09,57513250022
2006-10-10,57304572825
2006-10-11,57567687552
2006-10-12,56569666176
2006-10-13,56252113920
2006-10-16,56143238860
2006-10-17,56515228646
2006-10-18,56524301568
2006-10-19,56351916057
2006-10-20,56415426508
2006-10-23,55753103232
2006-10-24,55662374016
2006-10-25,55344821760
2006-10-26,54873029836
2006-10-27,55562571878
2006-10-30,55671446937
2006-10-31,55716811545
2006-11-01,56560593254
2006-11-02,56660395392
2006-11-03,56941655961
2006-11-06,55753103232
2006-11-07,55417405132
2006-11-08,55090779955
2006-11-09,55707738624
2006-11-10,55544426035
2006-11-13,55272238387
2006-11-14,54564550502
2006-11-15,54228852403
2006-11-16,54129050265
2006-11-17,54346800384
2006-11-20,54119977344
2006-11-21,53992956441
2006-11-22,53747987558
2006-11-24,54274217011
2006-11-27,55753103232
2006-11-28,55435550976
2006-11-29,54392164992
2006-11-30,54210706560
2006-12-01,54519185894
2006-12-04,53711695872
2006-12-05,53230831027
2006-12-06,53330633164
2006-12-07,53802425088
2006-12-08,53738914636
2006-12-11,53385070694
2006-12-12,53548383283
2006-12-13,53366924851
2006-12-14,52550361907
2006-12-15,52441486848
2006-12-18,52822549555
2006-12-19,52586653593
2006-12-20,52105788748
2006-12-21,52495924377
2006-12-22,53176393497
2006-12-26,52668309888
2006-12-27,51888038630
2006-12-28,51897111552
2006-12-29,52759039104
2007-01-03,52985862144
2007-01-04,52786257868
2007-01-05,53566529126
2007-01-08,53276195635
2007-01-09,53303414400
2007-01-10,53104717416
2007-01-11,52414268083
2007-01-12,51878965708
2007-01-16,52005986611
2007-01-17,52033205376
2007-01-18,52377976396
2007-01-19,52114861670
2007-01-22,52559434828
2007-01-23,52305393024
2007-01-24,51515822021
2007-01-25,52632018201
2007-01-26,52840581986
2007-01-29,52940497536
2007-01-30,52368903475
2007-01-31,51751944806
2007-02-01,51162204902
2007-02-02,51062402764
2007-02-05,51035184000
2007-02-06,51207569510
2007-02-07,50862798489
2007-02-08,50989819392
2007-02-09,51761017728
2007-02-12,51978767846
2007-02-13,51207569510
2007-02-14,50626902528
2007-02-15,50527100390
2007-02-16,50590610841
2007-02-20,50418225331
2007-02-21,50527100390
2007-02-22,50608756684
2007-02-23,50962600627
2007-02-26,51134986137
2007-02-27,55117998720
2007-02-28,54119977344
2007-03-01,54482894208
2007-03-02,55961780428
2007-03-05,57086822707
2007-03-06,55163363328
2007-03-07,55381113446
2007-03-08,54664352640
2007-03-09,54392164992
2007-03-12,54392164992
2007-03-13,56406353587
2007-03-14,55617009408
2007-03-15,55362967603
2007-03-16,55816613683
2007-03-19,54555477580
2007-03-20,53920373068
2007-03-21,52296320102
2007-03-22,52105788748
2007-03-23,51996913689
2007-03-26,52105788748
2007-03-27,52178372121
2007-03-28,53031226752
2007-03-29,52958643379
2007-03-30,52931424614
2007-04-02,52813476633
2007-04-03,51851746944
2007-04-04,51679361433
2007-04-05,51407173785
2007-04-09,51398100864
2007-04-10,51198496588
2007-04-11,51670288512
2007-04-12,51243861196
2007-04-13,50880944332
2007-04-16,49901068800
2007-04-17,49692391603
2007-04-18,49538151936
2007-04-19,49628881152
2007-04-20,48766953600
2007-04-23,49138943385
2007-04-24,49129870464
2007-04-25,48222578304
2007-04-26,48149994931
2007-04-27,48041119872
2007-04-30,49084505856
2007-05-01,48839536972
2007-05-02,48267942912
2007-05-03,47678203008
2007-05-04,47442307046
2007-05-07,47533036262
2007-05-08,47523963340
2007-05-09,47406015360
2007-05-10,48404036736
2007-05-11,47587473792
2007-05-14,47823369753
2007-05-15,47968536499
2007-05-16,47197338163
2007-05-17,47360650752
2007-05-18,46671108710
2007-05-21,46634817024
2007-05-22,46789056691
2007-05-23,46725546240
2007-05-24,47705421772
2007-05-25,47088463104
2007-05-29,46988660966
2007-05-30,46208389708
2007-05-31,46290046003
2007-06-01,46017858355
2007-06-04,45727524864
2007-06-05,46371702297
2007-06-06,47415088281
