,SII
2003-09-10,4615993298
2003-09-11,4630066448
2003-09-12,4631345826
2003-09-15,4628787071
2003-09-16,4641580844
2003-09-17,4571215092
2003-09-18,4599361393
2003-09-19,4632625203
2003-09-22,4613434543
2003-09-23,4608317034
2003-09-24,4733696010
2003-09-25,4713225973
2003-09-26,4594243884
2003-09-29,4627507694
2003-09-30,4603199525
2003-10-01,4679962163
2003-10-02,4715784727
2003-10-03,4791267988
2003-10-06,4814296779
2003-10-07,4836046194
2003-10-08,4856516230
2003-10-09,4798944252
2003-10-10,4806620516
2003-10-13,4793826743
2003-10-14,4710667218
2003-10-15,4587846997
2003-10-16,4691476559
2003-10-17,4710667218
2003-10-20,4784871102
2003-10-21,4825811175
2003-10-22,4752886669
2003-10-23,4740092896
2003-10-24,4660771503
2003-10-27,4630066448
2003-10-28,4662050881
2003-10-29,4622390184
2003-10-30,4644139599
2003-10-31,4763121687
2003-11-03,4664609635
2003-11-04,4733696010
2003-11-05,4705549709
2003-11-06,4720902237
2003-11-07,4763121687
2003-11-10,4683800295
2003-11-11,4681241540
2003-11-12,4704270332
2003-11-13,4938396378
2003-11-14,4998527111
2003-11-17,4929440736
2003-11-18,4879545022
2003-11-19,4846281212
2003-11-20,4797664875
2003-11-21,4742651651
2003-11-24,4714505350
2003-11-25,4788709233
2003-11-26,4855236853
2003-11-28,4802782384
2003-12-01,4929440736
2003-12-02,4966542678
2003-12-03,4911529454
2003-12-04,5062495976
2003-12-05,5145655500
2003-12-08,5072730994
2003-12-09,5033070298
2003-12-10,5021555902
2003-12-11,5027952789
2003-12-12,5149493632
2003-12-15,5029232166
2003-12-16,5058657844
2003-12-17,5108553558
2003-12-18,5338841472
2003-12-19,5296622022
2003-12-22,5358032132
2003-12-23,5271034476
2003-12-24,5379781546
2003-12-26,5386178433
2003-12-29,5439912279
2003-12-30,5416883488
2003-12-31,5311974549
2004-01-02,5304298285
2004-01-05,5332444586
2004-01-06,5245446930
2004-01-07,5152052387
2004-01-08,5300460153
2004-01-09,5638215761
2004-01-12,5619025101
2004-01-13,5590878801
2004-01-14,5448867920
2004-01-15,5308136417
2004-01-16,5437353525
2004-01-20,5738007190
2004-01-21,5837798619
2004-01-22,5736727813
2004-01-23,5961898218
2004-01-26,6094953457
2004-01-27,6226729319
2004-01-28,6243361224
2004-01-29,6196024263
2004-01-30,6199862395
2004-02-02,6198583018
2004-02-03,6065527779
2004-02-04,5987485764
2004-02-05,5903046862
2004-02-06,5995162027
2004-02-09,6147407926
2004-02-10,6268948770
2004-02-11,6290698184
2004-02-12,6398165877
2004-02-13,6455737855
2004-02-17,6468531628
2004-02-18,6335476389
2004-02-19,6295815693
2004-02-20,6326520748
2004-02-23,6233126205
2004-02-24,6422474046
2004-02-25,6492839797
2004-02-26,6517147966
2004-02-27,6482604779
2004-03-01,6633571300
2004-03-02,6698819542
2004-03-03,6679628883
2004-03-04,6628453791
2004-03-05,6628453791
2004-03-08,6588793095
2004-03-09,6517147966
2004-03-10,6363622690
2004-03-11,6384092727
2004-03-12,6455737855
2004-03-15,6607983754
2004-03-16,6547853021
2004-03-17,6793493463
2004-03-18,6999473208
2004-03-19,6871535478
2004-03-22,6760229653
2004-03-23,6734642107
2004-03-24,6460855365
2004-03-25,6446782214
2004-03-26,6627174414
2004-03-29,6572161190
2004-03-30,6773023426
2004-03-31,6845947932
2004-04-01,6587513717
2004-04-02,6595189981
2004-04-05,6538897380
2004-04-06,6435267819
2004-04-07,6592631226
2004-04-08,6614380641
2004-04-12,6798610972
2004-04-13,6757670898
