,SPGI
2000-01-03,11360210040
2000-01-04,10839242160
2000-01-05,10691505000
2000-01-06,10399918500
2000-01-07,10497114000
2000-01-10,11228024160
2000-01-11,11286341460
2000-01-12,11371873500
2000-01-13,11892841380
2000-01-14,11422415160
2000-01-18,11045296620
2000-01-19,11212472880
2000-01-20,11177482500
2000-01-21,11325219660
2000-01-24,10920886380
2000-01-25,10742046660
2000-01-26,11457405540
2000-01-27,11589591420
2000-01-28,11325219660
2000-01-31,10897559460
2000-02-01,10897559460
2000-02-02,11200809420
2000-02-03,11445742080
2000-02-04,11177482500
2000-02-07,10920886380
2000-02-08,10909222920
2000-02-09,10714831920
2000-02-10,10788700500
2000-02-11,10714831920
2000-02-14,10691505000
2000-02-15,10353264660
2000-02-16,10205527500
2000-02-17,10034463420
2000-02-18,9754540380
2000-02-22,9754540380
2000-02-23,9536822460
2000-02-24,9039181500
2000-02-25,9027518040
2000-02-28,9039181500
2000-02-29,9890614080
2000-03-01,9742876920
2000-03-02,9781755120
2000-03-03,9742876920
2000-03-06,9587364120
2000-03-07,9525159000
2000-03-08,9307441080
2000-03-09,9684559620
2000-03-10,9525159000
2000-03-13,8895332160
2000-03-14,9039181500
2000-03-15,9015854580
2000-03-16,9867287160
2000-03-17,9587364120
2000-03-20,9233572500
2000-03-21,8906995620
2000-03-22,9221909040
2000-03-23,9587364120
2000-03-24,9342431460
2000-03-27,8965312920
2000-03-28,8747595000
2000-03-29,8941986000
2000-03-30,9062508420
2000-03-31,8813577500
2000-04-03,8716725000
2000-04-04,8910430000
2000-04-05,9080890400
2000-04-06,9235854400
2000-04-07,9080890400
2000-04-10,8790332900
2000-04-11,8585005600
2000-04-12,8767088300
2000-04-13,8317692700
2000-04-14,8340937300
2000-04-17,8282825800
2000-04-18,9468300400
2000-04-19,9650383100
2000-04-20,9588397500
2000-04-24,10049415400
2000-04-25,10533677900
2000-04-26,10653775000
2000-04-27,10436825400
2000-04-28,10169512500
2000-05-01,10061037700
2000-05-02,10061037700
2000-05-03,9952562900
2000-05-04,10049415400
2000-05-05,10107526900
2000-05-08,9890577300
2000-05-09,9816969400
2000-05-10,9782102500
2000-05-11,9747235600
2000-05-12,9859584500
2000-05-15,9878955000
2000-05-16,9805347100
2000-05-17,9735613300
2000-05-18,9878955000
2000-05-19,9708494600
2000-05-22,9588397500
2000-05-23,9650383100
2000-05-24,9770480200
2000-05-25,9878955000
2000-05-26,9987429800
2000-05-30,10157890200
2000-05-31,9964185200
2000-06-01,9964185200
2000-06-02,10157890200
2000-06-05,10157890200
2000-06-06,9975807500
