,STE
2000-01-03,685337500
2000-01-04,664218750
2000-01-05,660131250
2000-01-06,673075000
2000-01-07,664218750
2000-01-10,673075000
2000-01-11,660131250
2000-01-12,749375000
2000-01-13,792293750
2000-01-14,775262500
2000-01-18,758231250
2000-01-19,724168750
2000-01-20,719400000
2000-01-21,702368750
2000-01-24,681250000
2000-01-25,681250000
2000-01-26,732343750
2000-01-27,715312500
2000-01-28,694193750
2000-01-31,715312500
2000-02-01,758231250
2000-02-02,800468750
2000-02-03,766406250
2000-02-04,775262500
2000-02-07,749375000
2000-02-08,762318750
2000-02-09,762318750
2000-02-10,770493750
2000-02-11,758231250
2000-02-14,741200000
2000-02-15,736431250
2000-02-16,732343750
2000-02-17,715312500
2000-02-18,715312500
2000-02-22,707137500
2000-02-23,702368750
2000-02-24,694193750
2000-02-25,685337500
2000-02-28,673075000
2000-02-29,660131250
2000-03-01,664218750
2000-03-02,660131250
2000-03-03,690106250
2000-03-06,668306250
2000-03-07,664218750
2000-03-08,647187500
2000-03-09,647187500
2000-03-10,711225000
2000-03-13,698281250
2000-03-14,681250000
2000-03-15,681250000
2000-03-16,685337500
2000-03-17,677162500
2000-03-20,677162500
2000-03-21,647187500
2000-03-22,711225000
2000-03-23,685337500
2000-03-24,673075000
2000-03-27,673075000
2000-03-28,673075000
2000-03-29,664218750
2000-03-30,673075000
2000-03-31,698281250
2000-04-03,859464000
2000-04-04,942264000
2000-04-05,957168000
2000-04-06,936468000
2000-04-07,921564000
2000-04-10,977868000
2000-04-11,947232000
2000-04-12,915768000
2000-04-13,885132000
2000-04-14,843732000
2000-04-17,838764000
2000-04-18,838764000
2000-04-19,823032000
2000-04-20,848700000
2000-04-24,823032000
2000-04-25,832968000
2000-04-26,807300000
2000-04-27,724500000
2000-04-28,745200000
2000-05-01,745200000
2000-05-02,724500000
2000-05-03,708768000
2000-05-04,729468000
2000-05-05,755964000
2000-05-08,740232000
2000-05-09,740232000
2000-05-10,724500000
2000-05-11,714564000
2000-05-12,714564000
2000-05-15,719532000
2000-05-16,724500000
2000-05-17,714564000
2000-05-18,708768000
2000-05-19,714564000
2000-05-22,698832000
2000-05-23,698832000
2000-05-24,698832000
2000-05-25,688068000
2000-05-26,667368000
2000-05-30,729468000
2000-05-31,750168000
2000-06-01,729468000
2000-06-02,678132000
2000-06-05,708768000
2000-06-06,688068000
2000-06-07,740232000
2000-06-08,760932000
2000-06-09,791568000
2000-06-12,735264000
2000-06-13,735264000
2000-06-14,740232000
2000-06-15,745200000
2000-06-16,714564000
2000-06-19,740232000
2000-06-20,724500000
2000-06-21,740232000
2000-06-22,770868000
2000-06-23,740232000
2000-06-26,770868000
2000-06-27,755964000
2000-06-28,755964000
2000-06-29,745200000
2000-06-30,735264000
2000-07-03,609194400
2000-07-05,609194400
2000-07-06,621970000
2000-07-07,634745600
2000-07-10,659624400
2000-07-11,655590000
2000-07-12,655590000
2000-07-13,621970000
2000-07-14,588350000
2000-07-17,588350000
2000-07-18,584315600
2000-07-19,584315600
2000-07-20,584315600
2000-07-21,575574400
2000-07-24,567505600
2000-07-25,541954400
2000-07-26,597091200
2000-07-27,626004400
2000-07-28,613901200
2000-07-31,605160000
2000-08-01,597091200
2000-08-02,605160000
2000-08-03,621970000
2000-08-04,601125600
2000-08-07,588350000
2000-08-08,575574400
2000-08-09,575574400
2000-08-10,580281200
2000-08-11,613901200
2000-08-14,609194400
2000-08-15,588350000
2000-08-16,597091200
2000-08-17,605160000
2000-08-18,601125600
2000-08-21,605160000
2000-08-22,605160000
2000-08-23,609194400
2000-08-24,609194400
2000-08-25,621970000
2000-08-28,668365600
2000-08-29,664331200
2000-08-30,664331200
2000-08-31,689210000
2000-09-01,697951200
2000-09-05,697951200
2000-09-06,748381200
2000-09-07,786035600
2000-09-08,798811200
2000-09-11,790070000
2000-09-12,794104400
2000-09-13,819655600
2000-09-14,827724400
2000-09-15,819655600
2000-09-18,798811200
2000-09-19,815621200
2000-09-20,836465600
2000-09-21,790070000
2000-09-22,802845600
2000-09-25,806880000
2000-09-26,798811200
2000-09-27,802845600
2000-09-28,798811200
2000-09-29,806880000
2000-10-02,917871662
2000-10-03,939346395
2000-10-04,956664728
2000-10-05,961513862
2000-10-06,969826662
2000-10-09,944195528
2000-10-10,952508328
2000-10-11,961513862
2000-10-12,935189995
2000-10-13,952508328
2000-10-16,939346395
2000-10-17,931033595
2000-10-18,961513862
2000-10-19,1004463328
2000-10-20,1021781661
2000-10-23,1069580261
2000-10-24,1043256394
2000-10-25,1030787195
2000-10-26,1048105528
2000-10-27,1073736661
2000-10-30,1000306928
2000-10-31,1039099995
2000-11-01,1030787195
2000-11-02,1039099995
2000-11-03,1082742194
2000-11-06,1117378861
2000-11-07,1104216928
2000-11-08,1160328327
2000-11-09,1143009994
2000-11-10,1129848061
2000-11-13,1073736661
2000-11-14,1082742194
2000-11-15,1108373328
2000-11-16,1056418328
2000-11-17,1077893061
2000-11-20,1073736661
2000-11-21,1077893061
2000-11-22,1060574728
2000-11-24,1073736661
2000-11-27,1056418328
2000-11-28,1048105528
2000-11-29,1073736661
2000-11-30,1039099995
2000-12-01,1056418328
2000-12-04,1030787195
2000-12-05,1056418328
2000-12-06,1025938061
2000-12-07,1039099995
2000-12-08,1021781661
2000-12-11,1065423861
2000-12-12,1095211394
2000-12-13,1069580261
2000-12-14,1043256394
2000-12-15,1004463328
2000-12-18,987144995
2000-12-19,973983061
2000-12-20,1008619728
2000-12-21,1077893061
2000-12-22,1073736661
2000-12-26,1104216928
2000-12-27,1134697194
2000-12-28,1160328327
2000-12-29,1117378861
2001-01-02,1134697194
2001-01-03,1104216928
2001-01-04,1086898594
2001-01-05,1048105528
2001-01-08,1065423861
2001-01-09,1017625261
2001-01-10,1025938061
2001-01-11,1004463328
2001-01-12,1021781661
2001-01-16,1052261928
2001-01-17,1021781661
2001-01-18,1039099995
2001-01-19,1013468861
2001-01-22,996150528
2001-01-23,965670262
2001-01-24,939346395
2001-01-25,1000306928
2001-01-26,1194964994
2001-01-29,1247612727
2001-01-30,1247612727
2001-01-31,1246919994
2001-02-01,1242070860
2001-02-02,1237221727
2001-02-05,1194964994
2001-02-06,1199814127
2001-02-07,1193579527
2001-02-08,1176261194
2001-02-09,1260081927
2001-02-12,1318964260
2001-02-13,1274629327
2001-02-14,1289869460
2001-02-15,1319656993
2001-02-16,1296104060
2001-02-20,1278092993
2001-02-21,1262160127
2001-02-22,1255925527
2001-02-23,1251076393
2001-02-26,1253154593
2001-02-27,1251076393
2001-02-28,1295411327
2001-03-01,1235836260
2001-03-02,1253847327
2001-03-05,1264238327
2001-03-06,1243456327
2001-03-07,1228216194
2001-03-08,1247612727
2001-03-09,1247612727
2001-03-12,1246919994
2001-03-13,1217825194
2001-03-14,1213668794
2001-03-15,980217661
2001-03-16,891547795
2001-03-19,917871662
2001-03-20,938653662
2001-03-21,886005929
2001-03-22,845827395
2001-03-23,881849529
2001-03-26,906787928
2001-03-27,897089662
2001-03-28,865916662
2001-03-29,890162329
2001-03-30,976753995
2001-04-02,982522500
2001-04-03,898515000
2001-04-04,943075500
2001-04-05,982522500
2001-04-06,970834499
2001-04-09,1005898500
2001-04-10,1005898500
2001-04-11,997863000
2001-04-12,1008090000
2001-04-16,1037310000
2001-04-17,1062877500
2001-04-18,1073104500
2001-04-19,1106707500
2001-04-20,1108168500
2001-04-23,1126431000
2001-04-24,1084792500
2001-04-25,1117665000
2001-04-26,1242580500
2001-04-27,1285680000
2001-04-30,1328049000
2001-05-01,1320013500
2001-05-02,1312708500
2001-05-03,1274722500
2001-05-04,1307595000
2001-05-07,1283488500
2001-05-08,1264495500
2001-05-09,1240389000
2001-05-10,1230892500
2001-05-11,1272531000
2001-05-14,1240389000
2001-05-15,1265226000
2001-05-16,1252807500
2001-05-17,1303942500
2001-05-18,1285680000
2001-05-21,1312708500
2001-05-22,1290793500
2001-05-23,1263034500
2001-05-24,1287141000
2001-05-25,1277644500
2001-05-29,1238197500
2001-05-30,1243311000
2001-05-31,1263765000
2001-06-01,1303212000
2001-06-04,1304673000
2001-06-05,1314900000
2001-06-06,1260112500
2001-06-07,1288602000
2001-06-08,1314900000
2001-06-11,1314900000
2001-06-12,1327318500
2001-06-13,1279836000
2001-06-14,1267417500
2001-06-15,1282027500
2001-06-18,1292985000
2001-06-19,1333162500
2001-06-20,1351425000
2001-06-21,1454425500
2001-06-22,1402560000
2001-06-25,1382106000
2001-06-26,1414978500
2001-06-27,1456617000
2001-06-28,1436163000
2001-06-29,1464652500
2001-07-02,1437454853
2001-07-03,1422562623
2001-07-05,1445255546
2001-07-06,1439582315
2001-07-09,1435327392
2001-07-10,1426817546
2001-07-11,1517589239
2001-07-12,1548792008
2001-07-13,1567230008
2001-07-16,1557301854
2001-07-17,1570775777
2001-07-18,1547373700
2001-07-19,1553046931
2001-07-20,1469366777
2001-07-23,1450219623
2001-07-24,1416889392
2001-07-25,1417598546
2001-07-26,1437454853
2001-07-27,1446673854
2001-07-30,1508370238
2001-07-31,1525389931
