,SYY
2000-01-03,12553160044
2000-01-04,12164578489
2000-01-05,12269956538
2000-01-06,12783674525
2000-01-07,12803432909
2000-01-10,12842949678
2000-01-11,12842949678
2000-01-12,13317150896
2000-01-13,13211772848
2000-01-14,12968086110
2000-01-18,12882466446
2000-01-19,12572918428
2000-01-20,11855030472
2000-01-21,11690377271
2000-01-24,11196417668
2000-01-25,11341312484
2000-01-26,11505965685
2000-01-27,11361070869
2000-01-28,11216176052
2000-01-31,11710135655
2000-02-01,11611343734
2000-02-02,11650860502
2000-02-03,11341312484
2000-02-04,11117384131
2000-02-07,10761733217
2000-02-08,10788077729
2000-02-09,10807836113
2000-02-10,10886869650
2000-02-11,10807836113
2000-02-14,10807836113
2000-02-15,11091039619
2000-02-16,11301795716
2000-02-17,11545482454
2000-02-18,11196417668
2000-02-22,11196417668
2000-02-23,10952730930
2000-02-24,10537804864
2000-02-25,10478529711
2000-02-28,10643182912
2000-02-29,10807836113
2000-03-01,10906628034
2000-03-02,10577321632
2000-03-03,10498288095
2000-03-06,9714538859
2000-03-07,9016409286
2000-03-08,9141545719
2000-03-09,9754055627
2000-03-10,9490610505
2000-03-13,9345715688
2000-03-14,9345715688
2000-03-15,10577321632
2000-03-16,11361070869
2000-03-17,11216176052
2000-03-20,11091039619
2000-03-21,11282037332
2000-03-22,11301795716
2000-03-23,11176659283
2000-03-24,11301795716
2000-03-27,11400587637
2000-03-28,11196417668
2000-03-29,11196417668
2000-03-30,11775996935
2000-03-31,11894547240
2000-04-03,12138868147
2000-04-04,12743155346
2000-04-05,12616985492
2000-04-06,12763076902
2000-04-07,12537299267
2000-04-10,12411129412
2000-04-11,12597063935
2000-04-12,12431050968
2000-04-13,12079103478
2000-04-14,11786920657
2000-04-17,11933012067
2000-04-18,11680672358
2000-04-19,11933012067
2000-04-20,11952933624
2000-04-24,12118946591
2000-04-25,12371286300
2000-04-26,12782998459
2000-04-27,12537299267
2000-04-28,12490815637
2000-05-01,12616985492
2000-05-02,12510737193
2000-05-03,12743155346
2000-05-04,13008776094
2000-05-05,12763076902
2000-05-08,13134945949
2000-05-09,13134945949
2000-05-10,13300958916
2000-05-11,13613063294
2000-05-12,13486893439
2000-05-15,13427128770
2000-05-16,13613063294
2000-05-17,13466971883
2000-05-18,13652906406
2000-05-19,13506814995
2000-05-22,13486893439
2000-05-23,13613063294
2000-05-24,13925167671
2000-05-25,13320880472
2000-05-26,13719311592
2000-05-30,14403285016
2000-05-31,13984932340
2000-06-01,13945089228
2000-06-02,13865403003
2000-06-05,13387285658
2000-06-06,13613063294
2000-06-07,14150945307
2000-06-08,13779076261
2000-06-09,13885324559
2000-06-12,13632984850
2000-06-13,13739233148
2000-06-14,13865403003
2000-06-15,14071259082
2000-06-16,13818919373
2000-06-19,13699390036
2000-06-20,13367364102
2000-06-21,13115024393
2000-06-22,13241194247
2000-06-23,13281037360
2000-06-26,13221272691
2000-06-27,13407207214
2000-06-28,13201351135
2000-06-29,13281037360
2000-06-30,13984932340
2000-07-03,13925167671
2000-07-05,13885324559
2000-07-06,13699390036
2000-07-07,13486893439
2000-07-10,13407207214
2000-07-11,13340802028
2000-07-12,13387285658
2000-07-13,13221272691
2000-07-14,13174789061
2000-07-17,13008776094
2000-07-18,13201351135
2000-07-19,13340802028
2000-07-20,13573220181
2000-07-21,13300958916
2000-07-24,13115024393
2000-07-25,13201351135
2000-07-26,13008776094
2000-07-27,13573220181
2000-07-28,13632984850
2000-07-31,13075181280
2000-08-01,13427128770
2000-08-02,13672827962
2000-08-03,13573220181
2000-08-04,13865403003
2000-08-07,13779076261
2000-08-08,13779076261
2000-08-09,13739233148
2000-08-10,14004853896
2000-08-11,14277115162
2000-08-14,14197428937
2000-08-15,13905246115
2000-08-16,13965010784
2000-08-17,14031415970
2000-08-18,14217350493
2000-08-21,14277115162
2000-08-22,14648984208
2000-08-23,14981010142
2000-08-24,14609141096
2000-08-25,14197428937
2000-08-28,14150945307
2000-08-29,14091180638
2000-08-30,13925167671
2000-08-31,14051337526
2000-09-01,13965010784
2000-09-05,13965010784
2000-09-06,14004853896
2000-09-07,13925167671
2000-09-08,13945089228
2000-09-11,13925167671
2000-09-12,14197428937
2000-09-13,14403285016
2000-09-14,14257193605
2000-09-15,14363441904
2000-09-18,14463049685
2000-09-19,14463049685
2000-09-20,14589219539
2000-09-21,14861480805
2000-09-22,15147023109
2000-09-25,15087258440
2000-09-26,15087258440
2000-09-27,15293114520
2000-09-28,15545454229
2000-09-29,15379441262
2000-10-02,15214296355
2000-10-03,15194373663
2000-10-04,14981864940
2000-10-05,15001787633
2000-10-06,14669742754
2000-10-09,14530283905
2000-10-10,14736151730
2000-10-11,14862328784
2000-10-12,15001787633
2000-10-13,14942019555
2000-10-16,15380318795
2000-10-17,15360396102
2000-10-18,15333832512
2000-10-19,15665877391
2000-10-20,15546341234
2000-10-23,15752209059
2000-10-24,15898308806
2000-10-25,16210430992
2000-10-26,16456144203
2000-10-27,16728421004
2000-10-30,17352665376
2000-10-31,17326101786
2000-11-01,17120233961
2000-11-02,16894443443
2000-11-03,16974134214
2000-11-06,17432356147
2000-11-07,17518687816
2000-11-08,17598378587
2000-11-09,17910500773
2000-11-10,17970268851
2000-11-13,17804246411
2000-11-14,17266333708
2000-11-15,17684710255
2000-11-16,17990191544
2000-11-17,17492124225
2000-11-20,17658146665
2000-11-21,18242545652
2000-11-22,18262468345
2000-11-24,17850732695
2000-11-27,17870655387
2000-11-28,18096445905
2000-11-29,18720690278
2000-11-30,18348800013
2000-12-01,17930423466
2000-12-04,18886712717
2000-12-05,18302313730
2000-12-06,18368722706
2000-12-07,18554667838
2000-12-08,18468336169
2000-12-11,17724555641
2000-12-12,17432356147
2000-12-13,17538610508
2000-12-14,18302313730
2000-12-15,18262468345
2000-12-18,17890578080
2000-12-19,18262468345
2000-12-20,18388645399
2000-12-21,18634358609
2000-12-22,18468336169
2000-12-26,18846867332
2000-12-27,19258602982
2000-12-28,19796515685
2000-12-29,19922692740
2001-01-02,19317107176
2001-01-03,18317946460
2001-01-04,17112292529
2001-01-05,17358752172
2001-01-08,17192225386
2001-01-09,17238852886
2001-01-10,17278819315
2001-01-11,17072326100
2001-01-12,16739272528
2001-01-16,17072326100
2001-01-17,16739272528
2001-01-18,16985732172
2001-01-19,16446185385
2001-01-22,16319625028
2001-01-23,16153098242
2001-01-24,16779238957
2001-01-25,17152258958
2001-01-26,17485312530
2001-01-29,17485312530
2001-01-30,17465329315
2001-01-31,17931604316
2001-02-01,18184725031
2001-02-02,18004876102
2001-02-05,18031520388
2001-02-06,17998215030
2001-02-07,17765077530
2001-02-08,18251335745
2001-02-09,18364573960
2001-02-12,18324607531
2001-02-13,18484473246
2001-02-14,18158080745
2001-02-15,17984892888
2001-02-16,17884976816
2001-02-20,18031520388
2001-02-21,18158080745
2001-02-22,17964909673
2001-02-23,18098131102
2001-02-26,18138097531
2001-02-27,18031520388
2001-02-28,18158080745
2001-03-01,17891637887
2001-03-02,17838349316
2001-03-05,17751755387
2001-03-06,17425362887
2001-03-07,17252175029
2001-03-08,17685144673
2001-03-09,17705127887
2001-03-12,17318785744
2001-03-13,17212208600
2001-03-14,16699306100
2001-03-15,17145597886
2001-03-16,17452007172
2001-03-19,17252175029
2001-03-20,17132275743
2001-03-21,16905799314
2001-03-22,16785900028
2001-03-23,16752594671
2001-03-26,17085648243
2001-03-27,17325446815
2001-03-28,17412040744
2001-03-29,17452007172
2001-03-30,17658500387
2001-04-02,17922647178
2001-04-03,17482582180
2001-04-04,17522588089
2001-04-05,17482582180
2001-04-06,17842635360
2001-04-09,18002658996
2001-04-10,18069335510
2001-04-11,17342561499
2001-04-12,17515920437
2001-04-16,18002658996
2001-04-17,18142679677
2001-04-18,18002658996
2001-04-19,18422721039
2001-04-20,18169350283
2001-04-23,17935982481
2001-04-24,18009326647
2001-04-25,18349376872
2001-04-26,18836115431
2001-04-27,19169498005
2001-04-30,18749435961
2001-05-01,18669424144
2001-05-02,18669424144
2001-05-03,18449391645
2001-05-04,18749435961
2001-05-07,18802777173
2001-05-08,19136159747
2001-05-09,18796109522
2001-05-10,18822780128
2001-05-11,18769438916
2001-05-14,18709430052
2001-05-15,18789441870
2001-05-16,19436204064
2001-05-17,19749583683
2001-05-18,19322853989
2001-05-21,19236174519
2001-05-22,19322853989
2001-05-23,19169498005
2001-05-24,19336189292
2001-05-25,19369527549
2001-05-29,19476209973
2001-05-30,19796257244
2001-05-31,19822927850
2001-06-01,19929610273
2001-06-04,19956280879
2001-06-05,20022957394
2001-06-06,19762918986
2001-06-07,19782921941
2001-06-08,19802924895
2001-06-11,19356192246
2001-06-12,19422868761
2001-06-13,19102821490
2001-06-14,19076150884
2001-06-15,19009474369
2001-06-18,18982803763
2001-06-19,18929462551
2001-06-20,19016142020
2001-06-21,18936130203
2001-06-22,18956133157
2001-06-25,18869453688
2001-06-26,18982803763
2001-06-27,19109489141
2001-06-28,19456207018
2001-06-29,18102673768
2001-07-02,19062815581
2001-07-03,18902791945
2001-07-05,18529403462
2001-07-06,18402718084
2001-07-09,18436056342
2001-07-10,18916127248
2001-07-11,18909459597
2001-07-12,19136159747
2001-07-13,19396198155
2001-07-16,19536218836
2001-07-17,19836263153
2001-07-18,19476209973
2001-07-19,19209503913
2001-07-20,19269512777
2001-07-23,18876121339
2001-07-24,18409385736
2001-07-25,18436056342
2001-07-26,18602747629
2001-07-27,18589412326
2001-07-30,17889308920
2001-07-31,17895976572
2001-08-01,17602599907
2001-08-02,18336041570
2001-08-03,18462726948
2001-08-06,18536071114
2001-08-07,18736100658
2001-08-08,18629418235
2001-08-09,18509400508
2001-08-10,18536071114
2001-08-13,18542738765
2001-08-14,18682759446
2001-08-15,18822780128
2001-08-16,19169498005
2001-08-17,19029477323
2001-08-20,19202836262
2001-08-21,19202836262
2001-08-22,18969468460
2001-08-23,18969468460
2001-08-24,18982803763
2001-08-27,18716097704
2001-08-28,18756103613
2001-08-29,18596079977
2001-08-30,18582744674
2001-08-31,18682759446
2001-09-04,18949465506
2001-09-05,18702762401
2001-09-06,18622750583
2001-09-07,18169350283
2001-09-10,18529403462
2001-09-17,17869305966
2001-09-18,17802629451
2001-09-19,16349081428
2001-09-20,15502289691
2001-09-21,14815521588
2001-09-24,16082375369
2001-09-25,16002363552
