,TDG
2006-03-15,1066545500
2006-03-16,1074068850
2006-03-17,1106817550
2006-03-20,1101949500
2006-03-21,1070971000
2006-03-22,1069200800
2006-03-23,1066545500
2006-03-24,1084247500
2006-03-27,1095311250
2006-03-28,1093098500
2006-03-29,1101949500
2006-03-30,1126289750
2006-03-31,1139566250
2006-04-03,1109992200
2006-04-04,1105534400
2006-04-05,1100185040
2006-04-06,1081016500
2006-04-07,1074775580
2006-04-10,1083691180
2006-04-11,1074329800
2006-04-12,1074329800
2006-04-13,1086811640
2006-04-17,1096618800
2006-04-18,1081016500
2006-04-19,1103305500
2006-04-20,1141196800
2006-04-21,1134510100
2006-04-24,1137184780
2006-04-25,1150112400
2006-04-26,1147883500
2006-04-27,1131835420
2006-04-28,1102413940
2006-05-01,1120690920
2006-05-02,1103305500
2006-05-03,1097510360
2006-05-04,1095727240
2006-05-05,1094389900
2006-05-08,1108209080
2006-05-09,1110883760
2006-05-10,1114004220
2006-05-11,1150112400
2006-05-12,1135401660
2006-05-15,1126931840
2006-05-16,1138522120
2006-05-17,1132281200
2006-05-18,1132726980
2006-05-19,1132281200
2006-05-22,1137184780
2006-05-23,1125594500
2006-05-24,1127823400
2006-05-25,1118016240
2006-05-26,1114450000
2006-05-30,1113558440
2006-05-31,1122919820
2006-06-01,1159028000
2006-06-02,1181317000
2006-06-05,1180425440
2006-06-06,1161256900
2006-06-07,1153232860
2006-06-08,1151003960
2006-06-09,1105534400
2006-06-12,1070317780
2006-06-13,1027077120
2006-06-14,990968940
2006-06-15,1000776100
2006-06-16,1045354100
2006-06-19,1020836199
2006-06-20,1055161260
2006-06-21,1089486320
2006-06-22,1097956140
2006-06-23,1131389640
2006-06-26,1161702680
2006-06-27,1163931580
2006-06-28,1135401660
2006-06-29,1153678640
2006-06-30,1067643100
2006-07-03,1053508690
2006-07-05,1051270040
2006-07-06,1031569920
2006-07-07,1029779000
2006-07-10,1036942680
2006-07-11,1050822310
2006-07-12,1054404150
2006-07-13,1051270040
2006-07-14,1034704030
2006-07-17,1038285870
2006-07-18,1058881449
2006-07-19,1118429540
2006-07-20,1119772730
2006-07-21,1120220460
2006-07-24,1145293340
2006-07-25,1170366220
2006-07-26,1124250030
2006-07-27,1119325000
2006-07-28,1141711500
2006-07-31,1146188800
2006-08-01,1123802300
2006-08-02,1127831870
2006-08-03,1143054690
2006-08-04,1118877270
2006-08-07,1109027210
2006-08-08,1088879360
2006-08-09,1037838140
2006-08-10,1061120100
2006-08-11,1054851880
2006-08-14,1072313350
2006-08-15,1074552000
2006-08-16,1068283780
2006-08-17,1066492860
2006-08-18,1066492860
2006-08-21,1050374580
2006-08-22,1041867710
2006-08-23,1011869800
2006-08-24,1001124280
2006-08-25,1012317530
2006-08-28,1020824400
2006-08-29,1006497040
2006-08-30,1017690290
2006-08-31,1013212990
2006-09-01,992617410
2006-09-05,1032465380
2006-09-06,1033808570
2006-09-07,1077238380
2006-09-08,1072313350
2006-09-11,1077238380
2006-09-12,1068283780
2006-09-13,1066045130
2006-09-14,1052165500
2006-09-15,1054851880
2006-09-18,1047688199
2006-09-19,1047240470
2006-09-20,1094699850
2006-09-21,1088879360
2006-09-22,1081715680
2006-09-25,1066940589
2006-09-26,1065149670
2006-09-27,1084849790
2006-09-28,1110370400
2006-09-29,1093356660
2006-10-02,1060672370
2006-10-03,1057538260
2006-10-04,1074552000
2006-10-05,1115743160
2006-10-06,1100520340
2006-10-09,1113952240
2006-10-10,1110370400
2006-10-11,1109922670
2006-10-12,1117981810
2006-10-13,1110370400
2006-10-16,1099177150
2006-10-17,1092908930
2006-10-18,1093356660
2006-10-19,1096043040
2006-10-20,1110370400
2006-10-23,1085745250
2006-10-24,1047240470
2006-10-25,1052165500
2006-10-26,1078133840
2006-10-27,1066492860
2006-10-30,1098281690
2006-10-31,1075447460
2006-11-01,1067836050
2006-11-02,1074999730
2006-11-03,1056195070
2006-11-06,1074104270
2006-11-07,1074999730
2006-11-08,1079477030
2006-11-09,1056642800
2006-11-10,1082163410
2006-11-13,1096490770
2006-11-14,1119325000
2006-11-15,1138129660
2006-11-16,1123802300
2006-11-17,1092013470
2006-11-20,1085745250
2006-11-21,1095147580
2006-11-22,1074999730
2006-11-24,1079477030
2006-11-27,1082163410
2006-11-28,1081715680
2006-11-29,1105445370
2006-11-30,1093356660
2006-12-01,1146188800
2006-12-04,1129622790
2006-12-05,1154247940
2006-12-06,1155143400
2006-12-07,1157829780
2006-12-08,1170813950
2006-12-11,1170813950
2006-12-12,1189170880
2006-12-13,1214691490
2006-12-14,1222750630
2006-12-15,1232600690
2006-12-18,1245137130
2006-12-19,1232152960
2006-12-20,1209766460
2006-12-21,1202602780
2006-12-22,1159172970
2006-12-26,1195886830
2006-12-27,1199916400
2006-12-28,1199916400
2006-12-29,1186932230
2007-01-03,1142738520
2007-01-04,1195805480
2007-01-05,1160727320
2007-01-08,1168372560
2007-01-09,1153531800
2007-01-10,1140040200
2007-01-11,1188160240
2007-01-12,1205249600
2007-01-16,1205249600
2007-01-17,1198953520
2007-01-18,1201651840
2007-01-19,1214244000
2007-01-22,1194006600
2007-01-23,1200302680
2007-01-24,1349160000
2007-01-25,1367148800
2007-01-26,1362651600
2007-01-29,1445400080
2007-01-30,1439104000
2007-01-31,1432358200
2007-02-01,1415718560
2007-02-02,1416168280
2007-02-05,1416168280
2007-02-06,1412120800
2007-02-07,1406274440
2007-02-08,1420215760
2007-02-09,1436855400
2007-02-12,1466536920
2007-02-13,1516455840
2007-02-14,1507911160
2007-02-15,1495768720
2007-02-16,1494869280
2007-02-20,1496218440
2007-02-21,1475981040
2007-02-22,1459341400
2007-02-23,1496668160
2007-02-26,1523651360
2007-02-27,1455743640
2007-02-28,1434606800
2007-03-01,1442252040
2007-03-02,1456643080
2007-03-05,1402676680
2007-03-06,1408523040
2007-03-07,1396830320
2007-03-08,1412120800
2007-03-09,1450347000
2007-03-12,1439104000
2007-03-13,1441802320
2007-03-14,1449447559
2007-03-15,1461590000
2007-03-16,1469235240
2007-03-19,1511508920
2007-03-20,1506562000
2007-03-21,1549735120
2007-03-22,1589310480
2007-03-23,1641478000
2007-03-26,1659466800
2007-03-27,1618992000
2007-03-28,1618092559
2007-03-29,1612246200
2007-03-30,1636081360
2007-04-02,1702386000
2007-04-03,1775666000
2007-04-04,1736277999
2007-04-05,1761926000
2007-04-09,1749560000
2007-04-10,1745438000
2007-04-11,1757804000
2007-04-12,1763300000
2007-04-13,1783452000
2007-04-16,1823756000
2007-04-17,1795360000
2007-04-18,1743606000
2007-04-19,1742689999
2007-04-20,1760552000
2007-04-23,1736277999
2007-04-24,1723454000
2007-04-25,1724370000
2007-04-26,1744064000
2007-04-27,1774292000
2007-04-30,1734446000
2007-05-01,1724827999
2007-05-02,1731239999
2007-05-03,1684982000
2007-05-04,1720248000
2007-05-07,1712004000
2007-05-08,1715210000
2007-05-09,1712920000
2007-05-10,1664372000
2007-05-11,1673989999
2007-05-14,1706508000
2007-05-15,1726660000
2007-05-16,1708339999
2007-05-17,1644220000
2007-05-18,1651089999
2007-05-21,1625900000
2007-05-22,1621320000
2007-05-23,1630480000
2007-05-24,1593839999
2007-05-25,1604832000
2007-05-29,1633686000
2007-05-30,1643304000
2007-05-31,1692310000
2007-06-01,1722080000
2007-06-04,1726660000
2007-06-05,1769254000
