,TECH
2000-01-03,1184620211
2000-01-04,1116182730
2000-01-05,1099888092
2000-01-06,1060780959
2000-01-07,1059151496
2000-01-10,1200914850
2000-01-11,1244910373
2000-01-12,1270981795
2000-01-13,1280758578
2000-01-14,1367120161
2000-01-18,1370379089
2000-01-19,1407856757
2000-01-20,1385044264
2000-01-21,1357343378
2000-01-24,1376896944
2000-01-25,1375267480
2000-01-26,1336160348
2000-01-27,1313347855
2000-01-28,1233504126
2000-01-31,1270981795
2000-02-01,1306829999
2000-02-02,1277499650
2000-02-03,1306829999
2000-02-04,1280758578
2000-02-07,1303571072
2000-02-08,1365490697
2000-02-09,1339419276
2000-02-10,1417633540
2000-02-11,1437187106
2000-02-14,1464887992
2000-02-15,1521919226
2000-02-16,1539843328
2000-02-17,1635981695
2000-02-18,1505624588
2000-02-22,1481182630
2000-02-23,1477923702
2000-02-24,1588727244
2000-02-25,1551249575
2000-02-28,1673459363
2000-02-29,1746785236
2000-03-01,1800557543
2000-03-02,1693012929
2000-03-03,1702789712
2000-03-06,1813593253
2000-03-07,1673459363
2000-03-08,1650646869
2000-03-09,1635981695
2000-03-10,1570803141
2000-03-13,1466517456
2000-03-14,1336160348
2000-03-15,1336160348
2000-03-16,1528437081
2000-03-17,1464887992
2000-03-20,1417633540
2000-03-21,1552879039
2000-03-22,1650646869
2000-03-23,1539843328
2000-03-24,1596874563
2000-03-27,1590356707
2000-03-28,1446963889
2000-03-29,1367120161
2000-03-30,1318236246
2000-03-31,1429642900
2000-04-03,1242447480
2000-04-04,1423016513
2000-04-05,1431299496
2000-04-06,1446208866
2000-04-07,1431299496
2000-04-10,1485967186
2000-04-11,1471057816
2000-04-12,1381601597
2000-04-13,1398167564
2000-04-14,1346813068
2000-04-17,1245760673
2000-04-18,1457805043
2000-04-19,1456148446
2000-04-20,1427986303
2000-04-24,1388227984
2000-04-25,1457805043
2000-04-26,1321964118
2000-04-27,1437925883
2000-04-28,1472714412
2000-05-01,1542291471
2000-05-02,1456148446
2000-05-03,1485967186
2000-05-04,1500876555
2000-05-05,1645000463
2000-05-08,1645000463
2000-05-09,1605242144
2000-05-10,1562170631
2000-05-11,1635060883
2000-05-12,1537321681
2000-05-15,1577080001
2000-05-16,1550574455
2000-05-17,1553887648
2000-05-18,1464431429
2000-05-19,1439582480
2000-05-22,1595302564
2000-05-23,1449522060
2000-05-24,1423016513
2000-05-25,1471057816
2000-05-26,1441239076
2000-05-30,1583706387
2000-05-31,1654940043
2000-06-01,1802377144
2000-06-02,1973006598
2000-06-05,2052523236
2000-06-06,1913369119
2000-06-07,1885206976
2000-06-08,1918338909
2000-06-09,1924965295
2000-06-12,1961410421
2000-06-13,1928278488
2000-06-14,2055836430
2000-06-15,2277820380
2000-06-16,2322548489
2000-06-19,2534592859
