,TGNA
2000-01-03,11043246980
2000-01-04,10840518060
2000-01-05,10648747460
2000-01-06,10541903840
2000-01-07,10533685100
2000-01-10,10991194960
2000-01-11,10928184620
2000-01-12,10665184940
2000-01-13,10848736800
2000-01-14,10393966520
2000-01-18,10210414660
2000-01-19,10130966840
2000-01-20,10210414660
2000-01-21,10298081220
2000-01-24,9884404640
2000-01-25,9772081860
2000-01-26,9684415300
2000-01-27,9815915140
2000-01-28,9621404960
2000-01-31,9752904800
2000-02-01,9824133880
2000-02-02,10015904480
2000-02-03,10078914820
2000-02-04,10114529360
2000-02-07,9788519340
2000-02-08,9911800440
2000-02-09,9752904800
2000-02-10,9648800760
2000-02-11,9489905120
2000-02-14,9421415620
2000-02-15,9051572320
2000-02-16,8928291220
2000-02-17,9059791060
2000-02-18,8972124500
2000-02-22,8999520300
2000-02-23,8824187180
2000-02-24,8709124820
2000-02-25,8665291540
2000-02-28,8955687020
2000-02-29,9147457620
2000-03-01,9174853420
2000-03-02,9254301240
2000-03-03,9322790740
2000-03-06,9246082500
2000-03-07,9210467960
2000-03-08,9139238880
2000-03-09,9254301240
2000-03-10,9202249220
2000-03-13,9262519980
2000-03-14,9254301240
2000-03-15,9322790740
2000-03-16,9939196240
2000-03-17,9876185900
2000-03-20,9911800440
2000-03-21,9895362960
2000-03-22,9983029520
2000-03-23,10122748100
2000-03-24,10350133240
2000-03-27,9672724415
2000-03-28,9741269205
2000-03-29,9411726945
2000-03-30,9503998778
2000-03-31,9503998778
2000-04-03,9680633429
2000-04-04,9496089764
2000-04-05,9461817369
2000-04-06,9403817931
2000-04-07,9319455112
2000-04-10,9327364127
2000-04-11,9369545536
2000-04-12,9208728913
2000-04-13,8905550034
2000-04-14,8668279607
2000-04-17,8844914258
2000-04-18,8863368624
2000-04-19,8879186653
2000-04-20,8887095667
2000-04-24,8913459048
2000-04-25,8887095667
2000-04-26,8837005244
2000-04-27,8602371155
2000-04-28,8626098197
2000-05-01,8610280169
2000-05-02,8449463546
2000-05-03,8457372560
2000-05-04,8380918756
2000-05-05,8204284104
2000-05-08,8135739314
2000-05-09,8001286072
2000-05-10,8154193681
2000-05-11,8212193119
2000-05-12,8365100727
2000-05-15,8583916788
2000-05-16,8752642425
2000-05-17,8518008336
2000-05-18,8423100165
2000-05-19,8154193681
2000-05-22,8330828332
2000-05-23,8483735941
2000-05-24,8583916788
2000-05-25,8591825802
2000-05-26,8507462984
2000-05-30,8760551439
2000-05-31,8744733411
2000-06-01,8541735379
