,TRIP
2011-12-07,3268449998
2011-12-08,3161287703
2011-12-09,3323221838
2011-12-12,3268449998
2011-12-13,3274403459
2011-12-14,3229157157
2011-12-15,3373230909
2011-12-16,3388709907
2011-12-19,3449435208
2011-12-20,3601843805
2011-12-21,3700961586
2011-12-22,3280975341
2011-12-23,3480268177
2011-12-27,3469567891
2011-12-28,3446829782
2011-12-29,3319763880
2011-12-30,3371927777
2012-01-03,3561869020
2012-01-04,3434802720
2012-01-05,3413402080
2012-01-06,3420089780
2012-01-09,3512380040
2012-01-10,3711673500
2012-01-11,3717023660
2012-01-12,3806638840
2012-01-13,3947080540
2012-01-17,3877528460
2012-01-18,3882878620
2012-01-19,4056758820
2012-01-20,4066121600
2012-01-23,4063446520
2012-01-24,4104910260
2012-01-25,4211913460
2012-01-26,4153061700
2012-01-27,4178474960
2012-01-30,4231976560
2012-01-31,4401844140
2012-02-01,4689415240
2012-02-02,4665339520
2012-02-03,4732216520
2012-02-06,4701453100
2012-02-07,4659989360
2012-02-08,4593112360
2012-02-09,3924342360
2012-02-10,4017970160
2012-02-13,3824026860
2012-02-14,3695623020
2012-02-15,3916317120
2012-02-16,4066121600
2012-02-17,4106247800
2012-02-21,4102235180
2012-02-22,4012620000
2012-02-23,4091534860
2012-02-24,4253377200
2012-02-27,4268090140
2012-02-28,4321591740
2012-02-29,4310891420
2012-03-01,4363055480
2012-03-02,4340317300
2012-03-05,4276115380
2012-03-06,4202550680
2012-03-07,4155736780
2012-03-08,4181150040
2012-03-09,4106247800
2012-03-12,4106247800
2012-03-13,4076821920
2012-03-14,4145036460
2012-03-15,4342992380
2012-03-16,4547636000
2012-03-19,4547636000
2012-03-20,4559673860
2012-03-21,4516872580
2012-03-22,4447320500
2012-03-23,4449995580
2012-03-26,4587762200
2012-03-27,4720178660
2012-03-28,4623875780
2012-03-29,4702790640
2012-03-30,4771005180
2012-04-02,5204818860
2012-04-03,5096182020
2012-04-04,5048827500
2012-04-05,5046041940
2012-04-09,4944369000
2012-04-10,4816233240
2012-04-11,4844785230
2012-04-12,4888657800
2012-04-13,4805091000
2012-04-16,4711774740
2012-04-17,4874730000
2012-04-18,4936012320
2012-04-19,4905371160
2012-04-20,4877515560
2012-04-23,4727095320
2012-04-24,4649099640
2012-04-25,4692275820
2012-04-26,4788377640
2012-04-27,5135179860
2012-04-30,5224317780
2012-05-01,5087825340
2012-05-02,5937421140
2012-05-03,5696470200
2012-05-04,5598975600
2012-05-07,5706219660
2012-05-08,5738253600
2012-05-09,5665829040
2012-05-10,5681149620
2012-05-11,5812070940
2012-05-14,5799535920
2012-05-15,5940206700
2012-05-16,6078091920
2012-05-17,5714576340
2012-05-18,5663043480
2012-05-21,5873353260
2012-05-22,5937421140
2012-05-23,6288401700
2012-05-24,6183943200
2012-05-25,6267510000
2012-05-29,6303722280
2012-05-30,6011238480
2012-05-31,5972240640
2012-06-01,5713183560
2012-06-04,5778644220
2012-06-05,5722933020
2012-06-06,5987561220
2012-06-07,5803714260
2012-06-08,5991739560
2012-06-11,5980597320
2012-06-12,6270017004
2012-06-13,6048843540
2012-06-14,6135195900
2012-06-15,6181157640
2012-06-18,6254974980
2012-06-19,6161658720
2012-06-20,6029344620
2012-06-21,5990346780
2012-06-22,6341327340
2012-06-25,6137981460
2012-06-26,6129624780
2012-06-27,6186728760
2012-06-28,6069735240
2012-06-29,6224333820
2012-07-02,6547732000
2012-07-03,6554849100
2012-07-05,6586164340
2012-07-06,6598975120
2012-07-09,6468020480
2012-07-10,6371227920
2012-07-11,6302903760
2012-07-12,6245966960
2012-07-13,6526380700
2012-07-16,6569083300
2012-07-17,6479407840
2012-07-18,6465173640
2012-07-19,6419624200
2012-07-20,6391155800
2012-07-23,6492218620
2012-07-24,6187606740
2012-07-25,5149933560
2012-07-26,4987663680
2012-07-27,5040330219
2012-07-30,5125735420
2012-07-31,5325014219
2012-08-01,5205446940
2012-08-02,5154203820
2012-08-03,5221104560
2012-08-06,5410419420
2012-08-07,5502941719
2012-08-08,5233915340
2012-08-09,5149933560
2012-08-10,4996204200
2012-08-13,4771303840
2012-08-14,4720060719
2012-08-15,4833934320
2012-08-16,4818276700
2012-08-17,4761339900
2012-08-20,4816853280
2012-08-21,4846745100
2012-08-22,4831087480
2012-08-23,4774150680
2012-08-24,4846745100
2012-08-27,4835357740
2012-08-28,4876636920
2012-08-29,4869519820
2012-08-30,4798348820
2012-08-31,4759916480
2012-09-04,4932150300
2012-09-05,5038906800
2012-09-06,5046023900
2012-09-07,5068798620
2012-09-10,5023249180
2012-09-11,5036059960
2012-09-12,5017555500
2012-09-13,5172708280
2012-09-14,5132852520
2012-09-17,5097267020
2012-09-18,4943537660
2012-09-19,4967735800
2012-09-20,4907952160
2012-09-21,4915069260
2012-09-24,4796925400
2012-09-25,4802619080
2012-09-26,4731448080
2012-09-27,4757069640
2012-09-28,4687322060
2012-10-01,4550623744
2012-10-02,4614737103
2012-10-03,4576269087
