,TRMB
2000-01-03,568368829
2000-01-04,558372483
2000-01-05,523384860
2000-01-06,528383170
2000-01-07,528383170
2000-01-10,562656670
2000-01-11,565512750
2000-01-12,538379516
2000-01-13,561228562
2000-01-14,526955062
2000-01-18,535523437
2000-01-19,542663704
2000-01-20,551232079
2000-01-21,549804108
2000-01-24,562656670
2000-01-25,548376000
2000-01-26,549804108
2000-01-27,525526954
2000-01-28,471974610
2000-01-31,434131045
2000-02-01,469832516
2000-02-02,468404545
2000-02-03,475544812
2000-02-04,508390204
2000-02-07,512674391
2000-02-08,522670875
2000-02-09,512674391
2000-02-10,471260625
2000-02-11,448411579
2000-02-14,451267795
2000-02-15,454123875
2000-02-16,461264141
2000-02-17,479829000
2000-02-18,456979954
2000-02-22,476972920
2000-02-23,489825483
2000-02-24,519814795
2000-02-25,532667358
2000-02-28,514102500
2000-02-29,548376000
2000-03-01,532667358
2000-03-02,522670875
2000-03-03,559800454
2000-03-06,628347454
2000-03-07,691182295
2000-03-08,661192983
2000-03-09,648340420
2000-03-10,674045545
2000-03-13,671189329
2000-03-14,628347454
2000-03-15,606926516
2000-03-16,616923000
2000-03-17,609782733
2000-03-20,549804108
2000-03-21,582649500
2000-03-22,571225045
2000-03-23,571225045
2000-03-24,565512750
2000-03-27,561228562
2000-03-28,614066920
2000-03-29,579793420
2000-03-30,565512750
2000-03-31,596292796
2000-04-03,534058312
2000-04-04,457350796
2000-04-05,522479858
2000-04-06,558662578
2000-04-07,563004516
2000-04-10,526821796
2000-04-11,481955062
2000-04-12,464587312
2000-04-13,463139953
2000-04-14,426957233
2000-04-17,471823828
2000-04-18,460245375
2000-04-19,451561500
2000-04-20,583266983
2000-04-24,584714203
2000-04-25,628133578
2000-04-26,604976671
2000-04-27,602081953
2000-04-28,639712171
2000-05-01,712077750
2000-05-02,745365891
2000-05-03,713525108
2000-05-04,810494953
2000-05-05,833652000
2000-05-08,798916500
2000-05-09,767075578
2000-05-10,741023953
2000-05-11,790232625
2000-05-12,833652000
2000-05-15,837993937
2000-05-16,878518733
2000-05-17,929174625
2000-05-18,923385328
2000-05-19,875624016
2000-05-22,822073546
2000-05-23,853914328
2000-05-24,901675641
2000-05-25,923385328
2000-05-26,901675641
2000-05-30,1046406937
2000-05-31,1023249891
2000-06-01,1021802671
2000-06-02,1042065000
2000-06-05,1017460733
2000-06-06,1062327328
2000-06-07,1101404766
2000-06-08,1094168250
2000-06-09,1153508016
2000-06-12,1120219875
2000-06-13,1084037016
2000-06-14,1073905921
2000-06-15,1089826312
2000-06-16,1071011203
2000-06-19,1117325296
2000-06-20,1115877937
2000-06-21,1069563983
2000-06-22,1076800500
2000-06-23,981277875
2000-06-26,994303687
2000-06-27,1078247858
2000-06-28,1175217703
2000-06-29,1157849953
2000-06-30,1142178410
2000-07-03,1134866035
2000-07-05,1096842218
2000-07-06,1079292743
2000-07-07,1117316560
2000-07-10,1174352355
2000-07-11,1169964986
2000-07-12,1284036577
2000-07-13,1403958040
2000-07-14,1361546854
2000-07-17,1439056991
2000-07-18,1469768573
2000-07-19,1209451306
2000-07-20,1188976965
2000-07-21,1102692090
2000-07-24,1032494188
2000-07-25,1088067481
2000-07-26,1105616956
2000-07-27,1006169975
2000-07-28,944746811
2000-07-31,1012019707
2000-08-01,892098384
2000-08-02,902335485
2000-08-03,873086406
2000-08-04,824825348
2000-08-07,795576269
2000-08-08,757552312
2000-08-09,785339028
2000-08-10,811663241
2000-08-11,813125744
2000-08-14,833600086
2000-08-15,778026793
2000-08-16,854074427
2000-08-17,947671677
2000-08-18,867236534
2000-08-21,868699037
2000-08-22,840912320
2000-08-23,854074427
2000-08-24,1006169975
2000-08-25,962296286
2000-08-28,965221152
2000-08-29,966683655
2000-08-30,947671677
2000-08-31,972533387
2000-09-01,963758649
2000-09-05,916960094
2000-09-06,890635881
2000-09-07,868699037
2000-09-08,820437979
2000-09-11,782414162
2000-09-12,734153105
2000-09-13,780951659
2000-09-14,737077971
2000-09-15,693204282
2000-09-18,687354410
2000-09-19,503084917
2000-09-20,478223207
2000-09-21,486997945
2000-09-22,481148073
2000-09-25,514784661
2000-09-26,511859655
2000-09-27,484073079
2000-09-28,538183868
2000-09-29,541629361
2000-10-02,541629361
2000-10-03,512883623
2000-10-04,515909436
2000-10-05,494728450
2000-10-06,482625050
2000-10-09,499267243
2000-10-10,484137884
2000-10-11,461443919
2000-10-12,455392291
2000-10-13,449340519
2000-10-16,458418105
2000-10-17,449340519
2000-10-18,435724140
2000-10-19,479599091
2000-10-20,526500002
2000-10-23,531038795
2000-10-24,518935395
2000-10-25,487163843
2000-10-26,479599091
2000-10-27,505319016
2000-10-30,512883623
2000-10-31,574913747
2000-11-01,562810347
2000-11-02,618788844
2000-11-03,638456851
2000-11-06,664176775
2000-11-07,671741382
2000-11-08,652073230
2000-11-09,646021603
2000-11-10,556758574
2000-11-13,620301678
2000-11-14,641482810
2000-11-15,641482810
2000-11-16,602146506
2000-11-17,573400913
2000-11-20,567349140
2000-11-21,549193968
2000-11-22,526500002
2000-11-24,587017292
2000-11-27,571887933
2000-11-28,596094878
2000-11-29,535577588
2000-11-30,520448229
2000-12-01,531038795
2000-12-04,500780223
2000-12-05,574913747
2000-12-06,540116381
2000-12-07,579452540
2000-12-08,624840471
2000-12-11,682331948
2000-12-12,664176775
