,TX
2006-02-01,4041442153
2006-02-02,4027607520
2006-02-03,4107156660
2006-02-06,4127908609
2006-02-07,3930765089
2006-02-08,3837381317
2006-02-09,3821817355
2006-02-10,3882343874
2006-02-13,3768208152
2006-02-14,3750914861
2006-02-15,3778584127
2006-02-16,3890990520
2006-02-17,3963622343
2006-02-21,3951517039
2006-02-22,3999938254
2006-02-23,4043171482
2006-02-24,4086404710
2006-02-27,4043171482
2006-02-28,4072570077
2006-03-01,4124449951
2006-03-02,4110615318
2006-03-03,4141743242
2006-03-06,4160765862
2006-03-07,3968810330
2006-03-08,3984374292
2006-03-09,4039712824
2006-03-10,4186705799
2006-03-13,4318134812
2006-03-14,4312946825
2006-03-15,4406330597
2006-03-16,4651895332
2006-03-17,4657083320
2006-03-20,4617308750
2006-03-21,4506631686
2006-03-22,4427082547
2006-03-23,4480691749
2006-03-24,4600015459
2006-03-27,4608662104
2006-03-28,4660541978
2006-03-29,4921670675
2006-03-30,4842121536
2006-03-31,4902648055
2006-04-03,5593234197
2006-04-04,5617291118
2006-04-05,5613281632
2006-04-06,5711514060
2006-04-07,5591229454
2006-04-10,5619295862
2006-04-11,5609272145
2006-04-12,5613281632
2006-04-13,5621300605
2006-04-17,5613281632
2006-04-18,5607267401
2006-04-19,5533091894
2006-04-20,5362688702
2006-04-21,5422831005
2006-04-24,5605262658
2006-04-25,5603257914
2006-04-26,5603257914
2006-04-27,5392759853
2006-04-28,5356674471
2006-05-01,5400778827
2006-05-02,5326603320
2006-05-03,5332617550
2006-05-04,5164219101
2006-05-05,5302546398
2006-05-08,5220351917
2006-05-09,5182261792
2006-05-10,5162214358
2006-05-11,5110091028
2006-05-12,4971763731
2006-05-15,4691099649
2006-05-16,4616924142
2006-05-17,4330245830
2006-05-18,4452535180
2006-05-19,4612914655
2006-05-22,4320222113
2006-05-23,4592867221
2006-05-24,4494634792
2006-05-25,4721170801
2006-05-26,4799355795
2006-05-30,4651004780
2006-05-31,4691099649
2006-06-01,4843460151
2006-06-02,4851479124
2006-06-05,4809379512
2006-06-06,4630957346
2006-06-07,4560791326
2006-06-08,4470577871
2006-06-09,4332250573
2006-06-12,4223994428
2006-06-13,4039558031
2006-06-14,4095690847
2006-06-15,4464563640
2006-06-16,4432487745
2006-06-19,4316212626
2006-06-20,4320222113
2006-06-21,4502653766
2006-06-22,4480601588
2006-06-23,4504658509
2006-06-26,4584848247
2006-06-27,4588857734
2006-06-28,4651004780
2006-06-29,4811384256
2006-06-30,4845464894
2006-07-03,5013863343
2006-07-05,5011858600
2006-07-06,4871526559
2006-07-07,4791336821
2006-07-10,4711147084
2006-07-11,4731194518
2006-07-12,4751241952
2006-07-13,4522701200
2006-07-14,4574824530
2006-07-17,4424468772
2006-07-18,4450530436
2006-07-19,4600886194
2006-07-20,4590862477
2006-07-21,4510672740
2006-07-24,4470577871
2006-07-25,4630957346
2006-07-26,4851479124
2006-07-27,4881550276
2006-07-28,4961740014
2006-07-31,4931668862
2006-08-01,4799355795
2006-08-02,5021882317
2006-08-03,5049948725
2006-08-04,4991811165
2006-08-07,5039925008
2006-08-08,5041929751
2006-08-09,4991811165
2006-08-10,4947706809
2006-08-11,4911621428
2006-08-14,4861502842
2006-08-15,4953721040
2006-08-16,4975773218
2006-08-17,4933673605
2006-08-18,4965749500
2006-08-21,5015868086
2006-08-22,5041929751
2006-08-23,5005844369
2006-08-24,5027896547
2006-08-25,5043934495
2006-08-28,5057967699
2006-08-29,5092048337
2006-08-30,5067991416
2006-08-31,5053958212
2006-09-01,5037920264
2006-09-05,4981787448
2006-09-06,4871526559
2006-09-07,4875536046
2006-09-08,4831431690
2006-09-11,4646995293
2006-09-12,4624943116
2006-09-13,4729189774
2006-09-14,4687090162
2006-09-15,4665037984
2006-09-18,4594871964
2006-09-19,4590862477
2006-09-20,4610909912
2006-09-21,4566805556
2006-09-22,4532724917
2006-09-25,4402416594
2006-09-26,4480601588
2006-09-27,4560791326
2006-09-28,4620933629
2006-09-29,4642985807
2006-10-02,4699118623
2006-10-03,4492630049
2006-10-04,4374350186
2006-10-05,4446520949
2006-10-06,4416449798
2006-10-09,4420459285
2006-10-10,4436497232
2006-10-11,4410435568
2006-10-12,4428478258
2006-10-13,4590862477
2006-10-16,4653009524
2006-10-17,4560791326
2006-10-18,4590862477
2006-10-19,4751241952
2006-10-20,4691099649
2006-10-23,4787327334
2006-10-24,4959735270
2006-10-25,4951716296
2006-10-26,5011858600
2006-10-27,5007849113
2006-10-30,4907611941
2006-10-31,4891573993
2006-11-01,4813388999
2006-11-02,4849474381
2006-11-03,4921645145
2006-11-06,4985796935
2006-11-07,4975773218
2006-11-08,4911621428
2006-11-09,4921645145
2006-11-10,4901597710
2006-11-13,4871526559
2006-11-14,4941692579
2006-11-15,5013863343
2006-11-16,4849474381
2006-11-17,4733199261
2006-11-20,4711147084
2006-11-21,4755251439
2006-11-22,4757256183
2006-11-24,4767279900
2006-11-27,4691099649
2006-11-28,4681075932
2006-11-29,4763270413
2006-11-30,4773294130
2006-12-01,4624943116
2006-12-04,4669047471
2006-12-05,4783317847
2006-12-06,5001834882
2006-12-07,5088038850
2006-12-08,5009853856
