,UA
2005-11-18,1041929900
2005-11-21,1076935450
2005-11-22,967800500
2005-11-23,980155400
2005-11-25,975213440
2005-11-28,976037100
2005-11-29,879257050
2005-11-30,927029330
2005-12-01,953386450
2005-12-02,1015572780
2005-12-05,1056755780
2005-12-06,1017220100
2005-12-07,1056343950
2005-12-08,1050166500
2005-12-09,1029575000
2005-12-12,1049754669
2005-12-13,1053872970
2005-12-14,1111941000
2005-12-15,1128002370
2005-12-16,1138298120
2005-12-19,1090937670
2005-12-20,1156006810
2005-12-21,1175774650
2005-12-22,1181952100
2005-12-23,1285733260
2005-12-27,1369746580
2005-12-28,1497002050
2005-12-29,1641554380
2005-12-30,1577720730
2006-01-03,1550772960
2006-01-04,1468957600
2006-01-05,1656296180
2006-01-06,1648858420
2006-01-09,1665593380
2006-01-10,1743225000
2006-01-11,1752057340
2006-01-12,1790175860
2006-01-13,1813883720
2006-01-17,1774370620
2006-01-18,1792035299
2006-01-19,1802727080
2006-01-20,1779484080
2006-01-23,1734857520
2006-01-24,1706036200
2006-01-25,1713473960
2006-01-26,1745549299
2006-01-27,1783202960
2006-01-30,1873385799
2006-01-31,1858975140
2006-02-01,1814348580
2006-02-02,1832478120
2006-02-03,1805516240
2006-02-06,1822251200
2006-02-07,1438276840
2006-02-08,1369012700
2006-02-09,1370872140
2006-02-10,1391325980
2006-02-13,1406201500
2006-02-14,1408060940
2006-02-15,1351348020
2006-02-16,1337402220
2006-02-17,1344375120
2006-02-21,1273716400
2006-02-22,1310905200
2006-02-23,1355066900
2006-02-24,1338796800
2006-02-27,1328105020
2006-02-28,1310440340
2006-03-01,1331823900
2006-03-02,1358785780
2006-03-03,1342050820
2006-03-06,1329499600
2006-03-07,1317878100
2006-03-08,1251867980
2006-03-09,1255122000
2006-03-10,1234203300
2006-03-13,1274646120
2006-03-14,1375985600
2006-03-15,1385282800
2006-03-16,1407131220
2006-03-17,1397834020
2006-03-20,1443390300
2006-03-21,1436417400
2006-03-22,1449433480
2006-03-23,1465703580
2006-03-24,1534038000
2006-03-27,1589821200
2006-03-28,1529854259
2006-03-29,1580524000
2006-03-30,1527994820
2006-03-31,1519365600
2006-04-03,1525461820
2006-04-04,1542812600
2006-04-05,1545626240
2006-04-06,1534371680
2006-04-07,1520772420
2006-04-10,1491229200
2006-04-11,1463092800
2006-04-12,1460279160
2006-04-13,1477161000
2006-04-17,1509986800
2006-04-18,1517958779
2006-04-19,1547502000
2006-04-20,1546564119
2006-04-21,1542343660
2006-04-24,1565321720
2006-04-25,1533902740
2006-04-26,1735078000
2006-04-27,1774000020
2006-04-28,1724761320
2006-05-01,1722416619
2006-05-02,1693342340
2006-05-03,1674115800
2006-05-04,1719134039
2006-05-05,1725699199
2006-05-08,1700376440
2006-05-09,1758993940
2006-05-10,1730388600
2006-05-11,1724292380
2006-05-12,1658640779
2006-05-15,1667550640
2006-05-16,1678805199
2006-05-17,1652075619
2006-05-18,1547970940
2006-05-19,1614091480
2006-05-22,1625346039
2006-05-23,1653013500
2006-05-24,1652544560
2006-05-25,1602836920
2006-05-26,1613153600
2006-05-30,1618311940
2006-05-31,1674115800
2006-06-01,1746801500
2006-06-02,1740705279
2006-06-05,1705065840
2006-06-06,1683494600
2006-06-07,1641290000
2006-06-08,1625346039
2006-06-09,1648324100
2006-06-12,1637538480
2006-06-13,1675991560
2006-06-14,1735078000
2006-06-15,1739767400
2006-06-16,1812922039
2006-06-19,1849968300
2006-06-20,1764621220
2006-06-21,1770717440
2006-06-22,1733671180
2006-06-23,1758993940
2006-06-26,1751021960
2006-06-27,1729919660
2006-06-28,1799322779
2006-06-29,1908585800
2006-06-30,2010129679
2006-07-03,2020034120
2006-07-05,2023807239
2006-07-06,2007771480
2006-07-07,1827605000
2006-07-10,1852601920
2006-07-11,1932309080
2006-07-12,1903539040
2006-07-13,1866279480
2006-07-14,1845055679
2006-07-17,1847413880
2006-07-18,1813455800
2006-07-19,1939855320
2006-07-20,1979473080
2006-07-21,1914858400
2006-07-24,2006356560
2006-07-25,1955891080
2006-07-26,1918159880
2006-07-27,1870524239
2006-07-28,1924291199
2006-07-31,1893634600
2006-08-01,1839396000
2006-08-02,1744596360
2006-08-03,1764876880
2006-08-04,1758745560
2006-08-07,1721957640
2006-08-08,1659229520
2006-08-09,1576692520
2006-08-10,1601689440
2006-08-11,1530471800
2006-08-14,1531886719
2006-08-15,1638005719
2006-08-16,1661116080
2006-08-17,1650740000
2006-08-18,1662531000
2006-08-21,1648381800
2006-08-22,1674322000
2006-08-23,1646495239
2006-08-24,1629516199
2006-08-25,1646495239
2006-08-28,1689886120
2006-08-29,1659229520
2006-08-30,1645080320
2006-08-31,1624328160
2006-09-01,1599802880
2006-09-05,1641778840
2006-09-06,1586125320
2006-09-07,1540847880
2006-09-08,1579050719
2006-09-11,1700262199
2006-09-12,1809682679
2006-09-13,1803551360
2006-09-14,1847413880
2006-09-15,1867694400
2006-09-18,1885616719
2006-09-19,1893162960
2006-09-20,1897407719
2006-09-21,1929479239
2006-09-22,1945515000
2006-09-25,1929007600
2006-09-26,1901180840
2006-09-27,1933252360
2006-09-28,1896464440
2006-09-29,1887503280
2006-10-02,1885094640
2006-10-03,1893150600
2006-10-04,1992665399
2006-10-05,2011146720
2006-10-06,2031049680
2006-10-09,2036736239
2006-10-10,2156154000
2006-10-11,2109713760
2006-10-12,2202120360
2006-10-13,2271780720
2006-10-16,2304478440
2006-10-17,2209702440
2006-10-18,2208280800
2006-10-19,2199277080
2006-10-20,2172265920
2006-10-23,2226762120
2006-10-24,2204015880
2006-10-25,2233870320
2006-10-26,2264198640
2006-10-27,2209228560
2006-10-30,2214915120
2006-10-31,2196433800
2006-11-01,2214441240
2006-11-02,2061378000
2006-11-03,2142885360
2006-11-06,2142885360
2006-11-07,2170370400
2006-11-08,2167527120
2006-11-09,2126299559
2006-11-10,2163262200
2006-11-13,2104027200
2006-11-14,2147150280
2006-11-15,2220127800
2006-11-16,2191695000
2006-11-17,2205911400
2006-11-20,2255194920
2006-11-21,2271306840
2006-11-22,2260407600
2006-11-24,2255668800
2006-11-27,2288366520
2006-11-28,2210650200
2006-11-29,2188377840
2006-11-30,2223444960
2006-12-01,2197855440
2006-12-04,2214441240
2006-12-05,2349023160
2006-12-06,2415366360
2006-12-07,2389776840
2006-12-08,2410153680
2006-12-11,2420579040
2006-12-12,2348075400
2006-12-13,2322012000
2006-12-14,2358500760
2006-12-15,2398780560
2006-12-18,2390250720
2006-12-19,2388355200
2006-12-20,2408258160
2006-12-21,2433373800
2006-12-22,2367504480
2006-12-26,2378877600
2006-12-27,2407310400
2006-12-28,2425791720
2006-12-29,2390724600
2007-01-03,2359521450
2007-01-04,2344283370
2007-01-05,2302854840
2007-01-08,2332854810
2007-01-09,2327140530
2007-01-10,2379521430
2007-01-11,2383330950
2007-01-12,2361902400
2007-01-16,2417140440
2007-01-17,2423807100
2007-01-18,2414283300
2007-01-19,2431902330
2007-01-22,2241902520
2007-01-23,2352854790
2007-01-24,2416664250
2007-01-25,2371426200
2007-01-26,2382854760
2007-01-29,2449997550
2007-01-30,2489997510
2007-01-31,2419045200
2007-02-01,2246188230
2007-02-02,2180950200
2007-02-05,2155712130
2007-02-06,2196664470
2007-02-07,2282854860
2007-02-08,2327140530
2007-02-09,2289521520
2007-02-12,2249045370
2007-02-13,2231426340
2007-02-14,2261426310
2007-02-15,2264759640
2007-02-16,2280473910
2007-02-20,2324283390
2007-02-21,2279521530
2007-02-22,2276188200
2007-02-23,2270950110
2007-02-26,2265235830
2007-02-27,2169045450
2007-02-28,2185712100
2007-03-01,2187616860
2007-03-02,2132378820
2007-03-05,2080950300
2007-03-06,2190950190
2007-03-07,2148093090
2007-03-08,2198569230
2007-03-09,2214759690
2007-03-12,2225712060
2007-03-13,2158569270
2007-03-14,2220950160
2007-03-15,2241902520
2007-03-16,2229997770
2007-03-19,2319045300
2007-03-20,2330950050
2007-03-21,2378092860
2007-03-22,2380473810
2007-03-23,2438092800
2007-03-26,2428569000
2007-03-27,2365235730
2007-03-28,2352378600
2007-03-29,2415711870
2007-03-30,2442854700
2007-04-02,2454880750
2007-04-03,2508133000
2007-04-04,2465435250
2007-04-05,2503335500
2007-04-09,2534039500
2007-04-10,2545073750
2007-04-11,2526843250
2007-04-12,2526363500
2007-04-13,2489422750
2007-04-16,2519167250
2007-04-17,2492301250
2007-04-18,2432812250
2007-04-19,2448644000
2007-04-20,2470232750
2007-04-23,2438089500
2007-04-24,2403547500
2007-04-25,2446725000
2007-04-26,2379560000
2007-04-27,2365647250
2007-04-30,2422737500
2007-05-01,2209728500
2007-05-02,2204451250
2007-05-03,2134887500
2007-05-04,2167030750
2007-05-07,2151199000
2007-05-08,2164632000
2007-05-09,2152158500
2007-05-10,2098426500
2007-05-11,2137286249
2007-05-14,2102744250
2007-05-15,2053809750
2007-05-16,2084993500
2007-05-17,2154557250
2007-05-18,2229398250
2007-05-21,2306638000
2007-05-22,2312395000
2007-05-23,2257223750
2007-05-24,2222681750
2007-05-25,2271616250
2007-05-29,2249547750
2007-05-30,2277853000
2007-05-31,2294644250
2007-06-01,2307117750
2007-06-04,2297043000
2007-06-05,2267298500
2007-06-06,2235635000
2007-06-07,2205410750
2007-06-08,2242831250
2007-06-11,2167030750
2007-06-12,2130090000
2007-06-13,2145921749
2007-06-14,2132968500
2007-06-15,2167990250
2007-06-18,2209728500
2007-06-19,2198214500
2007-06-20,2223641250
2007-06-21,2215005750
2007-06-22,2217404500
2007-06-25,2204931000
2007-06-26,2197255000
2007-06-27,2237074250
2007-06-28,2221242500
2007-06-29,2190058750
2007-07-02,2268937470
2007-07-03,2365303470
2007-07-05,2616336900
2007-07-06,2613445920
2007-07-09,2614409580
2007-07-10,2521416390
2007-07-11,2501661360
2007-07-12,2565262920
2007-07-13,2602845660
2007-07-16,2609109450
2007-07-17,2643319380
2007-07-18,2733421590
2007-07-19,2764740540
2007-07-20,2655846960
2007-07-23,2610073110
2007-07-24,2546953380
2007-07-25,2497324890
2007-07-26,2433241500
2007-07-27,2485760970
2007-07-30,2658737940
2007-07-31,2958918030
2007-08-01,3089975790
2007-08-02,2987346000
2007-08-03,3117921929
2007-08-06,3037938150
2007-08-07,3088530299
2007-08-08,3212842440
2007-08-09,3233079299
2007-08-10,3201278520
2007-08-13,3047092920
2007-08-14,2961809010
2007-08-15,2847133470
2007-08-16,2909771370
2007-08-17,3079857360
2007-08-20,3105394350
2007-08-21,3223924530
2007-08-22,3221515380
2007-08-23,3130931340
2007-08-24,3155022840
2007-08-27,3042756450
2007-08-28,2999391750
2007-08-29,3118885590
2007-08-30,3077930040
2007-08-31,3132376830
2007-09-04,3147795390
2007-09-05,3104912520
2007-09-06,3053838540
2007-09-07,3076484550
2007-09-10,3006619200
2007-09-11,2995537110
2007-09-12,3075520890
2007-09-13,3024446910
2007-09-14,2996982600
2007-09-17,2961809010
2007-09-18,3169959570
2007-09-19,3142977090
2007-09-20,3026374230
2007-09-21,3040829130
2007-09-24,3118403760
2007-09-25,3086121150
2007-09-26,2895798300
2007-09-27,2833160400
2007-09-28,2882307060
2007-10-01,2931208080
2007-10-02,2918648520
2007-10-03,2830248540
2007-10-04,2796917400
2007-10-05,2828316300
2007-10-08,2830731600
2007-10-09,2888698800
2007-10-10,2928309720
2007-10-11,2962123920
2007-10-12,2932657260
2007-10-15,2906572020
2007-10-16,2856333780
2007-10-17,2755374240
2007-10-18,2706585180
2007-10-19,2601761160
2007-10-22,2639439840
2007-10-23,2762137080
2007-10-24,2686296660
2007-10-25,2746196100
2007-10-26,2877588420
2007-10-29,2837011380
2007-10-30,3077575260
2007-10-31,3007048500
2007-11-01,2815756740
2007-11-02,2708517420
2007-11-05,2481479220
2007-11-06,2391147000
2007-11-07,2398875960
2007-11-08,2347671600
2007-11-09,2254441020
2007-11-12,2200338300
2007-11-13,2331247560
2007-11-14,2463606000
2007-11-15,2434622400
2007-11-16,2492589600
2007-11-19,2311442100
2007-11-20,2312891280
2007-11-21,2261203860
2007-11-23,2327383080
2007-11-26,2248644300
2007-11-27,2324001660
2007-11-28,2338010400
2007-11-29,2323518600
2007-11-30,2399842080
2007-12-03,2371341540
2007-12-04,2311925160
2007-12-05,2374722960
2007-12-06,2302263960
2007-12-07,2339942640
2007-12-10,2386316400
2007-12-11,2333662860
2007-12-12,2330281440
2007-12-13,2294535000
2007-12-14,2185846500
2007-12-17,2075225760
2007-12-18,2137540500
2007-12-19,2234152500
2007-12-20,2123048700
2007-12-21,2158795140
2007-12-24,2100344879
2007-12-26,2044792980
2007-12-27,2080056360
2007-12-28,2051072760
2007-12-31,2114152040
2008-01-02,2214364880
2008-01-03,2132548599
2008-01-04,2023621599
2008-01-07,2079295400
2008-01-08,2072033599
2008-01-09,2099628439
2008-01-10,2145619840
2008-01-11,2064771800
2008-01-14,2186285920
2008-01-15,2004256800
2008-01-16,2074454200
2008-01-17,1794148720
2008-01-18,1356020120
2008-01-22,1514811480
2008-01-23,1691515280
2008-01-24,1726371919
2008-01-25,1688126439
2008-01-28,1691999400
2008-01-29,1761712680
2008-01-30,1819807080
2008-01-31,1948583000
2008-02-01,2071065360
2008-02-04,1950519480
2008-02-05,1920019919
2008-02-06,1980050800
2008-02-07,2054121160
2008-02-08,2164500520
2008-02-11,2178055880
2008-02-12,2175151160
2008-02-13,2178540000
2008-02-14,2102049040
2008-02-15,2065255919
2008-02-19,2091398400
2008-02-20,2071549480
2008-02-21,2113183800
2008-02-22,1984407880
2008-02-25,1938416480
2008-02-26,1996026759
2008-02-27,1870155560
2008-02-28,1798505800
2008-02-29,1782529840
2008-03-03,1798505800
2008-03-04,1757839720
2008-03-05,1777683798
2008-03-06,1707007120
2008-03-07,1665372800
2008-03-10,1597596000
2008-03-11,1643103280
2008-03-12,1648428599
2008-03-13,1713300680
2008-03-14,1646008000
2008-03-17,1653753919
2008-03-18,1720562480
2008-03-19,1750093800
2008-03-20,1810124680
2008-03-24,1899686880
2008-03-25,1888068000
2008-03-26,1845465439
2008-03-27,1823680040
2008-03-28,1775752160
2008-03-31,1776124800
2008-04-01,1795536000
2008-04-02,1761081120
2008-04-03,1760110560
2008-04-04,1710612000
2008-04-07,1763022240
2008-04-08,1787286240
2008-04-09,1729052640
2008-04-10,1747978560
2008-04-11,1721773439
2008-04-14,1693141920
2008-04-15,1625688000
2008-04-16,1572792479
2008-04-17,1621805760
2008-04-18,1665480960
2008-04-21,1750404960
2008-04-22,1737787680
2008-04-23,1642187520
2008-04-24,1714008960
2008-04-25,1794565439
2008-04-28,1872210240
2008-04-29,1680039359
2008-04-30,1617438240
2008-05-01,1684406880
2008-05-02,1677612960
2008-05-05,1636849439
2008-05-06,1699935840
2008-05-07,1683921600
2008-05-08,1674216000
2008-05-09,1660142880
2008-05-12,1663054560
2008-05-13,1600453439
2008-05-14,1679554080
2008-05-15,1766419200
2008-05-16,1771272000
2008-05-19,1783404000
2008-05-20,1827564479
2008-05-21,1785830399
2008-05-22,1633937760
2008-05-23,1659172320
2008-05-27,1637820000
2008-05-28,1659657600
2008-05-29,1697509439
2008-05-30,1737302399
2008-06-02,1687318560
2008-06-03,1667422080
2008-06-04,1664995680
2008-06-05,1653834240
2008-06-06,1607732640
2008-06-09,1618894080
2008-06-10,1665480960
2008-06-11,1580071680
2008-06-12,1547557920
2008-06-13,1540764000
2008-06-16,1576189439
2008-06-17,1561631040
2008-06-18,1480589280
2008-06-19,1418958720
2008-06-20,1367519040
2008-06-23,1349563680
2008-06-24,1315108800
2008-06-25,1360239840
2008-06-26,1301035680
2008-06-27,1265610240
2008-06-30,1247309080
2008-07-01,1252660250
2008-07-02,1255092600
2008-07-03,1217147940
2008-07-07,1213256180
2008-07-08,1359197180
2008-07-09,1348981310
2008-07-10,1253146720
2008-07-11,1235633800
2008-07-14,1227363810
2008-07-15,1235147330
2008-07-16,1315414880
2008-07-17,1378655980
2008-07-18,1366494230
2008-07-21,1330981920
2008-07-22,1470598810
2008-07-23,1487625260
2008-07-24,1407357710
2008-07-25,1366007760
2008-07-28,1295469610
2008-07-29,1381574800
2008-07-30,1476436450
2008-07-31,1418060050
2008-08-01,1478868800
2008-08-04,1520705220
2008-08-05,1645241540
2008-08-06,1601459240
2008-08-07,1600972769
2008-08-08,1683186200
2008-08-11,1728427910
2008-08-12,1676862090
2008-08-13,1641836250
2008-08-14,1615566870
2008-08-15,1599026889
2008-08-18,1608756290
2008-08-19,1575189860
2008-08-20,1569352220
2008-08-21,1586378670
2008-08-22,1621890980
2008-08-25,1552812240
2008-08-26,1521678160
2008-08-27,1575189860
2008-08-28,1644755070
2008-08-29,1639890370
2008-09-02,1713833809
2008-09-03,1769777860
2008-09-04,1670537980
2008-09-05,1678807970
2008-09-08,1743994950
2008-09-09,1735724960
2008-09-10,1715779690
2008-09-11,1697293830
2008-09-12,1689996780
2008-09-15,1625296269
2008-09-16,1714320280
2008-09-17,1779993730
2008-09-18,1902097700
2008-09-19,1908421809
2008-09-22,1774642559
2008-09-23,1724049680
2008-09-24,1669565040
2008-09-25,1655943880
2008-09-26,1653998000
2008-09-29,1499300540
2008-09-30,1612042320
2008-10-01,1588694100
2008-10-02,1486164960
2008-10-03,1370946570
2008-10-06,1478043840
2008-10-07,1353181620
2008-10-08,1387696380
2008-10-09,1345060500
2008-10-10,1433885250
2008-10-13,1487180100
2008-10-14,1370439000
2008-10-15,1244054070
2008-10-16,1312068450
2008-10-17,1287197520
2008-10-20,1222736130
2008-10-21,1157767170
2008-10-22,1036457940
2008-10-23,935451510
2008-10-24,918701700
2008-10-27,919209270
2008-10-28,1161320160
2008-10-29,1124775120
2008-10-30,1144570350
2008-10-31,1319682000
2008-11-03,1261819020
2008-11-04,1319174430
2008-11-05,1329325830
2008-11-06,1239993510
2008-11-07,1306992750
2008-11-10,1251160050
2008-11-11,1265879580
2008-11-12,1077063540
2008-11-13,1252175190
2008-11-14,1164365580
2008-11-17,1039503360
2008-11-18,953724030
2008-11-19,890785350
2008-11-20,923777400
2008-11-21,1016155140
2008-11-24,1096858770
2008-11-25,1097873910
2008-11-26,1176547260
2008-11-28,1166903430
2008-12-01,1042548780
2008-12-02,1123759980
2008-12-03,1210554450
2008-12-04,1234410240
2008-12-05,1330848540
2008-12-08,1390741800
2008-12-09,1409521890
2008-12-10,1393787220
2008-12-11,1287197520
2008-12-12,1318666860
2008-12-15,1236440520
2008-12-16,1247607060
2008-12-17,1244561640
2008-12-18,1231872390
2008-12-19,1262834160
2008-12-22,1215122580
2008-12-23,1168426140
2008-12-24,1168426140
2008-12-26,1153199040
2008-12-29,1141017360
2008-12-30,1190759220
2008-12-31,1178172800
2009-01-02,1239947800
2009-01-05,1273059200
2009-01-06,1291838800
2009-01-07,1246866600
2009-01-08,1238465200
2009-01-09,1186080000
2009-01-12,1147038200
2009-01-13,1103054400
2009-01-14,958747999
2009-01-15,976045000
2009-01-16,986917400
2009-01-20,937991600
2009-01-21,971597200
2009-01-22,957265400
2009-01-23,927613400
2009-01-26,941451000
2009-01-27,925636600
2009-01-28,960724800
2009-01-29,938980000
2009-01-30,914270000
2009-02-02,829761800
2009-02-03,857931200
2009-02-04,841622600
2009-02-05,863861600
2009-02-06,899444000
2009-02-09,868803599
2009-02-10,812464800
2009-02-11,812464800
2009-02-12,816418400
2009-02-13,781824400
2009-02-17,767986800
2009-02-18,762550600
2009-02-19,768481000
2009-02-20,728945000
2009-02-23,697810400
2009-02-24,725485600
2009-02-25,706706000
2009-02-26,722520400
2009-02-27,711153800
2009-03-02,680513400
2009-03-03,630105000
2009-03-04,637023800
2009-03-05,644931000
2009-03-06,609348600
2009-03-09,614784800
2009-03-10,677548200
2009-03-11,671617800
2009-03-12,766010000
2009-03-13,797638800
2009-03-16,761562200
2009-03-17,799615600
2009-03-18,874734000
2009-03-19,892525199
2009-03-20,852495000
2009-03-23,925636600
2009-03-24,807028599
2009-03-25,806534400
2009-03-26,860402200
2009-03-27,822348800
2009-03-30,813947400
2009-03-31,816998180
2009-04-01,801085860
2009-04-02,859762540
2009-04-03,898548820
2009-04-06,882139239
2009-04-07,858270760
2009-04-08,881144720
2009-04-09,940318660
