,UAL
2006-02-06,3670236433
2006-02-07,3571713862
2006-02-08,3464529966
2006-02-09,3735196370
2006-02-10,3707047064
2006-02-13,3793660313
2006-02-14,3873777568
2006-02-15,3954977489
2006-02-16,3865116243
2006-02-17,3998284114
2006-02-21,3835884272
2006-02-22,3906257537
2006-02-23,3912753530
2006-02-24,3875942899
2006-02-27,3843462931
2006-02-28,3840214934
2006-03-01,3908422868
2006-03-02,3905174871
2006-03-03,3964721480
2006-03-06,3997201448
2006-03-07,4029681417
2006-03-08,4050252063
2006-03-09,4040508073
2006-03-10,4129286653
2006-03-13,4137947978
2006-03-14,4221313230
2006-03-15,4284107836
2006-03-16,4251627868
2006-03-17,4244049208
2006-03-20,4346902442
2006-03-21,4432433025
2006-03-22,4616486180
2006-03-23,4514715612
2006-03-24,4515798278
2006-03-27,4580758214
2006-03-28,4417275707
2006-03-29,4386961069
2006-03-30,4223478562
2006-03-31,4381772141
2006-04-03,4293983067
2006-04-04,4288496250
2006-04-05,4317027699
2006-04-06,4270938435
2006-04-07,4259964801
2006-04-10,4143644278
2006-04-11,4202901903
2006-04-12,4266548981
2006-04-13,4326903969
2006-04-17,4236920169
2006-04-18,4155715276
2006-04-19,4174370454
2006-04-20,4037200026
2006-04-21,3779319622
2006-04-24,3958189860
2006-04-25,3939534682
2006-04-26,3924171594
2006-04-27,4041589480
2006-04-28,3951605679
2006-05-01,3871498150
2006-05-02,3951605679
2006-05-03,4128281190
2006-05-04,4239114896
2006-05-05,4276425252
2006-05-08,3895640145
2006-05-09,3862719242
2006-05-10,3797974800
2006-05-11,3695920002
2006-05-12,3676167461
2006-05-15,3712380454
2006-05-16,3587281024
2006-05-17,3600449385
2006-05-18,3559846938
2006-05-19,3612520382
2006-05-22,3528023399
2006-05-23,3464376320
2006-05-24,3334887437
2006-05-25,3357932069
2006-05-26,3407313422
2006-05-30,3181256558
2006-05-31,3229540548
2006-06-01,3275629812
2006-06-02,3173575014
2006-06-05,3014457318
2006-06-06,3037721422
2006-06-07,3078104396
2006-06-08,3028723042
2006-06-09,3036404586
2006-06-12,2937641878
2006-06-13,2966173327
2006-06-14,3051767674
2006-06-15,3338179527
2006-06-16,3454500050
2006-06-19,3467668411
2006-06-20,3489615679
2006-06-21,3538997033
2006-06-22,3566431119
2006-06-23,3570820572
2006-06-26,3498394586
2006-06-27,3305258624
2006-06-28,3270142995
2006-06-29,3295382354
2006-06-30,3388482710
2006-07-03,3383020939
2006-07-05,3391759772
2006-07-06,3429992169
2006-07-07,3402683314
2006-07-10,3438731003
2006-07-11,3366635626
2006-07-12,3361173855
2006-07-13,3126317703
2006-07-14,2923139823
2006-07-17,2914400989
2006-07-18,2927509240
2006-07-19,3119763578
2006-07-20,3022544055
2006-07-21,2943894553
2006-07-24,3080438827
2006-07-25,3005066388
2006-07-26,2990865783
2006-07-27,2948263969
2006-07-28,3006158742
2006-07-31,2855413863
2006-08-01,2747270798
2006-08-02,2648958920
2006-08-03,2771302590
2006-08-04,2688283671
2006-08-07,2725423714
2006-08-08,2706853693
2006-08-09,2603080044
2006-08-10,2569217064
2006-08-11,2439226915
2006-08-14,2485105791
2006-08-15,2546277626
2006-08-16,2689376025
2006-08-17,2699207213
2006-08-18,2717777234
2006-08-21,2622742420
2006-08-22,2645681858
