,URI
2000-01-03,1210789969
2000-01-04,1197006261
2000-01-05,1192653510
2000-01-06,1260846594
2000-01-07,1301472261
2000-01-10,1292041303
2000-01-11,1292041303
2000-01-12,1292041303
2000-01-13,1346450679
2000-01-14,1360234387
2000-01-18,1378370846
2000-01-19,1505326055
2000-01-20,1460347638
2000-01-21,1496620555
2000-01-24,1537246222
2000-01-25,1473405888
2000-01-26,1541598972
2000-01-27,1473405888
2000-01-28,1392154554
2000-01-31,1387801804
2000-02-01,1432780221
2000-02-02,1400860054
2000-02-03,1396507304
2000-02-04,1374018095
2000-02-07,1342097929
2000-02-08,1283335803
2000-02-09,1237631928
2000-02-10,1224573677
2000-02-11,1183222552
2000-02-14,1142596885
2000-02-15,1251415636
2000-02-16,1228926427
2000-02-17,1219495469
2000-02-18,1188300760
2000-02-22,1165086094
2000-02-23,1188300760
2000-02-24,1201359011
2000-02-25,1192653510
2000-02-28,1152027843
2000-02-29,1133891385
2000-03-01,1124460427
2000-03-02,1088187510
2000-03-03,1083834759
2000-03-06,1088187510
2000-03-07,1051914593
2000-03-08,1011288925
2000-03-09,1051914593
2000-03-10,1056267343
2000-03-13,1051914593
2000-03-14,1001857967
2000-03-15,997505217
2000-03-16,1043209092
2000-03-17,997505217
2000-03-20,1025072634
2000-03-21,1079482009
2000-03-22,1074403801
2000-03-23,1074403801
2000-03-24,1097618468
2000-03-27,1101971218
2000-03-28,1083834759
2000-03-29,1070051051
2000-03-30,1142596885
2000-03-31,1233610238
2000-04-03,1171393374
2000-04-04,1139927373
2000-04-05,1122048964
2000-04-06,1090582964
2000-04-07,1072704555
2000-04-10,1041238554
2000-04-11,1036947736
2000-04-12,1005481736
2000-04-13,1064122918
2000-04-14,1028366100
2000-04-17,1059116963
2000-04-18,1054826145
2000-04-19,1036947736
2000-04-20,1046244509
2000-04-24,992609281
2000-04-25,1010487690
2000-04-26,983312508
2000-04-27,987603326
2000-04-28,965434099
2000-05-01,1001190918
2000-05-02,969724917
2000-05-03,947555690
2000-05-04,956852463
2000-05-05,961143281
2000-05-08,987603326
2000-05-09,1001190918
2000-05-10,996900099
2000-05-11,992609281
2000-05-12,996900099
2000-05-15,1014778509
2000-05-16,1041238554
2000-05-17,1064122918
2000-05-18,1041238554
2000-05-19,1032656918
2000-05-22,1005481736
2000-05-23,1076995373
2000-05-24,1148509010
2000-05-25,1193562601
2000-05-26,1193562601
2000-05-30,1175684192
2000-05-31,1162096601
2000-06-01,1148509010
2000-06-02,1148509010
2000-06-05,1144218192
2000-06-06,1171393374
2000-06-07,1215731829
2000-06-08,1220022647
2000-06-09,1260785420
2000-06-12,1291536284
2000-06-13,1363049921
2000-06-14,1408103512
2000-06-15,1300833057
2000-06-16,1309414693
2000-06-19,1345171511
2000-06-20,1363049921
2000-06-21,1368055875
2000-06-22,1323002284
2000-06-23,1323002284
2000-06-26,1314420648
2000-06-27,1287245466
2000-06-28,1318711466
2000-06-29,1318711466
2000-06-30,1206960597
2000-07-03,1312648915
2000-07-05,1254872634
2000-07-06,1224575317
2000-07-07,1268259822
2000-07-10,1281647009
2000-07-11,1268259822
2000-07-12,1316876448
2000-07-13,1365493075
2000-07-14,1387335327
2000-07-17,1387335327
2000-07-18,1356333420
2000-07-19,1338718701
2000-07-20,1395790392
2000-07-21,1378175673
2000-07-24,1365493075
2000-07-25,1338718701
2000-07-26,1342946233
2000-07-27,1347878355
2000-07-28,1400722514
2000-07-31,1453566673
2000-08-01,1462021739
2000-08-02,1483863991
2000-08-03,1493023646
2000-08-04,1519093431
2000-08-07,1567710057
2000-08-08,1589552310
2000-08-09,1589552310
2000-08-10,1514865898
2000-08-11,1448634552
2000-08-14,1448634552
2000-08-15,1448634552
2000-08-16,1444407019
2000-08-17,1413405112
2000-08-18,1409177580
2000-08-21,1431019832
2000-08-22,1435951954
2000-08-23,1409177580
2000-08-24,1325331513
2000-08-25,1342946233
2000-08-28,1369720607
2000-08-29,1356333420
2000-08-30,1453566673
2000-08-31,1462021739
2000-09-01,1440179486
2000-09-05,1488796113
2000-09-06,1462021739
2000-09-07,1448634552
2000-09-08,1440179486
2000-09-11,1462021739
2000-09-12,1418337234
2000-09-13,1475408926
2000-09-14,1532480618
2000-09-15,1528253085
2000-09-18,1457794206
2000-09-19,1466249271
2000-09-20,1462021739
2000-09-21,1431019832
2000-09-22,1409177580
2000-09-25,1581097244
2000-09-26,1567710057
2000-09-27,1620554217
2000-09-28,1664943310
2000-09-29,1700172750
2000-10-02,1616605600
2000-10-03,1658914400
2000-10-04,1612511200
2000-10-05,1633665600
2000-10-06,1607734400
2000-10-09,1595451200
2000-10-10,1603640000
2000-10-11,1548365600
2000-10-12,1471254400
2000-10-13,1484220000
2000-10-16,1484220000
2000-10-17,1347740000
2000-10-18,1343645600
2000-10-19,1377765600
2000-10-20,1390731200
2000-10-23,1385954400
2000-10-24,1373671200
2000-10-25,1351834400
2000-10-26,1283594400
2000-10-27,1266534400
2000-10-30,1322491200
2000-10-31,1467160000
2000-11-01,1390731200
2000-11-02,1390731200
2000-11-03,1296560000
2000-11-06,1292465600
2000-11-07,1271311200
2000-11-08,1334774400
2000-11-09,1258345600
2000-11-10,1249474400
2000-11-13,1224225600
2000-11-14,1220131200
2000-11-15,1266534400
2000-11-16,1207165600
2000-11-17,1224225600
2000-11-20,1164174400
2000-11-21,1134831200
2000-11-22,1078874400
2000-11-24,1112994400
2000-11-27,1117771200
2000-11-28,1087745600
2000-11-29,1049531200
2000-11-30,1061814400
2000-12-01,1130054400
2000-12-04,1066591200
2000-12-05,1164174400
2000-12-06,1125960000
2000-12-07,1130054400
2000-12-08,1228320000
2000-12-11,1215354400
2000-12-12,1245380000
2000-12-13,1168951200
2000-12-14,1130054400
2000-12-15,1108900000
2000-12-18,870060000
2000-12-19,878931200
2000-12-20,831845600
2000-12-21,818880000
2000-12-22,848905600
2000-12-26,853000000
2000-12-27,921240000
2000-12-28,976514400
2000-12-29,917145600
2001-01-02,900085613
2001-01-03,976514414
2001-01-04,1015411214
2001-01-05,1006540014
2001-01-08,1019505614
2001-01-09,1002445614
2001-01-10,1036565615
2001-01-11,1010634414
2001-01-12,1015411214
2001-01-16,1091840016
2001-01-17,1078874415
2001-01-18,1036565615
2001-01-19,1044754415
2001-01-22,1061814415
2001-01-23,1100711216
2001-01-24,1087745615
2001-01-25,1130054416
2001-01-26,1155985616
2001-01-29,1192152817
2001-01-30,1240603218
2001-01-31,1179869617
2001-02-01,1179869617
2001-02-02,1147114416
2001-02-05,1160080017
2001-02-06,1163492017
2001-02-07,1170998417
2001-02-08,1186693617
2001-02-09,1183281617
2001-02-12,1220131217
2001-02-13,1273358418
2001-02-14,1155303216
2001-02-15,1220813617
2001-02-16,1177822417
2001-02-20,1156668016
2001-02-21,1158715216
2001-02-22,1147796816
2001-02-23,1160080017
2001-02-26,1159397616
2001-02-27,1110947216
2001-02-28,1167586417
2001-03-01,1166221617
2001-03-02,1221496017
2001-03-05,1173728017
2001-03-06,1185328817
2001-03-07,1193517617
2001-03-08,1247427218
2001-03-09,1326585619
2001-03-12,1274040818
2001-03-13,1325903219
2001-03-14,1259028018
2001-03-15,1228320018
2001-03-16,1196929617
2001-03-19,1177140017
2001-03-20,1160762417
2001-03-21,1104123216
2001-03-22,1093204816
2001-03-23,1125277616
2001-03-26,1106852816
2001-03-27,1160080017
2001-03-28,1115724016
2001-03-29,1090475215
2001-03-30,1114359216
2001-04-02,1131010749
2001-04-03,1093740433
2001-04-04,1088723275
2001-04-05,1214152223
2001-04-06,1181182328
2001-04-09,1217735908
2001-04-10,1267907487
2001-04-11,1284392435
2001-04-12,1264323803
2001-04-16,1234220855
2001-04-17,1282242224
2001-04-18,1362516751
2001-04-19,1328113383
2001-04-20,1308044751
2001-04-23,1294426751
2001-04-24,1268624224
2001-04-25,1323812961
2001-04-26,1361800015
2001-04-27,1418422226
2001-04-30,1434907173
2001-05-01,1555318964
2001-05-02,1595456228
2001-05-03,1592589280
2001-05-04,1605490544
2001-05-07,1583988438
2001-05-08,1533816859
2001-05-09,1540984227
2001-05-10,1563203069
2001-05-11,1537400543
2001-05-14,1525216016
2001-05-15,1482928542
2001-05-16,1483645279
2001-05-17,1490812648
2001-05-18,1494396332
2001-05-21,1522349069
2001-05-22,1597606438
2001-05-23,1637743702
2001-05-24,1607640754
2001-05-25,1595456228
2001-05-29,1589005596
2001-05-30,1646344544
2001-05-31,1653511912
2001-06-01,1655662123
2001-06-04,1705833703
2001-06-05,1768189808
2001-06-06,1736653387
2001-06-07,1809760546
2001-06-08,1862082336
2001-06-11,1825528756
2001-06-12,1881434231
2001-06-13,1821945072
2001-06-14,1820511599
2001-06-15,1770340019
2001-06-18,1749554650
2001-06-19,1758872229
2001-06-20,1759588966
2001-06-21,1750988124
2001-06-22,1698666334
2001-06-25,1676447492
2001-06-26,1692215702
2001-06-27,1781091072
2001-06-28,1801159704
2001-06-29,1859932125
2001-07-02,1860099979
2001-07-03,1844769485
2001-07-05,1845499509
2001-07-06,1744756260
2001-07-09,1770307084
2001-07-10,1755706613
2001-07-11,1697304730
2001-07-12,1711905201
2001-07-13,1719205436
2001-07-16,1706795036
2001-07-17,1748406378
2001-07-18,1742566189
2001-07-19,1742566189
2001-07-20,1708985107
2001-07-23,1763006849
2001-07-24,1727235695
2001-07-25,1710445154
2001-07-26,1737456025
2001-07-27,1748406378
2001-07-30,1702414895
2001-07-31,1707525060
2001-08-01,1729425766
2001-08-02,1716285342
2001-08-03,1744756260
2001-08-06,1694384636
2001-08-07,1703144918
2001-08-08,1689274471
2001-08-09,1682704259
2001-08-10,1704604965
2001-08-13,1708255083
2001-08-14,1711905201
2001-08-15,1696574706
2001-08-16,1716285342
2001-08-17,1731615836
2001-08-20,1786367602
2001-08-21,1761546802
2001-08-22,1750596448
2001-08-23,1749136401
2001-08-24,1746216307
2001-08-27,1736726001
2001-08-28,1721395507
2001-08-29,1725775648
2001-08-30,1667373765
2001-08-31,1697304730
2001-09-04,1693654612
2001-09-05,1687814424
2001-09-06,1653503318
2001-09-07,1579770940
2001-09-10,1498738327
2001-09-17,1449826750
2001-09-18,1423545903
2001-09-19,1365144019
2001-09-20,1365144019
2001-09-21,1306742136
2001-09-24,1327182795
2001-09-25,1350543549
2001-09-26,1201618746
2001-09-27,1251990371
2001-09-28,1265860818
2001-10-01,1256782848
2001-10-02,1247228358
2001-10-03,1372171682
2001-10-04,1347183018
2001-10-05,1305290256
2001-10-08,1308230099
2001-10-09,1311904903
2001-10-10,1414064444
2001-10-11,1433173423
2001-10-12,1354532625
2001-10-15,1378051368
2001-10-16,1407449797
2001-10-17,1331013882
2001-10-18,1307495138
2001-10-19,1301615452
2001-10-22,1286181277
2001-10-23,1322929314
2001-10-24,1344243175
2001-10-25,1375846486
