,VIAC
2005-12-05,20324040000
2005-12-06,19608512000
2005-12-07,19448660000
2005-12-08,19326868000
2005-12-09,19509556000
2005-12-12,19973888000
2005-12-13,19791200000
2005-12-14,19562840000
2005-12-15,19273584000
2005-12-16,19258360000
2005-12-19,19250748000
2005-12-20,19083284000
2005-12-21,19220300000
2005-12-22,19113732000
2005-12-23,19410600000
2005-12-27,19524780000
2005-12-28,19068060000
2005-12-29,19030000000
2005-12-30,19410600000
2006-01-03,19985360000
2006-01-04,19832800000
2006-01-05,20107408000
2006-01-06,20771044000
2006-01-09,20618484000
2006-01-10,20259968000
2006-01-11,19970104000
2006-01-12,19825172000
2006-01-13,19436144000
2006-01-17,19115768000
2006-01-18,19581076000
2006-01-19,19504796000
2006-01-20,19054744000
2006-01-23,19695496000
2006-01-24,20519320000
2006-01-25,20137920000
2006-01-26,20450668000
2006-01-27,20443040000
2006-01-30,20801556000
2006-01-31,19931964000
2006-02-01,19939592000
2006-02-02,19565820000
2006-02-03,19573448000
2006-02-06,19710752000
2006-02-07,19474284000
2006-02-08,19848056000
2006-02-09,19550564000
2006-02-10,19420888000
2006-02-13,19481912000
2006-02-14,19527680000
2006-02-15,19535308000
2006-02-16,19184420000
2006-02-17,19718380000
2006-02-21,19298840000
2006-02-22,19245444000
2006-02-23,19222560000
2006-02-24,18711484000
2006-02-27,18940324000
2006-02-28,18658088000
2006-03-01,18803020000
2006-03-02,18352968000
2006-03-03,18291944000
2006-03-06,18291944000
2006-03-07,18581808000
2006-03-08,18413992000
2006-03-09,18276688000
2006-03-10,18269060000
2006-03-13,18322456000
2006-03-14,18276688000
2006-03-15,18566552000
2006-03-16,18475016000
2006-03-17,18780136000
2006-03-20,18612320000
2006-03-21,18902184000
2006-03-22,19131024000
2006-03-23,18986092000
2006-03-24,19092884000
2006-03-27,18902184000
2006-03-28,18627576000
2006-03-29,18642832000
2006-03-30,18490272000
2006-03-31,18335108000
2006-04-03,18885620000
2006-04-04,18939142000
2006-04-05,19038540000
2006-04-06,19474362000
2006-04-07,19222044000
2006-04-10,19030894000
2006-04-11,18809160000
2006-04-12,18755638000
2006-04-13,19000310000
2006-04-17,18893266000
2006-04-18,18962080000
2006-04-19,18778576000
2006-04-20,18755638000
2006-04-21,18969726000
2006-04-24,18969726000
2006-04-25,19397902000
2006-04-26,19229690000
2006-04-27,19497300000
2006-04-28,19474362000
2006-05-01,19711388000
2006-05-02,19535530000
2006-05-03,19688450000
2006-05-04,19910184000
2006-05-05,20170148000
2006-05-08,20338360000
2006-05-09,20391882000
2006-05-10,20108980000
2006-05-11,19818432000
2006-05-12,19619636000
2006-05-15,19619636000
2006-05-16,20131918000
2006-05-17,19726680000
2006-05-18,19382610000
2006-05-19,19275566000
2006-05-22,19313796000
2006-05-23,19000310000
2006-05-24,19420840000
2006-05-25,20108980000
2006-05-26,20032520000
2006-05-30,19504946000
2006-05-31,19810786000
